round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.7239313794264208,63.638557870054214,12.39568,12.39568,1.0,0.46889078550118113,0.1100409191060749,1.801516405550098,0.3272366234593546,0.6540101187616055,0.24575118555664197,0.2855007855990877,0.19600260123170965,0.20175335363439076,0.6512001241492162,0.1968765685655898,1.728564092280028,0.25511680793880503,0.2796945701357466,0.45903676748275757,0.32398150386607033,0.202586482358488,0.11389601892395189,0.003923756675356066,5.1262451376791205,0.12612700562021908,0.003533485916942434,0.0037433577373981166
2.0,0.6689229833883417,2.565730892982791,24.79136,24.79136,1.0,0.6050827288443764,0.1100409191060749,1.8350452444956311,0.3687985964360985,0.658879239273811,0.25998909154270194,0.289370152165634,0.19955532580207405,0.23588318005126138,0.6551046350697239,0.20198435382473143,1.7734101308632737,0.2626112759643917,0.27975460122699386,0.5885576009750366,0.3656044303500915,0.23651445402047563,0.11389601892395189,0.0023407770732233883,3.093247144680845,0.05557036146282509,0.0021421165993140596,0.0019420548423349226
3.0,0.659429546506338,2.136566253887023,37.18704,37.18704,1.0,0.5642375754379498,0.1100409191060749,1.843811379600939,0.327109459401828,0.6609762901446097,0.2674094570208042,0.28935395332499014,0.20037219727587394,0.20926303168699545,0.6580210272589654,0.20267135356799032,1.779441946107998,0.27457671610447565,0.2786136939983094,0.5894054770469666,0.3239504615486799,0.2102650507162388,0.11389601892395189,0.0016062664572299222,2.1503667112008316,0.043938961501917215,0.001412861639276518,0.0012515269254407479
4.0,0.6587535103509369,2.44789768006487,49.58272,49.58272,1.0,0.5376546197823845,0.1100409191060749,1.8811181428769899,0.3479486399376809,0.6634506951293875,0.26686272272905937,0.2895054960905972,0.2044441020307245,0.21759591078442952,0.6576296098591304,0.20572473471481512,1.806250443680363,0.2714285714285714,0.2779216821575499,0.5394029021263123,0.3448556923180499,0.2184263811174862,0.11389601892395189,0.0022558229597868453,3.054113698855872,0.03334474039503974,0.002081292177517631,0.0022545288463724183
5.0,0.6541059528230015,1.8306917780632055,61.9784,61.9784,1.0,0.574970376219508,0.1100409191060749,1.9060432849971378,0.36317079494237375,0.6600935846234195,0.2646317136546988,0.2881869823292988,0.20820244604866395,0.2293523843312662,0.6535818218480834,0.207989545517882,1.8261353424192655,0.271071988423972,0.2775953162930173,0.558975338935852,0.36013945495124144,0.23022245466405988,0.11389601892395189,0.0019656346420750424,2.700774696039389,0.030052506815375978,0.0017790310836618842,0.001587270439669291
6.0,0.6536502236101225,1.6036786124738953,74.37408,74.37408,1.0,0.5286559908540887,0.1100409191060749,1.8588510838647774,0.3279248522312565,0.6638323599308711,0.27160424462624905,0.29113722360384364,0.20255789787610723,0.20465250621639514,0.6603817046261647,0.19894955870394426,1.7467648174496988,0.275515895147797,0.2785667752442997,0.4820771813392639,0.3246412209589353,0.205478823529169,0.11389601892395189,0.0025688437100693665,3.5687508369260286,0.030662518339562857,0.002354608029359895,0.0014417820092887841
7.0,0.6560468082544724,1.4376140612231498,86.76976,86.76976,1.0,0.5173737667418892,0.1100409191060749,1.9713974296324273,0.3450839730040022,0.6615881208326093,0.27314563775264794,0.2900851902746429,0.21512925637570016,0.21462483230461585,0.6624400907998012,0.21482931409860778,1.8861880874172505,0.27474067844126715,0.27665375233175493,0.5027358531951904,0.34136630199121004,0.21502756193680905,0.11389601892395189,0.00207376664439888,2.9156872914522864,0.02243098688329178,0.0018911060418952577,0.0016710629671543528
8.0,0.6547275095684584,1.7293564451346897,99.16544,99.16544,1.0,0.5582798102178175,0.1100409191060749,1.9711439392283847,0.325863948455013,0.6629696491194594,0.26968137376771406,0.291395933650571,0.2153909174252436,0.2081178590749084,0.6628537709270265,0.21507635016123264,1.8883570487642647,0.2784313725490196,0.27931363203050524,0.5568936467170715,0.3222302261085058,0.2085126986189336,0.11389601892395189,0.001347596374404241,1.9166043652071494,0.01588016235056556,0.0011999227686705686,0.0014048151552047328
9.0,0.652413092928575,1.6282875638742411,111.56112,111.56112,1.0,0.5583314299752287,0.1100409191060749,1.989781709471846,0.3425697439528126,0.6658340087090074,0.2714805119708933,0.2925980435154333,0.21689304616081856,0.21712949318832753,0.663399584231644,0.2169320797916428,1.9046502401149583,0.2763644514176846,0.280226286014998,0.5316814184188843,0.3395328241509588,0.21791557990171984,0.11389601892395189,0.002094884131080931,3.0031527918031315,0.018742036824140978,0.0019074926923173354,0.0015812764321582581
10.0,0.6491931594988263,1.5174712272632715,123.9568,123.9568,1.0,0.571392756344051,0.1100409191060749,1.9733885465806444,0.35141214297783613,0.6643135601443552,0.26838782700806846,0.2911051056696507,0.21511562679435411,0.2228226323704163,0.6612595889733288,0.21661862423828795,1.901898119748362,0.27491166077738516,0.2823834196891192,0.564441442489624,0.34851365405694007,0.223798096580445,0.11389601892395189,0.0014117650326691987,2.041866943890909,0.015025662782527933,0.0012405369109048491,0.0013265587811529668
