round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_ece,fed_brier,fed_auprc_lift,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17217756568126208,0.028190476450650637,3.65056,3.65056,0.9971592150692714,0.26245713190742215,0.11379657603222558,0.6138447462140509,0.5093107285242515,0.39193846376881014,0.253806647692502,1.7234033290001634,0.18321863291986942,0.1951177831465076,0.6281769501810359,0.20300525075343065,1.7823735427396878,0.06876790830945559,0.26316520772544116,0.49060532450675964,0.37469011078399717,0.24094096237757523,0.11389601892395189,0.022862391646528635,2.452494574477896,0.01955441884092111,0.025089616289877683
2.0,0.1712580408824573,0.024885157795666354,7.30112,7.30112,0.9971592150692714,0.2821337563964631,0.11379657603222558,0.6455480473011788,0.5043334737044927,0.37967050105543415,0.24314386851579833,1.8759712191931257,0.22684116905745236,0.21174905484931691,0.6550720064951947,0.2166965273521871,1.9025821042689375,0.10015649452269171,0.27856394129979034,0.4854765236377716,0.36934767206971886,0.2365992857866024,0.11389601892395189,0.01578810554783451,1.7734816782176495,0.013657858325377071,0.017229659640019292
3.0,0.17025153105374466,0.03282290595787527,10.95168,10.95168,0.9971592150692714,0.2891435806611067,0.11379657603222558,0.6524920715948709,0.5180944025362697,0.3837438091890809,0.24546202775767686,1.9096522696573315,0.24467676015132442,0.2156509871924928,0.6623501112308106,0.2201872444827792,1.9332303847230843,0.18489002231431304,0.28250922509225096,0.49074965715408325,0.37090814925384863,0.23758746564462338,0.11389601892395189,0.011278602966816475,1.3444708129391074,0.01061754203061309,0.011737840183045582
4.0,0.1669774798195473,0.029855033381339435,14.60224,14.60224,0.9971592150692714,0.29326014013751595,0.11379657603222558,0.6606618361708335,0.5184263625995359,0.3783406554144495,0.24090415856875555,1.9598226931737193,0.260717375980962,0.22113525586534893,0.6651531065741106,0.22011102716666847,1.9325612014027997,0.224633749321758,0.2802080146833894,0.49161675572395325,0.36997059487097755,0.23670400869579308,0.11389601892395189,0.009783287486042534,1.229034551535733,0.009558157158059011,0.009945237984661315
5.0,0.16637000130396717,0.037204411090405634,18.2528,18.2528,0.9971592150692714,0.29527249200352074,0.11379657603222558,0.663741788328889,0.512476905793972,0.37338942147731363,0.23677684023370302,1.9690897204373998,0.26673396959051904,0.22251624244767904,0.6658367505072111,0.2136975509858814,1.8762512773037903,0.1656301145662848,0.28212751899570526,0.4930882155895233,0.3706481025733623,0.23733484057858953,0.11389601892395189,0.008115504821405635,1.0750974484253675,0.008050877344817015,0.008163985812473825
6.0,0.1666807826231935,0.0362124145541935,18.2528,18.2528,0.0,0.3075996777786836,0.11379657603222558,0.6767796210614905,0.5177828755739922,0.3758378304777459,0.2379187462754976,2.1370648826486494,0.2776988360886005,0.24050727629591256,0.6658367505072111,0.2136975509858814,1.8762512773037903,0.1656301145662848,0.28212751899570526,0.4930882155895233,0.3706481025733623,0.23733484057858953,0.11389601892395189,0.0,0.0,,
7.0,0.16088157491949984,0.03839272284282454,18.2528,18.2528,0.0,0.3215344199786022,0.11379657603222558,0.6870774393602134,0.52330523994559,0.3775581730715368,0.23820751779074506,2.3004857787375546,0.28266187974746765,0.25699009008787627,0.6658367505072111,0.2136975509858814,1.8762512773037903,0.1656301145662848,0.28212751899570526,0.4930882155895233,0.3706481025733623,0.23733484057858953,0.11389601892395189,0.0,0.0,,
8.0,0.15682746265007097,0.03901505141584129,18.2528,18.2528,0.0,0.3291401254202903,0.11379657603222558,0.6992896968271004,0.5272951068793688,0.3600453478551478,0.22431309348781237,2.4205632321766366,0.30456564310625583,0.27039225335924316,0.6658367505072111,0.2136975509858814,1.8762512773037903,0.1656301145662848,0.28212751899570526,0.4930882155895233,0.3706481025733623,0.23733484057858953,0.11389601892395189,0.0,0.0,,
9.0,0.16492751926773477,0.03868329131710571,21.90336,21.90336,0.9971592150692714,0.2931539614148064,0.11379657603222558,0.6647378433716638,0.5133374355947232,0.3754594423897257,0.23771888483488443,1.9936092140253736,0.2676194586252469,0.22576779536314218,0.6653582901100933,0.2173923935739254,1.908691766646188,0.1817604067365745,0.2802547770700637,0.49134284257888794,0.37230666816711566,0.23865321048195698,0.11389601892395189,0.00841984264008062,1.1716229288140312,0.007350640969979347,0.009253978109880618
10.0,0.16485558343963422,0.041151270897444546,21.90336,21.90336,0.0,0.3075437496983807,0.11379657603222558,0.6768365950281638,0.5243400279657628,0.38081192843098294,0.2413463615622789,2.149824524425794,0.28054936042880513,0.24205700162503105,0.6653582901100933,0.2173923935739254,1.908691766646188,0.1817604067365745,0.2802547770700637,0.49134284257888794,0.37230666816711566,0.23865321048195698,0.11389601892395189,0.0,0.0,,
