round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6871050282045492,0.10853995431163495,3.66096,3.66096,1.0,0.2075784041548179,0.22546594403916753,0.2866711808471875,0.49673221162581316,0.3569902645992368,0.11492950654582075,1.7997709585641006,0.6545421318324991,0.2705251960954122,0.6513588998126567,0.20821830747723868,1.8281438582701084,0.26455266138165345,0.26694668066736665,0.5029951333999634,0.3576420871800112,0.22563313039861768,0.11389601892395189,0.02509617885003709,2.7250399577606004,0.02184763101298268,0.027421927531490493,0.012620431225107023
2.0,0.6564739334892205,0.2492509752794963,7.32192,7.32192,1.0,0.21769602474693964,0.2206001454256875,0.2912259143759437,0.5096021253082897,0.34839847889397774,0.11492950654582075,1.8879160632494467,0.6629579064819143,0.27620148422443397,0.6579262914477645,0.2133769564243823,1.8734364768873406,0.26768078101941195,0.27192982456140347,0.5305406451225281,0.34912472006820927,0.22116770136388672,0.11389601892395189,0.015831653971630832,1.8434572686601314,0.01541579689876208,0.01621466074880146,0.005263042757785284
3.0,0.6507771198114496,0.3015609279006432,10.98288,10.98288,1.0,0.22219568594038905,0.21962336330401716,0.29603815183346915,0.5065565667858898,0.3467898991208408,0.11492950654582075,1.9249394088566842,0.666855860211694,0.2791433218818924,0.6604734536678509,0.21610231188097012,1.8973649291926624,0.2687265917602996,0.2743795875567983,0.5733985304832458,0.34736333412231085,0.22027757318589353,0.11389601892395189,0.010846106874484805,1.3438173560753057,0.01116312329087944,0.010682386900394521,0.004793385913473274
4.0,0.6486365872610178,0.290292376390947,14.64384,14.64384,1.0,0.2278240872129854,0.22915763875837483,0.30022964743860253,0.5442424082635243,0.36133881888098174,0.11492950654582075,1.974467960727193,0.6706487140277305,0.28077146447981693,0.6624658046264206,0.2182620862599262,1.9163276146259274,0.2702180216947696,0.27712749130022146,0.5617400407791138,0.36190238481838316,0.22994166514755773,0.11389601892395189,0.009239183514377547,1.207588692645004,0.009596863884133429,0.009023744098816204,0.0041889451009839915
5.0,0.6448023520564005,0.259630976705682,18.3048,18.3048,1.0,0.23235320905680562,0.22446225135788633,0.30137872467163696,0.5357724318612829,0.3550088845956827,0.11492950654582075,2.015010777907111,0.672725230079388,0.28343233736476003,0.6625978876060058,0.21871804171446835,1.920330875309223,0.273868478636416,0.27815092848676415,0.52325040102005,0.35547709639469965,0.2253857654272322,0.11389601892395189,0.008047692330621506,1.1102272056787115,0.00808538099375988,0.00804009670007211,0.005404488378921692
6.0,0.6449339152582487,0.260157860889113,21.96576,21.96576,1.0,0.23565576433790553,0.2266250604676854,0.3021335227650897,0.5464645610955305,0.3578466580766146,0.11492950654582075,2.04603105942454,0.6746006546599886,0.2822726228084924,0.6639120034451759,0.22022525876634869,1.933564147781079,0.2728857890148213,0.28230719377835384,0.5293461084365845,0.35816778480028666,0.22752315283584337,0.11389601892395189,0.007950281396486137,1.156116085978283,0.007649783958184259,0.008208091320344196,0.0047827881650212255
7.0,0.6452937186930741,0.3141764366491692,25.62672,25.62672,1.0,0.23905100643729751,0.2123512847453353,0.30578278443557455,0.5391292456642528,0.3360680239659632,0.11492950654582075,2.0780076970416554,0.6767977225098669,0.2893223747045856,0.6624741751107326,0.2194116050897637,1.9264203188371696,0.2758960463111221,0.2783043707214324,0.5132440328598022,0.3362318511897242,0.2136408469871686,0.11389601892395189,0.007667875280637194,1.1839236991818325,0.007432319295601174,0.00788244391829331,0.004265120802355993
8.0,0.6477706318602197,0.3926886614174202,29.28768,29.28768,1.0,0.2429742173075025,0.22380172982653118,0.30494900232093075,0.5371830194460722,0.35305328197282076,0.11492950654582075,2.113308443406246,0.6788228817352491,0.28671704819862953,0.6616334120418214,0.2184185188051964,1.9177010826957344,0.2711608873573121,0.2778436018957346,0.560307502746582,0.3529069385584543,0.22518290257439658,0.11389601892395189,0.00786956119794358,1.287666072958018,0.007219395730204504,0.008438897206969496,0.004190144817803394
9.0,0.6420097241531358,0.3499176304312291,32.94864,32.94864,1.0,0.24422537037247138,0.21401916545058963,0.304045664990953,0.5099756131745868,0.33963452960661833,0.11492950654582075,2.1226198336717963,0.6795130559003866,0.2932854173752494,0.6620968005473972,0.21910241946702083,1.9237056881971881,0.27183779323352586,0.2797975149562816,0.5498229265213013,0.3394962276505371,0.21535079471656776,0.11389601892395189,0.007878203955741434,1.3671636306953587,0.007085308625503577,0.008582375091106927,0.004710739025055068
10.0,0.6410185174120457,0.3571792622727247,36.6096,36.6096,1.0,0.2466923616252762,0.21350883352700567,0.3073062345337104,0.5195986630520731,0.3381923804667376,0.11492950654582075,2.1431446690479725,0.6821808903995791,0.29419898095553904,0.6621376364633658,0.22163470983298506,1.9459390409507644,0.2729591836734694,0.2796223958333333,0.5654536485671997,0.33795788109031033,0.2150835543552584,0.11389601892395189,0.0073794719645208185,1.3591280723449017,0.006088121108494099,0.008546356482014314,0.004151027520062255
11.0,0.6413436577879381,0.3809251567082016,40.27056,40.27056,1.0,0.2488871821693514,0.20575969354734747,0.31181345677451905,0.5152274965377074,0.3256030293319408,0.11492950654582075,2.1623342859550205,0.6842294596117675,0.2965214576799354,0.6615487157920142,0.22156696562305622,1.94534425097857,0.27456193353474323,0.28066491688538936,0.574138879776001,0.32506286470243206,0.20766309617411727,0.11389601892395189,0.007245875816987134,1.4155436206892773,0.0059199551455335585,0.008473827008968794,0.004044197919519763
12.0,0.6457819362634571,0.46452681167745447,43.93152,43.93152,1.0,0.24915524442274978,0.21462333304230458,0.3115581961495737,0.5504910493680358,0.33801229651979836,0.11492950654582075,2.1640714449807343,0.6856814707829206,0.2934529031506571,0.6616499522192174,0.22127112856362013,1.9427468198986162,0.27231988969320925,0.281302711820423,0.5297995805740356,0.337792824672743,0.2170620616726675,0.11389601892395189,0.007177305833421589,1.4854493190068752,0.006090858709276274,0.00820434810822604,0.004790093543428088
13.0,0.640609291714741,0.4875268160457775,47.59248,47.59248,1.0,0.2533082056867075,0.20830666397711062,0.3177994368179698,0.5196666415135516,0.3298306589344027,0.11492950654582075,2.200915698615705,0.6891872303303981,0.2926558954275892,0.6612110978917974,0.22085748203696015,1.9391150289846935,0.270963349597186,0.27856025039123633,0.5744065642356873,0.32946666899214117,0.21076141986932748,0.11389601892395189,0.006389324898168012,1.4026221481071843,0.005253777864240152,0.0074728263280330635,0.005294330611874924
14.0,0.642518719763641,0.4767326964797305,51.25344,51.25344,1.0,0.2578509636266844,0.211868003106899,0.31560693624461245,0.527546321217267,0.3366815080900919,0.11492950654582075,2.241281825137684,0.6913048005037569,0.29120415811021,0.6608495481871086,0.2209374690959723,1.9398173104144383,0.2732045124539261,0.28043098427489804,0.5426545143127441,0.3360399474057568,0.21428055509684057,0.11389601892395189,0.006804738472231548,1.5765995992496755,0.004976032623102899,0.00859332137723584,0.00414135649972235
15.0,0.6416418453882713,0.5055177960896804,54.9144,54.9144,1.0,0.2595732642777066,0.21777432841148722,0.3212479695225941,0.566971318679979,0.3445329575969163,0.11492950654582075,2.251341727151664,0.6936552927906233,0.2899403392123423,0.6610212497858436,0.221614016989473,1.945757359064887,0.27182643162616044,0.2809710258418167,0.571862518787384,0.34365426049868636,0.22049994524798805,0.11389601892395189,0.007292047350046843,1.7870949276421015,0.004780925378722108,0.009788587465148307,0.003797943142523681
