round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6884441362799628,0.09437119619216665,3.65056,3.65056,0.9971592150692714,0.3851666249573518,0.24829430577310174,0.264887829695238,0.11437023981871967,1.5988258064166347,0.6022056210560887,0.1918986625759052,0.18303468990660893,0.5064073833287259,0.5276787695754506,0.14363170510821963,1.2610774851061493,0.2045002711006687,0.20485307870256433,0.5308036208152771,0.4199112833875182,0.277164250065776,0.11389601892395189,0.027249799818026787,2.9091876996681094,0.022773011524676173,0.030247344169612195
2.0,0.6823386643127244,0.10093466382438827,7.30112,7.30112,0.9971592150692714,0.3653294878597413,0.23259929126204515,0.29229358790463816,0.11437023981871967,1.9060194078389514,0.6500251754344358,0.241555259769363,0.21634786102067016,0.5151381889891501,0.6554595837627964,0.2109147926421545,1.8518188312006045,0.21285024154589371,0.2722117202268431,0.5332481861114502,0.4101423452944321,0.2676674158872265,0.11389601892395189,0.020125899183279363,2.275297123938799,0.015993325383039693,0.0229082925478141
3.0,0.6682034962964605,0.18766044719164476,10.95168,10.95168,0.9971592150692714,0.36697647330717725,0.2331533826197741,0.2959098493607105,0.11437023981871967,1.9704994904451028,0.6566717252083687,0.26092108655142177,0.22379949233014648,0.525068271097846,0.6545315267075676,0.20954759828229963,1.8398149493022586,0.21137667304015295,0.26613294517224645,0.533760130405426,0.41205360342226444,0.2693246479894012,0.11389601892395189,0.014551318723579695,1.7737789226230234,0.01263725208723563,0.01586282921619443
4.0,0.6600016699480024,0.18755333998466003,14.60224,14.60224,0.9971592150692714,0.34316275172981836,0.2180839326546889,0.29972577339074924,0.11437023981871967,2.0152166517785717,0.6581025705921142,0.273318375656266,0.22835748805863182,0.5419463069756935,0.6550005750158788,0.20175593007123774,1.7714045844389847,0.22061258278145696,0.2700661000944287,0.534615159034729,0.4076648194261668,0.26567668381241133,0.11389601892395189,0.011715947463948797,1.5230781938880682,0.01037623049937491,0.012668604023113272
5.0,0.6509950639809847,0.26561126770962434,18.2528,18.2528,0.9971592150692714,0.34295225516454064,0.21651417101844364,0.3084255235066843,0.11437023981871967,2.0749374895259978,0.662080780174407,0.27966082945865445,0.2330915775565088,0.5333306897262077,0.6517749894346166,0.1993157997198283,1.7499803909117402,0.21474722564734894,0.26334269662921345,0.5346716642379761,0.4096943604786543,0.2674629634022458,0.11389601892395189,0.010082537739018004,1.3960145881865174,0.009659922941820834,0.010393582830723428
6.0,0.6503526645093505,0.27871778303626227,18.2528,18.2528,0.0,0.3193296115664184,0.2042448432446268,0.3185984837452786,0.11437023981871967,2.2300440846289824,0.6755627280221009,0.28896765128730256,0.248871058137518,0.5531741620374458,0.6517749894346166,0.1993157997198283,1.7499803909117402,0.21474722564734894,0.26334269662921345,0.5346716642379761,0.4096943604786543,0.2674629634022458,0.11389601892395189,0.0,0.0,,
7.0,0.6269305723506007,0.38082923809674335,18.2528,18.2528,0.0,0.3616944175487221,0.23077640148197148,0.32418048132984767,0.11437023981871967,2.3088157048791436,0.685726987283964,0.28472112989892934,0.2586792675347706,0.5706329486413907,0.6517749894346166,0.1993157997198283,1.7499803909117402,0.21474722564734894,0.26334269662921345,0.5346716642379761,0.4096943604786543,0.2674629634022458,0.11389601892395189,0.0,0.0,,
8.0,0.616548474614058,0.5187245490862653,18.2528,18.2528,0.0,0.3092745728726275,0.1979565120457732,0.32836904970992503,0.11437023981871967,2.4322137254661116,0.6950054902281729,0.29882406505035647,0.272247646683693,0.5478575657123419,0.6517749894346166,0.1993157997198283,1.7499803909117402,0.21474722564734894,0.26334269662921345,0.5346716642379761,0.4096943604786543,0.2674629634022458,0.11389601892395189,0.0,0.0,,
9.0,0.6480675611472587,0.2937843334203989,21.90336,21.90336,0.9971592150692714,0.3600186620855178,0.22751317730044265,0.3091850100102556,0.11437023981871967,2.1193620538151485,0.6658115282296903,0.27471477948284223,0.23795065425172002,0.5354877439106943,0.6544895864398454,0.20418338666336147,1.79271750314376,0.21643386190783914,0.2685169124024284,0.5370184183120728,0.4104602689654605,0.26804407621021625,0.11389601892395189,0.00904369883866409,1.3189598652534187,0.0076800346363087215,0.010088591594235974
10.0,0.6459737941100336,0.26479802704625033,21.90336,21.90336,0.0,0.35028255917471895,0.22083414366108292,0.32066481997846835,0.11437023981871967,2.2545429149606364,0.6797463997554322,0.28501797881994156,0.25334140391319515,0.5701700209381971,0.6544895864398454,0.20418338666336147,1.79271750314376,0.21643386190783914,0.2685169124024284,0.5370184183120728,0.4104602689654605,0.26804407621021625,0.11389601892395189,0.0,0.0,,
11.0,0.6279311714149541,0.3328712768952842,21.90336,21.90336,0.0,0.35601506017178036,0.22800733709370408,0.32784602048427175,0.11437023981871967,2.312380966968037,0.6877099380110231,0.2946792064359822,0.25968738209852177,0.5767118421999256,0.6544895864398454,0.20418338666336147,1.79271750314376,0.21643386190783914,0.2685169124024284,0.5370184183120728,0.4104602689654605,0.26804407621021625,0.11389601892395189,0.0,0.0,,
12.0,0.60742259614776,0.4138007886258916,21.90336,21.90336,0.0,0.34252687576804597,0.21650819751834785,0.3330607151530899,0.11437023981871967,2.4466310818991266,0.6996322456520832,0.30487740714480893,0.27432967024399824,0.5711833156249951,0.6544895864398454,0.20418338666336147,1.79271750314376,0.21643386190783914,0.2685169124024284,0.5370184183120728,0.4104602689654605,0.26804407621021625,0.11389601892395189,0.0,0.0,,
13.0,0.6414114745788714,0.2980848278037927,25.55392,25.55392,0.9971592150692714,0.35005466106303834,0.22164529903942476,0.3079715241005121,0.11437023981871967,2.1295407575681664,0.6663834942492889,0.2776776373310872,0.24059915285942274,0.5546030253631514,0.6557612474837722,0.20272382336700268,1.7799026276972938,0.21904908132453044,0.26906405522555793,0.5383424162864685,0.4092643306958992,0.2669048680437588,0.11389601892395189,0.008290690737502571,1.279233073350042,0.006537970246900933,0.009660886879813684
14.0,0.6404386131941948,0.3497770718416675,25.55392,25.55392,0.0,0.308603374009502,0.19835114054141129,0.3183445475419455,0.11437023981871967,2.2514024561368444,0.6781372370453171,0.28945367498838853,0.2531814432774733,0.5476351843375035,0.6557612474837722,0.20272382336700268,1.7799026276972938,0.21904908132453044,0.26906405522555793,0.5383424162864685,0.4092643306958992,0.2669048680437588,0.11389601892395189,0.0,0.0,,
15.0,0.6226376092142742,0.427167114994058,25.55392,25.55392,0.0,0.3478329265756902,0.22127006912417493,0.32745675375875677,0.11437023981871967,2.3972110227128964,0.6927185636794481,0.29198060068699777,0.26874888137597425,0.5767907483402743,0.6557612474837722,0.20272382336700268,1.7799026276972938,0.21904908132453044,0.26906405522555793,0.5383424162864685,0.4092643306958992,0.2669048680437588,0.11389601892395189,0.0,0.0,,
16.0,0.6021815711006535,0.48005328051844315,25.55392,25.55392,0.0,0.3268233595610925,0.20827461468151173,0.34055966073751504,0.11437023981871967,2.4775777227714024,0.7002814054634033,0.3046237716641247,0.27772397340080257,0.5788487231029079,0.6557612474837722,0.20272382336700268,1.7799026276972938,0.21904908132453044,0.26906405522555793,0.5383424162864685,0.4092643306958992,0.2669048680437588,0.11389601892395189,0.0,0.0,,
17.0,0.643784553801192,0.4074417954877941,29.20448,29.20448,0.9971592150692714,0.33380942047205064,0.21183019918024093,0.31075028561351314,0.11437023981871967,2.1622871296061366,0.669007791285145,0.2825312470677899,0.2441313628042642,0.5531888512057744,0.6554712673023683,0.2009973441290839,1.7647442467966274,0.22448651257574945,0.27214060140052176,0.5364787578582764,0.40635813241624363,0.264463070540595,0.11389601892395189,0.008325144214982597,1.362322999164462,0.006516092388981203,0.009763005757109939
18.0,0.635768912625673,0.4234119190111361,29.20448,29.20448,0.0,0.34008513428090253,0.21437131093083325,0.3223427394032597,0.11437023981871967,2.30380649075244,0.6807961085961208,0.29434215909253286,0.25909723647533117,0.5467179773110772,0.6554712673023683,0.2009973441290839,1.7647442467966274,0.22448651257574945,0.27214060140052176,0.5364787578582764,0.40635813241624363,0.264463070540595,0.11389601892395189,0.0,0.0,,
19.0,0.6212679984939742,0.5246852285357815,29.20448,29.20448,0.0,0.330529859446809,0.2099420110652475,0.32899989271774704,0.11437023981871967,2.436634190381559,0.6921458133834513,0.29439899433670375,0.27282604439686897,0.5741784288365912,0.6554712673023683,0.2009973441290839,1.7647442467966274,0.22448651257574945,0.27214060140052176,0.5364787578582764,0.40635813241624363,0.264463070540595,0.11389601892395189,0.0,0.0,,
20.0,0.6041847486088578,0.5619006112049562,29.20448,29.20448,0.0,0.30864769059731706,0.19691514145221378,0.3415684293310302,0.11437023981871967,2.6047784075591123,0.7037229553806449,0.30739258730340446,0.2911286993436418,0.5671929424049315,0.6554712673023683,0.2009973441290839,1.7647442467966274,0.22448651257574945,0.27214060140052176,0.5364787578582764,0.40635813241624363,0.264463070540595,0.11389601892395189,0.0,0.0,,
21.0,0.6412028050908388,0.4580003422311189,32.85504,32.85504,0.9971592150692714,0.3211153067834593,0.20273743631530367,0.3135262569263739,0.11437023981871967,2.1928494512897925,0.670747311925963,0.2870672223777312,0.24773529320188242,0.5422929989377658,0.6544592042171781,0.20100567756148216,1.764817413817538,0.22865461060410952,0.270368812228299,0.5331181883811951,0.4021723601678171,0.2609956613839559,0.11389601892395189,0.008191385209357924,1.417535034706816,0.006071480494654224,0.009904474896853721
22.0,0.6384668430027641,0.4599256221750633,32.85504,32.85504,0.0,0.3339495136989174,0.21062479791924893,0.32027554894168303,0.11437023981871967,2.3425989457205,0.6834998612978881,0.29191561338050626,0.2632883579843771,0.5595500915482862,0.6544592042171781,0.20100567756148216,1.764817413817538,0.22865461060410952,0.270368812228299,0.5331181883811951,0.4021723601678171,0.2609956613839559,0.11389601892395189,0.0,0.0,,
23.0,0.6195594285519326,0.47041551380702007,32.85504,32.85504,0.0,0.3286402985926565,0.20612820258994063,0.33509282137280755,0.11437023981871967,2.494791295691183,0.6959809458545729,0.29841470600977166,0.27946087954806836,0.5589571504061039,0.6544592042171781,0.20100567756148216,1.764817413817538,0.22865461060410952,0.270368812228299,0.5331181883811951,0.4021723601678171,0.2609956613839559,0.11389601892395189,0.0,0.0,,
24.0,0.6044492181725143,0.6123652568414736,32.85504,32.85504,0.0,0.31407670758127865,0.19965761597399675,0.3444319206452626,0.11437023981871967,2.6389626053009527,0.7095060792158217,0.31172715216008634,0.29503064522036987,0.561329614328619,0.6544592042171781,0.20100567756148216,1.764817413817538,0.22865461060410952,0.270368812228299,0.5331181883811951,0.4021723601678171,0.2609956613839559,0.11389601892395189,0.0,0.0,,
25.0,0.636885179013744,0.4696681640268019,36.5056,36.5056,0.9971592150692714,0.3369726547789054,0.21201879510859598,0.31402302905704554,0.11437023981871967,2.2292316815896336,0.6730503123053804,0.2899457121747535,0.2521575259626213,0.5243682328668121,0.6572530259112546,0.20683257551800033,1.8159772173960003,0.21965437193706475,0.27297169065317095,0.5365986824035645,0.4079548758543445,0.26569001762228833,0.11389601892395189,0.007351303836182042,1.347668926580809,0.0056871278869660945,0.0087175003982414
26.0,0.6375745032631224,0.48778140134305603,36.5056,36.5056,0.0,0.31972537201704326,0.20197471421458996,0.32388940244087727,0.11437023981871967,2.363686918568133,0.6849272141206604,0.2943877002926939,0.26590990545873167,0.5479709605082035,0.6572530259112546,0.20683257551800033,1.8159772173960003,0.21965437193706475,0.27297169065317095,0.5365986824035645,0.4079548758543445,0.26569001762228833,0.11389601892395189,0.0,0.0,,
27.0,0.6179298497190964,0.5103213021105983,36.5056,36.5056,0.0,0.3298626907231137,0.20666315696694817,0.3366448506678167,0.11437023981871967,2.5465968174185742,0.6979157115650781,0.2993284173609069,0.2855761985869493,0.5487444680989588,0.6572530259112546,0.20683257551800033,1.8159772173960003,0.21965437193706475,0.27297169065317095,0.5365986824035645,0.4079548758543445,0.26569001762228833,0.11389601892395189,0.0,0.0,,
28.0,0.5969982371762235,0.6028294411601786,36.5056,36.5056,0.0,0.3155527392912534,0.197977322391572,0.3492996665823919,0.11437023981871967,2.716606047532276,0.7122743463915149,0.31701172560549634,0.303036975170137,0.5499609103885343,0.6572530259112546,0.20683257551800033,1.8159772173960003,0.21965437193706475,0.27297169065317095,0.5365986824035645,0.4079548758543445,0.26569001762228833,0.11389601892395189,0.0,0.0,,
29.0,0.6393794961681036,0.5183393624348666,40.15616,40.15616,0.9971592150692714,0.33545361773842575,0.21203612094492502,0.31287107057799596,0.11437023981871967,2.2519604162886466,0.6745647543872029,0.28665593063694694,0.25473530202214917,0.5552619287093813,0.6587235204685825,0.20751064015609905,1.8219305829701864,0.22129086336965634,0.27528517110266154,0.5373387336730957,0.4076217838556791,0.265345212636272,0.11389601892395189,0.007200525507862367,1.394847495132126,0.005338468726263213,0.008760766368886855
30.0,0.6350775429775645,0.5650863738108104,40.15616,40.15616,0.0,0.3301086516973129,0.20953688264451334,0.32809841623527386,0.11437023981871967,2.4293777912980308,0.689003808107113,0.29635060770465493,0.2731779057827677,0.596728354004006,0.6587235204685825,0.20751064015609905,1.8219305829701864,0.22129086336965634,0.27528517110266154,0.5373387336730957,0.4076217838556791,0.265345212636272,0.11389601892395189,0.0,0.0,,
31.0,0.613607183596456,0.553849315672741,40.15616,40.15616,0.0,0.32764931560453014,0.20686227155140738,0.34128867523922485,0.11437023981871967,2.5838770937067794,0.7009684758378758,0.3052049243916352,0.2889149684744121,0.5762974538189005,0.6587235204685825,0.20751064015609905,1.8219305829701864,0.22129086336965634,0.27528517110266154,0.5373387336730957,0.4076217838556791,0.265345212636272,0.11389601892395189,0.0,0.0,,
32.0,0.5954361468965934,0.712896096986072,40.15616,40.15616,0.0,0.3240251702594981,0.20363682810905437,0.35121510590730737,0.11437023981871967,2.7039136545302793,0.7126778445570487,0.312072166930044,0.3020375452254979,0.5824046860338045,0.6587235204685825,0.20751064015609905,1.8219305829701864,0.22129086336965634,0.27528517110266154,0.5373387336730957,0.4076217838556791,0.265345212636272,0.11389601892395189,0.0,0.0,,
