round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc,fed_ece,fed_auroc,fed_f1_best,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6886183145124931,0.11798935537702386,3.66096,3.66096,1.0,0.22987191991165962,0.21225959972956615,0.36416257522961326,0.6534887687415412,0.2846743928676921,0.11410409717414567,0.2683051550743789,0.4993333708734283,1.850958766029263,0.6553212637056955,0.20817965903788527,1.8278045273635626,0.27458823529411763,0.2786539177946107,0.5041218996047974,0.3641011442396072,0.22988232600304356,0.11389601892395189,0.025055049173894863,2.7255690237598174,0.022453460717716315,0.026919821939703735,0.010605517821164496
2.0,0.6557907650614956,0.2515911576980781,7.32192,7.32192,1.0,0.22021147976045133,0.21867214399896018,0.34903103375203803,0.6598277138572223,0.2899168706103876,0.11410409717414567,0.27475342668620406,0.5275611001846962,1.910792407726285,0.6608320542513803,0.21598202006281356,1.896308774471075,0.2799575821845175,0.2835691596881317,0.5303183197975159,0.3488747471846657,0.22023063088171826,0.11389601892395189,0.016868605488021722,1.9656681414271588,0.017465668056873974,0.01657940130041504,0.005949425665382544
3.0,0.6438879497543486,0.32829973015759023,10.98288,10.98288,1.0,0.22586390834074557,0.22351222261249454,0.35577230902917517,0.6621953260831518,0.29080264907010056,0.11410409717414567,0.27220465314406866,0.5464018891862149,1.9618662382584897,0.6620825192713145,0.22071098507140435,1.9378287946901163,0.2724795640326976,0.2843601895734597,0.5407923460006714,0.3551529838054708,0.22568288523796365,0.11389601892395189,0.011341433873424196,1.416048223087273,0.012119831598396713,0.010871752673102775,0.0044634432523957225
4.0,0.6441826937621686,0.43653524406791344,14.64384,14.64384,1.0,0.22762711970649518,0.22558755664277866,0.3581213908495901,0.6656688990348832,0.2981854306614418,0.11410409717414567,0.2716504256253863,0.5441128401753587,1.9791913103386596,0.6617530459652785,0.22125257869189807,1.9425839531724802,0.2695730426957304,0.2855959121668278,0.5456160306930542,0.3575727217909231,0.2277254995049102,0.11389601892395189,0.010217505618860123,1.3527503381792485,0.011048719262377982,0.009673089937485538,0.004234286402693156
5.0,0.6459697220383058,0.41116492419419204,18.3048,18.3048,1.0,0.20256317426920054,0.2276581414814242,0.31830703025413315,0.6670162510645653,0.29648909238869675,0.11410409717414567,0.2801554475822617,0.4959430470420248,1.9955601757029453,0.6632917844411798,0.22222516507457818,1.9511232014435678,0.282338152105594,0.2865554465161923,0.5208901166915894,0.3175355500228374,0.20281717686916534,0.11389601892395189,0.009014120184484706,1.2678648243381758,0.009062979059524315,0.009009227353107004,0.005026840069974206
6.0,0.6427705159762149,0.4155329790141214,21.96576,21.96576,1.0,0.21092953426444314,0.23056611226054036,0.3350837283857265,0.6686082366847029,0.2997834771637028,0.11410409717414567,0.2821990999091369,0.5189213990354878,2.022883573518039,0.6629815745435677,0.2225141948950092,1.9536608653861856,0.28136496257769883,0.2849655172413793,0.5127790570259094,0.3344653269748598,0.21129809413685588,0.11389601892395189,0.008391611206706617,1.2490478012095991,0.007963102453840076,0.008756732603816117,0.004837389496236108
7.0,0.6438315637359681,0.3624236857639942,25.62672,25.62672,1.0,0.2260073590314615,0.23262804183528754,0.3556372196155615,0.6710415309924721,0.3019940046426993,0.11410409717414567,0.27534517500650574,0.5494421631879944,2.0409885363463114,0.6641340659937517,0.22392836634790386,1.966077203255193,0.2728133880644143,0.28477815699658704,0.5477825999259949,0.35491557166860055,0.22640381552596647,0.11389601892395189,0.008533817636391635,1.3495459256828326,0.007381357374288414,0.009514576702455261,0.004909990088769425
8.0,0.6386158410585362,0.3703883221951175,29.28768,29.28768,1.0,0.21300449624866136,0.23564972553820934,0.3380792828023423,0.6723580507363321,0.3015991850899077,0.11410409717414567,0.28265245002250383,0.5231704198640381,2.0670160312045427,0.6635925822499851,0.22327919356909917,1.9603775064182198,0.2742923165800116,0.28525077734216575,0.522161066532135,0.3374738873207694,0.21367238505303046,0.11389601892395189,0.008173281788861947,1.3812410398932116,0.007160203645147586,0.00906786536255891,0.004669479751980137
9.0,0.6424660731355142,0.4558271226912847,32.94864,32.94864,1.0,0.2152964790496333,0.23960918077877388,0.34175049806978147,0.6750473145649062,0.30339151006831877,0.11410409717414567,0.283534321388941,0.5220737332731733,2.10527740942374,0.6632806154291292,0.22381935981778395,1.9651201326644052,0.2763853759484939,0.2836192990174513,0.5379461646080017,0.34132274255217265,0.21629770825778113,0.11389601892395189,0.007814894823379551,1.4078867035095755,0.006507944803445788,0.008994245529194301,0.0050989679151242865
10.0,0.6402760700388571,0.5373676048318533,36.6096,36.6096,1.0,0.22220135895324142,0.24262234456070184,0.35351937616686974,0.6772328192602164,0.30473628098263933,0.11410409717414567,0.2822176869954971,0.5518498882877346,2.1266661610701836,0.6635376783986137,0.22398557686345796,1.966579508042442,0.2718212682072062,0.28704678802467276,0.5465025305747986,0.3532551234722366,0.22337477651373422,0.11389601892395189,0.008368639460942176,1.6064920378798888,0.0065733921945294585,0.010041427219122184,0.0047373034611969235
