round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_prevalence,fed_auprc,fed_auroc,fed_ece,fed_brier,fed_f1_best,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6885844976604092,0.0918359545785805,7.32192,3.66096,1.0,0.26964764782280776,0.5014380204459951,0.11085930122757318,0.21267321345989182,0.6658500322368471,0.3679319471580486,0.23013693728266177,0.2905148675653139,1.9340073040393444,0.6616332990967558,0.21139441567304967,1.8560298917400901,0.27150347173019695,0.27438480173403035,0.4941372275352478,0.3652808175763628,0.2306721638509155,0.11389601892395189,0.0247943135033363,2.689306126624615,0.0219216079553797,0.026854333842063267,0.009149362304918163
2.0,0.6651194789400765,0.1698277260369619,14.64384,7.32192,1.0,0.27185381220529775,0.5633519652413617,0.11085930122757318,0.2186805671814131,0.6731970040533568,0.3740836118766261,0.23487844502263436,0.30020810571517587,1.9894067268063604,0.6652089516343628,0.21605127164668284,1.896916799093213,0.27217548716856566,0.2817122660034036,0.5310086011886597,0.37179073847211946,0.23588505073249824,0.11389601892395189,0.017267096855311352,2.0049709513336893,0.01664647604251012,0.017800908074676276,0.005140104200264562
3.0,0.64862659452761,0.3014513083288173,21.96576,10.98288,1.0,0.27205152508974184,0.5652498611365995,0.11085930122757318,0.22029650960294986,0.6748661059124748,0.34840383165224864,0.21946421398159802,0.3004758226894314,2.0044688247146656,0.6682706915736807,0.2203353620958118,1.934530848202247,0.2759833003735443,0.28207964601769914,0.5502438545227051,0.3466205506012421,0.22086312646573614,0.11389601892395189,0.01193588327487954,1.4804911024348257,0.012542631339399852,0.01160113211461155,0.00451652533591489
4.0,0.6489796936356121,0.3948935439153997,29.28768,14.64384,1.0,0.2759370393313168,0.5735167127530606,0.11085930122757318,0.22247729103355457,0.6767921211896061,0.35815828924926535,0.22475435532929486,0.29910797020017493,2.0277426245445476,0.6688756127960033,0.22187849764805273,1.9480794828851788,0.276786703601108,0.2833622183708839,0.5501060485839844,0.3560968961618622,0.22584332199552165,0.11389601892395189,0.010023048047831204,1.3144881120724676,0.01032566686408813,0.009861659831163574,0.00453182945066456
5.0,0.6455173489357006,0.3092031376727039,36.6096,18.3048,1.0,0.2776118607853569,0.5454534627410426,0.11085930122757318,0.2242894241697015,0.6783131095884171,0.35076255194038425,0.22016510431670921,0.30048924243495495,2.0418225205104505,0.6690320793603233,0.22218716953259957,1.9507896029355813,0.2759656652360515,0.2808655070004243,0.550581157207489,0.3488692059041246,0.2216486790725958,0.11389601892395189,0.00928763010416366,1.2836431159857966,0.00897659769769157,0.009559187425858852,0.003899630689506018
6.0,0.6463287491773297,0.39120801171693204,43.93152,21.96576,1.0,0.28205891393883026,0.5379654083399792,0.11085930122757318,0.22410724999613738,0.6786209574668751,0.3510810221164602,0.22052103648029708,0.3027369366554579,2.039547953170324,0.6693848068004375,0.22265808020029632,1.9549241694651733,0.2786774628879892,0.2796027501909855,0.49401378631591797,0.34904389660937646,0.22187165818400914,0.11389601892395189,0.008428239005193903,1.231173340946043,0.007950201921075314,0.008819314762716602,0.004316598948760063
7.0,0.6442238963440816,0.32986513815776397,51.25344,25.62672,1.0,0.2868165151014774,0.5138144496836526,0.11085930122757318,0.22600210133477597,0.6799603665666765,0.3426740428599914,0.2130762099395327,0.3013826286026406,2.0559554888526437,0.6702371655627583,0.2234454567946218,1.9618372872524703,0.27918020494876283,0.2819043162943034,0.488495409488678,0.34034725501769625,0.21427522836797291,0.11389601892395189,0.007622582861514041,1.1737464454472502,0.007668565747873978,0.0076109377209819425,0.004341685662970501
8.0,0.6454342869229032,0.32622595845774577,58.57536,29.28768,1.0,0.2849070634696785,0.5462408344813926,0.11085930122757318,0.2295380185690733,0.6820812605569405,0.3431711161018431,0.21439476654498985,0.30116875196151016,2.0875309032801184,0.669405074165001,0.2221383215724949,1.9503607208678309,0.2765802857834827,0.2816370490037695,0.5210559368133545,0.34075691471435726,0.2159256532411325,0.11389601892395189,0.008150257130679704,1.3245638319385762,0.007160751524692369,0.00898154778464124,0.00458724758207556
9.0,0.6427039432462249,0.43008929332359036,65.89728,32.94864,1.0,0.2854259275900314,0.5492225833891471,0.11085930122757318,0.2307822370777086,0.6832595987813859,0.33773811244912066,0.21198118192328644,0.3044101188017677,2.0990585100922705,0.6705797781447684,0.22248892673906956,1.9534390125402443,0.281859410430839,0.28280773143438453,0.4995659291744232,0.3357021632531226,0.2138537713089961,0.11389601892395189,0.008634450307906053,1.488522634963374,0.007066585794068161,0.009973765592128954,0.004808225671317583
10.0,0.642415990529554,0.4141792447886078,73.2192,36.6096,1.0,0.28296712058224377,0.5589779989783931,0.11085930122757318,0.23266049052821614,0.6857389807431796,0.34860380244191286,0.21825870564839295,0.30589591027252583,2.1160386093236143,0.6688132294713935,0.2215366980433847,1.9450785035015512,0.27867775831873903,0.28089364673027695,0.5113640427589417,0.3466194598795909,0.2204202635335432,0.11389601892395189,0.007739919279664133,1.422704119595437,0.006269094389701036,0.009013654567475165,0.005156440912604786
