round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6894306976069966,0.11450928297654228,3.65056,3.65056,0.9971592150692714,0.19419166794565076,1.7194717577676066,0.38142696823193234,0.24510721045838818,0.6187451020326667,0.11398539778449146,0.2744397678837774,0.24375539383802847,0.5127274837037258,0.3706581720599107,0.08518853005052512,0.7479500236738328,0.14445964432284542,0.2045002711006687,0.4690868854522705,0.38684875894381204,0.25102090891783296,0.11389601892395189,0.027805584222588837,2.9831997165456414,0.02347605099589379,0.030665185232640845
2.0,0.6822780439922576,0.1315797908634387,5.632,5.632,0.5412350858791136,0.226595191165601,2.0387937322963716,0.372511098811296,0.23730086294884825,0.6654952143955688,0.11398539778449146,0.30494774092193905,0.25391834929451984,0.5390031613589594,0.3446482034782161,0.08153032543015026,0.7158312134209702,0.15085465182975794,0.2045002711006687,0.42463305592536926,0.3915660147566375,0.25508426977835796,0.11389601892395189,0.019548284942623683,1.335509542375803,,0.019548284942623683
3.0,0.6727656356992903,0.19047688278261282,7.61344,7.61344,0.5412350858791136,0.2412039558212172,2.175447453580205,0.37944736859075584,0.2411042249321507,0.6820302152140635,0.11398539778449146,0.31356003751318995,0.27102688897610205,0.5694284722591635,0.3412252401199547,0.08110223020438687,0.712072563822785,0.14871470469837253,0.2045002711006687,0.3671632707118988,0.39046832119352387,0.2551131339453518,0.11389601892395189,0.014254418090948733,1.029904751572758,,0.014254418090948733
4.0,0.662056670321293,0.2457266666684407,9.59488,9.59488,0.5412350858791136,0.2507181913331591,2.2606720796981197,0.35808334511602513,0.22434373209633796,0.689898359505071,0.11398539778449146,0.32079708118583244,0.28906496204743065,0.5478249002484397,0.34868361772984535,0.08243166117663159,0.7237448855141374,0.13963963963963963,0.2045002711006687,0.314029723405838,0.3860922385425439,0.2518567147748893,0.11389601892395189,0.011195640203895827,0.8538889028131962,,0.011195640203895827
5.0,0.6647509664077504,0.22067794211537387,11.264,11.264,0.4559241291901578,0.22691277833426643,2.0209179222904288,0.3308465385552559,0.20846979470540355,0.667880245740306,0.11398539778449146,0.2966413949339465,0.28002937025087404,0.5390885738976681,0.34033440473859267,0.08120644075397118,0.7129875260011725,0.13885549410916084,0.2045002711006687,0.3028070628643036,0.3865902302843424,0.2522353879502766,0.11389601892395189,0.01682642175025978,0.7660440625622869,0.01682642175025978,
6.0,0.6595096749262843,0.30016830481179585,13.24544,13.24544,0.5412350858791136,0.2416600532762766,2.159483012576419,0.3519477236805876,0.22121719788494362,0.6815649731143237,0.11398539778449146,0.3103487953388985,0.2866011412814882,0.5527691489305021,0.3493371304293132,0.0828730162194731,0.7276199554859527,0.13773155271093607,0.2045002711006687,0.28052401542663574,0.3840781563727123,0.2502136557130626,0.11389601892395189,0.009605037088966569,0.7633213796652853,,0.009605037088966569
7.0,0.6428613423846321,0.3355989561282382,15.22688,15.22688,0.5412350858791136,0.254746250930666,2.2856613092063083,0.34675079591343433,0.21681333363682498,0.6905924515939426,0.11398539778449146,0.3196551040152131,0.29859467618396973,0.5304944853017938,0.3738728019698021,0.09034231933749134,0.7931999747753493,0.11602544683429264,0.2045002711006687,0.25109976530075073,0.3785400607081447,0.24578015937048192,0.11389601892395189,0.008365002384072341,0.6944120351690799,,0.008365002384072341
8.0,0.6309840570858267,0.4041942663041862,17.20832,17.20832,0.5412350858791136,0.26418764060269834,2.3782351558127433,0.323122811414609,0.20149417452476104,0.7010357215758386,0.11398539778449146,0.33129858350037833,0.3124092274008591,0.561409423088379,0.3749931291751712,0.08950518294287323,0.7858499690198621,0.11199500857900484,0.2045002711006687,0.23079566657543182,0.37782891012037867,0.24530852410812395,0.11389601892395189,0.009481329530391614,0.8171235814224929,,0.009481329530391614
9.0,0.6172159512431065,0.5238923074981207,19.18976,19.18976,0.5412350858791136,0.27789129636452653,2.5136288552629615,0.3338998927017777,0.20918232016654664,0.7121015081200304,0.11398539778449146,0.347201401947409,0.31097376420711176,0.5662438608912334,0.3391147360732334,0.08131763695286454,0.7139638217483276,0.12454812086487961,0.2045002711006687,0.21188677847385406,0.37965816731265506,0.24796070161602013,0.11389601892395189,0.009953689601561096,0.9009489434538409,,0.009953689601561096
10.0,0.6498688089283082,0.4804301943203841,22.84032,22.84032,0.9971592150692714,0.2351178357391667,2.0915004830014334,0.33518509707795335,0.2112176474444032,0.6705703564102409,0.11398539778449146,0.3027837338524963,0.2824802570823655,0.5470105714885911,0.35321804838054593,0.08543110253985124,0.7500797951234222,0.09653356735410268,0.2045002711006687,0.2657960057258606,0.37788499033716877,0.24550932747638568,0.11389601892395189,0.010616872154597942,1.529306782525964,0.014272068200418932,0.00870965036126491
11.0,0.6457096018685734,0.38567705844630296,24.82176,24.82176,0.5412350858791136,0.2533481961658627,2.272869954165777,0.35780379309460586,0.22542119510153485,0.6857524018532328,0.11398539778449146,0.3138488920954442,0.28610264594359325,0.560448622867495,0.34405797766388346,0.08322765854104056,0.7307336931294454,0.1107251411202779,0.2045002711006687,0.22964946925640106,0.37717700902967144,0.24521968923918366,0.11389601892395189,0.0068631942458639295,0.6678010596660897,,0.0068631942458639295
12.0,0.633526055183526,0.4960054203167809,26.8032,26.8032,0.5412350858791136,0.2663186067143373,2.404869422986725,0.35122912239202664,0.2216602504627513,0.6979426835078356,0.11398539778449146,0.3285312079828771,0.28923332890737974,0.5886341467676056,0.32958691622272146,0.07944819275276817,0.697550217324238,0.1204904670777518,0.2045002711006687,0.24193771183490753,0.3810579990527969,0.24871555890376906,0.11389601892395189,0.008337212313615068,0.8393173350486904,,0.008337212313615068
13.0,0.6159665484614371,0.5280379073423218,28.78464,28.78464,0.5412350858791136,0.27888068960653384,2.5264366415623947,0.31675928487552174,0.19801075539121019,0.7047260792537486,0.11398539778449146,0.3354681932031814,0.3048123214288962,0.5643230645137971,0.32684006712651537,0.07901213408116337,0.6937216491642222,0.11893960873263397,0.2045002711006687,0.24299269914627075,0.38316718779732667,0.2510199753178336,0.11389601892395189,0.008243133358938408,0.8647434584563598,,0.008243133358938408
14.0,0.6005646844183146,0.6790513264784916,30.76608,30.76608,0.5412350858791136,0.29541188500718735,2.6791474648889904,0.33733768206116,0.20970331587236193,0.7189786316749435,0.11398539778449146,0.34913095578469994,0.3122769382973627,0.5797345656601472,0.32692916823388407,0.07903150640848995,0.6938917369996849,0.12057537723875335,0.2045002711006687,0.23489993810653687,0.385503080116616,0.253655092886255,0.11389601892395189,0.00983952846854274,1.085219710250385,,0.00983952846854274
15.0,0.6444803517270847,0.61750807510717,32.4352,32.4352,0.4559241291901578,0.24417944876520675,2.169163702192684,0.35293538227334087,0.224467747373189,0.6772259984937163,0.11398539778449146,0.3075831636358749,0.2787174551062528,0.5685606899278282,0.3267335097317735,0.07900165889358597,0.6936296776653379,0.11567551534925108,0.2045002711006687,0.24553586542606354,0.38436910640783,0.2525050785882287,0.11389601892395189,0.01062609907219029,0.5705987203400582,0.01062609907219029,
16.0,0.6423873317417826,0.5780316572608812,34.41664,34.41664,0.5412350858791136,0.25640927537349645,2.295441339158462,0.3223581528028497,0.2015072839265136,0.6878725359560593,0.11398539778449146,0.31991518690184534,0.29614362407161565,0.5269843430201123,0.3263541147067075,0.0789723418735983,0.6933722760435372,0.11698683358515001,0.2045002711006687,0.25212302803993225,0.3856836977221716,0.2530975371242678,0.11389601892395189,0.006742811545812944,0.7779227212304249,,0.006742811545812944
