round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_prevalence,fed_auprc,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6901505473741268,0.09188903948606261,7.32192,3.66096,1.0,0.3810159402334974,0.5214191060211942,0.11487379618556048,0.21111377919243313,0.24332741028372115,0.26179100852732107,1.8577703480575387,0.28547701157700534,0.6452852154095299,0.6498496399988977,0.2085274874921556,1.8308584396737249,0.2566135127661536,0.26761517615176156,0.511771559715271,0.38118660700621787,0.2429958604292065,0.11389601892395189,0.025374362673208146,2.731468971961476,0.02313464665193489,0.027011304428560028,0.011298740842642867
2.0,0.6613632018859235,0.17486502569091397,14.64384,7.32192,1.0,0.3441479092462327,0.5324687412385111,0.11487379618556048,0.2173705060216734,0.21862231840425542,0.27368463589346737,1.9127535432630363,0.29378176263105815,0.6509863118175084,0.6551531763490623,0.21295488891551417,1.8697307502705927,0.269265845873233,0.2714799520447583,0.521355390548706,0.3439617389203246,0.2177508333320265,0.11389601892395189,0.018007820175771974,2.083991241383046,0.016749606431179696,0.01896238835004615,0.006275183079863191
3.0,0.647251080438586,0.3407958524971432,21.96576,10.98288,1.0,0.3550770164432748,0.547021364917342,0.11487379618556048,0.22550162039163069,0.22561272499892773,0.2727066790885921,1.987077414055949,0.29953521476050377,0.6577341862712012,0.6586251076680213,0.215572917965033,1.8927168833615733,0.2701473136915078,0.27296401515151514,0.5104129314422607,0.3546497906089531,0.22495314601802158,0.11389601892395189,0.012331452030406915,1.5428762653446029,0.0124192528797668,0.012336678942504814,0.005142937110575398
4.0,0.6487952367505634,0.3457859937970039,29.28768,14.64384,1.0,0.3412655393495173,0.5384909769729677,0.11487379618556048,0.22882025858149077,0.21722830618031608,0.2768813012543172,2.0110695879449607,0.3050474952979299,0.6596896491710272,0.6585800049384603,0.21480184724134643,1.885946930109727,0.27043227665706054,0.2727496917385943,0.5089329481124878,0.340671518774702,0.2166822994077651,0.11389601892395189,0.009982682729830725,1.3259563780047756,0.009766317248166536,0.010182016115146216,0.004498012092466766
5.0,0.6431419709496276,0.34016280807192556,36.6096,18.3048,1.0,0.3383525768689454,0.5406419141177616,0.11487379618556048,0.2306851539905399,0.21442477556385808,0.2793920963346788,2.0286799398657904,0.30616282572111625,0.6615019957274711,0.6596790859220302,0.21470151118409336,1.8850659857343133,0.274672862908157,0.27515893007076886,0.49689337611198425,0.33785920761642996,0.21407235162510796,0.11389601892395189,0.00907341138556361,1.2754574097743898,0.00875856470801328,0.009340876298277232,0.004538301554971976
6.0,0.6421415317424097,0.3309780870736706,43.93152,21.96576,1.0,0.3298408351179681,0.5427167387705599,0.11487379618556048,0.23521968738597396,0.2107483944462474,0.2802309549624961,2.065714730495473,0.30545044521019005,0.6636859014049199,0.6595995600463406,0.21403571619562045,1.8792203469247823,0.27385892116182575,0.2756211180124224,0.5190014243125916,0.3291355718861493,0.21064125490334354,0.11389601892395189,0.008394586796052794,1.248625545129471,0.008005848623115399,0.00871875208952846,0.004675850810565209
7.0,0.6391594282628293,0.4135744554542769,51.25344,25.62672,1.0,0.37122536119857513,0.567243449470129,0.11487379618556048,0.2370679072134679,0.2377330395901598,0.2723002488294328,2.0832336227570987,0.3059501866945326,0.6662713118885146,0.6606329571994923,0.21574309007196849,1.8942109839328067,0.2691721686135094,0.2799643357534072,0.5468210577964783,0.3709891607190025,0.2378090876121238,0.11389601892395189,0.008542156526072547,1.3399349197979973,0.007630386283428729,0.009291784346182556,0.004574692700916335
8.0,0.6409892761615568,0.33388856706272757,58.57536,29.28768,1.0,0.3256342352747864,0.5480387801077123,0.11487379618556048,0.24199099592580126,0.20767102009741392,0.27854055119646287,2.1228303166956657,0.30895852758317416,0.6678213805384203,0.6601874014648422,0.21423947993550085,1.881009379955133,0.27652342801650887,0.2772349780166097,0.5012518763542175,0.3249284431411057,0.20790646256722783,0.11389601892395189,0.008127557096107092,1.3477684367098846,0.007249420870853419,0.008872757380719918,0.004332233321708071
9.0,0.644879374768457,0.447321742607378,65.89728,32.94864,1.0,0.3533079589509511,0.5556335704058902,0.11487379618556048,0.24692085382691145,0.22333925737320984,0.2789789472364387,2.1670706494888674,0.31326618241792176,0.6714567225181318,0.6601004463137216,0.21517621627739314,1.8892338670859585,0.2718102205963862,0.2776104417670683,0.5208814740180969,0.35287716795456314,0.2239653298151967,0.11389601892395189,0.008560249559206727,1.5051362513677304,0.007233299128820454,0.009711575004446808,0.004388635572606382
10.0,0.6398589194395345,0.3394256135097602,73.2192,36.6096,1.0,0.3495452595569716,0.5592049308932059,0.11487379618556048,0.24997358264228256,0.221179086879556,0.2803203865378123,2.191652156987297,0.3142296288151448,0.6727266881959519,0.6596269805983971,0.21455337610321398,1.8837653688885367,0.27478460654796094,0.27612803702275357,0.5248286128044128,0.3488273519734454,0.22193219450274337,0.11389601892395189,0.00814850432720549,1.5211024368654762,0.006800392703510576,0.009351227222918182,0.0035212547996765625
