round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6878942942398598,0.10824795653608502,3.66096,3.66096,1.0,0.6589517960518165,0.21720703838034833,1.9083149159897006,0.11442598187311179,0.3559340385012966,0.295320679800097,0.22402305734241953,0.27191002122013974,0.5165720020119787,0.6645399278125417,0.21388816563511884,1.8779248621317615,0.277602523659306,0.2784900284900285,0.4980356693267822,0.35586487200559075,0.22356157532400167,0.11389601892395189,0.024456243848582037,2.642430270116165,0.022049150095009712,0.026140075856142617,0.013834522018187858
2.0,0.6638755382564084,0.23072670642282556,7.32192,7.32192,1.0,0.6646602019918678,0.2236230024433904,1.9657573614234014,0.11442598187311179,0.33390367675801486,0.2961813598125815,0.21095045884605054,0.275624950442822,0.5432638510975383,0.6703930548522982,0.2198912228371688,1.9306313329879394,0.28087557603686636,0.2864348287762145,0.525608479976654,0.33382632852731603,0.2102900440621787,0.11389601892395189,0.01623623637531777,1.8722527766822168,0.0161802592817723,0.016360607042470495,0.006309695040354393
3.0,0.6487180984239661,0.3119392427235479,10.98288,10.98288,1.0,0.6678723149640673,0.22852240847449154,2.0071451031197816,0.11442598187311179,0.3668790627195906,0.2987359582397621,0.2330835557562742,0.2718148700062215,0.5708154353809292,0.6704768851899352,0.2223632201252399,1.952335316247632,0.2732759473632136,0.28734974241556954,0.5585557222366333,0.3665785935741467,0.23260877906438854,0.11389601892395189,0.011849585075780317,1.4643808872688169,0.012039002730024107,0.011765455721666585,0.006171438673154463
4.0,0.6504539975613369,0.32272754969457174,14.64384,14.64384,1.0,0.6697147130274836,0.23103421344798084,2.025983312323345,0.11442598187311179,0.344894234889186,0.3008604743100448,0.2173492957279786,0.2812789454469893,0.5462646717571419,0.6713480304815139,0.22355117380009565,1.9627654760203712,0.278984258301735,0.2866749247920722,0.564827024936676,0.3445336318472334,0.21689523771291658,0.11389601892395189,0.009643930843014748,1.2684893867262872,0.010065651593509571,0.00937728207509944,0.005264462209827681
5.0,0.6450656793912011,0.2989241487092917,18.3048,18.3048,1.0,0.672062971117637,0.2351428449856287,2.0643864524121742,0.11442598187311179,0.3285121180028969,0.30327514391525534,0.20715312591454463,0.28049795328024335,0.5277996989002701,0.6738023142092573,0.22577198954800864,1.982264100896767,0.28603158933859824,0.2899332670736902,0.524074912071228,0.32796445374109284,0.20661336061722474,0.11389601892395189,0.009016621933269301,1.2543730427914852,0.009166218087239464,0.008930008807426037,0.005552102626445248
6.0,0.6466160075083303,0.36451424528546134,21.96576,21.96576,1.0,0.6738919600040774,0.2384941348605764,2.0925205687705803,0.11442598187311179,0.3472917423727065,0.3063073536686156,0.21980404980923632,0.2797026418718455,0.5598721211590434,0.6730564375449679,0.2263087737323188,1.986977032826974,0.27860910754656043,0.28999190720258966,0.5406162738800049,0.34668670109911387,0.21945169592015956,0.11389601892395189,0.00862490931447301,1.273168682992491,0.008124065070292997,0.009026706424685555,0.005720002729629424
7.0,0.6490307795263284,0.3947347119967253,25.62672,25.62672,1.0,0.6759467460726035,0.24094551186581076,2.109175032638452,0.11442598187311179,0.3477809001369944,0.30847301394656723,0.21882104763276441,0.2801242986476215,0.5370867030295541,0.6737930652633234,0.2287488472008245,2.0084007269258426,0.2806662165203691,0.2917957699043513,0.5313137173652649,0.3468436336003154,0.218422717561954,0.11389601892395189,0.008269372356637408,1.2922959472198272,0.007778266904609894,0.008676203514814185,0.005458630813292744
8.0,0.6454438248365866,0.321456738265023,29.28768,29.28768,1.0,0.6775901749477612,0.24323823816310794,2.13034829860025,0.11442598187311179,0.33076171150800565,0.3113005571043199,0.20829393530338627,0.2860260079438132,0.563825315100864,0.6741620567928952,0.22842765765412837,2.0055807025761716,0.2871857755977928,0.28978562421185367,0.5056599378585815,0.3298039230240976,0.2080106034545691,0.11389601892395189,0.007971518961502031,1.3227919440614642,0.007402755995485112,0.008459365562157666,0.004551350293325266
9.0,0.6460524078711346,0.3857387008646326,32.94864,32.94864,1.0,0.6798084931503688,0.24577924717112046,2.150461876328065,0.11442598187311179,0.32871411735902867,0.3152769052118523,0.20871141369401724,0.28834104005544003,0.5761049397642398,0.6742460502734049,0.2284752130912896,2.0059982363724407,0.28451882845188287,0.28982630272952853,0.5697144269943237,0.3277214189068985,0.20856486719119893,0.11389601892395189,0.008303752802014116,1.4681251895763126,0.007027460184408762,0.009412515783263088,0.00516498074977718
10.0,0.6421283092758814,0.4520063217110962,36.6096,36.6096,1.0,0.6808676577193058,0.2490588691455684,2.180670713753039,0.11442598187311179,0.3259124319976026,0.3172365337128463,0.2057525137990619,0.28683359235477324,0.5406207388486387,0.6737932786040031,0.22924506314456292,2.012757472213575,0.28398058252427183,0.2924650626710849,0.5344937443733215,0.32501549363613275,0.20585908675485584,0.11389601892395189,0.00753594416926444,1.4201555826766707,0.006632360363565825,0.008349019090113537,0.004880530290275311
