round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_ece,fed_f1,fed_prevalence,fed_brier,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689325310595318,0.09693423742452277,3.65056,3.65056,0.9971592150692714,0.18591383751512902,1.6514011910441093,0.4843078305223888,0.5966304928513662,0.37074288649893616,0.20403118543666487,0.1122718691000629,0.23612088768801562,0.26032591764214286,0.4450209523136395,0.10789896894422299,0.9473462721841654,0.05564648117839607,0.20453723788864786,0.46680018305778503,0.36818937744820235,0.23679578482435887,0.11389601892395189,0.02864213196392885,3.050408229464665,0.02389134207222382,0.03181355886486244
2.0,0.6825439207418275,0.14557792308602976,7.30112,7.30112,0.9971592150692714,0.20326672907084975,1.8046369877101291,0.5136239177198662,0.6334637032491187,0.3789789343645467,0.23403635273070034,0.1122718691000629,0.24057133145566933,0.27651776491715674,0.4429051774971865,0.09999027098427328,0.8779083933656764,0.09178433889602054,0.20456703594845127,0.4685305655002594,0.3736256809369974,0.24135704985495407,0.11389601892395189,0.02020745179291465,2.284527055453509,0.016682608699104692,0.02257960275746324
3.0,0.6746156476257488,0.1727462370253517,10.95168,10.95168,0.9971592150692714,0.21418777918764267,1.8970244004933847,0.49217379968859537,0.6519315967459366,0.34810752554499474,0.2616768913810564,0.1122718691000629,0.2183936231128574,0.28840227841869887,0.41181131306971686,0.09037841683189136,0.7935169085430179,0.10877463393152043,0.20481927710843373,0.47072362899780273,0.38127891601070946,0.2481949668451537,0.11389601892395189,0.015606299286375941,1.8954577387776226,0.013009332051247123,0.017406036204837584
4.0,0.663459163670669,0.22020584870136858,14.60224,14.60224,0.9971592150692714,0.22229180063535592,1.9890226638395307,0.49756189403554935,0.660715732219743,0.34270983209975336,0.2733255179947368,0.1122718691000629,0.21489458574667333,0.29549221532679604,0.4114976646223275,0.08991310852799493,0.7894315304210037,0.11124035106270487,0.20466168816474312,0.4669419527053833,0.38203900206808394,0.2491031350566642,0.11389601892395189,0.010724909691632128,1.4048828813247383,0.009877573106815061,0.011332896583691313
5.0,0.6563681078348269,0.26315612626390333,18.2528,18.2528,0.9971592150692714,0.22535340456012082,2.01340897519512,0.5011681575325766,0.6637266784833922,0.3546053436040278,0.27972079279417783,0.1122718691000629,0.22255258516440676,0.2956966699503093,0.4148771315808509,0.09098325279435863,0.798827330875436,0.11399395644472231,0.20454648167397296,0.4655882716178894,0.38252435978510474,0.24933533764676347,0.11389601892395189,0.010265238499566468,1.4272068405989558,0.009391582692234125,0.010924298869001738
6.0,0.6535520185489047,0.2565774217180181,18.2528,18.2528,0.0,0.23689567550873397,2.129266310519915,0.5465503606802267,0.6774263957276511,0.3428678650777057,0.2848992986255289,0.1122718691000629,0.2173538281757463,0.305439633461687,0.4148771315808509,0.09098325279435863,0.798827330875436,0.11399395644472231,0.20454648167397296,0.4655882716178894,0.38252435978510474,0.24933533764676347,0.11389601892395189,0.0,0.0,,
7.0,0.6412352396978778,0.32585737409225407,19.92192,19.92192,0.4559241291901578,0.23245401765395052,2.08100017134321,0.5325929781638877,0.6697614891147415,0.3447671762820569,0.2810408711529292,0.1122718691000629,0.21767511113572105,0.30045247750237697,0.4150219146055991,0.09091297286725383,0.7982102774633082,0.11242603550295859,0.20465664069577824,0.4670436382293701,0.3824100492329846,0.24928177872958093,0.11389601892395189,0.00863217875618764,0.5639033820480108,0.00863217875618764,
8.0,0.6504735644282938,0.32832890733298137,21.90336,21.90336,0.5412350858791136,0.23801100204153636,2.134336528351708,0.5182361035807617,0.6775665698003701,0.3375340304504481,0.28757898873193544,0.1122718691000629,0.21154521604493984,0.3037653998950365,0.39566274131529,0.08701568461211831,0.7639923276881037,0.11610850932225855,0.20453928926666065,0.4631444215774536,0.39279150451199807,0.25914560067171855,0.11389601892395189,0.010042886971721334,0.8314385558478534,,0.010042886971721334
9.0,0.6451776278742856,0.3304755520213877,23.57248,23.57248,0.4559241291901578,0.23270008872583092,2.080874665214791,0.5114278768427795,0.6691668023592777,0.33382867718686304,0.2827010192472255,0.1122718691000629,0.21024816757126255,0.29830686486662616,0.39573137426686733,0.08699915476182851,0.7638471966251749,0.11496549219033782,0.20465957928070572,0.4634593427181244,0.39142888851455915,0.258018140504119,0.11389601892395189,0.008125515151016453,0.5782979619689286,0.008125515151016453,
10.0,0.641973615801275,0.3184210133868476,25.55392,25.55392,0.5412350858791136,0.24056730559840148,2.1570195110619057,0.5292846906590265,0.6795093229919894,0.3398418709940509,0.29337326429836175,0.1122718691000629,0.2130974748537504,0.31069026283407614,0.4111959381540931,0.08961771485608805,0.786837992256126,0.1329865626354573,0.20453723788864786,0.46678903698921204,0.3938408147944341,0.2593499793893981,0.11389601892395189,0.009677105253841014,0.8407626764383167,,0.009677105253841014
11.0,0.6322391911021721,0.42598703015834527,25.55392,25.55392,0.0,0.24877282716737856,2.248317784374994,0.5399985005301899,0.6858572346882617,0.3147142767953077,0.2994036579369442,0.1122718691000629,0.20006100317617675,0.3175194332777015,0.4111959381540931,0.08961771485608805,0.786837992256126,0.1329865626354573,0.20453723788864786,0.46678903698921204,0.3938408147944341,0.2593499793893981,0.11389601892395189,0.0,0.0,,
12.0,0.6182678814106877,0.43455327101836333,27.53536,27.53536,0.5412350858791136,0.2617221077944458,2.3991753907086957,0.5622620401215895,0.6969622687000377,0.34519643547438905,0.30223849196767716,0.1122718691000629,0.21622804301220347,0.3319908503695505,0.4102447273604,0.08949243494269501,0.7857380423669497,0.14229701029243588,0.20463810127728962,0.4682503044605255,0.39829997881152773,0.2634583610230546,0.11389601892395189,0.011364645339046596,1.0385884280549362,,0.011364645339046596
13.0,0.6378748511858683,0.4153399864848614,29.20448,29.20448,0.4559241291901578,0.23185566396968674,2.0644087409644176,0.5593234397635061,0.6696370999479462,0.33489903528512904,0.28703968415154846,0.1122718691000629,0.21180713684364583,0.3009357804472577,0.4065935898705645,0.08894882202940227,0.7809651546187334,0.13586044951358606,0.2046204620462046,0.46638059616088867,0.39660628753973426,0.26204753643888673,0.11389601892395189,0.0071833291881350314,0.5570794939994812,0.0071833291881350314,
14.0,0.6407013740679138,0.3976307529294279,31.18592,31.18592,0.5412350858791136,0.24409580054517865,2.187364904544342,0.5577723165478173,0.6820250432926975,0.35273684282547424,0.2878978376771696,0.1122718691000629,0.22122801962824853,0.3124124644561558,0.4269800361815753,0.09309794098515267,0.8173941623658852,0.14333581533879375,0.2045649717514124,0.4656160771846771,0.38921375131773855,0.25497091114549275,0.11389601892395189,0.00846714428813612,0.8147996218176559,,0.00846714428813612
15.0,0.6363913326480498,0.41046987440561084,32.85504,32.85504,0.4559241291901578,0.23718714795518211,2.1091935619915474,0.542623780361131,0.6735740675629572,0.33123748527852664,0.2883901318089117,0.1122718691000629,0.20884009758826824,0.30541802953971403,0.4207093888823604,0.09162387110117448,0.8044519199775677,0.14339888879089868,0.20468948035487958,0.4671429693698883,0.39201583519988203,0.25748517699651235,0.11389601892395189,0.006485438360108585,0.5435501548927277,0.006485438360108585,
16.0,0.6437119352482037,0.4396397606019116,34.83648,34.83648,0.5412350858791136,0.2437905377522273,2.1789719435254216,0.563254623194773,0.6814992618643033,0.35005865790526614,0.28727727605425707,0.1122718691000629,0.21971221345825645,0.3136849910022994,0.41067831091808826,0.08929360026045138,0.7839922861577148,0.1357529227010993,0.20451875282422052,0.46108779311180115,0.39412282547603245,0.2597082825996737,0.11389601892395189,0.00853958451179506,0.85581164364703,,0.00853958451179506
17.0,0.6215226994793277,0.4120416617441096,34.83648,34.83648,0.0,0.2645562664293728,2.411725083385181,0.550128443821411,0.69665315953089,0.3306565275627948,0.30215981788799595,0.1122718691000629,0.20666539102675696,0.332312742470568,0.41067831091808826,0.08929360026045138,0.7839922861577148,0.1357529227010993,0.20451875282422052,0.46108779311180115,0.39412282547603245,0.2597082825996737,0.11389601892395189,0.0,0.0,,
18.0,0.6069924064301933,0.47181558917626065,36.81792,36.81792,0.5412350858791136,0.27257497680836973,2.5001626551707434,0.5477284832166529,0.7030172614589524,0.3282729866134343,0.31033614268380966,0.1122718691000629,0.20497974619812956,0.3370028781975606,0.4159504987378012,0.09023191054057637,0.792230592368852,0.14846595968590626,0.20452799493876814,0.46025383472442627,0.39958947878658124,0.2644749383205334,0.11389601892395189,0.008964491521071651,0.9441179009154439,,0.008964491521071651
19.0,0.6419560075929203,0.627824422503876,38.48704,38.48704,0.4559241291901578,0.2384818042256904,2.1214120974330397,0.5093100445817446,0.6765085236460774,0.3192261357903668,0.2922434504116774,0.1122718691000629,0.20176879675976098,0.30753536121481934,0.41334732831459003,0.08995816980165519,0.7898271656160348,0.1452275340890422,0.20453723788864786,0.4597029685974121,0.3981642541995652,0.2631933996447021,0.11389601892395189,0.00640091413941687,0.5784802390262485,0.00640091413941687,
20.0,0.6370853362793996,0.5118986322065424,40.46848,40.46848,0.5412350858791136,0.2517587135646701,2.271651956033029,0.5528567388194248,0.6904772490889894,0.3596975795619888,0.29238542045023813,0.1122718691000629,0.22526183893560708,0.31745844371258203,0.4302654324498402,0.09379279717026287,0.823494956684027,0.14813502259236289,0.20453723788864786,0.4615848660469055,0.3919106590708235,0.2569800635887769,0.11389601892395189,0.008061029309201658,0.8846952272579074,,0.008061029309201658
21.0,0.6187948159920086,0.47098451986350315,40.46848,40.46848,0.0,0.2708519735167961,2.465149162324486,0.5807653631088942,0.7024962423197479,0.3289789977043285,0.30479862102494665,0.1122718691000629,0.20578508434067858,0.33440056006305,0.4302654324498402,0.09379279717026287,0.823494956684027,0.14813502259236289,0.20453723788864786,0.4615848660469055,0.3919106590708235,0.2569800635887769,0.11389601892395189,0.0,0.0,,
22.0,0.6057288477208251,0.6023100071315665,42.44992,42.44992,0.5412350858791136,0.2859221162867583,2.6269054225972237,0.5887107860805704,0.710628921551677,0.3287062195195922,0.3109350029691054,0.1122718691000629,0.20543729155746557,0.34594484332149056,0.4140145826637155,0.09002412359461605,0.7904062358380143,0.14606276393143994,0.20453723788864786,0.46449998021125793,0.39806839100751407,0.2630154395279268,0.11389601892395189,0.009655268076250724,1.108689962537028,,0.009655268076250724
23.0,0.6397511915208605,0.6891933011612907,44.11904,44.11904,0.4559241291901578,0.24139345014042657,2.1432726882455437,0.5434330755468431,0.6803385835723956,0.3500331275753531,0.28812847871533254,0.1122718691000629,0.2207290783628414,0.30973676726996024,0.42384281129002893,0.09148691524960453,0.8032494560735274,0.1368498708963482,0.20452799493876814,0.46249058842658997,0.3928147366050026,0.25830616271932216,0.11389601892395189,0.005653788903274128,0.5518441470339894,0.005653788903274128,
24.0,0.6354052109622129,0.6320611815892492,46.10048,46.10048,0.5412350858791136,0.2541826025391795,2.274564947915062,0.5506051603261595,0.6920418288651888,0.3433629636119997,0.2926236275545825,0.1122718691000629,0.2147637263589195,0.31781495487054495,0.4357378718710012,0.09369422332233149,0.8226294843974389,0.14427395209580837,0.20450951154489178,0.463174968957901,0.3925162825771485,0.2575300544675274,0.11389601892395189,0.007543163723442724,0.9059578716987744,,0.007543163723442724
25.0,0.6171382230576958,0.696017744413551,46.10048,46.10048,0.0,0.2678264599791456,2.4345624339656897,0.5818024927786569,0.7018220770392267,0.3302900872981589,0.30163873807671626,0.1122718691000629,0.20797441186462856,0.3319000903164163,0.4357378718710012,0.09369422332233149,0.8226294843974389,0.14427395209580837,0.20450951154489178,0.463174968957901,0.3925162825771485,0.2575300544675274,0.11389601892395189,0.0,0.0,,
26.0,0.5968615605306598,0.6091714520107065,48.08192,48.08192,0.5412350858791136,0.28595506621033373,2.6102423073039733,0.5911659152422257,0.7149994174599426,0.3473189768837992,0.31027659756597953,0.1122718691000629,0.21655180848803354,0.34330227413573833,0.44491552436955445,0.09549981970785752,0.838482508959532,0.1376412923877163,0.20450951154489178,0.46696725487709045,0.38889750135107515,0.2542090904934463,0.11389601892395189,0.008476716047853753,1.06326079077553,,0.008476716047853753
27.0,0.636668650095203,0.7646587529893163,49.75104,49.75104,0.4559241291901578,0.24237171252604425,2.1491271265511944,0.540956248859702,0.682734413851433,0.3424950777070656,0.2912802420321651,0.1122718691000629,0.21599907814461522,0.3103978763137103,0.45152535825045387,0.09679299060197497,0.8498364694081487,0.14043835047262906,0.20473083197389885,0.4733237326145172,0.3872652898464633,0.25267745796715885,0.11389601892395189,0.005042895940918484,0.5298794540576637,0.005042895940918484,
28.0,0.6388785292933555,0.7521979816893067,51.73248,51.73248,0.5412350858791136,0.2552778108177567,2.283210027304692,0.5324251656827872,0.6960299056565238,0.33481953615279325,0.30467031486237606,0.1122718691000629,0.2089218105804291,0.325297868013741,0.46387246263262694,0.10086041108049315,0.8855481695794601,0.1577646835202433,0.20454648167397296,0.46730297803878784,0.38977093929145046,0.254262246710392,0.11389601892395189,0.00737101651453233,0.9652381679043174,,0.00737101651453233
29.0,0.6130785005485627,0.654787524808077,51.73248,51.73248,0.0,0.2734991799423249,2.4824912395560603,0.576887160518996,0.7083679785468324,0.3253022388383379,0.3149101511642391,0.1122718691000629,0.20287915210614665,0.33990493381346976,0.46387246263262694,0.10086041108049315,0.8855481695794601,0.1577646835202433,0.20454648167397296,0.46730297803878784,0.38977093929145046,0.254262246710392,0.11389601892395189,0.0,0.0,,
30.0,0.5952781215345406,0.7462577131651822,53.71392,53.71392,0.5412350858791136,0.29292392222437474,2.674541085010451,0.5656158410204963,0.7225475659856884,0.33021340971827834,0.3211836997553486,0.1122718691000629,0.2038946307702255,0.35357851991094386,0.4721038613709252,0.10461502385868743,0.9185134374937076,0.16588653810147913,0.2046225519019404,0.4710516333580017,0.39024341794737605,0.2543140089519301,0.11389601892395189,0.009295852239061018,1.2729799693915993,,0.009295852239061018
31.0,0.6403092051265273,0.8454265715325494,55.38304,55.38304,0.4559241291901578,0.24760887638101983,2.192926220581405,0.5244998756015427,0.6849374206241876,0.32102212556705223,0.29645243084491685,0.1122718691000629,0.20140212067376986,0.31433125258683103,0.46277218945114174,0.10161552315243877,0.8921780068562996,0.15861812778603268,0.20455572629485672,0.46722641587257385,0.39021321852617924,0.2544219053271563,0.11389601892395189,0.004767790331909812,0.5381893534213305,0.004767790331909812,
32.0,0.6362847387366617,0.8343234516977434,57.36448,57.36448,0.5412350858791136,0.2618764756029955,2.350494016348848,0.576928100323737,0.6980654598196405,0.35282516861563007,0.29693827692053093,0.1122718691000629,0.22245258415454594,0.32696581926675483,0.47051743497840415,0.10449559029260833,0.9174648181722646,0.16162779537383626,0.20465920465920465,0.47679296135902405,0.3893658028370578,0.25366368529460837,0.11389601892395189,0.0067269230315186316,0.9643720142776147,,0.0067269230315186316
33.0,0.6123827176170187,0.7499213134586443,57.36448,57.36448,0.0,0.2806521756268307,2.54688845157374,0.5455874541801351,0.7150346434526286,0.33901146434170126,0.3142797518557196,0.1122718691000629,0.2104514138801809,0.34242174170066286,0.47051743497840415,0.10449559029260833,0.9174648181722646,0.16162779537383626,0.20465920465920465,0.47679296135902405,0.3893658028370578,0.25366368529460837,0.11389601892395189,0.0,0.0,,
34.0,0.5963321025655495,0.9161331157920148,59.34592,59.34592,0.5412350858791136,0.3012176368824077,2.7661995460559234,0.5843325540301482,0.7240861514018493,0.3313454538367482,0.3214402687910798,0.1122718691000629,0.20575845379442215,0.35801069528830165,0.45396408065803706,0.09809006555891552,0.8612247072868282,0.15164520743919885,0.20490700802374656,0.4769357740879059,0.39018906432361117,0.25496412002360647,0.11389601892395189,0.006983309991962791,1.0472197856288403,,0.006983309991962791
35.0,0.6382478591148375,1.092344957175095,61.01504,61.01504,0.4559241291901578,0.25097039900362345,2.2224331435499294,0.5471951308154398,0.6878164112927818,0.3408164618997508,0.2958390598272897,0.1122718691000629,0.2136357024232318,0.32044335633926124,0.4539818130333486,0.09804532796462692,0.8608319139766558,0.14730598121601582,0.2047762832830085,0.4752143919467926,0.3886427142727602,0.2536190345563315,0.11389601892395189,0.004492386219799225,0.5425393208861351,0.004492386219799225,
36.0,0.6328168243052166,0.9800779202570367,62.99648,62.99648,0.5412350858791136,0.26518101329901966,2.3736564965676625,0.5368979272469551,0.7036982711539433,0.3403756862943505,0.3048028334970128,0.1122718691000629,0.21228252026647879,0.3293942091768174,0.4649487789107367,0.10072084865679404,0.8843228201333808,0.16342909256725946,0.20458346517199294,0.472585529088974,0.3914699029869088,0.2556264903847643,0.11389601892395189,0.0058803999515213805,0.9155136373592541,,0.0058803999515213805
37.0,0.6119542104857448,0.9575934317799618,62.99648,62.99648,0.0,0.2865270736721304,2.5962123011628875,0.5642715771892972,0.7172137135709464,0.3211737980827562,0.3113372262626226,0.1122718691000629,0.1996214569103705,0.34089199743781656,0.4649487789107367,0.10072084865679404,0.8843228201333808,0.16342909256725946,0.20458346517199294,0.472585529088974,0.3914699029869088,0.2556264903847643,0.11389601892395189,0.0,0.0,,
38.0,0.5910093058762816,1.0452044930283784,64.97792,64.97792,0.5412350858791136,0.30355981720742337,2.7893237975237968,0.5793811588654209,0.7255855350587541,0.3169065868298249,0.3191385475437591,0.1122718691000629,0.1971558246892082,0.3585834444369443,0.46872409322555997,0.10121259240328634,0.8886402998059638,0.16709995517705065,0.2047636297772143,0.47435417771339417,0.39296056392376544,0.25702506211610354,0.11389601892395189,0.006992913142335933,1.1345453893300146,,0.006992913142335933
