round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_auprc,fed_brier,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auprc_lift,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6890449941027367,0.10513696357201338,3.65056,3.65056,0.9971592150692714,0.11392245720040282,0.548277555820708,0.15210659798206075,0.2753891634600928,0.18917221503845344,0.509311485904281,0.22636539591381033,1.3528929701521355,0.41690415823372595,0.48916746384967286,0.11172940597621228,0.9809772723558824,0.20156112881622096,0.20450951154489178,0.4563896656036377,0.42603646083707036,0.2830819310599219,0.11389601892395189,0.02754271005248947,2.957635566359386,0.02444443658554281,0.029629741042072198
2.0,0.6992554112034238,1.1982705831326084,5.632,5.632,0.5412350858791136,0.11392245720040282,0.591466901531267,0.17304895207695634,0.24752187039762966,0.20780736388299326,0.5019534772387655,0.2521762197947091,1.525843894748175,0.3826406006752875,0.4702700099878576,0.10576822154651455,0.9286384418505071,0.18880914872512983,0.20462971335563795,0.41197633743286133,0.40962826770825145,0.270739505445238,0.11389601892395189,0.008129599691382737,2.569259170908481,,0.008129599691382737
3.0,0.7123199676467034,2.2856804574501988,7.61344,7.61344,0.5412350858791136,0.11392245720040282,0.621457444558286,0.19362745836074693,0.23560949006077442,0.23701426453988955,0.5031682233300814,0.2667312690524903,1.7075972873487115,0.369596079927902,0.4542061595821414,0.10463311696662761,0.9186722938620963,0.18148033446887582,0.2045649717514124,0.31839150190353394,0.4115789882597611,0.27476788471938196,0.11389601892395189,0.003601160375799539,2.039325000019744,,0.003601160375799539
4.0,0.710860636279219,2.8310567927169283,9.59488,9.59488,0.5412350858791136,0.11392245720040282,0.6352737945551765,0.20575922550353257,0.23531127820971792,0.24559790624294028,0.5248731449452742,0.2773590219731082,1.8135389549173568,0.36888356177748977,0.45898332172843703,0.10744438920581491,0.9433550902034186,0.15831424644983966,0.20451875282422052,0.2336580902338028,0.3721205364216963,0.2461355313297484,0.11389601892395189,0.0019425538275350484,1.5596830463036895,,0.0019425538275350484
5.0,0.7253956330409974,5.275502320364966,11.264,11.264,0.4559241291901578,0.11392245720040282,0.6166629786615747,0.1915777354624305,0.22357145189614577,0.2398144259444343,0.5018655900231,0.2635922480516275,1.6933773882251588,0.35014050270192515,0.47725622702540493,0.11163544112617985,0.9801522667857124,0.1774818026947499,0.20450951154489178,0.15047568082809448,0.39249041973734555,0.26840503509397146,0.11389601892395189,0.0031398221956266442,0.7972578378394246,0.0031398221956266442,
6.0,0.7400846977325997,6.721552934885499,13.24544,13.24544,0.5412350858791136,0.11392245720040282,0.6156711751467301,0.18925052910447387,0.2327640174051662,0.2337097530940798,0.4999180545923482,0.2639756282702372,1.6793199780840247,0.3629599308762942,0.4755306146636127,0.11139840591567356,0.9780711123015987,0.16619452313503305,0.2045002711006687,0.13378719985485077,0.36640717791373434,0.2459912898197042,0.11389601892395189,0.0016799829357217366,1.7638105724472553,,0.0016799829357217366
7.0,0.7357354331023847,8.752128854415131,15.22688,15.22688,0.5412350858791136,0.11392245720040282,0.6337764196748781,0.1977855633223502,0.24727628525725703,0.23593160043114922,0.5424969387029683,0.2739340258047444,1.7405209378455766,0.3828457078379686,0.5396142895888393,0.14183999063179487,1.245346342847164,0.19986508624843405,0.20658931805943115,0.34608858823776245,0.3689935503447744,0.2442442631254902,0.11389601892395189,0.0010715721365297257,1.3865011760499328,,0.0010715721365297257
8.0,0.758227717877836,12.203189443884002,17.20832,17.20832,0.5412350858791136,0.11392245720040282,0.6513247778409961,0.21175932704217387,0.22233674525282315,0.26357441797536985,0.5063597161120248,0.2865861241663624,1.8803820933406918,0.35201675934934656,0.5224752272567665,0.13097686796721597,1.1499687978968687,0.19073869900771775,0.2050787837902954,0.3207590579986572,0.36853679862366306,0.24678818202067568,0.11389601892395189,0.0007361743066874222,1.1406993315322325,,0.0007361743066874222
9.0,0.7194907343819745,10.386992292009696,19.18976,19.18976,0.5412350858791136,0.11392245720040282,0.6552860623396835,0.21237525600639068,0.2297389081125027,0.26027568053762057,0.5410760224900936,0.2870856213143848,1.8897595183203624,0.361410973551036,0.5653300237249895,0.17107111205459502,1.5019937805624164,0.21193177433047775,0.21471806307741317,0.6425513625144958,0.4115603777335145,0.28238036302459235,0.11389601892395189,0.0006107787019974979,1.0888563023181632,,0.0006107787019974979
10.0,0.7570420067826923,15.339940497668877,22.84032,22.84032,0.9971592150692714,0.11392245720040282,0.6054183253510026,0.17418445451095502,0.24079587317295617,0.22957494616028062,0.4909787966240448,0.2535903730136067,1.551234198778252,0.3724838861752928,0.5456346255236071,0.14730274649100328,1.2933090013388175,0.2027737226277372,0.20572916666666663,0.5565441250801086,0.42659666693917025,0.29948589556183525,0.11389601892395189,0.0008000713473418448,1.9853056091815233,0.0013821278008316717,0.0006676949035754608
11.0,0.7923485710585493,24.32369776763162,24.82176,24.82176,0.5412350858791136,0.11392245720040282,0.6358859190589954,0.2014750009749092,0.21732261875320324,0.24874130092298516,0.49883917405308487,0.2774981461406916,1.7804188853566305,0.3436988593031787,0.5499643244185877,0.15252173872710462,1.3391314302999742,0.1990831696136215,0.2092713876381498,0.27771255373954773,0.33352379421748746,0.2281208182819648,0.11389601892395189,0.0006400356976883774,1.4480382825713605,,0.0006400356976883774
12.0,0.7554723027569542,20.507098894828168,26.8032,26.8032,0.5412350858791136,0.11392245720040282,0.63881474124519,0.20789573001802664,0.22893411581116452,0.250634499043329,0.5188776680004801,0.2761414355211043,1.85088704296469,0.36125130319426474,0.5483387311871797,0.1465535517665554,1.286731118006933,0.2026431718061674,0.2104468761791817,0.32314735651016235,0.3603040668066251,0.24959859212786453,0.11389601892395189,0.0004658048511228998,1.1680305635090917,,0.0004658048511228998
13.0,0.752334211208493,25.19020797805957,28.78464,28.78464,0.5412350858791136,0.11392245720040282,0.6574885558833761,0.2180564162379596,0.2214596736798479,0.2668647642166866,0.5118554364439675,0.2904989938411807,1.9370253616130262,0.35162467856350754,0.5594181778005319,0.14810200087790548,1.3003264054101211,0.21117223867964452,0.21347150259067357,0.495188444852829,0.3289128551156047,0.22802109359164743,0.11389601892395189,0.0003796837499259772,1.0420705123106018,,0.0003796837499259772
14.0,0.7307807515125373,23.511055341290998,30.76608,30.76608,0.5412350858791136,0.11392245720040282,0.6648997682030546,0.2244034246111354,0.2052344318329328,0.27346152761509046,0.5203243761725747,0.298783491397284,2.0033010327071272,0.3264490219952927,0.5699737475509118,0.16255791107657447,1.4272484026427124,0.2167558666117744,0.22018135317368048,0.5244397521018982,0.34061034716715616,0.23261093632789764,0.11389601892395189,0.0003365489468257111,1.0043354890076444,,0.0003365489468257111
15.0,0.7332283316403606,25.347183834073686,32.4352,32.4352,0.4559241291901578,0.11392245720040282,0.6240362039873649,0.1973718100484481,0.21826709478250372,0.23985143495340874,0.48939456759735356,0.2621179713164884,1.7452756834684668,0.34506572251515755,0.5800210394068346,0.16667654839805676,1.46340978352673,0.22404722186577697,0.22924641802471835,0.4664400517940521,0.2996448845318474,0.20682444034349654,0.11389601892395189,0.0009255570344558333,0.619104522280395,0.0009255570344558333,
