round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_prevalence,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6875556794859898,0.09137392715335547,7.32192,3.66096,1.0,0.2790623078989066,0.3016114523955506,0.34497232627487495,0.5026041634196992,0.6613773923136405,2.0859558452890687,0.11411127895266868,0.23298533466405838,0.21574169117534234,0.6598515530373212,0.21442419622822873,1.8826311775778508,0.2721414656076727,0.2757078986587183,0.48866161704063416,0.34484278126921847,0.21620286956494925,0.11389601892395189,0.026086290091710946,2.8402978893536783,0.022564952512990837,0.028552030075318008,0.01390337330348798
2.0,0.6618662301258957,0.22738182990623548,14.64384,7.32192,1.0,0.2712687796497358,0.30795227388560387,0.3542776256171313,0.5592938341943157,0.6664644422791799,2.1266159267694156,0.11411127895266868,0.23801465165043229,0.22372434656785276,0.6653085189844844,0.21956244166653877,1.927744654649783,0.2746358613761929,0.2832214765100671,0.536328136920929,0.35473190004572164,0.2246722867137127,0.11389601892395189,0.01786966752785377,2.0917042109776958,0.016865511517984814,0.01864780385924939,0.006277264012068498
3.0,0.6510632524630018,0.3304458573537782,21.96576,10.98288,1.0,0.2788712569030068,0.3048387137631443,0.3533851495837983,0.5517320453985579,0.6678252788838731,2.1285602020018892,0.11411127895266868,0.24000410799963118,0.22305097789340653,0.667313770779445,0.22243381506682153,1.9529551354673782,0.27793147478186847,0.28794223826714804,0.5405896902084351,0.35406681749986785,0.22423590045946687,0.11389601892395189,0.011766014904730709,1.479118384643698,0.012077920698188046,0.011615543791166158,0.004259776069157402
4.0,0.6479134666784263,0.38555689383758257,29.28768,14.64384,1.0,0.2832529665423083,0.30680444254983297,0.344922859956063,0.5415568731608918,0.6707515021632532,2.154736761212911,0.11411127895266868,0.24302310252608192,0.21709712311388724,0.6680917614907422,0.22306087546939257,1.9584606870089973,0.28367799976632785,0.28799574128293853,0.5190724730491638,0.34591205927114776,0.21857299322999005,0.11389601892395189,0.010556766361054718,1.4025821763671047,0.010362263799863913,0.01073706434929358,0.005178042661185979
5.0,0.6474056896398901,0.4280980584424257,36.6096,18.3048,1.0,0.2901945251403316,0.3102577463271916,0.33829252854409775,0.5121932956657381,0.6730378896253393,2.182484707240728,0.11411127895266868,0.24614038337745545,0.21248442196154962,0.6696506920344965,0.22383194904290168,1.9652306652821094,0.2850455777285046,0.28806691935694684,0.509429931640625,0.33954007556417576,0.21419998494433307,0.11389601892395189,0.009001697184175265,1.2691169674844787,0.008869320610167935,0.00913102958108759,0.00467234624643708
6.0,0.6463404229834239,0.3538623684696695,43.93152,21.96576,1.0,0.283366186108788,0.31033220151360863,0.36013376743280423,0.5341538837684127,0.6743938893600947,2.2128473113734937,0.11411127895266868,0.24827100869382693,0.22673907163518084,0.669046348086954,0.22447609189272535,1.9708861996538047,0.27848101265822783,0.2879129627172615,0.5283117294311523,0.36131031997754975,0.22858997198766107,0.11389601892395189,0.009126714136483692,1.3571979292319156,0.008703638891016538,0.0094789338828385,0.005040263373744559
7.0,0.6416274612405146,0.30435560671034056,51.25344,25.62672,1.0,0.2897189099233055,0.3126616985144913,0.3484175062709285,0.5371860806592943,0.6758290928433183,2.2302446886087175,0.11411127895266868,0.2500980697025383,0.21926115561090517,0.6690804198484337,0.2240495483092748,1.9671411733791342,0.28049193275414647,0.2881250775530463,0.5136657953262329,0.34975241058782575,0.22140907150753056,0.11389601892395189,0.007477179785155545,1.1833010645386821,0.007263344969487091,0.007665487221996654,0.004396145114748788
8.0,0.6412855469150744,0.3648132242582014,58.57536,29.28768,1.0,0.28646533544634767,0.3117463294833129,0.35102323006954866,0.5435892978039722,0.6768097977142472,2.247576834460336,0.11411127895266868,0.2520224354595583,0.22133868264650833,0.6688196673401372,0.225736570139766,1.9819531206836105,0.2803442028985507,0.2887964647777489,0.5218826532363892,0.35259113624385224,0.22371303118595207,0.11389601892395189,0.007898206183511768,1.3223920232130695,0.007302543465261514,0.008405393319848655,0.004171340665066996
9.0,0.6383347265246511,0.40098415967762435,65.89728,32.94864,1.0,0.28354480520752035,0.3135525858791698,0.3607030896833851,0.5740063825560301,0.6799096904040013,2.27001199189057,0.11411127895266868,0.2550892918865461,0.2279709505067288,0.668746453838674,0.2243990027334333,1.9702093616043244,0.27628311258278143,0.28758842443729904,0.5358783602714539,0.36209588217125716,0.23065694330908193,0.11389601892395189,0.008085392381672019,1.435814473006758,0.007198876320580031,0.008847026965865522,0.004599185670141146
10.0,0.6392907539829777,0.4187134426252747,73.2192,36.6096,1.0,0.2888068818503322,0.31669413728231777,0.3480124060601026,0.5664108916254262,0.680708743033875,2.2554219004572285,0.11411127895266868,0.255601447576482,0.21874376012203733,0.6683707609018719,0.2237203649666166,1.9642509639954506,0.2807683716774626,0.28620888632429314,0.5420723557472229,0.34929581736845144,0.22134809259083824,0.11389601892395189,0.0076917337200039055,1.453749925176453,0.006651797778592471,0.008602991559833822,0.004580190557787798
