round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_f1_best,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17341521269829704,0.030072978066685147,3.65056,3.65056,0.9971592150692714,0.5051665339669804,0.11481085163970539,0.19149327832721222,0.19210134357954214,0.6134986932350712,1.6804729333030994,0.27100206648725006,0.38759729843379154,0.2511735390965524,0.48734306220376705,0.12056742797120787,1.058574558709646,0.2045002711006687,0.20458346517199294,0.5268347263336182,0.41979506622473617,0.2771498139324769,0.11389601892395189,0.02253130974572176,2.402651066193357,0.018528343127824982,0.025212296274050146
2.0,0.17050005427688444,0.01857682705164456,7.30112,7.30112,0.9971592150692714,0.5084245678251021,0.11481085163970539,0.21090032681487741,0.2352595292685755,0.6421778154222808,1.8490330845379321,0.28994438499068576,0.3815051502609535,0.2450427322593788,0.6449239801901382,0.1972880408978322,1.7321767939014705,0.2045002711006687,0.26424327158336247,0.5344710946083069,0.41837251576055445,0.2755516409287251,0.11389601892395189,0.01649449437624583,1.8319050420541316,0.013515102573055089,0.018492177385086947
3.0,0.16908319837245708,0.02780969750902949,10.95168,10.95168,0.9971592150692714,0.5177162223850614,0.11481085163970539,0.22529689117395638,0.2521554489488306,0.6563207173736578,1.9760195986345337,0.2989094482313478,0.3853506020450783,0.24692721353264116,0.6546917957557654,0.20857166660241705,1.8312463295286894,0.2045002711006687,0.267709073679223,0.5342872738838196,0.418708243042589,0.27563419004088013,0.11389601892395189,0.012695875285380277,1.4943251702934504,0.011457761742049554,0.013541929914493753
4.0,0.1656143731873577,0.027156447468586753,14.60224,14.60224,0.9971592150692714,0.5214321315663722,0.11481085163970539,0.22940802150311354,0.26390486162151716,0.6593528318892916,2.0095230456647806,0.3034147414897716,0.37734883249109885,0.24025387495596726,0.6561940780743558,0.2035180522596342,1.786875908239802,0.2045002711006687,0.2734161867232495,0.5347264409065247,0.41757764148030585,0.2747753723553277,0.11389601892395189,0.009729718745771963,1.210762721952051,0.009074226574076836,0.010194878111291331
5.0,0.16446347835189604,0.03438403621770666,18.2528,18.2528,0.9971592150692714,0.5172027419611709,0.11481085163970539,0.2337873399957592,0.27140966874653255,0.6617226335536488,2.0502418316891315,0.3059728362701223,0.374321681026951,0.23795381983128577,0.6522982137260983,0.20408719879573614,1.791872979616651,0.2045002711006687,0.2680219339307209,0.5329611897468567,0.4162817465694425,0.27368427094014475,0.11389601892395189,0.009711176576301378,1.273272079299204,0.00892364048056305,0.010291978816926426
6.0,0.16473209270059874,0.0344944353887867,18.2528,18.2528,0.0,0.5206744807808155,0.11481085163970539,0.24785854617953984,0.2866286537657192,0.6759360208031869,2.1786889844188844,0.3157630994239144,0.366925628019293,0.2313064542837152,0.6522982137260983,0.20408719879573614,1.791872979616651,0.2045002711006687,0.2680219339307209,0.5329611897468567,0.4162817465694425,0.27368427094014475,0.11389601892395189,0.0,0.0,,
7.0,0.1587452090937932,0.03974020411844884,18.2528,18.2528,0.0,0.5412868968736774,0.11481085163970539,0.2597066076972619,0.27667701045287346,0.6863014605218077,2.2898906796783316,0.3249202218668948,0.38936680284183184,0.24770566623766394,0.6522982137260983,0.20408719879573614,1.791872979616651,0.2045002711006687,0.2680219339307209,0.5329611897468567,0.4162817465694425,0.27368427094014475,0.11389601892395189,0.0,0.0,,
8.0,0.15475092628308698,0.047326739367249446,18.2528,18.2528,0.0,0.5341381652018882,0.11481085163970539,0.27292111751041853,0.2935292972816859,0.6947909401837249,2.408649720315336,0.32730858890692033,0.36126769212285437,0.22599635828712625,0.6522982137260983,0.20408719879573614,1.791872979616651,0.2045002711006687,0.2680219339307209,0.5329611897468567,0.4162817465694425,0.27368427094014475,0.11389601892395189,0.0,0.0,,
9.0,0.1639617902294656,0.03553867362731998,21.90336,21.90336,0.9971592150692714,0.5169114931726602,0.11481085163970539,0.2380598872401785,0.2715632927013927,0.6645296719552766,2.0847136858676727,0.3065944025035036,0.3794305888335519,0.2414759842241578,0.6553522734009501,0.2087441928824535,1.8327610995941088,0.2045002711006687,0.27415359207266726,0.531848669052124,0.4161386320734848,0.27357357114458747,0.11389601892395189,0.008726279285898893,1.208255847217515,0.007575736913581407,0.009603774543514357
10.0,0.16292890120029027,0.03130644225319208,21.90336,21.90336,0.0,0.5283239923111327,0.11481085163970539,0.2553051984692232,0.2799620335776772,0.6805987612458846,2.2448702520384916,0.3211467621405425,0.3794359658650906,0.2402187306496332,0.6553522734009501,0.2087441928824535,1.8327610995941088,0.2045002711006687,0.27415359207266726,0.531848669052124,0.4161386320734848,0.27357357114458747,0.11389601892395189,0.0,0.0,,
11.0,0.15894654437497885,0.03691896568077922,21.90336,21.90336,0.0,0.5349181552301561,0.11481085163970539,0.26202552545555385,0.2879218282470152,0.6889984428757434,2.3153032524661694,0.32863390211908833,0.3777308242619805,0.2385424280847791,0.6553522734009501,0.2087441928824535,1.8327610995941088,0.2045002711006687,0.27415359207266726,0.531848669052124,0.4161386320734848,0.27357357114458747,0.11389601892395189,0.0,0.0,,
12.0,0.15571751713994073,0.06282146324097988,21.90336,21.90336,0.0,0.535465620422015,0.11481085163970539,0.2764765791356733,0.2968908477842566,0.7013756889626697,2.44600620982389,0.337137294812142,0.3761963518878665,0.23689510009309256,0.6553522734009501,0.2087441928824535,1.8327610995941088,0.2045002711006687,0.27415359207266726,0.531848669052124,0.4161386320734848,0.27357357114458747,0.11389601892395189,0.0,0.0,,
13.0,0.16155951151977205,0.036864489910009166,25.55392,25.55392,0.9971592150692714,0.5231810139125534,0.11481085163970539,0.24146137655183583,0.28053259179100326,0.6668986400234777,2.1150181781238717,0.3091633949180426,0.37609921354602777,0.2386077367249234,0.6592697604545592,0.21184355487916542,1.8599733061838877,0.2045002711006687,0.27598665925514176,0.5313860177993774,0.41471441057933234,0.27223675123880614,0.11389601892395189,0.0087292982020393,1.2803990349639207,0.006886374563486078,0.010165203991819563
14.0,0.1620477161186026,0.03878562211210414,25.55392,25.55392,0.0,0.5181877300074771,0.11481085163970539,0.2567150405506116,0.2895052321141346,0.6797698146542944,2.260207719194249,0.3218973473497851,0.3618775996847765,0.22747482302103528,0.6592697604545592,0.21184355487916542,1.8599733061838877,0.2045002711006687,0.27598665925514176,0.5313860177993774,0.41471441057933234,0.27223675123880614,0.11389601892395189,0.0,0.0,,
15.0,0.1567403085750192,0.0414115318288177,25.55392,25.55392,0.0,0.5381529732123265,0.11481085163970539,0.268258189107682,0.2881495747145036,0.6944731682419273,2.3675110798470236,0.33154554581497997,0.3789377070856924,0.23913584557238837,0.6592697604545592,0.21184355487916542,1.8599733061838877,0.2045002711006687,0.27598665925514176,0.5313860177993774,0.41471441057933234,0.27223675123880614,0.11389601892395189,0.0,0.0,,
16.0,0.15358896589699203,0.05430215194933925,25.55392,25.55392,0.0,0.5326467554962581,0.11481085163970539,0.2813789888893626,0.2998861860370812,0.7024117875071423,2.4916589883312352,0.34370818952303517,0.36555741215608345,0.22909454415308902,0.6592697604545592,0.21184355487916542,1.8599733061838877,0.2045002711006687,0.27598665925514176,0.5313860177993774,0.41471441057933234,0.27223675123880614,0.11389601892395189,0.0,0.0,,
17.0,0.16228876454408586,0.04705613944315853,29.20448,29.20448,0.9971592150692714,0.5213282224893674,0.11481085163970539,0.24298588060441048,0.2826779170195282,0.6692133465222374,2.128433298535181,0.31142014570179083,0.3706395036681089,0.23436604087346877,0.6591459350142203,0.20983498054188793,1.8423381477626033,0.2045002711006687,0.2753101240496199,0.5306711792945862,0.41360396097276253,0.2713310990294804,0.11389601892395189,0.0078984773531868,1.2310044418554753,0.006218943705403455,0.009233965213480343
18.0,0.15988079093416152,0.043676513809762625,29.20448,29.20448,0.0,0.5244261636629407,0.11481085163970539,0.26179981919339484,0.2878726611823179,0.6834537808416937,2.3053003747550735,0.3208895334076819,0.3742480180140385,0.23608443983633287,0.6591459350142203,0.20983498054188793,1.8423381477626033,0.2045002711006687,0.2753101240496199,0.5306711792945862,0.41360396097276253,0.2713310990294804,0.11389601892395189,0.0,0.0,,
19.0,0.15595369065919634,0.04118799661124952,29.20448,29.20448,0.0,0.5308571222063022,0.11481085163970539,0.27921342425090867,0.29205517459107566,0.6970114952714255,2.467150708085743,0.3343948801062712,0.37125309522768957,0.23323071810297147,0.6591459350142203,0.20983498054188793,1.8423381477626033,0.2045002711006687,0.2753101240496199,0.5306711792945862,0.41360396097276253,0.2713310990294804,0.11389601892395189,0.0,0.0,,
