round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_f1_best,fed_ece,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6334626819326401,0.12163051738329189,3.65056,3.65056,0.9971592150692714,0.020855583429637718,1.8440848082007109,0.27678280400289085,0.2636604765436542,0.6369472096837971,0.10985206169342146,0.38678211401309615,0.17169847350502315,0.20179255500281099,0.35704014705146364,0.08290912394629062,0.7279369790936139,0.20374389582202931,0.20450951154489178,0.49282106757164,0.4279172542866874,0.2851964537416675,0.11389601892395189,0.026246282641376628,2.8280186792835593,0.021407592456924824,0.02944954171428459
2.0,0.6223864335861422,0.23335455524759846,7.30112,7.30112,0.9971592150692714,0.007585581708366157,1.9399234863127646,0.29340284827341523,0.16858930115992254,0.6615486173521643,0.10985206169342146,0.31612492740660825,0.13198752492875435,0.21100559702916305,0.3454738570072298,0.08135120754476627,0.7142585694683875,0.20039096240396417,0.2045002711006687,0.4758812487125397,0.4384268411566947,0.29541502555267946,0.11389601892395189,0.018095585800471978,2.059743883088231,0.014242531432087034,0.020699569306913003
3.0,0.6144563705465631,0.3633249455369106,10.95168,10.95168,0.9971592150692714,0.007864116814970947,1.9877815729772448,0.2967750165290436,0.10139924150392965,0.6676553362328772,0.10985206169342146,0.25001837182221337,0.11322064970566813,0.2157159374284333,0.3502995729823155,0.08233036468209742,0.722855508558813,0.19947171873576827,0.2045002711006687,0.46893030405044556,0.4305851704923476,0.28830091788388323,0.11389601892395189,0.012989026366511376,1.5692525564227253,0.010788030352035566,0.01450951289140687
4.0,0.6067653211030053,0.4271260165499431,14.60224,14.60224,0.9971592150692714,0.006794161317296351,2.0399025404292925,0.29873364607240144,0.08904144911644853,0.6745005327672667,0.10985206169342146,0.2425006367873575,0.10993816738489656,0.2212843497500431,0.3504758927792914,0.08266916855262854,0.7258301855820488,0.19388413005434282,0.2045002711006687,0.4509628415107727,0.42863765728810255,0.2864789561970698,0.11389601892395189,0.010305755640168772,1.3196195883210748,0.009672446726208931,0.010756285537771708
5.0,0.6041523187349702,0.4229843585371558,18.2528,18.2528,0.9971592150692714,0.01552315819194774,2.0865003437101706,0.3020799499019407,0.08644930885100388,0.6778386746175638,0.10985206169342146,0.24678709857824802,0.10942380822675496,0.2263242791584487,0.33981986466771635,0.0810003471685693,0.7111780370712786,0.19323849990762978,0.2045002711006687,0.4433490037918091,0.4364712057148925,0.29389734928408984,0.11389601892395189,0.009278059144905057,1.2599348912481219,0.008542433966773984,0.009819463436779703
6.0,0.602634604520867,0.41965020300680733,18.2528,18.2528,0.0,0.04723224735280368,2.1941118349617197,0.31050994525140124,0.06727330102018021,0.6883244841293423,0.10985206169342146,0.21300065699972975,0.10521501827882637,0.23655828831776854,0.33981986466771635,0.0810003471685693,0.7111780370712786,0.19323849990762978,0.2045002711006687,0.4433490037918091,0.4364712057148925,0.29389734928408984,0.11389601892395189,0.0,0.0,,
7.0,0.587155239264894,0.34459702744885046,18.2528,18.2528,0.0,0.06495273081879505,2.280896808799971,0.3189800436491571,0.0727819602179019,0.7000768120099659,0.10985206169342146,0.22007246748959078,0.10512417864367792,0.24569820334783665,0.33981986466771635,0.0810003471685693,0.7111780370712786,0.19323849990762978,0.2045002711006687,0.4433490037918091,0.4364712057148925,0.29389734928408984,0.11389601892395189,0.0,0.0,,
8.0,0.570644511586327,0.4105795408724096,18.2528,18.2528,0.0,0.10101397885779728,2.3739201987143725,0.32430363668583023,0.06619227536739111,0.7077608072672343,0.10985206169342146,0.22889136402607713,0.10372483370185422,0.2558507149064776,0.33981986466771635,0.0810003471685693,0.7111780370712786,0.19323849990762978,0.2045002711006687,0.4433490037918091,0.4364712057148925,0.29389734928408984,0.11389601892395189,0.0,0.0,,
9.0,0.5992221443033539,0.4024365295127095,21.90336,21.90336,0.9971592150692714,0.03818234300956351,2.107728102099559,0.30471976504773,0.08251680168301234,0.6789225198394794,0.10985206169342146,0.2325066253885294,0.10817280562952247,0.22868069642769806,0.36006757678971874,0.08403844169156624,0.7378523190321385,0.18572033698875134,0.2045002711006687,0.4489443898200989,0.41091287902997575,0.27112854381577334,0.11389601892395189,0.009072790565280094,1.2993271839804947,0.00729462144765581,0.010423745348324982
10.0,0.5972464832609837,0.35402935969230503,21.90336,21.90336,0.0,0.052594612546344864,2.2127533855738255,0.3143990933799384,0.06966291784918886,0.6921593362493224,0.10985206169342146,0.21882937283852888,0.10562024209470751,0.23955466708813689,0.36006757678971874,0.08403844169156624,0.7378523190321385,0.18572033698875134,0.2045002711006687,0.4489443898200989,0.41091287902997575,0.27112854381577334,0.11389601892395189,0.0,0.0,,
11.0,0.5792391934862592,0.391509018711253,21.90336,21.90336,0.0,0.07688745457202127,2.3146568978809077,0.325707329313626,0.06812279375526804,0.7002021430536727,0.10985206169342146,0.22195348402858722,0.10424701057762382,0.2497399148588197,0.36006757678971874,0.08403844169156624,0.7378523190321385,0.18572033698875134,0.2045002711006687,0.4489443898200989,0.41091287902997575,0.27112854381577334,0.11389601892395189,0.0,0.0,,
12.0,0.5679490124327693,0.4729350878618071,21.90336,21.90336,0.0,0.09559452034607595,2.394683007596516,0.3263301805555957,0.0692742732082349,0.7069788768956298,0.10985206169342146,0.23010857731694878,0.10365691007864872,0.25758230627278306,0.36006757678971874,0.08403844169156624,0.7378523190321385,0.18572033698875134,0.2045002711006687,0.4489443898200989,0.41091287902997575,0.27112854381577334,0.11389601892395189,0.0,0.0,,
13.0,0.5900572831571055,0.3955778624743306,25.55392,25.55392,0.9971592150692714,0.06062776133851926,2.1293904927807668,0.30423125223039876,0.08381350822101835,0.6811082924305022,0.10985206169342146,0.2373317328139525,0.1076741460082277,0.2312065585429286,0.3400321009955781,0.0810478080586263,0.7115947407498214,0.1778892533281883,0.20450951154489178,0.4315885901451111,0.4241687410088608,0.2838487412294876,0.11389601892395189,0.008891966910246634,1.3489563243929297,0.006805727957950033,0.010511468303432822
14.0,0.5892213547015601,0.3727833797392407,25.55392,25.55392,0.0,0.070503731610638,2.249681393462656,0.31334863248382583,0.08118130260316885,0.6921117854378712,0.10985206169342146,0.22219062458992303,0.1074781164199145,0.24317554216162016,0.3400321009955781,0.0810478080586263,0.7115947407498214,0.1778892533281883,0.20450951154489178,0.4315885901451111,0.4241687410088608,0.2838487412294876,0.11389601892395189,0.0,0.0,,
15.0,0.573381411040872,0.3987767536029589,25.55392,25.55392,0.0,0.09723501953907362,2.3673580059614032,0.32613467045225153,0.07073607500836014,0.702436530651432,0.10985206169342146,0.23312759996961419,0.1038383229760057,0.2554264457305007,0.3400321009955781,0.0810478080586263,0.7115947407498214,0.1778892533281883,0.20450951154489178,0.4315885901451111,0.4241687410088608,0.2838487412294876,0.11389601892395189,0.0,0.0,,
