round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_brier,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17052859551277383,0.03700793072842457,3.65056,3.65056,0.9971592150692714,0.615728329937968,0.3926164336162503,0.25357501699767493,0.267322633696806,0.11337740006295247,0.5106049279747124,0.21752190699464186,1.7749629456757956,0.19243233536740195,0.5730952103310701,0.14540635414306402,1.2766587938438085,0.2215909090909091,0.22575331847689178,0.5006058216094971,0.3854723539057348,0.2493316285775216,0.11389601892395189,0.02301877752950522,2.4836486477870494,0.0195322467837098,0.025325060859175394
2.0,0.17092489200433864,0.03076674887472023,5.632,5.632,0.5412350858791136,0.6570738584300042,0.3843755031161088,0.245928803944327,0.28858232103351567,0.11337740006295247,0.5127047282121523,0.2454922662647023,2.033328559056844,0.2244102444830849,0.5732543373791594,0.14152610421073603,1.2425904394887821,0.22000778513040092,0.2217328703311595,0.5009346008300781,0.38510733673356434,0.2489172698876191,0.11389601892395189,0.01703165452332226,1.1563623833935708,,0.01703165452332226
3.0,0.16806301623443137,0.045706353502435126,7.61344,7.61344,0.5412350858791136,0.67237837301789,0.380514179478286,0.2419320387543803,0.2998597396856334,0.11337740006295247,0.5123200187001695,0.25954180329336424,2.142834198322315,0.2369969908877527,0.580446541117601,0.1442667449754439,1.2666530958537758,0.22622705755335937,0.22708405396056727,0.5005958676338196,0.38456453145903274,0.24843263919683958,0.11389601892395189,0.013616194178240209,0.9740017000585794,,0.013616194178240209
4.0,0.16436285325270053,0.04247329440729919,9.59488,9.59488,0.5412350858791136,0.6838376047873231,0.37781172587806267,0.23904203245814168,0.312453317436645,0.11337740006295247,0.5141538653746693,0.2829501296237555,2.234982612913381,0.24711640836940463,0.5671167895651208,0.1391082369145163,1.2213617142088042,0.21967263270613432,0.22293050022133684,0.5023027658462524,0.38589904881926423,0.24956912210240376,0.11389601892395189,0.011868245060574103,0.8904920330969617,,0.011868245060574103
5.0,0.16695631271270642,0.042295652612737974,11.264,11.264,0.4559241291901578,0.6577068785196524,0.37966588858842176,0.24097383171221365,0.285779102457354,0.11337740006295247,0.5107670664074364,0.26339775512921976,2.0360075544274605,0.2256280613130418,0.5615797957641986,0.1333924001810367,1.1711770212978427,0.21962616822429906,0.2203132127109624,0.49885818362236023,0.3850901807834664,0.2486193025418707,0.11389601892395189,0.014759337297669725,0.6653133828658611,0.014759337297669725,
6.0,0.16334495921718134,0.11057031138381383,13.24544,13.24544,0.5412350858791136,0.6709309128526394,0.37758674798313463,0.238909261818318,0.2986269523334053,0.11337740006295247,0.513966396660185,0.27762334047388565,2.1423264944227194,0.2390304468499054,0.5626864189682654,0.1340117635826461,1.176614993647192,0.2196220930232558,0.22050396962374874,0.49890556931495667,0.3862799116593073,0.24986403212746344,0.11389601892395189,0.009175025659965108,0.7210097586503252,,0.009175025659965108
7.0,0.1604988070876733,0.04859316870888645,15.22688,15.22688,0.5412350858791136,0.6840122397169411,0.3786043560707536,0.23960539109228737,0.31235210983554135,0.11337740006295247,0.5108147443597858,0.2862359753307839,2.2635535973742362,0.25200525768159127,0.5466057146488597,0.13038878655859415,1.144805479510697,0.21056094752426385,0.21504955659885236,0.49502453207969666,0.38386399975042107,0.24817101909845332,0.11389601892395189,0.008813663115389588,0.7162083344301209,,0.008813663115389588
8.0,0.15852100408727737,0.06801308820227223,17.20832,17.20832,0.5412350858791136,0.6918818749824543,0.38016310132896897,0.23970295473139627,0.32319732830064163,0.11337740006295247,0.5189895850740815,0.2921349165342376,2.3655230372456497,0.2623021480648571,0.5570269299688889,0.13090441496629548,1.149332665031076,0.21370634000993213,0.21960993855196365,0.49470558762550354,0.383707369054544,0.24789660275370848,0.11389601892395189,0.009596032572581382,0.806811346206814,,0.009596032572581382
9.0,0.15555728054716675,0.0978099377608937,19.18976,19.18976,0.5412350858791136,0.7011294333172308,0.37584451397785346,0.23603117565119736,0.32883643150331576,0.11337740006295247,0.527298621017677,0.2947920666190826,2.4914294751620174,0.27546321158947806,0.5597409120509825,0.130590258305921,1.146574388988221,0.21370003416467373,0.22036579963293465,0.4912004768848419,0.3821470410710186,0.2466169993192453,0.11389601892395189,0.009842231973157454,0.8643415227998048,,0.009842231973157454
10.0,0.1599806220768542,0.04507371132898067,22.84032,22.84032,0.9971592150692714,0.6609474155353164,0.3705448381886529,0.23402749608787632,0.2882630733632562,0.11337740006295247,0.5107261285603253,0.2674592630312052,2.076105119510865,0.23243147432464573,0.5630901724791628,0.13395921255231075,1.1761535988519054,0.2144492696407422,0.22125695669879195,0.4955402612686157,0.3830600311375269,0.24731344992769058,0.11389601892395189,0.009051460255375322,1.2660011420957744,0.012896036401161309,0.00702237139686043
