round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_auroc,fed_prevalence,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6892401133416572,0.09401578148399992,3.65056,3.65056,0.9971592150692714,0.21131774278142512,1.0696712125564274,0.22362435570633304,0.40570072836100174,0.3491429671307566,0.5010754490824743,0.11208307111390806,0.11769568202429403,0.07641317425825546,0.5617618757595242,0.14366399653806927,1.2613610018625268,0.17284424812752064,0.21608448415922016,0.4517626464366913,0.3454158341460429,0.21993975639703794,0.11389601892395189,0.02867758374287572,3.054399735527113,0.023884076330005076,0.03187780419026719
2.0,0.6991176821942893,1.2010361605748092,5.632,5.632,0.5412350858791136,0.2425693718866817,1.6070992848007528,0.25401268753297124,0.519158223181344,0.39376054335903665,0.5837987469891444,0.11208307111390806,0.18026484924895994,0.20876131459638642,0.5323504535798541,0.13966178309492733,1.2262218154277997,0.18407471123126076,0.20738974970202623,0.45500704646110535,0.35784866142941324,0.230392985468272,0.11389601892395189,0.008178681464801638,2.562055207323283,,0.008178681464801638
3.0,0.6974240994373466,1.956328075763561,7.61344,7.61344,0.5412350858791136,0.2657829349043635,1.7890734378844966,0.22694281897061108,0.49416667493241906,0.3592399393906377,0.6237211138577742,0.11208307111390806,0.20044130286494616,0.24796748441440317,0.5733051501092631,0.1557630912546296,1.3675903049660783,0.15964831096714485,0.22386915410171226,0.42290836572647095,0.30515170514709583,0.19482763921939375,0.11389601892395189,0.003442216662498137,1.9338600530754775,,0.003442216662498137
4.0,0.6965294610664321,2.91418209710002,9.59488,9.59488,0.5412350858791136,0.27276044632478785,1.8598942732315038,0.22681411630174986,0.5116469854093931,0.35907669315704227,0.6394215190299521,0.11208307111390806,0.20980029912071724,0.25513390858334994,0.5090918518969927,0.13139848366835738,1.1536705576697273,0.16363636363636364,0.20500410921377044,0.2793136537075043,0.3310997668934778,0.21545890696213682,0.11389601892395189,0.001684248015913982,1.3551401864970103,,0.001684248015913982
5.0,0.7107965105481432,4.294832884162411,11.264,11.264,0.4559241291901578,0.26542704816239165,1.7678468359733321,0.22228600397495685,0.4969603966680092,0.3509923157994292,0.6275232158765361,0.11208307111390806,0.19827756639164865,0.24465600921706523,0.4862691177720366,0.12535859167733823,1.100640679645176,0.15307336417713152,0.20450230539734202,0.11489259451627731,0.32631895649833015,0.21917623792136853,0.11389601892395189,0.0032337456935568284,0.8104714769870043,0.0032337456935568284,
6.0,0.7143422855310047,5.197995351748068,13.24544,13.24544,0.5412350858791136,0.2724638341556719,1.7992147496235786,0.24420314546421362,0.5282486429636098,0.3821836034510028,0.6400628703178796,0.11208307111390806,0.2027446236971136,0.2489140893074461,0.42391248584610086,0.09484898406968903,0.8327682123202171,0.1484450144277012,0.2045649717514124,0.12801948189735413,0.4011192110731933,0.2894907904457032,0.11389601892395189,0.0014607681134899124,1.5270269386237487,,0.0014607681134899124
7.0,0.7226763487936844,6.723451415743628,15.22688,15.22688,0.5412350858791136,0.2769287490452989,1.8624594611524306,0.24568895788233416,0.5421742042893504,0.38325149205339215,0.6479078956387463,0.11208307111390806,0.20941947848578407,0.2520602833668381,0.44439630335317837,0.10415887330229057,0.9145084638281976,0.17174662072621255,0.2045649717514124,0.13986355066299438,0.4443546129984292,0.3241261364541143,0.11389601892395189,0.0009600130219180181,1.2325915893306956,,0.0009600130219180181
8.0,0.7373742178248868,10.531865373820773,17.20832,17.20832,0.5412350858791136,0.2816449885660543,1.948204250306634,0.21598028522440593,0.5106077092915978,0.34144863755781546,0.6547431323448081,0.11208307111390806,0.2170443018116148,0.2601869110865217,0.4175501397030067,0.0929158239616293,0.8157951861659799,0.17027275513331291,0.2045002711006687,0.07343300431966782,0.48682360006361786,0.3754264391658775,0.11389601892395189,0.0008276974029147089,1.2642719198483974,,0.0008276974029147089
9.0,0.7286697032189727,11.010718512898164,19.18976,19.18976,0.5412350858791136,0.2795140048003754,1.9798006487395667,0.21456093055541825,0.5061199494320465,0.3401043417589836,0.6537914713874355,0.11208307111390806,0.2204330941810736,0.25694598090532234,0.4387000193612941,0.09998699917225387,0.8778796670585559,0.1749872643912379,0.2045619116582187,0.10808628797531128,0.47545915880417255,0.36644380726495507,0.11389601892395189,0.0006120548571878032,1.079275411204435,,0.0006120548571878032
10.0,0.7612156114806674,14.118107826174636,22.84032,22.84032,0.9971592150692714,0.2614606414720547,1.7411479368976097,0.217832159651518,0.49696542188159454,0.34072381878908203,0.6243714698775865,0.11208307111390806,0.19530062212611085,0.23868402504134703,0.4769716556577019,0.11156370377331949,0.9795224172656142,0.17923308918569583,0.2045002711006687,0.0005119298584759235,0.4233088691160289,0.3118541169906524,0.11389601892395189,0.0007914768135577618,1.959572566789575,0.0013852429247809043,0.0006552787629424252
11.0,0.8089542703222777,31.54184510120013,24.82176,24.82176,0.5412350858791136,0.26865419891159814,1.8129324692950743,0.21631942454510034,0.4942547177934584,0.34343890582871844,0.6379884983679456,0.11208307111390806,0.20247070012907237,0.2489498794280102,0.4571856002169349,0.10431138397428927,0.9158474980933069,0.1703597607212065,0.20450951154489178,0.0015359882963821292,0.3864807343108146,0.2783189813729178,0.11389601892395189,0.0006024620823166242,1.362469221232459,,0.0006024620823166242
