round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6309525231526877,0.13007231285556248,3.66096,3.66096,1.0,1.9130894905172464,0.0,0.1112006078481163,0.1171932682096733,0.115055387713998,0.2958108887959781,0.6582626921107131,0.25547216207348,0.21890017003920845,0.6633665791735623,0.21230090602078455,1.8639888209133753,0.0,0.2799904030710173,0.25112906098365784,0.11613288400008974,0.11038071019247513,0.11389601892395189,0.019298740086249974,2.0925830639898777,0.01902680291827359,0.019576253027691705,0.00834734787816487
2.0,0.6312525040962419,0.4617696296869571,7.32192,7.32192,1.0,1.9630088921481958,0.0,0.10573440590076538,0.09236292464237508,0.115055387713998,0.3001216866829494,0.6625192637638745,0.24439578713738513,0.22403393470733365,0.6684812337255572,0.2186551223242137,1.9197784469552814,0.0,0.28659649122807024,0.2457996904850006,0.09042764761480425,0.1048450302701082,0.11389601892395189,0.013957344071747566,1.5852131484425627,0.013991806473310942,0.013994177260734104,0.0065478225457042735
3.0,0.6241872104907977,0.4444034502657977,10.98288,10.98288,1.0,2.024119129860332,0.0,0.10653155484826879,0.09846495374969665,0.115055387713998,0.3003743173534163,0.6665263021903722,0.25623259900376005,0.23151457326535937,0.6710958868971124,0.22323773867631777,1.960013535024197,0.0,0.28939597315436244,0.2418975532054901,0.09634964596829805,0.10572831775438322,0.11389601892395189,0.011352621675942497,1.356297965045087,0.011275011702269721,0.011435589831190007,0.0074718039833677466
4.0,0.6254940694576775,0.4160739708546307,14.64384,14.64384,1.0,2.037783364523589,0.008472146352369276,0.10208612756111513,0.07485834721167275,0.115055387713998,0.3014786022297287,0.6684275088497186,0.2251515512233685,0.23349726382667912,0.6713393839092636,0.22489765445737764,1.9745874928915759,0.00962800875273523,0.28908384869840353,0.22086915373802185,0.07224395341139608,0.10136083855739124,0.11389601892395189,0.009798854526402712,1.2370453686453402,0.009105477039998368,0.010299392448347036,0.009704806019992681
5.0,0.6341273718623459,0.5209667751557224,18.3048,18.3048,1.0,2.0825109636267123,0.016874191630329088,0.09971686636592826,0.0578869934745268,0.115055387713998,0.3019241607291313,0.6703998841425698,0.21297553056627816,0.23755854566007362,0.6736261701046057,0.22637257537409122,1.9875372072946613,0.021663778162911613,0.29054151624548735,0.20354685187339783,0.05344435486715102,0.09901944370183709,0.11389601892395189,0.009679688684621312,1.2956778267689515,0.008892123141700216,0.010279771405197374,0.008020720717806488
6.0,0.647882673231116,0.7497976080785075,21.96576,21.96576,1.0,2.1124774291853505,0.02244681431387257,0.10057479300912381,0.06782392570083025,0.115055387713998,0.304580547008783,0.6727762058463451,0.2127939665592524,0.24136593778780505,0.6732274865722121,0.22707753284876234,1.9937266903102335,0.030848329048843187,0.2899333121625913,0.21878980100154877,0.062422291062162176,0.10004628392413008,0.11389601892395189,0.008582394388171604,1.2179340704751667,0.007884979341364168,0.0091351216767159,0.007185855509085282
7.0,0.6457029941485686,0.6295277433376734,25.62672,25.62672,1.0,2.173860338482765,0.03004251250482297,0.10116181922153974,0.07422351293605335,0.115055387713998,0.3101163427818631,0.6747167888635665,0.22446970685412362,0.24787914979484396,0.6737603990404388,0.22815589195434363,2.0031946165447874,0.03411513859275053,0.2896999188969992,0.22041630744934082,0.068126520773153,0.10074850176206569,0.11389601892395189,0.008620716100534224,1.2894072194467299,0.007262638608921432,0.009723134979498647,0.008092319402395923
8.0,0.6328541445657913,0.5672405801440831,29.28768,29.28768,1.0,2.19439954685146,0.0360802762288472,0.10018712218609516,0.06732642556065158,0.115055387713998,0.3101510393482871,0.6764832700675443,0.22305955866507415,0.25002744770848073,0.6739968181618075,0.22892024391930482,2.0099055795106793,0.04066073697585769,0.2887333999714408,0.2081805318593979,0.061841241378074466,0.09986606329419163,0.11389601892395189,0.008408341595107003,1.3365954982291441,0.006753666782218815,0.009801092780661172,0.0069629540942288655
9.0,0.646624101279217,0.8434488961943952,32.94864,32.94864,1.0,2.230417794249761,0.08861396830814493,0.0992394769160237,0.0602243340051098,0.115055387713998,0.3125345364936793,0.6780908241170945,0.21007047602972478,0.2544944305336566,0.6731119688689264,0.2281181363528061,2.00286312469903,0.07967806841046278,0.28868623539469934,0.19646596908569336,0.054604509395300045,0.09921680001623644,0.11389601892395189,0.007723138853947664,1.2996823780413251,0.006076190886954033,0.009151674971978883,0.006201802010865218
10.0,0.6345092143056171,0.8865847587771816,36.6096,36.6096,1.0,2.2726557111280736,0.06409843696219106,0.09924440671908161,0.0641920440940492,0.115055387713998,0.31702704428378625,0.6804232468245691,0.20306078563345836,0.2595631109783537,0.67188612587331,0.22747609442443836,1.9972260362877445,0.05493133583021224,0.29049919484702097,0.2069619596004486,0.05738741430178389,0.09944371757518847,0.11389601892395189,0.008257305616343733,1.4734625027922448,0.00633322338349884,0.009964259887639623,0.007409796797026389
