round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6350026168985827,0.14435369928704148,3.65056,3.65056,0.9971592150692714,0.17907148984874083,0.6284474071641672,0.39121608108409645,0.0355489999350676,1.760710532049201,0.26568093246893826,0.11430010070493456,0.2796197685138691,0.19916026234125098,0.6023795944107553,0.16157649724006384,1.4186316498731013,0.02050405809483127,0.24077841662980984,0.48761117458343506,0.3734639751841566,0.24014269112549935,0.11389601892395189,0.026770927342700587,2.873907335102558,0.021510275804412126,0.03025705426896085
2.0,0.620833234478529,0.2651316947804786,5.632,5.632,0.5412350858791136,0.13180273161460546,0.6727061841375286,0.3035376817466315,0.008450430937270118,2.050141619978511,0.15797176634309454,0.11430010070493456,0.3053115514351944,0.2319853454434981,0.449123644176058,0.10134826896171231,0.8898315315953433,0.13367675466838377,0.2047508743243857,0.4910334348678589,0.38442263728635495,0.24881900186740333,0.11389601892395189,0.022049835755056625,1.4788155891001225,,0.022049835755056625
3.0,0.6060274783798902,0.3979486922090772,7.61344,7.61344,0.5412350858791136,0.11759173612851542,0.6842885793854078,0.27061512850952774,0.003444566511031768,2.1898330093848735,0.11803142164579675,0.11430010070493456,0.319298405636427,0.24755972504971457,0.6314746323625563,0.18877743863321483,1.6574542325246775,0.026405451448040886,0.26077856843867725,0.4823182225227356,0.36752428373079,0.2355656953042869,0.11389601892395189,0.015033691354195371,1.0562183414585888,,0.015033691354195371
4.0,0.6012612954176779,0.4541325505693766,9.59488,9.59488,0.5412350858791136,0.11091973702333018,0.6886372069629411,0.2597569110836132,0.02538197333156159,2.2847262309296337,0.09091029911733928,0.11430010070493456,0.32368121829014374,0.25740454495864334,0.6354021087797521,0.1869682551493761,1.6415697134613139,0.00087527352297593,0.2638058389025677,0.4792569577693939,0.3636840443614385,0.23273635829280112,0.11389601892395189,0.012496075752554275,0.9214065812993795,,0.012496075752554275
5.0,0.6029489244900998,0.4705126323283625,11.264,11.264,0.4559241291901578,0.10863215772003047,0.6693401076552403,0.21219745063066317,0.02382272981969801,2.0474660159668776,0.07332210300381466,0.11430010070493456,0.30062657745255467,0.23031100889408165,0.6457281114094144,0.18906674676026555,1.6599943399821988,0.0017528483786152498,0.2729351969504447,0.4804648756980896,0.36369984880344,0.23263322886982915,0.11389601892395189,0.015065552530434519,0.6824562377296388,0.015065552530434519,
6.0,0.6048398992003932,0.49450659923068574,13.24544,13.24544,0.5412350858791136,0.11013472811998395,0.680762917582835,0.2374905259681402,0.02280625947192777,2.185570119417077,0.08211330043771918,0.11430010070493456,0.31454164262079115,0.24543187922654305,0.667121149244656,0.2020969455740376,1.774398679456718,0.0,0.2872912929488064,0.45927900075912476,0.3339145276619555,0.21064857795379974,0.11389601892395189,0.009126685059194152,0.7080691212322563,,0.009126685059194152
7.0,0.5945565202497529,0.4602356035515546,15.22688,15.22688,0.5412350858791136,0.1100126229029635,0.6910708988550421,0.2521058702869538,0.04730288331071317,2.308671724012899,0.08568216711099844,0.11430010070493456,0.3266186095637001,0.2591403377349109,0.6650490967180724,0.20029000107713546,1.7585338185601433,0.0,0.2828929810515079,0.46039989590644836,0.33702147381373737,0.21292137920077414,0.11389601892395189,0.009113595107242226,0.7316344103310257,,0.009113595107242226
8.0,0.5790203953330677,0.40619282442332916,17.20832,17.20832,0.5412350858791136,0.10707673776603914,0.6997292907542834,0.24092693995564335,0.0792928116775021,2.4029136223326,0.07450144087580621,0.11430010070493456,0.3335537384864386,0.26911902629081386,0.6633420700943101,0.1975347934382112,1.7343432659407063,0.0,0.281698654979598,0.4586951434612274,0.3295158420756104,0.20759731052957936,0.11389601892395189,0.009423739539917873,0.7894901481922716,,0.009423739539917873
9.0,0.572422461805324,0.5481873477581122,19.18976,19.18976,0.5412350858791136,0.10632426407062726,0.7093595213720629,0.24645312387901402,0.10830163307582549,2.537852009287077,0.07418237623041364,0.11430010070493456,0.34819643390441046,0.2839163917166886,0.6586032716219901,0.19476774116651063,1.7100487181782589,0.0008787346221441124,0.278031878031878,0.45948055386543274,0.33445865719966,0.21111110204218358,0.11389601892395189,0.00870010809335256,0.7674326472915709,,0.00870010809335256
10.0,0.5961108648873317,0.5170615932526402,22.84032,22.84032,0.9971592150692714,0.1107242689830054,0.6715046517440152,0.23772334365018485,0.054201848824657485,2.1085869814575364,0.08413192692910548,0.11430010070493456,0.3046023243764464,0.2384857365016018,0.6624534559659064,0.19973680913670516,1.7536768275462638,0.0,0.28118135220893337,0.4630924463272095,0.3388638246178813,0.21403448443534265,0.11389601892395189,0.010061166705563238,1.4136329758912325,0.014147374763216918,0.007895898791767468
11.0,0.5910843347723735,0.3798137014974253,24.82176,24.82176,0.5412350858791136,0.11116965284593165,0.6857703477537311,0.2571939374906389,0.07913396223315891,2.294460343589466,0.08832514624571858,0.11430010070493456,0.31417395412562404,0.2589734439264216,0.6632256613799509,0.20028132319996053,1.7584576273354025,0.000877963125548727,0.2803076547430106,0.46045613288879395,0.3344410233684452,0.21092167912439042,0.11389601892395189,0.006902823689329576,0.6507388649042696,,0.006902823689329576
12.0,0.5797430332028325,0.39292140277209675,26.8032,26.8032,0.5412350858791136,0.10857533136607218,0.6965255735004963,0.256157469151641,0.08683184057315425,2.451573388700908,0.08122407525160219,0.11430010070493456,0.32863516196873,0.2752469098672631,0.6609810162435585,0.19642607254997058,1.7246087651327289,0.0008775778850372971,0.2783319312582622,0.4589938819408417,0.3341653831991217,0.21076893626174462,0.11389601892395189,0.007536004610992342,0.7370159978745505,,0.007536004610992342
13.0,0.5657897543205362,0.47248468616223577,28.78464,28.78464,0.5412350858791136,0.10550241428447271,0.7046263504946176,0.2390616565730802,0.10875589784623878,2.5461697947256754,0.07052416407941883,0.11430010070493456,0.3358482055222541,0.2846009423987877,0.6597526759070456,0.1936540906091897,1.700270935180729,0.0,0.27803246190063186,0.45872652530670166,0.3315164110889024,0.2089412321774081,0.11389601892395189,0.008075988397275614,0.8241232752334327,,0.008075988397275614
14.0,0.550673875428261,0.6395624668617854,30.76608,30.76608,0.5412350858791136,0.10418921730514495,0.714573117422606,0.2444569664723113,0.12550352106275042,2.6625879582907874,0.0715649528010966,0.11430010070493456,0.34884455253630464,0.29665336370515233,0.6580830341000228,0.19544289895359146,1.7159765617803395,0.0,0.276979293544458,0.45772966742515564,0.33191073801942395,0.20930680049044392,0.11389601892395189,0.007610161594860967,0.8120133401826024,,0.007610161594860967
15.0,0.5919552682941416,0.6389820195544954,32.4352,32.4352,0.4559241291901578,0.10844755063722583,0.675157192470914,0.2507926125148797,0.06909623426787397,2.1904474666775693,0.07914040009699826,0.11430010070493456,0.30496789190393364,0.24841218185584726,0.6598419025089316,0.19441621214422056,1.7069623151098179,0.0,0.2804790419161676,0.4611603617668152,0.33494141473342476,0.2113671505860093,0.11389601892395189,0.011123485879749997,0.588878586422652,0.011123485879749997,
16.0,0.5882149372055208,0.599006375439944,34.41664,34.41664,0.5412350858791136,0.1077140980664014,0.6873117283072926,0.2289583988240118,0.07545738350709025,2.316596769263814,0.074604318626572,0.11430010070493456,0.31749254042672603,0.2603298272918073,0.6638304696572077,0.19844810414092506,1.7423620774087671,0.0,0.2835529526598341,0.45775583386421204,0.327412231483915,0.20602448939947965,0.11389601892395189,0.005840207519594998,0.64406930829864,,0.005840207519594998
17.0,0.5727188705301337,0.5670370931221449,36.39808,36.39808,0.5412350858791136,0.10636005187771005,0.69970992891151,0.24149433940964163,0.09163779935512696,2.4746961321439973,0.07118864770476215,0.11430010070493456,0.32731547379306863,0.27806193472165097,0.6594700999021694,0.19252489274127102,1.6903566477579821,0.0,0.28056310200049395,0.46581804752349854,0.3390560417660914,0.21420558663940223,0.11389601892395189,0.00607872473107077,0.6920531431678683,,0.00607872473107077
18.0,0.5549327080531181,0.5602519039553242,38.37952,38.37952,0.5412350858791136,0.1069365621339168,0.7095531670135338,0.260607486457563,0.11092278345832127,2.616599872527975,0.07818959241427909,0.11430010070493456,0.3407769260084826,0.2927911538220077,0.6616017874234315,0.19709418888243846,1.730474785198926,0.0,0.28080010192381194,0.46689239144325256,0.3377374609776403,0.21319290270322053,0.11389601892395189,0.006906898703213233,0.8158092314843088,,0.006906898703213233
19.0,0.5373694991109019,0.6583798733844649,40.36096,40.36096,0.5412350858791136,0.10515289322700482,0.7184590391069766,0.24752395038942226,0.12109342172332586,2.740260827863483,0.07666088939562446,0.11430010070493456,0.34586929050780146,0.3060892896554563,0.6620936004372029,0.19696638761515353,1.7293526979785618,0.0,0.2828493293397578,0.4643315076828003,0.3321424289863611,0.209196217386709,0.11389601892395189,0.007144635358102999,0.8829046011669561,,0.007144635358102999
20.0,0.5928430366837365,0.8235312356864821,44.01152,44.01152,0.9971592150692714,0.10826391684138821,0.6772659242819926,0.24776642203184684,0.06681106847241451,2.186436052151829,0.07862650256822953,0.11430010070493456,0.3089290389661526,0.24926290932804854,0.6645594045616453,0.19858776321427596,1.74358827543281,0.0,0.2828471411901984,0.46352899074554443,0.3350871249203161,0.21131179350342869,0.11389601892395189,0.0070784221456100345,1.3096013450995088,0.010398862733036106,0.005594402704800922
21.0,0.5815851381089091,0.5242999610829393,45.99296,45.99296,0.5412350858791136,0.10832482088870712,0.6934749175368514,0.2431577263955188,0.09672244086896063,2.381171062094777,0.08110608708257398,0.11430010070493456,0.3241544869998898,0.2696516693649079,0.6644982385338546,0.1979487210877622,1.7379775250962206,0.0,0.2834340991535671,0.46222904324531555,0.3311019608905339,0.20855991626376352,0.11389601892395189,0.005154697911461324,0.6722577712498605,,0.005154697911461324
22.0,0.5689564850602525,0.5392438335635068,47.9744,47.9744,0.5412350858791136,0.10597619753557072,0.7034148057385147,0.24094321419112577,0.10132545758855048,2.5639561647348983,0.07237984563262939,0.11430010070493456,0.336658325574917,0.28788645249219746,0.6671823654702538,0.20065023368108625,1.76169663853712,0.0,0.28551085795656816,0.45699000358581543,0.3225307534916831,0.2025435303801532,0.11389601892395189,0.005237133115761951,0.7040337797952816,,0.005237133115761951
23.0,0.5518700093123469,0.6630278881787688,49.95584,49.95584,0.5412350858791136,0.10591530345800432,0.7111601501902814,0.25058497689863196,0.1303450784030831,2.6469492964512233,0.07562447422803525,0.11430010070493456,0.34104113635719396,0.2968545656654137,0.6682293160312872,0.20337741973480988,1.7856411633720448,0.0,0.2861271676300578,0.4563804864883423,0.3204448912096789,0.2011164152877393,0.11389601892395189,0.006188165575992049,0.8614134143572301,,0.006188165575992049
24.0,0.5315169734605781,0.7452901279787921,51.93728,51.93728,0.5412350858791136,0.10283004618974836,0.7214471839250015,0.2579998589858922,0.15884344692461075,2.7661351867532376,0.0692284134762516,0.11430010070493456,0.35263178357637254,0.3092404037654386,0.6662564794701762,0.19991817502926296,1.75526920886276,0.0,0.2855053029379495,0.45832544565200806,0.3220058333214375,0.2022203850172995,0.11389601892395189,0.006028610128223934,0.8745925616240129,,0.006028610128223934
25.0,0.5878792493727131,0.8637879869875226,53.6064,53.6064,0.4559241291901578,0.10767423071452292,0.6794641629067273,0.23571996165632694,0.0818552100654123,2.2578817044547583,0.07338134800731078,0.11430010070493456,0.3098939639661449,0.25759839793106565,0.6655838539557051,0.20169836282623121,1.7708991475892124,0.0,0.281649731022116,0.45897018909454346,0.3237291360376609,0.20341904940974267,0.11389601892395189,0.00881901371130788,0.5450949282385409,0.00881901371130788,
26.0,0.5813485162290418,0.8122829421697715,55.58784,55.58784,0.5412350858791136,0.10693533512398803,0.6942163935758758,0.23256394576960343,0.08924345928616437,2.4438874549472667,0.07244335981200786,0.11430010070493456,0.32426306134695504,0.2773167110128705,0.6656793176351071,0.2038269658333874,1.7895881503064845,0.0,0.28234389024233875,0.45912760496139526,0.32337308635564793,0.20325668002035469,0.11389601892395189,0.004906431037051843,0.7333948885789141,,0.004906431037051843
27.0,0.5624134060975667,0.8686339985804068,57.56928,57.56928,0.5412350858791136,0.10697529846335616,0.7067536365930952,0.2472204221084279,0.10448912023091188,2.5571583491225183,0.07872712580967331,0.11430010070493456,0.34104427983176316,0.28965005064034166,0.665278852080566,0.20394730578378034,1.7906447276261297,0.0,0.28102726552777463,0.45824000239372253,0.326561752873822,0.2053882636067299,0.11389601892395189,0.0052387359716695335,0.8053492907201871,,0.0052387359716695335
28.0,0.5445655170433964,0.8481969913084153,59.55072,59.55072,0.5412350858791136,0.10513171922806462,0.7163020778900531,0.2808374093952406,0.15834881130371795,2.7173662132928986,0.07752529212562878,0.11430010070493456,0.3502163820416296,0.3047855653405181,0.6565290982380619,0.19120356300899227,1.6787554544523497,0.0,0.2757688408246029,0.4633212983608246,0.33440408925086407,0.2110157548974866,0.11389601892395189,0.006023881931310923,0.9589681444922462,,0.006023881931310923
29.0,0.5234991758867447,0.8707091114535318,61.53216,61.53216,0.5412350858791136,0.10284501217571251,0.7268959087763684,0.2627152607411386,0.14269553132640397,2.8877543696569785,0.07237621946804307,0.11430010070493456,0.365801798034982,0.3226630505493395,0.6500495276662452,0.17950341721062232,1.576028898169622,0.0,0.2741619629074991,0.4669647812843323,0.3382322956531875,0.21377160117205296,0.11389601892395189,0.006036282727828492,0.9994888866785914,,0.006036282727828492
