round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_f1_best_threshold,fed_f1,fed_auroc,fed_auprc_lift,fed_ece,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881521903869564,0.11594647546403787,0.5282475,3.66096,1.0,0.21331420000507967,0.2821006299297229,0.5189085721069063,0.20460365068806063,0.6465320319744239,1.9008657102927011,0.40458649014541104,0.1142587346553352,0.26453218662549083,0.657187957003972,0.208314102724521,1.8289849346148952,0.2045002711006687,0.2773874577153266,0.5189710855484009,0.40491045067310216,0.2645526779657095,0.11389601892395189,0.4440648605409324,9.795102075095656,0.30196659817610594,0.5563473944905063,0.306135016205375
2.0,0.6889457864429143,0.07221131495924307,1.056495,7.32192,1.0,0.21629696079994173,0.2826160755787514,0.5070141246043401,0.2510304320234403,0.6494281876817006,1.9235527117363374,0.3905617381778197,0.1142587346553352,0.25197379252358376,0.66210589889991,0.21265097601896807,1.8670624138404226,0.25496016247461334,0.279785431959345,0.511591374874115,0.39083928703463805,0.2519803857444721,0.11389601892395189,0.06335347559260851,1.4168132828781381,0.05249810282389321,0.07141421883856813,0.06397131162374428
3.0,0.6746841293679048,0.11436219757678505,1.5847425,10.98288,1.0,0.2195996805537015,0.28342386921793394,0.5021819411788979,0.2631725185472528,0.6521150040123659,1.947091193420244,0.38226690274535174,0.1142587346553352,0.24448861451676424,0.6635994718989915,0.21560909270454898,1.8930344953365812,0.27648636566830576,0.28154910911500514,0.5125649571418762,0.3825253644694055,0.2444808745785149,0.11389601892395189,0.032933576192444886,0.858578595392828,0.035408172147327825,0.03134018437017348,0.005942887929668174
4.0,0.6658717948647264,0.13699011901284003,2.11299,14.64384,1.0,0.22214721232562784,0.2825883696624879,0.49772469869453945,0.2611537810161033,0.6533910585750231,1.9685776789791736,0.37407004538669053,0.1142587346553352,0.23741704198289212,0.6647975931557096,0.2179234044840599,1.913354009586295,0.2810755961440893,0.2826620470622203,0.5120880007743835,0.3743883197330026,0.23737816932692204,0.11389601892395189,0.02149361025029896,0.6597558143466813,0.0228867755471151,0.02061327291761468,0.0017850133884038666
5.0,0.6587166937726417,0.1618411828526114,2.6412375,18.3048,1.0,0.22354509799115155,0.2847049218340347,0.5065501607548789,0.2617542619630512,0.6540924971282016,1.9774416958914165,0.3715565354992168,0.1142587346553352,0.23519729531379208,0.6647757445602268,0.21954772592243435,1.9276154513269323,0.281360201511335,0.28220508426163954,0.5130587816238403,0.3719159387184429,0.23514001014497998,0.11389601892395189,0.0137435414322905,0.4895359779611681,0.015086550115743546,0.01274526746140949,0.00138228084614407
6.0,0.6552658477424659,0.2254387399419843,3.169485,21.96576,1.0,0.22406487653488577,0.2842901125423831,0.4933270785712505,0.26091132414373425,0.6545091782566718,1.9803836571069346,0.3662148197135498,0.1142587346553352,0.23121062896001449,0.665174302598103,0.2200202925789602,1.9317645573359965,0.27876106194690264,0.2829989440337909,0.5147541165351868,0.3668089913379336,0.23116380314799828,0.11389601892395189,0.012179060287047459,0.4848522294614668,0.013769454781674953,0.010870020614050045,0.0015465907252652361
7.0,0.6532520934397532,0.2009185559339007,3.6977325,25.62672,1.0,0.2253316085828106,0.2845507231111171,0.5003053550773497,0.2593167427269208,0.6553432542857827,1.9890769094510756,0.3621478031913853,0.1142587346553352,0.2281934360853268,0.6654423588873134,0.2206424677820695,1.9372272171285634,0.278686344900944,0.2826493700885618,0.49329325556755066,0.3627457461054609,0.22816793270103358,0.11389601892395189,0.010817795443843602,0.4749016048106114,0.011782408873876039,0.010024973840719854,0.0009612684837338522
8.0,0.6539563485549287,0.20528464238366237,4.22598,29.28768,1.0,0.22583441339846816,0.2849386428725845,0.5031509450219659,0.2604452376318094,0.6561851000537176,1.9946620528728438,0.362659174686038,0.1142587346553352,0.22853848208434893,0.6656795560746901,0.2209277956638418,1.939732378278777,0.2794990112063283,0.28269181748661737,0.49648141860961914,0.36327392104959694,0.22852333246366055,0.11389601892395189,0.010018946951355145,0.48271553174072324,0.00952063012049332,0.010649451890959019,0.0013282997536749378
9.0,0.6560289476125616,0.21602231173008063,4.7542275,32.94864,1.0,0.2264660779769374,0.2853493906063257,0.5042619717188666,0.2619050822218837,0.6567918853662429,1.9997800042673763,0.3602669172741762,0.1142587346553352,0.22675057230253973,0.6656006325726843,0.22151355762138844,1.9448753320280012,0.2787428722981037,0.28276040320496254,0.4971114993095398,0.360841849086761,0.22674204450067426,0.11389601892395189,0.009142069321121467,0.47670201831078884,0.008953759982757105,0.009451180254506267,0.000843600419890893
10.0,0.6529380436795635,0.2101868972482222,5.282475,36.6096,1.0,0.2271360597279539,0.2854372764483093,0.4871460839566623,0.2620179059125484,0.65737661053267,2.0024350381778278,0.3515527360012294,0.1142587346553352,0.22060712309513822,0.6655637497340143,0.22174840255779193,1.9469372560409932,0.2795907079646018,0.2831092566836656,0.509788990020752,0.35213265314490483,0.2205675844626451,0.11389601892395189,0.006632914191484574,0.3763458925241139,0.006163457218005344,0.007235797426150274,0.0010819958326129591
11.0,0.6523810628401272,0.21902727680015327,5.8107225,40.27056,1.0,0.2274968131432188,0.2868194352609979,0.495822588242485,0.26515801974633774,0.6578632559773341,2.0026122527162444,0.3501281099740461,0.1142587346553352,0.2195970229930682,0.6654761796597582,0.2220499668409417,1.9495849717908398,0.28230063906640734,0.2824183460736623,0.5000794529914856,0.3506748528180902,0.2195575138002482,0.11389601892395189,0.006287084321504211,0.38425185498635983,0.005275062430127435,0.007555704367843754,0.001133186021576201
12.0,0.6552769531579462,0.24233052654667547,6.33897,43.93152,1.0,0.22810617614663667,0.2860696743819926,0.49932464346744593,0.26458621311348973,0.6582809639188631,2.01090676900739,0.3489870563595034,0.1142587346553352,0.2188007688672357,0.6653624188797165,0.22215805738423036,1.9505340000739164,0.2816315205327414,0.2831237203860778,0.5051541924476624,0.3494440643796024,0.21874546230719488,0.11389601892395189,0.006361101328389875,0.4184650976640114,0.005401506517771081,0.007616155424972981,0.0008611957268034574
13.0,0.6528594868487404,0.2334182993986401,6.8672175,47.59248,1.0,0.22859246951888687,0.2881830942024367,0.4967536010417993,0.2666927166278097,0.6588452022750712,2.015361609764548,0.34621717074700115,0.1142587346553352,0.2170298083093434,0.6652890045870253,0.2224333451692521,1.9529510097957885,0.2809172809172809,0.2827272727272727,0.5110923647880554,0.3465923832877484,0.21695223006385636,0.11389601892395189,0.0056289191070934795,0.3962705685171386,0.004269028410405491,0.0074400452410945134,0.0008655998151660254
14.0,0.648947084708479,0.2424538413623678,7.395465,51.25344,1.0,0.22915552611303494,0.28765092907097256,0.5044324997351685,0.26439498895342156,0.6591573125186568,2.02134522721665,0.3446207847850744,0.1142587346553352,0.2160265451519469,0.6652614710899033,0.2226437111409718,1.954798010013243,0.2813133360356709,0.2832104604256503,0.5034037828445435,0.34500341695684195,0.2159429002483968,0.11389601892395189,0.00562110718461765,0.4203750039341685,0.004463605196629558,0.0072152968480633725,0.0008440162268916749
