round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_auroc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.5259489195047198,116.23011724705698,12.679128,12.679128,1.0,,,,,,,,,,0.4274462000093769,0.9604295040363154,0.9931207610071235,0.9832657200811359,0.9832657200811359,0.5092264413833618,0.457472063300021,0.24111632785086123,0.9670822942643391,0.004940976162283646,2.961490256356228,0.0010530232121047848,0.005589825905755782,0.005898118661093372
2.0,2.913824488302703,134.9884127645666,25.358256,25.358256,1.0,,,,,,,,,,0.44582884023317243,0.9630968392127254,0.9958788873757166,0.9832657200811359,0.9832657200811359,0.5108161568641663,0.4559588239377276,0.23973375096525013,0.9670822942643391,0.0004589598413384448,0.2786492009329322,0.00010989716819752411,0.0005166355584678513,0.00044681195195645954
3.0,3.0631988892985373,155.62759528517185,38.037384,38.037384,1.0,,,,,,,,,,0.39537327894728613,0.9578024274706731,0.9904042635784939,0.9832657200811359,0.9832657200811359,0.5108080506324768,0.45564934128240453,0.23945413169629048,0.9670822942643391,0.00047548081488584703,0.28905223395827306,0.00014315663311406968,0.0005303350704896649,0.00044445283478724667
4.0,3.221798158289111,173.42127888946317,50.716512,50.716512,1.0,,,,,,,,,,0.3280041258380609,0.9531079072490644,0.985549950507671,0.9832657200811359,0.9832657200811359,0.5097095370292664,0.4560588997201135,0.239836164865929,0.9670822942643391,0.0009391296625085927,0.571446186876301,0.0002817493079947861,0.0010477787725925805,0.0006894581064947925
5.0,3.014217781539595,167.29869769810864,63.39564,63.39564,1.0,,,,,,,,,,0.26508118836638694,0.9432526186144962,0.9753592059422718,0.9832657200811359,0.9832657200811359,0.5123801231384277,0.45118601340010867,0.23544666569605194,0.9670822942643391,0.001143908802490845,0.6970918155834624,0.00037951937512700616,0.0012700061936616067,0.0009339979823292068
6.0,3.2041621042562296,181.73623337676156,76.074768,76.074768,1.0,,,,,,,,,,0.2826706987356807,0.9462684934246433,0.9784777355938163,0.9832657200811359,0.9832657200811359,0.512161910533905,0.45093243258849636,0.23521675105238107,0.9670822942643391,0.00029816100817627055,0.1820219035704298,9.023393411206111e-05,0.0003321555118508266,0.00044691556973456214
7.0,3.447508787313858,189.32148625011152,88.753896,88.753896,1.0,,,,,,,,,,0.2920515104630628,0.945335313174478,0.9775127916012525,0.9832657200811359,0.9832657200811359,0.510496199131012,0.4536872008494902,0.23769444246280222,0.9670822942643391,0.0005150092081675847,0.31469444895651577,0.00023806087286935577,0.0005602092331024733,0.0007451647511279568
8.0,3.073992739307738,179.68216039362963,101.433024,101.433024,1.0,,,,,,,,,,0.3233039523653242,0.9474571226595381,0.9797068235855461,0.9832657200811359,0.9832657200811359,0.5095860958099365,0.4564232378529194,0.24016769098694213,0.9670822942643391,0.0010081487252927798,0.6166899857432782,0.0003584614084313484,0.0011152686529195023,0.0006171376084091151
9.0,3.3198813387873103,192.62444718860277,114.112152,114.112152,1.0,,,,,,,,,,0.418932751965243,0.9589553754475577,0.9915964557877015,0.9832657200811359,0.9832657200811359,0.503500759601593,0.46300943067246236,0.2462158636850596,0.9670822942643391,0.0010113633937624314,0.6199247702725188,0.0002713571614102202,0.0011326207388807662,0.0009893405968780609
10.0,2.9599519045954166,166.71760301677094,126.79128,126.79128,1.0,,,,,,,,,,0.3077656398956038,0.9467566115205585,0.9789824683335326,0.9832657200811359,0.9832657200811359,0.5056247711181641,0.4599922264603308,0.24344156031162537,0.9670822942643391,0.0006457672336658096,0.3965984911250189,0.0002386376400017878,0.0007123480917303855,0.0006445650656074679
11.0,3.389510404910276,189.74201721307216,139.470408,139.470408,1.0,,,,,,,,,,0.3050111741447481,0.9465871313390696,0.9788072193578311,0.9832657200811359,0.9832657200811359,0.5061752200126648,0.4590978107250242,0.24262057999734019,0.9670822942643391,0.000366056012498083,0.22517648269513302,0.0001277039133927605,0.00040478191649566365,0.0005161949147178786
12.0,3.5605638153408807,200.30096181188475,152.149536,152.149536,1.0,,,,,,,,,,0.3095433447419007,0.9476775172607795,0.9799347200143698,0.9832657200811359,0.9832657200811359,0.5064096450805664,0.45803775799244717,0.24165444427699173,0.9670822942643391,0.000442160548527332,0.2722845138413277,0.0001653853417054999,0.00048728549603015256,0.0004540489308914954
