round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auprc,fed_auprc_lift,fed_brier,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6724021712660244,115.15601040409854,19.577472,19.577472,0.9991046702896288,0.5565370682200883,0.9069767441860465,0.40851815467657043,0.4980219039806099,0.9435015034110673,1.0494528459182024,0.3364185084865158,0.0,0.9511813193983735,0.3370176754653289,0.955768986604997,0.9883016081191434,0.0,0.9832657200811359,0.4857216775417328,0.48121269865523547,0.26340120883127927,0.9670822942643391,0.0038236016755042908,2.287544941435499,0.0008316729293881845,0.004324436785408084
2.0,0.5767354857360789,65.86089431242823,39.154944,39.154944,0.9991046702896288,0.5951145951849997,0.9069767441860465,0.3776878153168878,0.5265264598436133,0.9496071298725048,1.0537954112297419,0.3660476861974095,0.0,0.9535184421405974,0.32143638551580783,0.9557172821599004,0.988248143749665,0.0,0.9832657200811359,0.4860208332538605,0.48091707748367896,0.2631170401828311,0.9670822942643391,0.0009625381082139839,0.5790130602540557,0.0001592142189598821,0.0010963382534481551
3.0,0.47247080913528594,60.807420284575834,58.732416,58.732416,0.9991046702896288,0.6488327947936103,0.9069767441860465,0.3410728573799133,0.5542616264764653,0.9469054692556296,1.0409219370574538,0.3968522987916622,0.0,0.9535184421405974,0.32558175879475515,0.9558141273386211,0.9883482853604618,0.0,0.9832657200811359,0.4858284890651703,0.481122101155897,0.2633140544801309,0.9670822942643391,0.0005546449393103762,0.3339938597040373,9.355824201623294e-05,0.0006313564442300483
4.0,0.42325034051912785,59.649462258173166,78.309888,78.309888,0.9991046702896288,0.7914101397169252,0.9069767441860465,0.31960914315179334,0.5573979997357656,0.9583311378500963,1.0527693405348642,0.39854215871956883,0.0,0.9558529065817651,0.329387219278916,0.9568291564009663,0.989397864148498,0.0,0.9832657200811359,0.48584574460983276,0.4811231072704096,0.2633149050812514,0.9670822942643391,0.0003912806341522081,0.23579127351393936,7.708420235988882e-05,0.00044351144518861086
5.0,0.40151438836619535,57.174637687016435,97.88736,97.88736,0.9991046702896288,0.8210540663541619,0.9069767441860465,0.2891463679629703,0.5687487462232279,0.9603301562581091,1.054634811238386,0.4132032448667983,0.0,0.9512336604188513,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0003344278417967445,0.20162386461808524,6.534079281535317e-05,0.0003791355613966748
6.0,0.3565682133025739,55.07762405328377,117.464832,117.464832,0.9991046702896288,0.8644652983206661,0.9069767441860465,0.29783293334550637,0.5279181799223256,0.9614061383282997,1.0549279103148528,0.36541948152099246,0.1540827397518751,0.953568124860019,0.34034647662806505,0.9553086542048603,0.9878256068492755,0.0,0.9832657200811359,0.4859403371810913,0.48105831085297823,0.26325224527173113,0.9670822942643391,0.0002996579283319306,0.18074477822989365,5.6308340500346475e-05,0.00034006783172479624
7.0,0.2873582322326383,40.17860299828833,137.042304,137.042304,0.9991046702896288,0.8720363628089016,0.9069767441860465,0.30206005143564796,0.5011993172556853,0.9617414001956719,1.0547891841831383,0.33707986215580416,0.30955574245076,0.9578136081375321,0.339979214527951,0.9549521422745111,0.9874569599073723,0.0,0.9832657200811359,0.4860248565673828,0.48099007770010355,0.2631864973951508,0.9670822942643391,0.0002926369417470751,0.17658549964568238,6.051287291773383e-05,0.0003311635986392024
8.0,0.2695801300104497,37.67962646626909,156.619776,156.619776,0.9991046702896288,0.8842154007190641,0.9069767441860465,0.305709953017013,0.47934452212134065,0.962360659152151,1.0552811096909167,0.3198891258066703,0.41005974929617234,0.9601679004143049,0.33602919342991544,0.953995754644353,0.9864680185982093,0.0,0.9832657200811359,0.48611438274383545,0.4808991521225308,0.26309907253531545,0.9670822942643391,0.0002593883940633805,0.1565907162425333,5.863634941222152e-05,0.00029269171714117455
9.0,0.23501916835637587,31.301446846768012,176.197248,176.197248,0.9991046702896288,0.8992633231693441,0.9069767441860465,0.3210288268882175,0.45470144156106673,0.965567066143479,1.0600257512740998,0.2932633174056411,0.5799133007947139,0.9628373207216728,0.3297349461609389,0.9534157492994711,0.9858682709362763,0.0,0.9832657200811359,0.4861997365951538,0.48081394381951215,0.2630171558512196,0.9670822942643391,0.0002394406421624575,0.14461167100895977,5.516609674601988e-05,0.00026999574084152233
10.0,0.19742443820593136,22.943913682381105,195.77472,195.77472,0.9991046702896288,0.9136661357120102,0.9069767441860465,0.3463309418323428,0.41294656378585237,0.9712206932625822,1.0690115363422827,0.25557172664263994,0.6243532305408707,0.9654704223854029,0.3285198555956679,0.9532600159526152,0.9857072367122195,0.0,0.9832657200811359,0.4862484335899353,0.4807647965346786,0.2629698170932855,0.9670822942643391,0.000224065790215186,0.1353849682436703,4.7200351233184656e-05,0.0002533782500085149
