round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_f1,fed_ece,fed_brier,fed_auroc,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6875176912618013,0.09294008623938527,3.65056,3.65056,0.9971592150692714,0.26277696612724505,0.11449612891042989,0.1896794476107874,0.3851125133287435,0.24837019167532534,0.6011914783465072,0.18066788679940377,1.572915371387409,0.5058211377968591,0.5290799158624517,0.1443842319407044,1.2676846241404576,0.2045002711006687,0.20506491583156441,0.5308883190155029,0.4199455188867328,0.2771897114677697,0.11389601892395189,0.027226943865667947,2.907648336375132,0.02277086467385677,0.030209841151705687
2.0,0.6815684285788188,0.10300695790808787,5.632,5.632,0.5412350858791136,0.2954436999101481,0.11449612891042989,0.2443438325789766,0.3595414987628722,0.22869693663663176,0.6560640942692295,0.2222746766462698,1.95728967918136,0.5116509886657478,0.6482967833897866,0.20525237005168787,1.8021031111608423,0.20484002537841023,0.2692820923405391,0.5347316265106201,0.4148386233426753,0.2718958821362526,0.11389601892395189,0.022712734204699186,1.5349444660823792,,0.022712734204699186
3.0,0.6668780583300238,0.1829950536146792,7.61344,7.61344,0.5412350858791136,0.308143629991312,0.11449612891042989,0.2705638228864162,0.3643397606307582,0.2305965131636341,0.6683455376759154,0.23544308704537656,2.0780430047859837,0.5345432390618624,0.6500309795765705,0.20512701652266316,1.801002514930974,0.20542459270046418,0.2715105162523901,0.536131739616394,0.4153310179686389,0.2721596475645401,0.11389601892395189,0.015736046172631128,1.138300859136507,,0.015736046172631128
4.0,0.6529343296352803,0.23395257770207661,9.59488,9.59488,0.5412350858791136,0.31545707361532593,0.11449612891042989,0.28420351167125535,0.3323525528286254,0.21043256250107398,0.6752895251674957,0.24271567262380597,2.1495593864458997,0.5431934685619899,0.6514328411823209,0.20437785480098494,1.7944249213613652,0.2062016213988,0.27072804261712874,0.5374990105628967,0.4147702848070119,0.27162397792266746,0.11389601892395189,0.01276637093229846,0.9674652442336082,,0.01276637093229846
5.0,0.6559985035415786,0.2661289810052795,11.264,11.264,0.4559241291901578,0.29824484092834197,0.11449612891042989,0.2769897495381274,0.34228966614969975,0.21692276596022123,0.6571913702306447,0.22190841720180332,1.9710465567974984,0.5247328969555414,0.6532946401944182,0.20753152602931701,1.8221139596449403,0.20785710980519181,0.27047459050818984,0.5367450714111328,0.4137342866620586,0.2707477472332897,0.11389601892395189,0.017707335915935755,0.806861343793571,0.017707335915935755,
6.0,0.6533573283629079,0.29444292296623653,13.24544,13.24544,0.5412350858791136,0.31045023227519497,0.11449612891042989,0.2855623621373234,0.3227824567496315,0.2048398387372618,0.6689348777320754,0.23646129343743788,2.1077147919003147,0.5393934336375383,0.6527048536108964,0.2070376874023907,1.8177780870517457,0.21008284023668639,0.2686521338655204,0.5346544981002808,0.41073065019108645,0.2682839634681826,0.11389601892395189,0.009860623405466515,0.784378218697384,,0.009860623405466515
7.0,0.6324969980572678,0.3911217501927281,15.22688,15.22688,0.5412350858791136,0.31968886951445213,0.11449612891042989,0.2810854664122124,0.36690313089574467,0.23287662302288942,0.6789843326065053,0.24897624059106752,2.231848669438911,0.5645549914876953,0.6543664135709972,0.20815314598354315,1.827571744386663,0.21253933672234326,0.2699527152887233,0.535567581653595,0.4108090162985194,0.26811435249996596,0.11389601892395189,0.00948700016272104,0.7840245149563998,,0.00948700016272104
8.0,0.6197599029861087,0.4086902716414885,17.20832,17.20832,0.5412350858791136,0.3277825361888481,0.11449612891042989,0.29656462537176126,0.3232073097234124,0.20527976682955182,0.6881321576188608,0.2605011314488785,2.3308524337028333,0.5490768136653694,0.6540243531648638,0.20879037418658575,1.8331665685873937,0.21559678539537652,0.26904887020493956,0.5338301062583923,0.409329407830934,0.2668497763503355,0.11389601892395189,0.008861035845621486,0.7662082011811435,,0.008861035845621486
9.0,0.6063445663795634,0.6479210300155238,19.18976,19.18976,0.5412350858791136,0.3377634851499706,0.11449612891042989,0.29770036609323014,0.3563726906753598,0.2241165208846363,0.6984803850412438,0.2714937820715653,2.430390984777074,0.5434281604476248,0.6533142047896839,0.20745828289787113,1.8214708894820157,0.2138045494484038,0.266381385397165,0.5338720083236694,0.4101209173616378,0.26768890957960084,0.11389601892395189,0.01035458616252955,0.9413168840110302,,0.01035458616252955
10.0,0.6449321761559046,0.4406013277417011,22.84032,22.84032,0.9971592150692714,0.3067343962152903,0.11449612891042989,0.27268972542834635,0.3546743856200962,0.22513794213246113,0.6613867376489854,0.2317206787196918,2.060501776961186,0.538751489735538,0.6546270029364212,0.21166799207602932,1.858431875633507,0.22015424164524422,0.2691743364012271,0.5335285067558289,0.40871315697603944,0.2662761014887768,0.11389601892395189,0.009946811533279299,1.4373598350211978,0.013648501547829012,0.008020052232950943
11.0,0.64209630159387,0.38368502447297337,24.82176,24.82176,0.5412350858791136,0.314074795478992,0.11449612891042989,0.28653081752005477,0.3569118303831899,0.22647471999824495,0.6750972615124099,0.24440062504364896,2.178954889452324,0.5417015058053946,0.6560543775775632,0.2098468407440388,1.8424422796037592,0.22360512738684113,0.2720187061574435,0.5303888916969299,0.40535687620899347,0.26366210179867966,0.11389601892395189,0.0068343003265813485,0.6693910218309611,,0.0068343003265813485
12.0,0.6227476239795563,0.4563815946230809,26.8032,26.8032,0.5412350858791136,0.32451481285757255,0.11449612891042989,0.2919473739463994,0.34392243297656305,0.21718385069395446,0.6852521378149065,0.25601541557724306,2.2836423863495656,0.5503700131540699,0.6541584691556314,0.2082871313493378,1.828748127609365,0.22579225352112675,0.26875369167158886,0.5304859280586243,0.4030527048447789,0.26185610529044323,0.11389601892395189,0.006681159991442807,0.6764530527871102,,0.006681159991442807
13.0,0.6083099021125493,0.5556358597353839,28.78464,28.78464,0.5412350858791136,0.33306471522886927,0.11449612891042989,0.2994071590507274,0.33614178938045375,0.21171055733548338,0.6948879553284285,0.2707157685327574,2.417284181895857,0.5625340289058698,0.655010777720145,0.2102848457290972,1.8462879362754891,0.23062381852551986,0.26906210213608717,0.530349850654602,0.4011308088372929,0.2601698018841092,0.11389601892395189,0.008209476207105177,0.8676235188031569,,0.008209476207105177
14.0,0.5891207092192499,0.644303143008264,30.76608,30.76608,0.5412350858791136,0.3413632088667527,0.11449612891042989,0.30699933474364166,0.3045415010729819,0.1941075523596451,0.7023660026191544,0.28206137739587883,2.538593044883979,0.5586970739370025,0.6526682092118097,0.21009252285940377,1.8445993533775933,0.2341528079055194,0.26473129428028336,0.5312021374702454,0.3977035188436136,0.2573913720049683,0.11389601892395189,0.008893592545404222,0.9956731940619648,,0.008893592545404222
15.0,0.6419572292748803,0.7263011043844889,32.4352,32.4352,0.4559241291901578,0.3100944058185218,0.11449612891042989,0.276342654008196,0.35656304157814983,0.22758435817978565,0.668596597884058,0.237261773574572,2.105425521351994,0.5651959504686187,0.6525845169181418,0.20840952684281072,1.8298227524700867,0.23006431783254597,0.2669973737963233,0.5303860902786255,0.4009985478524683,0.2601671867035554,0.11389601892395189,0.011687261225068746,0.6273558828979731,0.011687261225068746,
