round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc,fed_auroc,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6874029180373235,0.10449174343968685,0.9136,3.65056,0.9971592150692714,0.3880124451087981,0.2778429085944809,0.24936540060058293,0.20259070211173774,0.6428147607199841,0.2382928236201003,0.11423716012084592,1.7917953889872356,0.5141846036851737,0.4443150707520519,0.10193845565815349,0.895013334278326,0.015193922431027589,0.2045002711006687,0.4169442057609558,0.37511995467759746,0.2422852211415497,0.11389601892395189,0.02915625676619304,3.137876479420811,0.02377876012501766,0.03281550636048341
2.0,0.6781825798847326,0.14164297034999354,1.8272,7.30112,0.9971592150692714,0.3691989421874495,0.2929419362216873,0.23422107939831116,0.213236062390281,0.6590776257031885,0.2685984050753739,0.11423716012084592,1.878385852634081,0.5115156241327765,0.48283526148966305,0.11234399550030727,0.9863733303559898,0.09128177097567641,0.2045002711006687,0.3921516537666321,0.372136553772035,0.23990861746690986,0.11389601892395189,0.01853086821527274,2.139261645730585,0.01565490493448791,0.020492572549082266
3.0,0.6683264274315277,0.17229028714789946,2.7408,10.95168,0.9971592150692714,0.3512339947673925,0.2933839255516288,0.22132594022551802,0.21942771618185794,0.6609861161392523,0.277932945982023,0.11423716012084592,1.9327183376162271,0.5051969991451033,0.44335826290288194,0.10481359122343983,0.9202568466719072,0.11398544866612773,0.2045002711006687,0.36795660853385925,0.37575076955200787,0.24310905871861396,0.11389601892395189,0.012933640345121235,1.6002038232982159,0.011279442118563784,0.014090964787762526
4.0,0.6579370889268061,0.21300555351172218,3.6544,14.60224,0.9971592150692714,0.35833202867627084,0.2971489469576523,0.22609442149311548,0.22703945458042502,0.6657786700538186,0.27639754067127165,0.11423716012084592,2.002468848984588,0.5238484133181255,0.43898500486090464,0.104447652225917,0.9170439249123927,0.161572985680701,0.2045002711006687,0.39806419610977173,0.38053843695658174,0.24664953294591077,0.11389601892395189,0.010724013938462071,1.4140739347785711,0.010206981178223648,0.011098325965698002
5.0,0.652586261897943,0.2091318856756123,4.568,18.2528,0.9971592150692714,0.3613071276263258,0.2981411686798706,0.22798714178770013,0.23313491495781302,0.671285874685536,0.2817535516027346,0.11423716012084592,2.050910715585077,0.5356309897559888,0.45029383035319825,0.10565231753884267,0.9276208118335241,0.06412213740458016,0.2045002711006687,0.3625812828540802,0.3744112136313705,0.24193755010143128,0.11389601892395189,0.00928398041917781,1.299785286653787,0.008855995090155567,0.009605487915750988
6.0,0.652419007298312,0.2629275780999228,4.568,18.2528,0.0,0.35723147089035073,0.31270322096171416,0.22621052378997278,0.25061856970089474,0.6848790988912399,0.2888012298069104,0.11423716012084592,2.2292104294762494,0.569899811800513,0.45029383035319825,0.10565231753884267,0.9276208118335241,0.06412213740458016,0.2045002711006687,0.3625812828540802,0.3744112136313705,0.24193755010143128,0.11389601892395189,0.0,0.0,,
7.0,0.632850107988654,0.3071562400462972,4.568,18.2528,0.0,0.3283324799111651,0.32146496938979036,0.20638138121645766,0.2622630662943121,0.6945739673348941,0.29939596300543087,0.11423716012084592,2.3450122161900744,0.5430410679313471,0.45029383035319825,0.10565231753884267,0.9276208118335241,0.06412213740458016,0.2045002711006687,0.3625812828540802,0.3744112136313705,0.24193755010143128,0.11389601892395189,0.0,0.0,,
8.0,0.6234018049036723,0.4178203538194828,4.568,18.2528,0.0,0.34254155256987107,0.3342217018882898,0.21697735657098643,0.27502136682647216,0.7036838229714586,0.296958320273672,0.11423716012084592,2.459012319502363,0.5693693940132886,0.45029383035319825,0.10565231753884267,0.9276208118335241,0.06412213740458016,0.2045002711006687,0.3625812828540802,0.3744112136313705,0.24193755010143128,0.11389601892395189,0.0,0.0,,
9.0,0.6488890993650176,0.2423932435615841,5.4816,21.90336,0.9971592150692714,0.34017568117069513,0.3027578883691465,0.21378370935069485,0.23706130395764666,0.6734517574724714,0.28336231154908076,0.11423716012084592,2.0899155927928463,0.5099408536537926,0.47183983345572394,0.11177804036935293,0.9814042793189012,0.1605552645364065,0.2045002711006687,0.40328454971313477,0.37826591956158867,0.24464108629217676,0.11389601892395189,0.00944252434931045,1.4003991391509771,0.007745927637351526,0.010769380438810292
10.0,0.6435826624086017,0.2990605910790472,5.4816,21.90336,0.0,0.3365822935407496,0.3140496509234874,0.21190044809966768,0.24845382157941312,0.6867024995191118,0.2958665162483257,0.11423716012084592,2.2026726683206075,0.5167766318385454,0.47183983345572394,0.11177804036935293,0.9814042793189012,0.1605552645364065,0.2045002711006687,0.40328454971313477,0.37826591956158867,0.24464108629217676,0.11389601892395189,0.0,0.0,,
