round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_auprc_lift,fed_brier,fed_auroc,fed_ece,fed_f1_best_threshold,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6272810473381163,0.13642107273865303,3.66096,3.66096,1.0,0.0,0.2920422453207032,1.863455826762277,0.10992672739790295,0.6556999769756954,0.11293572057385565,0.25437412280983257,0.21095575703738084,0.11430010070493454,0.6549128041503948,0.2079198920265224,1.825523789074226,0.0,0.2707520891364903,0.24113048613071442,0.1116302865847283,0.10987109067696701,0.11389601892395189,0.019117588689460396,2.083735265478026,0.018439556082731703,0.01969415518094026,0.007233397642574639
2.0,0.6298461235428603,0.4470155268886016,7.32192,7.32192,1.0,0.0,0.2938925153076295,1.915608593357941,0.1062773315141025,0.6629242198855761,0.0973613398423473,0.24172798907881357,0.2169711334407278,0.11430010070493454,0.6589934089777472,0.21201563739281437,1.8614841800078783,0.0,0.27446836613393205,0.24001885950565338,0.09621795715461458,0.10639777115152992,0.11389601892395189,0.01323543782582648,1.5122942689922638,0.013762884716580458,0.012932535539101085,0.006574307194145422
3.0,0.6289353255112544,0.45285108479707264,10.98288,10.98288,1.0,0.0,0.29580401064670525,1.947049634087662,0.1044136090569719,0.6657125063514719,0.08798950027265519,0.2253708757548279,0.22080160493749812,0.11430010070493454,0.6605192717161612,0.21509948845907892,1.8885602015879093,0.0,0.2754036087369421,0.2204238325357437,0.08727130868885906,0.10454804723998813,0.11389601892395189,0.010275456919929496,1.2305522792739794,0.010771500074860843,0.009957448251000336,0.006442164141940309
4.0,0.6344687632903493,0.43994295321126653,14.64384,14.64384,1.0,0.009105859392987569,0.29739779141452494,1.9873686607684737,0.1032922858397992,0.6688763537083695,0.08258703688754206,0.2252326769939992,0.22515861605438506,0.11430010070493454,0.6622402407808088,0.21603942437905582,1.8968127808163764,0.007020623080298377,0.27736252002135614,0.22635765373706818,0.08149742041936434,0.10355094491885497,0.11389601892395189,0.01022409164816241,1.2838059547939338,0.009842426975565042,0.01053622261408782,0.006595732368408069
5.0,0.6288362007206599,0.4715603783686859,18.3048,18.3048,1.0,0.021147505808034144,0.29899085185102997,2.034166327355575,0.10295247060458151,0.6720338219769992,0.08245856907455042,0.2353464476238985,0.23017724907773585,0.11430010070493454,0.6623133538866581,0.2163342180190968,1.8994010507385923,0.017338534893801473,0.27942973523421594,0.22419239580631256,0.08076312537994326,0.10337226961099288,0.11389601892395189,0.009768921452556185,1.296969470626209,0.008931106650686936,0.010441554626673052,0.006293024329721176
6.0,0.6372762981701036,0.5031515076031585,21.96576,21.96576,1.0,0.022834674124996585,0.3002595668863889,2.0475789727755567,0.1015960761516775,0.6739103069867656,0.07426997930025317,0.22697115977166252,0.23262226847377085,0.11430010070493454,0.663575514995616,0.21751584779360272,1.9097756870574867,0.02330599913681485,0.2787733012627781,0.20584706962108612,0.07266470663914341,0.10202062525120005,0.11389601892395189,0.008339971374604021,1.172585850901669,0.007415665466348459,0.009099498819653353,0.0057080351468232005
7.0,0.6353694285286122,0.5626310694969912,25.62672,25.62672,1.0,0.019830878815596004,0.30008718994607436,2.0799691762111547,0.10014557677631367,0.6753361788408999,0.06521278219921224,0.21642682800202637,0.23616127600580222,0.11430010070493454,0.6624713891324459,0.2174857203812122,1.9095111702405236,0.0173235166738848,0.27772177419354843,0.1974998563528061,0.06264927053789474,0.10068306844876976,0.11389601892395189,0.008228007064737438,1.2180721270269714,0.007155375125063075,0.009128647814836705,0.006659780954574753
8.0,0.6428586899662615,0.6994774257869012,29.28768,29.28768,1.0,0.04134893241677166,0.30300119311818685,2.110023170897275,0.10012038767696041,0.6777003190060058,0.06612566314414445,0.213870443578168,0.23984352404570464,0.11430010070493454,0.6623464467909018,0.21572687610743593,1.8940686263272843,0.03580562659846547,0.27753023551877787,0.2173876315355301,0.06312635305265282,0.10098553211920953,0.11389601892395189,0.007532117171991233,1.1810492816439364,0.0066819435139615045,0.0082787833304356,0.0052588778704219935
9.0,0.6354949482578698,0.73717716438112,32.94864,32.94864,1.0,0.014850778337922681,0.3027715199585561,2.142890088178356,0.09942386536818512,0.6795985334217859,0.06367034476165064,0.2135027770941546,0.24389353115059148,0.11430010070493454,0.6618098071355079,0.2161459521242865,1.8977480878291861,0.013054830287206266,0.27615062761506276,0.20874230563640594,0.05903822292542204,0.10028474850766228,0.11389601892395189,0.007123088854791289,1.1766998223902192,0.006459004268421178,0.00772971863333619,0.005139470551248834
10.0,0.6474769079118573,0.7143481277411398,36.6096,36.6096,1.0,0.01974369934106502,0.30622542123502877,2.1630730509577485,0.09878159748281994,0.6815879316676,0.05856214655696416,0.19385370366417867,0.24626835222484114,0.11430010070493454,0.6631624121431707,0.21895123892883872,1.9223783324247001,0.01907238838318162,0.28056502679006334,0.208913192152977,0.05558228223309963,0.09975900235484043,0.11389601892395189,0.00797266368453366,1.3852963226672728,0.006317528365985134,0.009506673548675128,0.005646301740805055
