round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_brier,fed_f1_best,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6880812018586484,0.10993950653468113,3.65056,3.65056,0.9971592150692714,1.5037831708518796,0.20853123165853585,0.5668377340419881,0.4972074343770437,0.1142929070426081,0.24894859859765803,0.2510167711790127,0.38643123699492005,0.1732850858375505,0.39468872816778156,0.08901739245049484,0.7815671986738321,0.2045002711006687,0.20450951154489178,0.5217775702476501,0.42157518846578657,0.27911796170897607,0.11389601892395189,0.02722041716210917,2.931475135497749,0.02304159830086027,0.029994139586899487
2.0,0.680152694990246,0.13553883428380484,7.30112,7.30112,0.9971592150692714,1.8420856693738408,0.25381345900325725,0.6460904256722712,0.5302362490521105,0.1142929070426081,0.23577509877140362,0.2851059525409119,0.37058079811968364,0.2121024186024354,0.36207458550792326,0.08336102953294766,0.7319046821874224,0.2045002711006687,0.20455572629485672,0.5159507393836975,0.42393838239427695,0.28191654538378685,0.11389601892395189,0.020157858130835832,2.295824632048607,0.01663637966048288,0.022509846980731135
3.0,0.6689501441517437,0.21005721302260713,10.95168,10.95168,0.9971592150692714,1.906237438127045,0.26236063040587193,0.6583795690609165,0.5348496660313512,0.1142929070426081,0.2366527580924182,0.2923506230114824,0.3722826454658792,0.2188119771717655,0.3907290247585122,0.08726836778338437,0.7662108702996305,0.2045002711006687,0.20454648167397296,0.5189335942268372,0.4232134492373668,0.2810323834615353,0.11389601892395189,0.01448454729713898,1.7757615537848324,0.012344611112101299,0.015953191314970597
4.0,0.6606040644917831,0.26767279874029937,14.60224,14.60224,0.9971592150692714,1.9638965333300455,0.2766313157101475,0.6654056081487928,0.5137656897004462,0.1142929070426081,0.22983560132126063,0.2965455546356687,0.36280383072023065,0.22407701595223636,0.3562311717438151,0.08260009849748366,0.7252237547708806,0.20450951154489178,0.20457421804375336,0.508774995803833,0.42679944290351157,0.28537766353682326,0.11389601892395189,0.011227445154616053,1.4731066240929067,0.011118542397600384,0.011305097496337804
5.0,0.6569262646769335,0.36265929399883595,18.2528,18.2528,0.9971592150692714,1.9793933628652292,0.2810357282370584,0.6674009945208803,0.5025978940865252,0.1142929070426081,0.2086832485330655,0.2979250491464423,0.3290147636651026,0.2260968013321977,0.36383666657647795,0.08330317699280096,0.7313967404639692,0.2045002711006687,0.2045649717514124,0.5122833251953125,0.4410723749227772,0.2989510251622956,0.11389601892395189,0.009288392217904076,1.298722310224548,0.009117047682462274,0.009416784766926952
6.0,0.6449300122578979,0.3173391964061921,18.2528,18.2528,0.0,2.09629504750179,0.2968820155117631,0.6821154213937527,0.5137898277021714,0.1142929070426081,0.20714237814523315,0.3107234803927848,0.3291069287580499,0.23897751293908462,0.36383666657647795,0.08330317699280096,0.7313967404639692,0.2045002711006687,0.2045649717514124,0.5122833251953125,0.4410723749227772,0.2989510251622956,0.11389601892395189,0.0,0.0,,
7.0,0.6334404404040501,0.4394939019467235,18.2528,18.2528,0.0,2.1705327247730564,0.288482098360368,0.690318897457061,0.5689536817735255,0.1142929070426081,0.22497505875541074,0.318484951734914,0.350129113656572,0.2471295681711794,0.36383666657647795,0.08330317699280096,0.7313967404639692,0.2045002711006687,0.2045649717514124,0.5122833251953125,0.4410723749227772,0.2989510251622956,0.11389601892395189,0.0,0.0,,
8.0,0.6163250981133326,0.4883566212415283,18.2528,18.2528,0.0,2.2993764723151253,0.30356344425979825,0.703715442923074,0.5577013550204427,0.1142929070426081,0.20874589179192554,0.33065783607255184,0.3319504559459749,0.26158524480266543,0.36383666657647795,0.08330317699280096,0.7313967404639692,0.2045002711006687,0.2045649717514124,0.5122833251953125,0.4410723749227772,0.2989510251622956,0.11389601892395189,0.0,0.0,,
9.0,0.648331194452495,0.4252804175620909,21.90336,21.90336,0.9971592150692714,2.014861920873722,0.2859008951987392,0.6708172056557217,0.5149780528736998,0.1142929070426081,0.21785661606070442,0.3027070740001819,0.34648172067338456,0.22994316169147552,0.38209377211370266,0.08566533181898467,0.7521363137036705,0.2045002711006687,0.20455572629485672,0.5110363960266113,0.43789218879200814,0.29534959828914126,0.11389601892395189,0.008816863173591462,1.30728609720245,0.007380414222817658,0.009933057508185615
10.0,0.6436845420216231,0.4524877376631635,21.90336,21.90336,0.0,2.1483497414269217,0.2934264578776236,0.686817994862078,0.5464345107250212,0.1142929070426081,0.22099357707789882,0.31566216625281546,0.35169311785498747,0.24483743495689816,0.38209377211370266,0.08566533181898467,0.7521363137036705,0.2045002711006687,0.20455572629485672,0.5110363960266113,0.43789218879200814,0.29534959828914126,0.11389601892395189,0.0,0.0,,
