round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auprc,fed_f1_best,fed_auroc,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6889483250738053,0.10583898258421678,0.526995,3.65056,0.9971592150692714,1.7282502138071507,0.20533650790628455,0.19816646498659335,0.2729545340292741,0.618696384194481,0.24988732980270748,0.5033477338355443,0.11442598187311177,0.38540349640552435,0.4903195286184976,0.11905890496506288,1.0453298200401389,0.2004725554343875,0.20453723788864786,0.4937964677810669,0.3889550831892799,0.25223988150199655,0.11389601892395189,0.49168717951495455,10.416472062468529,0.31551256045257137,0.6330585278541239
2.0,0.687984651674981,0.07216392007862389,1.05399,7.30112,0.9971592150692714,1.9062162819524133,0.23735334989877188,0.21252508715622534,0.28480712571690253,0.6399862891769594,0.2388285395346523,0.5022956045177528,0.11442598187311177,0.37232259046455174,0.5183247219832109,0.12224619121890959,1.0733139961681462,0.1960898405679041,0.207696915244085,0.5007026791572571,0.3870312831810289,0.2507663420927638,0.11389601892395189,0.06417705280205517,1.3582469521570602,0.056693826782835216,0.06987752873998854
3.0,0.6817042944999704,0.1080949288744623,1.580985,10.95168,0.9971592150692714,1.9621139160854577,0.25494273164633324,0.21859265614373935,0.29262676333570015,0.6541868306210371,0.23574697376256784,0.5102328386773006,0.11442598187311177,0.3695234890374442,0.4618185315143589,0.11230801997060524,0.9860574674308243,0.18281473986002192,0.2045002711006687,0.43708962202072144,0.38545116413053,0.24986520432730794,0.11389601892395189,0.036241817323264876,0.8756558190707437,0.03155270256914858,0.04015304608734342
4.0,0.6773327530123437,0.10517981696859768,2.10798,14.60224,0.9971592150692714,1.970506086346602,0.2659960350353617,0.22152431377210338,0.29593139802457097,0.6601615435575268,0.23091934825366378,0.5067849639045358,0.11442598187311177,0.3638672100685814,0.460564301658902,0.11241330617338521,0.9869818737777246,0.18190161527165932,0.20450951154489178,0.4322926700115204,0.38528520535874355,0.24961449483359424,0.11389601892395189,0.023642155028162474,0.6572934626219649,0.020158027846057372,0.026791959667281155
5.0,0.6709461661236629,0.12079067412954854,2.634975,18.2528,0.9971592150692714,1.9898372420760329,0.26654069119921187,0.22329073766879842,0.29728474601183125,0.6634879658266996,0.22739868461398205,0.5134103982751553,0.11442598187311177,0.35968085738369765,0.48516341067794694,0.11692371441107488,1.026582979069221,0.19054921882488257,0.20450951154489178,0.45305490493774414,0.38499871904149596,0.2493540301166906,0.11389601892395189,0.02208196303053655,0.6912665664676751,0.018603449894526048,0.025452394813075364
6.0,0.6672270411463225,0.15155554877370872,2.634975,18.2528,0.0,2.1236830045049664,0.28322735880870104,0.23783643937111795,0.3070168675777565,0.6780206969582366,0.21717556062942978,0.5562343867167395,0.11442598187311177,0.34366129707002946,0.48516341067794694,0.11692371441107488,1.026582979069221,0.19054921882488257,0.20450951154489178,0.45305490493774414,0.38499871904149596,0.2493540301166906,0.11389601892395189,0.0,0.0,,
7.0,0.6526775322514242,0.2980766103729865,2.634975,18.2528,0.0,2.206446479912727,0.2936959034574159,0.24693055657984478,0.3184299731578558,0.68846262348961,0.21845403358103915,0.5381607507512138,0.11442598187311177,0.34619083447046095,0.48516341067794694,0.11692371441107488,1.026582979069221,0.19054921882488257,0.20450951154489178,0.45305490493774414,0.38499871904149596,0.2493540301166906,0.11389601892395189,0.0,0.0,,
8.0,0.6324555899074789,0.36482494913528823,2.634975,18.2528,0.0,2.2875117814901285,0.30985215874490246,0.2549239491989852,0.32548816768569167,0.6948450550811972,0.19996686889483425,0.540835255809496,0.11442598187311177,0.31828872884378917,0.48516341067794694,0.11692371441107488,1.026582979069221,0.19054921882488257,0.20450951154489178,0.45305490493774414,0.38499871904149596,0.2493540301166906,0.11389601892395189,0.0,0.0,,
9.0,0.6669782116541022,0.14479851935788746,3.16197,21.90336,0.9971592150692714,2.0209754243383333,0.27549070398374154,0.2271797452821063,0.2968104749635449,0.6661804453486618,0.2195044769798471,0.5091323519176226,0.11442598187311177,0.349466069561147,0.45726348211444606,0.11267136892757476,0.989247648794513,0.17984752457058878,0.20450951154489178,0.44399431347846985,0.38519649152619184,0.2496431450231789,0.11389601892395189,0.018232817374167338,0.6381200554988027,0.014788829884012382,0.02175777334774862
10.0,0.6616251869338627,0.15770295030926457,3.16197,21.90336,0.0,2.1515952811549837,0.28656479801365525,0.24040751128328927,0.31185296853384653,0.6763284521943017,0.2122054270057346,0.5471378948749582,0.11442598187311177,0.3363301916111707,0.45726348211444606,0.11267136892757476,0.989247648794513,0.17984752457058878,0.20450951154489178,0.44399431347846985,0.38519649152619184,0.2496431450231789,0.11389601892395189,0.0,0.0,,
