round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_f1,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.688267038987452,0.09167223808881259,3.66096,3.66096,1.0,0.21358140236564016,0.1097261567516525,0.6673461729571613,0.5027177960477913,0.3691097798195882,1.958366467123249,0.26833952173671544,0.28924747746153295,0.2299831081681888,0.6616283295138657,0.21137577265699267,1.8558662072124557,0.27185017026106695,0.27411944869831545,0.49408233165740967,0.36520813574332095,0.2306199178278337,0.11389601892395189,0.024793847388350727,2.688929186783298,0.021919701588824246,0.02685323540836053,0.009296025573940821
2.0,0.6648872716100327,0.18267668855135638,7.32192,7.32192,1.0,0.2192539622745522,0.1097261567516525,0.6754366011048379,0.5643707083331215,0.3774287833239171,2.013724903402621,0.2723506935944289,0.29997669210729255,0.23624804145716305,0.6655804028564761,0.2165315622028136,1.901133720462971,0.27170603674540683,0.2839383391347588,0.5258601903915405,0.37379599501318794,0.23728921100184056,0.11389601892395189,0.01755824643452916,2.0391624384515126,0.016977976175798777,0.018062779058479965,0.00569241642105891
3.0,0.6507768815230334,0.32066677086045753,10.98288,10.98288,1.0,0.22133319435017645,0.1097261567516525,0.6770969950353863,0.5631957603694134,0.35076627398310195,2.031528870532027,0.2745950845011749,0.3010861299907763,0.21941162869677114,0.6685145650693842,0.2207437289673336,1.938116284070681,0.27452285841100754,0.28216851730894843,0.5330881476402283,0.3476079112720619,0.22088694088578265,0.11389601892395189,0.01222634103741272,1.5169975705848628,0.012209148801047084,0.012308219691251497,0.004875916352849126
4.0,0.6512969036970528,0.3778311019035795,14.64384,14.64384,1.0,0.22335165938121365,0.1097261567516525,0.6793303358200758,0.5313732226820985,0.35484906558837387,2.055132818127756,0.2748974970900538,0.2977191715504055,0.22097149793403978,0.6691015280262639,0.22226744987545088,1.95149445937929,0.2785361936446025,0.2820352544068009,0.5164574980735779,0.35129586385714046,0.22216521028147176,0.11389601892395189,0.009912050014802672,1.3022333275339406,0.00989227758432045,0.009967113117118153,0.005307473964888956
5.0,0.6467125497943098,0.32720704427364866,18.3048,18.3048,1.0,0.22477429777004374,0.1097261567516525,0.6800562566128838,0.5410902206557031,0.35374841191012946,2.0656088350848427,0.2739423281883401,0.29999985678489877,0.22093740890720254,0.6686213483542573,0.22214593688476092,1.9504275828384068,0.2767335669533822,0.2791569086651054,0.5631139874458313,0.35050603311860073,0.2225550098812588,0.11389601892395189,0.008721395742585437,1.2062357691665966,0.008551112855473473,0.008883601394585197,0.00405693879757751
6.0,0.6465253816535408,0.40518766568962067,21.96576,21.96576,1.0,0.22496840290665407,0.1097261567516525,0.6806666070172241,0.5430564529872517,0.35238600630485534,2.0665548494539565,0.2804702930356129,0.3020189870726986,0.22022559013992277,0.6700792558114879,0.2230798590026843,1.9586273612568865,0.27903402854006587,0.2809892277347899,0.5578822493553162,0.34902462450164656,0.22170902109113344,0.11389601892395189,0.008651846345690474,1.2619033063692768,0.008321228150964217,0.008923484595848517,0.005649037886513648
7.0,0.6431978363571892,0.3055878468947846,25.62672,25.62672,1.0,0.2276663750992473,0.1097261567516525,0.6828895724373698,0.5114876180465093,0.34248999270264896,2.0923503833930432,0.2830475816050161,0.3006085448516384,0.21173496332567537,0.6704634070787643,0.22367015315863906,1.9638101074277505,0.27930607187112766,0.28293884252291696,0.5155673027038574,0.3386880084208523,0.2131003847322996,0.11389601892395189,0.007786499926823188,1.2002580617463536,0.0075518749947969,0.007994366016310577,0.004377510946630383
8.0,0.6437221826287993,0.3173263430318298,29.28768,29.28768,1.0,0.23050090093174924,0.1097261567516525,0.684431140152462,0.5293589278197266,0.34051581386653806,2.119944664215168,0.28656128990782553,0.3054068074373557,0.21185280561982875,0.6703741428285229,0.22284737080452433,1.9565861292598734,0.2794948887552616,0.28142838178680474,0.5191589593887329,0.3368120884219152,0.21352219901235858,0.11389601892395189,0.007869756836287826,1.2828833182429662,0.007373382654300931,0.008295406411423284,0.004374568045716202
9.0,0.6432067504050595,0.40720254270942957,32.94864,32.94864,1.0,0.23076438228247292,0.1097261567516525,0.6855522960175441,0.5498861399186945,0.3405005322037007,2.117880617520996,0.2817326819623224,0.30578257025138833,0.2127635572763447,0.6708947819329458,0.22313402675089616,1.9591029507351108,0.2798814619690484,0.28318858560794047,0.5591763257980347,0.3371524778707284,0.2146756804327472,0.11389601892395189,0.008718054905288333,1.5050848177588705,0.007342689651081027,0.009897362043638136,0.0042508332082465666
10.0,0.6398603158076128,0.43854786550958946,36.6096,36.6096,1.0,0.23213481444464887,0.1097261567516525,0.6874119944506089,0.5507664413019887,0.34668515068125644,2.1312655305529558,0.28084001945992904,0.3071958904247567,0.2160051567976801,0.6692882513187339,0.22239219516461106,1.9525897153007765,0.27961417578844694,0.28230236446142826,0.518843412399292,0.3432890611785882,0.21820209429811735,0.11389601892395189,0.007697375869524848,1.4172501882312645,0.006532619434578928,0.008714246131451851,0.00420528473588675
