round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auroc,fed_f1_best,fed_auprc_lift,fed_ece,fed_brier,fed_f1,fed_f1_best_threshold,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6871561782247726,0.11531099529499722,3.66096,3.66096,1.0,0.21947307973252853,0.6614917061866251,0.29651775637359984,1.9334086204505463,0.35543397853426706,0.22382407198482648,0.2733388795816893,0.5155350493186519,0.1147406847935549,0.6645243037451228,0.2138676836564447,1.8777450316261157,0.27779129165653127,0.278854154285035,0.4978802502155304,0.3556279031852032,0.2233940427019663,0.11389601892395189,0.024457242122750134,2.6426025320688495,0.022048831119207024,0.026142741980242374,0.01373409306063322
2.0,0.6626160665704195,0.23231891358445336,7.32192,7.32192,1.0,0.2258159048778196,0.6673606678863926,0.2988526841205843,1.9917986299515353,0.3377546641885603,0.2136183360563455,0.2778529015485086,0.5483699887071821,0.1147406847935549,0.6704167733160907,0.2197139742772941,1.929075101597683,0.2801680099897832,0.2868206703164642,0.5285634398460388,0.33792471929179435,0.21301814791666604,0.11389601892395189,0.01609233788856731,1.8563435014611969,0.016185774440726355,0.016116925069471977,0.006234472038115771
3.0,0.6507859317279234,0.3394972695154073,10.98288,10.98288,1.0,0.23095548189256318,0.6699457142789477,0.3020676712628059,2.0357194720341614,0.3634372248247731,0.23079075578559344,0.2731496800550123,0.566605851502502,0.1147406847935549,0.6709432604650255,0.22238894788710342,1.9525612044051515,0.2746394230769231,0.28671524663677134,0.5534856915473938,0.363421516038762,0.23038598737997018,0.11389601892395189,0.011762050064461042,1.453237551226266,0.012001046168355999,0.011647361155541906,0.005630861273711938
4.0,0.6451674454108922,0.2893803615111494,14.64384,14.64384,1.0,0.2333707612162316,0.671390141811055,0.30277684425278384,2.0560475939434277,0.34355756911671415,0.21636775614775072,0.2823837590744039,0.5307693239920448,0.1147406847935549,0.6719549847150188,0.223000929863639,1.9579343682990027,0.2794943820224719,0.2880823092312089,0.532745897769928,0.3433231823920688,0.21592656687311854,0.11389601892395189,0.010045652258130477,1.3187836964334565,0.010020619322846255,0.010097790698220872,0.005353632330503043
5.0,0.6455668407948928,0.308152728774028,18.3048,18.3048,1.0,0.23356940868584733,0.6715103101048989,0.30305692611045937,2.057840345132763,0.3464036250396933,0.21827014355587684,0.281952908127477,0.5338897150092404,0.1147406847935549,0.6719455475273087,0.22300170853401255,1.9579412049767102,0.2796415441176471,0.28844507845934375,0.535270631313324,0.34615240802948005,0.21784827113764024,0.11389601892395189,0.009565572914993164,1.3318791347392107,0.0095071177277377,0.009640153875654582,0.004903899024816644
6.0,0.6457078320201974,0.3112075905109459,21.2848,21.2848,0.8139941436126044,0.2370776547872452,0.6742116681996759,0.3055219802251776,2.089448499363084,0.34445591120486424,0.21806775650855456,0.2840292018182979,0.5480788667448997,0.1147406847935549,0.6723488994557504,0.22360755697100848,1.9632605167728534,0.28145179247383656,0.2883928571428571,0.5451309680938721,0.34723451560571006,0.2188333533535572,0.11389601892395189,0.009185446026649361,1.0297871858638246,0.008481455440781764,0.009961606271084791,0.02140337362850862
7.0,0.6457118125192641,0.35459635782543997,21.2952,21.2952,0.0028407849307285522,0.25117954059759623,0.6861860242691221,0.32108357476812843,2.2181206890073484,0.3427403464661076,0.21638099653130524,0.29206408765011443,0.5456569559650807,0.1147406847935549,0.6723232609258414,0.22360435647602395,1.9632324166248871,0.2816838334079713,0.28787429587903945,0.5431417226791382,0.34644581242961575,0.21822819045347266,0.11389601892395189,0.014698519435806558,0.003705126353452215,0.014665299857801807,,0.031649280076061284
8.0,0.6452618373991938,0.3110848918315986,24.95616,24.95616,1.0,0.23824415572413613,0.6752351986902769,0.3095735172905867,2.09552737144846,0.3309801721153828,0.20840366956007036,0.282867908370569,0.5421324951662367,0.1147406847935549,0.6729245679060623,0.2245768520517711,1.9717708676167212,0.2841065399524822,0.2879310344827586,0.5254157185554504,0.3304877314397653,0.20815735606830044,0.11389601892395189,0.008119746261379707,1.1881449139291362,0.007359714555986949,0.008728784230360068,0.00472648362539596
9.0,0.6438505711321201,0.3598561552120183,24.96656,24.96656,0.0028407849307285522,0.25418319719220683,0.6889658399209405,0.3208838031006064,2.244661853966048,0.322765760555627,0.20422619884872345,0.3020973889432969,0.5355857407949931,0.1147406847935549,0.6728712829339654,0.2245542896500055,1.9715727711250373,0.2833746898263027,0.28867761452031115,0.5274719595909119,0.3316466786599951,0.2089156817703629,0.11389601892395189,0.011702849042647642,0.0031772928705322556,0.011662412593616443,,0.03708428052132179
10.0,0.6431417967524103,0.36441968892965604,27.94656,27.94656,0.8139941436126044,0.24174222587119387,0.6762666192717955,0.3096716913359303,2.1260239594204435,0.3322006195538827,0.2102016313454176,0.28351237160631426,0.5335870652711853,0.1147406847935549,0.673012690156195,0.225220808062533,1.9774247615530127,0.2841749154241323,0.2890881913303438,0.5299192070960999,0.3312612124890984,0.20837142931183952,0.11389601892395189,0.009192340737166349,1.1686248127834915,0.007665674067895937,0.010983897108276325,0.024361488547153535
