round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc,fed_prevalence,fed_f1_best,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17318044207408173,0.033823376932664614,3.65056,3.65056,0.9971592150692714,0.39123923443295333,0.6165751713741005,0.5091265691491171,0.1825729019779104,0.1985818723353777,0.1144889224572004,0.2662949983551211,0.25381769659097925,1.7618316718301583,0.6281084301745242,0.2030297532473672,1.782588673120609,0.06944444444444445,0.2639238734956619,0.4906698167324066,0.37473776229459005,0.24097551650513666,0.11389601892395189,0.022870763889559043,2.453305843984708,0.01955506680180891,0.02510299322129083
2.0,0.17186677783878196,0.025320309926317557,5.632,5.632,0.5412350858791136,0.376104736265474,0.6565479603190276,0.5069292201196318,0.2429673591076535,0.22449088115080942,0.1144889224572004,0.2970855103078571,0.2407123398187204,1.9815118750935707,0.6550652423407056,0.21331315486607783,1.8728763031524969,0.08269771176234444,0.28150873965041395,0.4862002432346344,0.36971362306749017,0.2369202720988137,0.11389601892395189,0.01722930039935942,1.154142924817279,,0.01722930039935942
3.0,0.16896845714250086,0.029773259400742942,7.61344,7.61344,0.5412350858791136,0.382266000252731,0.6732550933013671,0.5198252096318257,0.259817541850271,0.23539355903138687,0.1144889224572004,0.3041047476101788,0.24432069727636532,2.080885377977359,0.6598542260705423,0.21478704257258618,1.8858169460338996,0.11081593927893738,0.2801792303637322,0.48850640654563904,0.370034401202227,0.23701167711439858,0.11389601892395189,0.01277157991503073,0.8988501522690058,,0.01277157991503073
4.0,0.1653459168009828,0.028263055693260365,9.59488,9.59488,0.5412350858791136,0.37575183240631127,0.6852379876405563,0.5207738520601934,0.2779540673829563,0.24373814146416078,0.1144889224572004,0.31345743019024125,0.23871633024402242,2.160670781144678,0.6619561713911755,0.21383548237499272,1.8774623063670925,0.12352941176470589,0.2812456747404844,0.48773783445358276,0.3680464515232933,0.2354314920443045,0.11389601892395189,0.010651715158322299,0.7830474290531129,,0.010651715158322299
5.0,0.16865168003781517,0.03406442668852286,11.264,11.264,0.4559241291901578,0.36972431162670477,0.6633609242396997,0.510595375343722,0.27176185802852054,0.22336070139534478,0.1144889224572004,0.2939485515683479,0.23446176753789613,1.9817852559983808,0.6666024427558014,0.21971079393250634,1.9290471783671976,0.17677089980855137,0.2827851345578813,0.4910004138946533,0.3689170657187465,0.23592666445970786,0.11389601892395189,0.014919789290604984,0.676490391138941,0.014919789290604984,
6.0,0.16710005168740402,0.034098360804982096,13.24544,13.24544,0.5412350858791136,0.3783370847724686,0.672811405777406,0.5234861327475923,0.27850652691037975,0.2359161278179304,0.1144889224572004,0.3052547232545399,0.24055547364015323,2.0913077305988304,0.6672793099849612,0.2195906200940437,1.927992059500024,0.19669172932330828,0.28418618097716103,0.48961010575294495,0.36958746140565624,0.23647810815127085,0.11389601892395189,0.008616689115000365,0.6586381737142801,,0.008616689115000365
7.0,0.16297891630599218,0.03749017477408387,15.22688,15.22688,0.5412350858791136,0.382353873563272,0.6828656879167193,0.5269700525382914,0.2814050502747201,0.24815212264438608,0.1144889224572004,0.3125603651182996,0.2430443677188702,2.211741295639559,0.6666788187191035,0.22040696614333632,1.9351595273097433,0.24897213339424396,0.28346235045742435,0.4919958710670471,0.370927431065445,0.2371250674306037,0.11389601892395189,0.009391153241842287,0.7463472886011004,,0.009391153241842287
8.0,0.15869879750253268,0.03824475635821465,17.20832,17.20832,0.5412350858791136,0.36955131451371387,0.6925619419709905,0.516918266797954,0.2962656944684091,0.26132319458975267,0.1144889224572004,0.3221161331153311,0.23231418869883544,2.33366157469071,0.6664443949605618,0.2191253544131722,1.9239070556055318,0.23852760736196318,0.28284771852666296,0.4895094931125641,0.3701851706982042,0.2366507234819383,0.11389601892395189,0.009709927767246978,0.8074297349667177,,0.009709927767246978
9.0,0.15641159976979133,0.059028684559963594,19.18976,19.18976,0.5412350858791136,0.37621485254345577,0.7032931054534006,0.5255431894865731,0.2993108051324345,0.27308579190823157,0.1144889224572004,0.334897526411012,0.23696723293589803,2.444031911005166,0.6660441427467005,0.2197335977398679,1.9292473943850796,0.24437603599336966,0.2831705916140149,0.49073460698127747,0.3721211410530548,0.23823848780521212,0.11389601892395189,0.010289724432305582,0.894155376823619,,0.010289724432305582
10.0,0.16510093113062635,0.057000690739095417,22.84032,22.84032,0.9971592150692714,0.3814371835781789,0.664520513228242,0.5207533365582591,0.26803650318633854,0.23126158738304492,0.1144889224572004,0.296374750802377,0.24289225773786602,2.0474172267442654,0.6667397337578596,0.22038381476460497,1.9349562596367371,0.25617685305591675,0.2797506099213879,0.49228435754776,0.3730324600430942,0.2388003835872698,0.11389601892395189,0.010337735309669003,1.4398673019604757,0.013646341706510225,0.00855858988984707
11.0,0.16401938499294375,0.04469266367395271,24.82176,24.82176,0.5412350858791136,0.382086025312738,0.679863462067461,0.5260292373425051,0.2777705970596629,0.24826519634806854,0.1144889224572004,0.3122688565422801,0.24249843059460283,2.2039453835233096,0.6673986552710283,0.21956624003376762,1.927778004079067,0.24405182567726738,0.2818321893822664,0.49345487356185913,0.37238374990679923,0.23841015980135968,0.11389601892395189,0.006873738545706425,0.6409208351979032,,0.006873738545706425
12.0,0.15976558375955371,0.04392608226325881,26.8032,26.8032,0.5412350858791136,0.3838002115060375,0.6928109226043411,0.5363549640081441,0.2797805892421754,0.2664389616152523,0.1144889224572004,0.3229451175874529,0.24327027918105634,2.370924955429037,0.6671620855562387,0.2188515044983454,1.9215026702950175,0.24386758752083829,0.2813592504544819,0.4933081865310669,0.37181142292479163,0.23791613342818715,0.11389601892395189,0.006785198213076168,0.6543787218397483,,0.006785198213076168
13.0,0.15707543020787812,0.05411521118693784,28.78464,28.78464,0.5412350858791136,0.37488540452375096,0.7002120129001631,0.5333429196397405,0.2931195405030702,0.28064015222257815,0.1144889224572004,0.33060777581392436,0.2354321889870653,2.5011963056445308,0.6669885391880976,0.2192809997450349,1.9252736119903218,0.246352547237503,0.2819410319410319,0.4948868155479431,0.3724577275206395,0.2384194507690568,0.11389601892395189,0.008512775784305761,0.8475122108357027,,0.008512775784305761
14.0,0.1549824349087258,0.06733816035702325,30.76608,30.76608,0.5412350858791136,0.3644079289962757,0.7084425424489112,0.5366180923515095,0.3078356979084862,0.2954192697345524,0.1144889224572004,0.3416861459582689,0.22707561796939493,2.6349446238022343,0.6669230185005524,0.21364340201798554,1.8757758527155788,0.18717714980249164,0.2830999584084293,0.49175745248794556,0.36882260124692623,0.23575327475388072,0.11389601892395189,0.008284561022446867,0.8601148389279842,,0.008284561022446867
15.0,0.16242240119158005,0.06184018946421953,32.4352,32.4352,0.4559241291901578,0.3773120085259549,0.670155453084066,0.5263112614874813,0.2716147397797847,0.23915238700385402,0.1144889224572004,0.3005765498102524,0.23960086568591896,2.1147149564080467,0.6683695687039565,0.2139755114643079,1.8786917531084109,0.1659134925758554,0.2824074074074074,0.49068009853363037,0.36853636619075025,0.2355334029090539,0.11389601892395189,0.010664976725178993,0.5647218418307602,0.010664976725178993,
16.0,0.16417253731032938,0.068544487591704,34.41664,34.41664,0.5412350858791136,0.37471216261266826,0.6850693210529594,0.5317871072306134,0.28223653623037387,0.2586407603859794,0.1144889224572004,0.3191112691123552,0.23683624509616677,2.3000139419327716,0.6654116880272558,0.20463564573189041,1.7966883097865358,0.07791195948578107,0.27935271930891836,0.49011126160621643,0.368603327009853,0.23577030913399802,0.11389601892395189,0.005601123035058678,0.5983310167212039,,0.005601123035058678
17.0,0.15742895586696734,0.0540938346408397,36.39808,36.39808,0.5412350858791136,0.3735516459295622,0.6957403639113127,0.5326986590537269,0.2888095635434947,0.2734963312672117,0.1144889224572004,0.3292913030674455,0.23508239401184394,2.4362389396957305,0.6667513043523656,0.20954938556400865,1.839830641525094,0.16138516824567134,0.28178041543026705,0.4921875596046448,0.36855997357942527,0.23548680409563952,0.11389601892395189,0.008031785617788787,0.8795748652191833,,0.008031785617788787
18.0,0.1539047635383532,0.06823969536808062,38.37952,38.37952,0.5412350858791136,0.372436795156723,0.7067017807651245,0.5389460657703552,0.29492309753048207,0.28819893277386444,0.1144889224572004,0.3417154253900553,0.23341082962348075,2.569434154643643,0.6671866573827495,0.2137634991950081,1.8768302985000511,0.2021952628538417,0.28220858895705525,0.49381551146507263,0.36753755817326217,0.23454257216302227,0.11389601892395189,0.008962023317325502,1.0220618697348982,,0.008962023317325502
19.0,0.15065845446960616,0.0774291080724488,40.36096,40.36096,0.5412350858791136,0.3742983355941879,0.7162026730228863,0.5461445951877463,0.3014305166423906,0.3081887239273534,0.1144889224572004,0.34897023281887396,0.23347564292223694,2.7501372021797468,0.6661385899205113,0.20799033267209743,1.8261422535845797,0.14918414918414918,0.2835952231301069,0.4939090311527252,0.36900839175507927,0.2358179093535157,0.11389601892395189,0.008185602232901495,0.9765422325581312,,0.008185602232901495
20.0,0.16363906065086314,0.07713075022204637,44.01152,44.01152,0.9971592150692714,0.37395624183343434,0.6705304004086348,0.5284654701396837,0.2693764135571822,0.2407694597481748,0.1144889224572004,0.2984945966746653,0.23692432834203012,2.1201549807903333,0.6667452429671743,0.21258087466339853,1.866446928275327,0.10390595373530527,0.2856341976173791,0.492017537355423,0.3673444682020408,0.2346177112285169,0.11389601892395189,0.007084758721937416,1.2753141794819385,0.009645431111006464,0.0058987885012378545
21.0,0.1629149566206951,0.06335877497372537,45.99296,45.99296,0.5412350858791136,0.3789278993707559,0.6849253262295801,0.5447925003498703,0.2789048352438462,0.26096791589585905,0.1144889224572004,0.3132390055482561,0.23974207442264817,2.3133725080760703,0.6607514616722928,0.19725815860573834,1.731914429225548,0.037578288100208766,0.27849355797819625,0.4908336400985718,0.36750234016187056,0.2348834440895013,0.11389601892395189,0.00533850903176963,0.6694657971384004,,0.00533850903176963
22.0,0.1569242654112102,0.05115718847151719,47.9744,47.9744,0.5412350858791136,0.3823391818774401,0.6986944906446116,0.5512998257158747,0.288718480909368,0.2826743311773342,0.1144889224572004,0.3348208926310943,0.2415817316669863,2.516105943899248,0.6658571684651955,0.21295915784535552,1.869768231210503,0.13793103448275862,0.28106425134446644,0.49336743354797363,0.37031988580505637,0.23696603373775518,0.11389601892395189,0.006556575187224849,0.8437472810037434,,0.006556575187224849
23.0,0.15408940398199122,0.06663220764805475,49.95584,49.95584,0.5412350858791136,0.37160778606604983,0.7103090079586253,0.5395571910058712,0.30500925742152596,0.29601635445964786,0.1144889224572004,0.3437032446218641,0.23256857106168244,2.6409069222668973,0.6668844791342523,0.21486454762766444,1.8864974356226534,0.14463667820069204,0.2837570807535239,0.4924089014530182,0.3669751684065944,0.23425135196990604,0.11389601892395189,0.008189277645670201,1.0892246993025765,,0.008189277645670201
24.0,0.15024609484983376,0.07010451949965392,51.93728,51.93728,0.5412350858791136,0.3651533042561837,0.7198530551607677,0.5325205130211836,0.31770801185470965,0.3147020971134367,0.1144889224572004,0.3535510370994559,0.22663704442715096,2.8148354594395864,0.6664296619042167,0.2154565871392343,1.8916955059078417,0.1794296699775713,0.2832533530207949,0.4915577471256256,0.36651109670997534,0.23383387546729448,0.11389601892395189,0.00757444065565201,1.0524986552773044,,0.00757444065565201
25.0,0.16307956847513888,0.07725873472393761,53.6064,53.6064,0.4559241291901578,0.3719591323393213,0.6759003380605908,0.529714445034858,0.2795166549102035,0.2460763084862492,0.1144889224572004,0.30685603979547904,0.235105674697647,2.1668595863684645,0.6659761247182585,0.21556705552721467,1.8926654115202068,0.18204488778054864,0.27935271930891836,0.49190372228622437,0.36696442033079507,0.23417643472365302,0.11389601892395189,0.00860544172639103,0.5273578700143844,0.00860544172639103,
26.0,0.16030939877777362,0.06374258855875378,55.58784,55.58784,0.5412350858791136,0.37701553632463025,0.68886638225874,0.5334463480218479,0.2825608798868315,0.2660156478389826,0.1144889224572004,0.32027240138512764,0.2379053608403055,2.3539680993060177,0.6656031424630326,0.21310564930944664,1.871054417202561,0.15363321799307958,0.27951867635998995,0.49151235818862915,0.36648453257963337,0.23386813120136565,0.11389601892395189,0.0045117145300771514,0.6492673374596052,,0.0045117145300771514
27.0,0.1561588573463755,0.06908283411465241,57.56928,57.56928,0.5412350858791136,0.36904471008386547,0.702368916805922,0.5330968854999523,0.2979343330079521,0.2899031179022364,0.1144889224572004,0.33210244454388155,0.23072281016201981,2.57748709019435,0.6665205826820879,0.22070824742924045,1.9378047583612807,0.23257010547980447,0.2790757712662966,0.4925527572631836,0.3667189417166645,0.2338389184846246,0.11389601892395189,0.0056060942398305945,0.8272810312919319,,0.0056060942398305945
28.0,0.153172041242381,0.10874890625946554,59.55072,59.55072,0.5412350858791136,0.36593927829531064,0.7132429004852132,0.5326158401292764,0.30842133579761016,0.3043235070484647,0.1144889224572004,0.34030611965309004,0.22745574153173911,2.71045544163432,0.6664905392946173,0.22064942021950346,1.9372882590991225,0.2522893772893773,0.2811605030506786,0.4923960566520691,0.36758906969883,0.23437932956914254,0.11389601892395189,0.0059270716830940135,0.90332593745552,,0.0059270716830940135
29.0,0.14843838235905563,0.08417144550345744,61.53216,61.53216,0.5412350858791136,0.3695416995366399,0.7237625855045121,0.5386395705272964,0.31180700940745254,0.3208022443383196,0.1144889224572004,0.3553189302033132,0.22925062112761052,2.864962893726015,0.6668075635445254,0.22143603132146225,1.9441946559107968,0.23871763255240444,0.28177235340939244,0.49154189229011536,0.36838212765584905,0.23511604939132036,0.11389601892395189,0.007290269744277658,1.1536474160384387,,0.007290269744277658
30.0,0.16501719633307668,0.11655625260507996,65.18272,65.18272,0.9971592150692714,0.37331169719309787,0.6783452133439003,0.5306724434454005,0.2809032761940163,0.2493785899122342,0.1144889224572004,0.30732089642689603,0.2357218494123172,2.187837301815203,0.667988291261129,0.22141989643895624,1.944052992640575,0.24017790956263899,0.2842246387606137,0.4943399727344513,0.3695587464953004,0.2360948695963208,0.11389601892395189,0.005690634625462303,1.30586110195145,0.008053580040770537,0.004745135090558564
