round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_auroc,fed_auprc,fed_f1,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882614819100017,0.09240683606564096,0.08724,3.65056,0.9971592150692714,0.4998268000225802,1.7013961291446988,0.11506262982312578,0.6238838684594088,0.19468946008056248,0.08956848932872237,0.26815079759372284,0.24966279036647646,0.38430710259480044,0.5931004795948676,0.18265117427183705,1.6036660104317852,0.2045002711006687,0.23563811489508085,0.5290607213973999,0.4150898950293977,0.2732112806432295,0.11389601892395189,1.0007268540673477,8.625051020644605,0.6483660708541208,1.3224575198566109
2.0,0.6881211684535378,0.06333512293512483,0.17448,7.30112,0.9971592150692714,0.4955351445829769,1.6916545256086868,0.11506262982312578,0.6177213703991506,0.1928786480206535,0.10701106613061344,0.2683130250448195,0.24500550060403808,0.3787147529142321,0.6521582998886262,0.21059826145135696,1.8490397069275348,0.2045002711006687,0.26928181684117386,0.5297848582267761,0.41542232153285963,0.2733845592266018,0.11389601892395189,0.1136182243196993,1.0390921534853987,0.08967921425067578,0.1321447799862412
3.0,0.6854398682545959,0.0835376201612324,0.26172,10.95168,0.9971592150692714,0.49776874701454654,1.7491348251954573,0.11506262982312578,0.6267179089826085,0.20012982932043447,0.16762466461757639,0.2755127508624726,0.24397620905006226,0.3779341405657498,0.6498889699806573,0.19848347526574106,1.7426726336964247,0.2045002711006687,0.26782065152061546,0.5290862321853638,0.4134419073641669,0.27166539862117794,0.11389601892395189,0.12517516737736833,1.1748711504942548,0.07581181559092968,0.1754373072005326
4.0,0.6816939702840787,0.08809661949810842,0.34896,14.60224,0.9971592150692714,0.49519035427057234,1.8719923552133033,0.11506262982312578,0.6452472079352013,0.2126764430340681,0.2024267137529303,0.28795093219693035,0.23955823558496525,0.37271001887920246,0.6045504738698078,0.14493911670976256,1.2725564780849634,0.2045002711006687,0.24493731918997105,0.5282296538352966,0.4140922692156958,0.27226975302825446,0.11389601892395189,0.09185414404080895,1.0295550970108707,0.044898733800244936,0.14541922976616678
5.0,0.6782223477860514,0.10167040599742831,0.4362,18.2528,0.9971592150692714,0.4969598237260244,1.9023742146478908,0.11506262982312578,0.6507156548363604,0.217552658411552,0.23564795523033144,0.29188397441908975,0.23917694557925714,0.37290763358619,0.6144376598204053,0.1491840296907898,1.3098265514477696,0.2045002711006687,0.25038222861768145,0.5279862284660339,0.4132835433667796,0.27154538185156724,0.11389601892395189,0.0743698254019266,0.9712668402135023,0.039516025374522486,0.11799539425362165
6.0,0.6752557464914652,0.11771234600664753,0.4362,18.2528,0.0,0.5328608575094307,2.0720618770931645,0.11506262982312578,0.6647880895279992,0.23395194513723283,0.27591455061269005,0.3050482793693267,0.21354691234383613,0.3320757425599755,0.6144376598204053,0.1491840296907898,1.3098265514477696,0.2045002711006687,0.25038222861768145,0.5279862284660339,0.4132835433667796,0.27154538185156724,0.11389601892395189,0.0,0.0,,
7.0,0.6530290949312748,0.24401068417849894,0.4362,18.2528,0.0,0.5845607030817145,2.166585168344687,0.11506262982312578,0.6747328473472648,0.24479200261311476,0.2763975044274954,0.31325194002735063,0.2386641094626553,0.37056382692510365,0.6144376598204053,0.1491840296907898,1.3098265514477696,0.2045002711006687,0.25038222861768145,0.5279862284660339,0.4132835433667796,0.27154538185156724,0.11389601892395189,0.0,0.0,,
8.0,0.6289284220361095,0.4198562609431601,0.4362,18.2528,0.0,0.5546644561772619,2.2422013313203935,0.11506262982312578,0.6807656475363314,0.25361830056470036,0.28906305118936565,0.315128218559794,0.20359485474412356,0.3163234137571739,0.6144376598204053,0.1491840296907898,1.3098265514477696,0.2045002711006687,0.25038222861768145,0.5279862284660339,0.4132835433667796,0.27154538185156724,0.11389601892395189,0.0,0.0,,
9.0,0.6771760660629651,0.10896430196358095,0.52344,21.90336,0.9971592150692714,0.495400524842114,1.9211937458363706,0.11506262982312578,0.652530730673218,0.21934504872962451,0.2467507786772951,0.2943631315978752,0.23708239718581678,0.37071149719664115,0.6238987416865529,0.15441165213239028,1.3557247530793028,0.2045002711006687,0.25557071396089137,0.5285016894340515,0.4136860300978739,0.27185802384038343,0.11389601892395189,0.06186998570680155,0.9027904263962228,0.0339986232827551,0.10053421775598545
10.0,0.6754490592747024,0.12073888390415373,0.52344,21.90336,0.0,0.5353623596107095,2.042419378741705,0.11506262982312578,0.6618863881285577,0.23290425418482008,0.2770143557281537,0.3033434987361967,0.22615714288593342,0.356133566301825,0.6238987416865529,0.15441165213239028,1.3557247530793028,0.2045002711006687,0.25557071396089137,0.5285016894340515,0.4136860300978739,0.27185802384038343,0.11389601892395189,0.0,0.0,,
11.0,0.6548448268638286,0.20768362477360233,0.52344,21.90336,0.0,0.5759100572176123,2.096858832816886,0.11506262982312578,0.6716627271527406,0.23873660572416197,0.28376572372796194,0.3126756730031728,0.228126170744325,0.35473902517749234,0.6238987416865529,0.15441165213239028,1.3557247530793028,0.2045002711006687,0.25557071396089137,0.5285016894340515,0.4136860300978739,0.27185802384038343,0.11389601892395189,0.0,0.0,,
12.0,0.6330020733181134,0.37018979454308576,0.52344,21.90336,0.0,0.5612790838635243,2.196437403422953,0.11506262982312578,0.679916225822386,0.249224438899119,0.2901448719874556,0.31698810388837895,0.2198355341372492,0.34450012693724347,0.6238987416865529,0.15441165213239028,1.3557247530793028,0.2045002711006687,0.25557071396089137,0.5285016894340515,0.4136860300978739,0.27185802384038343,0.11389601892395189,0.0,0.0,,
13.0,0.6715329266245786,0.13430803675189024,0.61068,25.55392,0.9971592150692714,0.4929548886732929,1.930316002684562,0.11506262982312578,0.6528029589621178,0.22071151873606235,0.2442771212851864,0.294906611231248,0.2346517733649244,0.36769923198220855,0.6171476260779414,0.1503019159590592,1.3196415237253853,0.2045002711006687,0.25323588975961964,0.5277265906333923,0.41315176682381266,0.27143985219460975,0.11389601892395189,0.060151026586816765,0.9672504180107353,0.02638691872972495,0.11193991233539345
14.0,0.6701064621402676,0.13594074253228922,0.61068,25.55392,0.0,0.5228696589282469,2.02469398341975,0.11506262982312578,0.6626164748061802,0.23095791172769756,0.2803367601294073,0.30462926235860066,0.201451677362213,0.31273167939130786,0.6171476260779414,0.1503019159590592,1.3196415237253853,0.2045002711006687,0.25323588975961964,0.5277265906333923,0.41315176682381266,0.27143985219460975,0.11389601892395189,0.0,0.0,,
15.0,0.6491725042007743,0.27474280986626065,0.61068,25.55392,0.0,0.5597674677162178,2.1194867788957596,0.11506262982312578,0.6737566473424625,0.24082922236821502,0.2810299713733911,0.31438910589691627,0.2258683494766646,0.35366834770594274,0.6171476260779414,0.1503019159590592,1.3196415237253853,0.2045002711006687,0.25323588975961964,0.5277265906333923,0.41315176682381266,0.27143985219460975,0.11389601892395189,0.0,0.0,,
16.0,0.6259994075803703,0.44520731638161415,0.61068,25.55392,0.0,0.5689025763493768,2.2230407589900323,0.11506262982312578,0.6816272387581847,0.25174461737593457,0.289990122988307,0.3198606906695882,0.21629867656488996,0.3372828277873624,0.6171476260779414,0.1503019159590592,1.3196415237253853,0.2045002711006687,0.25323588975961964,0.5277265906333923,0.41315176682381266,0.27143985219460975,0.11389601892395189,0.0,0.0,,
17.0,0.6710980762852715,0.13162354293972753,0.69792,29.20448,0.9971592150692714,0.49448774726206085,1.9309952326014919,0.11506262982312578,0.6529077295826541,0.22080664195091393,0.25897862131714033,0.2954428749761543,0.2328975755779463,0.3656912600182973,0.5824402474169589,0.13778471399992898,1.2097412648981833,0.2045002711006687,0.2343717477277458,0.525259792804718,0.41208157037367515,0.27062418682166184,0.11389601892395189,0.04356605797666277,0.7878216418569082,0.018865745753476555,0.08387899752973167
18.0,0.6661038048699669,0.1497053623077233,0.69792,29.20448,0.0,0.529547243762618,2.037985898393799,0.11506262982312578,0.6636366451515829,0.23249091568203273,0.2819264087108682,0.3040217371967669,0.21898747235093843,0.34502413376951,0.5824402474169589,0.13778471399992898,1.2097412648981833,0.2045002711006687,0.2343717477277458,0.525259792804718,0.41208157037367515,0.27062418682166184,0.11389601892395189,0.0,0.0,,
19.0,0.6442691529431837,0.3022629842746857,0.69792,29.20448,0.0,0.5430644962908735,2.154794845201916,0.11506262982312578,0.672635788888593,0.24467128508818892,0.2885311661261424,0.3131468125054949,0.20744202327514152,0.3269835856521625,0.5824402474169589,0.13778471399992898,1.2097412648981833,0.2045002711006687,0.2343717477277458,0.525259792804718,0.41208157037367515,0.27062418682166184,0.11389601892395189,0.0,0.0,,
20.0,0.6265180813122229,0.5235375836915257,0.69792,29.20448,0.0,0.5650775000080629,2.2589529678892886,0.11506262982312578,0.6814919834730687,0.25577048660052815,0.2930085521452511,0.3209751195689602,0.20355368404301077,0.31818940283960057,0.5824402474169589,0.13778471399992898,1.2097412648981833,0.2045002711006687,0.2343717477277458,0.525259792804718,0.41208157037367515,0.27062418682166184,0.11389601892395189,0.0,0.0,,
21.0,0.6665406855285664,0.15536997912014577,0.78516,32.85504,0.9971592150692714,0.4897718417766056,1.9429203405550415,0.11506262982312578,0.6528648678037456,0.22205841407408342,0.2395984284714304,0.29530473399953094,0.22428576179069612,0.35414889584278264,0.5953353361589009,0.14176419017448022,1.2446808195213201,0.2045002711006687,0.24157777607244266,0.5250518918037415,0.41134613021593985,0.26990213411019515,0.11389601892395189,0.039739145039403054,0.800328216044818,0.014179388166025365,0.08498998533586424
