round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_brier,fed_auprc_lift,fed_auprc,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882685065291676,0.11569083054468474,3.65056,3.65056,0.9971592150692714,0.11432168712621969,0.5109600098413756,0.2705432038593273,0.3884921937758795,0.25032289892196424,1.6543926378730203,0.18972540071137098,0.6153155387471021,0.21479743398993054,0.641400006294805,0.1745901541126617,1.5328907521274748,0.26392961876832843,0.2664225716131811,0.5008302927017212,0.38110491104536126,0.24539273138768494,0.11389601892395189,0.02764847743603244,2.9873655408155173,0.02330546066773735,0.030521278546196115
2.0,0.6809177723266312,0.13366647476654223,5.632,5.632,0.5412350858791136,0.11432168712621969,0.5116492685222537,0.2887677219302099,0.36458616262717475,0.23086582349296905,1.9713299705871434,0.22596854901513944,0.6578059137309659,0.2615209360811346,0.6249740414590715,0.15781609765693774,1.385615574169552,0.23171574726945943,0.25298450596901195,0.4923696517944336,0.37502272110669566,0.24065651676393862,0.11389601892395189,0.020516565497475395,1.4201918179169297,,0.020516565497475395
3.0,0.6663800386175427,0.21613818967286358,7.61344,7.61344,0.5412350858791136,0.11432168712621969,0.5186365675524718,0.29893969546410004,0.34975034551478645,0.22066593440712712,2.0588331720176165,0.23588024953138018,0.6710185864862024,0.26938087090830554,0.5696726485552644,0.1358053698668312,1.1923627458612767,0.1892317380352645,0.22310405643738979,0.4895729422569275,0.3754653968822555,0.24150498481474705,0.11389601892395189,0.014803756169447497,1.091279729269445,,0.014803756169447497
4.0,0.6499737379476206,0.2750761312560675,9.59488,9.59488,0.5412350858791136,0.11432168712621969,0.5214185727648214,0.30784616658623043,0.3415206352747721,0.21491866389253705,2.152693873261295,0.2462251571451133,0.6805547184832582,0.28653509483060885,0.5622983899204008,0.13408961074379455,1.1772984869060776,0.17513839959738298,0.22173709652268828,0.488543301820755,0.37312785644758995,0.23982085183165705,0.11389601892395189,0.012789707273106687,0.9945919727906585,,0.012789707273106687
5.0,0.6582892945555869,0.31327366208339713,11.264,11.264,0.4559241291901578,0.11432168712621969,0.5082428478579271,0.28336070610394665,0.34891147524972066,0.22212064405677998,1.9640952414369426,0.22554924796214734,0.654212442329327,0.2634900194867539,0.553852608897993,0.1290590716323617,1.133130664720899,0.15870736086175943,0.2180242880477239,0.4831677973270416,0.3706358892624605,0.23795948165800776,0.11389601892395189,0.01700781993533023,0.782871182076633,0.01700781993533023,
6.0,0.6512175931599562,0.39330848065641677,13.24544,13.24544,0.5412350858791136,0.11432168712621969,0.504388999188513,0.2997557537138274,0.34010692499589734,0.21430718291310083,2.083073404594553,0.23830657449541234,0.6689030459952524,0.27626206907627276,0.5463333538977015,0.12443596696220813,1.0925400917243098,0.17568291376539905,0.21756437367831818,0.4785665273666382,0.3719757830192485,0.2390013830571644,0.11389601892395189,0.010096212061576381,0.8250201537739486,,0.010096212061576381
7.0,0.6346933619923025,0.3668547532555093,15.22688,15.22688,0.5412350858791136,0.11432168712621969,0.5083545123232509,0.30744719046227253,0.34504758689082343,0.215781286375064,2.2048963364695844,0.25211867823473366,0.6811156671898873,0.28859003817078543,0.5383422269624569,0.1230237652021835,1.0801410476368467,0.16013576056772602,0.21300563236047107,0.4764766991138458,0.36927681257466893,0.23710800604327628,0.11389601892395189,0.009896799676081262,0.844685725052841,,0.009896799676081262
8.0,0.6236371191915628,0.45401111946669337,17.20832,17.20832,0.5412350858791136,0.11432168712621969,0.5479564220791985,0.31736904439321045,0.3521503267819716,0.22131937134611993,2.272868253150995,0.26009546645839304,0.6886626378828149,0.29429871290936127,0.553163970283099,0.126035947620085,1.1065878229180153,0.15467500868960724,0.2203156722771629,0.4770369231700897,0.36853688395229134,0.23629563947749024,0.11389601892395189,0.009354598987149519,0.8334450131515041,,0.009354598987149519
9.0,0.6089146780457227,0.6019796169495224,19.18976,19.18976,0.5412350858791136,0.11432168712621969,0.526195706843129,0.3197775602946213,0.33461543224719115,0.20973612028582952,2.3626392838348784,0.27033239508304463,0.6966694645447047,0.3005985852654082,0.559924698771745,0.12751925230626066,1.1196111462983176,0.178093197643278,0.22363455809334656,0.47793465852737427,0.36935136156993154,0.2368446733307356,0.11389601892395189,0.012128703813590347,1.13030629476998,,0.012128703813590347
10.0,0.6421524406930913,0.5152241779455466,22.84032,22.84032,0.9971592150692714,0.11432168712621969,0.49437406085218166,0.28695492566895103,0.3212041553875579,0.2040648501228427,2.015088328208895,0.2313448282801443,0.6571130556230904,0.26791401158497136,0.5862606644613432,0.13852924353461105,1.216278188152535,0.18097601323407775,0.23364116094986806,0.4743656814098358,0.3658897510813961,0.23386177832347893,0.11389601892395189,0.009341512583707922,1.3855628732126206,0.012721642030652828,0.007624058137820173
