round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6886203638579302,0.10172283430046214,3.65056,3.65056,0.9971592150692714,0.39853475076919925,0.2570734962148185,0.2596754721949601,0.20766812670140355,0.5157780284475924,0.11538461538461539,1.486503054904327,0.1692603443475001,0.5587350953103957,0.6437113266683028,0.20734555789329395,1.8204811709155357,0.25984413453650534,0.2655086848635235,0.5023813843727112,0.38550559549472296,0.24843890790895734,0.11389601892395189,0.02564643805644403,2.758533926680684,0.021255125643469465,0.028552134103668646
2.0,0.6816554695442013,0.12003134764488113,5.632,5.632,0.5412350858791136,0.3629887979503439,0.30188047609935564,0.23120568490115773,0.2622808242285268,0.5108933823093365,0.11538461538461539,1.9483759870399424,0.22284741244431802,0.6612870707361226,0.6453750702330067,0.20907391324846972,1.8356560240096529,0.2644044636757003,0.26825373784293804,0.5028515458106995,0.3858043117407159,0.24846588035530676,0.11389601892395189,0.021667554926673226,1.4715839298442006,,0.021667554926673226
3.0,0.6686926094458799,0.16942333359599687,7.61344,7.61344,0.5412350858791136,0.3502774415344251,0.31200492017646325,0.2209776385167233,0.28659240193901575,0.5250646931581349,0.11538461538461539,2.1038999100026006,0.24007558933318943,0.681789097036812,0.6463453059955407,0.2094266556776485,1.8387530807155095,0.2611844908393694,0.2723365059871047,0.5040577054023743,0.38751073095307587,0.249609364396022,0.11389601892395189,0.016684926273563785,1.20444979169406,,0.016684926273563785
4.0,0.6579531606643177,0.24498327758963834,9.59488,9.59488,0.5412350858791136,0.3611467278875663,0.31962759273680613,0.2283574034212139,0.28811001292578975,0.5395910683074286,0.11538461538461539,2.1647211556617543,0.24661135723078254,0.6888040580412448,0.6384721815550266,0.20791095319796243,1.825445306712468,0.2250014679114556,0.27267424905220183,0.5080053210258484,0.39420906117850524,0.25455296982319603,0.11389601892395189,0.01371619603385605,1.0458390293642879,,0.01371619603385605
5.0,0.6615748697523917,0.23553384149533518,11.264,11.264,0.4559241291901578,0.3556230762302988,0.3012417639375807,0.22610192635725113,0.2736730284446032,0.5326689566268318,0.11538461538461539,2.0149350824785723,0.22999141647280127,0.668531491117849,0.6405311826517985,0.21505167134085473,1.8881403702480966,0.22112938782431746,0.2782556209446205,0.5110467076301575,0.3950721293011347,0.25506243537972706,0.11389601892395189,0.017399050911818044,0.7921382989734411,0.017399050911818044,
6.0,0.6564932556921695,0.2449971311914271,13.24544,13.24544,0.5412350858791136,0.34623655828048283,0.31990035558253704,0.21850711386794233,0.2903547297003752,0.5335507811271437,0.11538461538461539,2.1405404135875203,0.24377588986655463,0.6823735168411267,0.6380385352500797,0.21478976815331158,1.885840876464051,0.21573819106121583,0.27951388888888884,0.5098243951797485,0.395760977468911,0.25555261163698334,0.11389601892395189,0.0108526226852213,0.8659894925076514,,0.0108526226852213
7.0,0.6396869657158779,0.3525771117324487,15.22688,15.22688,0.5412350858791136,0.33674201099468193,0.32793853304258863,0.21128124921009755,0.30144475399283044,0.5544633750507008,0.11538461538461539,2.2637680764169277,0.2566133073971902,0.6919673906424321,0.6553323448715836,0.2192404936303907,1.9249179708096475,0.26124472186524694,0.280589178941228,0.5084626078605652,0.39226542668299635,0.2525363068079382,0.11389601892395189,0.009239415485447273,0.7719507772708312,,0.009239415485447273
8.0,0.6188163985048518,0.4447206080823256,17.20832,17.20832,0.5412350858791136,0.33574926117314324,0.3419391749903095,0.2108859128975181,0.31356955859343966,0.5455678889827376,0.11538461538461539,2.3858749956614056,0.2697675938059259,0.704458687003471,0.6567466555334625,0.2193313965756524,1.9257160930453545,0.26389290185880765,0.2801283030395601,0.5143956542015076,0.39321661580910267,0.25284324072635544,0.11389601892395189,0.009472466211666194,0.8283345075324178,,0.009472466211666194
9.0,0.6005132622335998,0.4929291672980458,19.18976,19.18976,0.5412350858791136,0.32884654555463655,0.3513550563086002,0.20677331863374324,0.31710239387646466,0.592254768180469,0.11538461538461539,2.49520399250499,0.2816790160841167,0.7147177281073174,0.6589117998930687,0.22013183857686003,1.9327439242967883,0.2662307333021952,0.280358598207009,0.5194875001907349,0.3916041130022191,0.25126116158223455,0.11389601892395189,0.009396999880780564,0.8636300342623144,,0.009396999880780564
10.0,0.6501549796860018,0.5543291792848256,22.84032,22.84032,0.9971592150692714,0.3595433007833356,0.30567322796118795,0.2295564402460191,0.274595301123073,0.5445041210791273,0.11538461538461539,2.0368766188177148,0.23277045436395521,0.6712352964544952,0.662078754435792,0.22357747503520825,1.9629963992375399,0.2620497650948321,0.28136663795578526,0.515143871307373,0.39298007216941455,0.2523025117092894,0.11389601892395189,0.00994246368739577,1.4480533053865656,0.014666648925933827,0.007493888112971609
11.0,0.644774630045796,0.41603325161629545,24.82176,24.82176,0.5412350858791136,0.3489788154054052,0.32289508449665855,0.21984075101352055,0.29473736455366106,0.5454489460643408,0.11538461538461539,2.213408589628496,0.25176996266255186,0.6895155745316985,0.6618862834944239,0.22347191872980945,1.9620696214063562,0.2699714013346044,0.2803686121195197,0.5120808482170105,0.3891415650006167,0.2493921201213218,0.11389601892395189,0.006828555137986108,0.6718077654950321,,0.006828555137986108
12.0,0.6230384128767824,0.4543344568885052,26.8032,26.8032,0.5412350858791136,0.3427815551929486,0.3375143087470206,0.21670831955334247,0.2977949900362752,0.5589622106282578,0.11538461538461539,2.3241703687793325,0.26356916018228466,0.6993387588149722,0.6624206516990527,0.22331557720909567,1.960696952526523,0.26901754067072614,0.2802626688142733,0.5088968276977539,0.38926174180443707,0.2495208539848159,0.11389601892395189,0.0073627608007847956,0.7507585724815726,,0.0073627608007847956
13.0,0.6039777523929877,0.6219543229758572,28.78464,28.78464,0.5412350858791136,0.3530004879502652,0.34932105917140605,0.22534696126025044,0.2993651463379682,0.5966376915196996,0.11538461538461539,2.468444519220944,0.27939417362699703,0.7126376414769627,0.6619015938255494,0.22267375019200503,1.9550617510229553,0.26936026936026936,0.2801652892561984,0.5160796046257019,0.3892939138621867,0.24906755547289527,0.11389601892395189,0.008810008006743914,0.9406375257531181,,0.008810008006743914
14.0,0.5894757745748432,0.8894355842613049,30.76608,30.76608,0.5412350858791136,0.3247687293520969,0.3591761463856751,0.20472424829133135,0.3180154020519233,0.601832822501757,0.11538461538461539,2.5781282891824366,0.2914838982855373,0.7224037025697756,0.6621007661741476,0.22277018782986835,1.9559084675173017,0.2705747565400038,0.28026845637583897,0.5129204392433167,0.38759793076495286,0.2478871670859623,0.11389601892395189,0.0091024893248476,1.0174934298265725,,0.0091024893248476
15.0,0.64767164907523,0.8197399264593355,32.4352,32.4352,0.4559241291901578,0.3368616888840578,0.31240691179436925,0.21520142434817935,0.2859710665877206,0.5299035811340209,0.11538461538461539,2.0798524891247787,0.23768841721304734,0.677376844107113,0.6628105004174198,0.22512520772435357,1.9765853964980915,0.2759812894041082,0.2801857585139319,0.5070086717605591,0.38370999495578384,0.24503670383964576,0.11389601892395189,0.01196382279571817,0.6470597530715168,0.01196382279571817,
16.0,0.6421419539612903,0.6758856656977645,34.41664,34.41664,0.5412350858791136,0.3390749163365659,0.3266729517537418,0.2152131877592591,0.2970855920467687,0.5690512258437992,0.11538461538461539,2.2139734125628565,0.2523263152164478,0.6908383145159888,0.662748844961011,0.22504437350530396,1.9758756770556272,0.2770248639419486,0.2805465191932336,0.5076450109481812,0.3807476129476782,0.24256241883527638,0.11389601892395189,0.005747942688385982,0.6653860460501164,,0.005747942688385982
