round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_auprc,fed_f1,fed_auroc,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881052759314252,0.11011497360124951,3.66096,3.66096,1.0,0.28487274797187684,1.8304498980604924,0.49905523323369044,0.22982151927591418,0.21149746701052716,0.2678949730416476,0.6509364919036229,0.3631667277085054,0.11492227327081632,0.6553041086051641,0.20817048520752832,1.8277239817005657,0.2747317533309751,0.2786539177946107,0.5039035081863403,0.3638648223886553,0.22971064131154875,0.11389601892395189,0.02501457520957628,2.721421056552572,0.02242130735120013,0.026874431713351667,0.0105098183907516
2.0,0.6562413077939436,0.25427467555743133,7.32192,7.32192,1.0,0.2898879747427257,1.8878432877431348,0.5073826267702914,0.22070644783286525,0.21790603154844426,0.27388807391913655,0.6578270530426188,0.34876528057249884,0.11492227327081632,0.660964551362873,0.21613094801625599,1.897616352688904,0.2803671474550006,0.2837988826815642,0.5244203209877014,0.34929423796161024,0.22048441326058665,0.11389601892395189,0.01756701425827996,2.0466685165702074,0.01797594621215443,0.01741019517504005,0.005758097458336718
3.0,0.6465662810525362,0.33903406065298536,10.98288,10.98288,1.0,0.2910079881686081,1.9268300857029412,0.5323815621429547,0.22648794817868986,0.22178380367151881,0.27188582705481407,0.6605037819711324,0.35546029394880413,0.11492227327081632,0.6621621329931662,0.22056997205669823,1.9365907091447359,0.27298638234983635,0.2841013522384141,0.5360942482948303,0.3556816558014663,0.22611444555482862,0.11389601892395189,0.01125196088121382,1.4073246089283202,0.011952755171221564,0.010836736881041972,0.004112981213151822
4.0,0.6459247303403255,0.45190874198059616,14.64384,14.64384,1.0,0.2956445282276064,1.9634317943529749,0.5495913571607355,0.22841145661769502,0.22546901541530442,0.2728990694986801,0.6640043277079486,0.35810416348761975,0.11492227327081632,0.6627655733801833,0.22210056246522497,1.9500291982419597,0.27009710681749927,0.28674157303370784,0.5553004741668701,0.3584628075322252,0.22830897079149562,0.11389601892395189,0.0105031132101534,1.389948436274608,0.010792097238018791,0.010344082911572109,0.004788739069379623
5.0,0.6438566452359167,0.38464833889129296,18.3048,18.3048,1.0,0.29722067543695424,1.982234138383293,0.5103073323944891,0.20378314265970188,0.2278412034754165,0.2797007475682628,0.665536217960825,0.31890386663364634,0.11492227327081632,0.6642201928810575,0.22282644243164357,1.9564023794407097,0.280675608544461,0.28602860286028603,0.5176482200622559,0.3189735885690213,0.2037604030357186,0.11389601892395189,0.009503726755632345,1.3396004882270063,0.00934401086627012,0.009654873132382853,0.005497190776924719
6.0,0.6466426196058916,0.4558857704808517,21.96576,21.96576,1.0,0.30024650340202036,1.9956194915226482,0.5222527174740623,0.21157669685405064,0.22949104817218424,0.27862697738122,0.6674630788778435,0.33489729784135075,0.11492227327081632,0.6640868675057497,0.22318103384061577,1.9595156700747656,0.28261140931219575,0.2861042861042861,0.5137163400650024,0.33507661931818566,0.21166419861364336,0.11389601892395189,0.00858905541835405,1.2837463803334686,0.008349649958845386,0.008801667303368503,0.005140086988620773
7.0,0.6450367714805553,0.3582247511922715,25.62672,25.62672,1.0,0.3020797816063055,2.0149388708434284,0.5469892100826731,0.22525378739924592,0.23186471252213922,0.2748080108293132,0.6700389184373776,0.3531148449515853,0.11492227327081632,0.6646391437780144,0.22452341715316773,1.971301712512722,0.273482428115016,0.28730703259005147,0.5565339922904968,0.35338023055799117,0.2254820962853406,0.11389601892395189,0.008096424576169225,1.2860345444933046,0.007292885216521176,0.008771472674326921,0.005599421000218339
8.0,0.6384111284173878,0.38431518920975705,29.28768,29.28768,1.0,0.30276159796985846,2.055804215700705,0.5224615278256926,0.21158405478172937,0.2364671568841185,0.28256099545351904,0.672835468564203,0.3353551341593172,0.11492227327081632,0.664703095784092,0.2245847572725107,1.97184027496576,0.27754714743209585,0.2871952927991034,0.5236714482307434,0.3356767944367989,0.21207129496958646,0.11389601892395189,0.00816654996084726,1.384554989366734,0.007211639783255543,0.008998550626470819,0.004689796527954647
9.0,0.6424410540524399,0.4817873337722068,32.94864,32.94864,1.0,0.303380243276807,2.073075809047017,0.5163967956833561,0.2144691092845594,0.23843696669227857,0.28393357689413995,0.6742953065999748,0.33950238991255616,0.11492227327081632,0.664271344446358,0.22469021195436104,1.9727661605484752,0.2796821254892658,0.2839654025282768,0.5200967192649841,0.34008725021780506,0.21530041500965,0.11389601892395189,0.007666733123973148,1.3801049626417807,0.006501098640023106,0.008708975684754091,0.0051777418683679995
10.0,0.6415730477974065,0.5337973686720201,36.6096,36.6096,1.0,0.30367888461848674,2.1015431646518814,0.5455623750993805,0.2220390918704499,0.24176308469320817,0.28517858174353566,0.6761180770305556,0.35183374984361604,0.11492227327081632,0.6641615743919702,0.224707593393647,1.9729187685101068,0.27520525451559935,0.28457564575645755,0.5480731725692749,0.3526111412023741,0.22310113845587443,0.11389601892395189,0.007682808169894907,1.4724139401396314,0.00638407240579795,0.008887387308215556,0.004851359399003117
