round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_prevalence,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6878501576669976,0.11804864420915887,3.66096,3.66096,1.0,0.6479237744012767,0.257307887511228,0.113188542650299,1.8769788404761276,0.371270607247231,0.5010464401206844,0.2121998589776001,0.23446742415289948,0.2803531055844897,0.6541438992421587,0.20787927082584567,1.825167137445306,0.2701977874622863,0.2760998810939358,0.5038331151008606,0.3703894916991413,0.23464078778479916,0.11389601892395189,0.02494988750976034,2.7171536955265765,0.02229236601772933,0.026839826918191218,0.011162061267787068
2.0,0.6640348955787586,0.22162982455484168,7.32192,7.32192,1.0,0.6538196281248589,0.26067292802593267,0.113188542650299,1.931897623225126,0.35024008701667114,0.512548554001794,0.21839163386492558,0.22098192672072228,0.2825813696177267,0.6602832792761517,0.21399500946182423,1.8788629443203648,0.27624309392265195,0.28016609672691745,0.5149080753326416,0.3497877587468246,0.2212787567877976,0.11389601892395189,0.015595158879813486,1.8206760877728811,0.015775906322818813,0.015578157005009714,0.004746872244328879
3.0,0.6481524515346275,0.3200996857697145,10.98288,10.98288,1.0,0.6574971022548174,0.2614294579618538,0.113188542650299,1.9763439189488816,0.34377907648152595,0.5079744146817279,0.22374042871289332,0.21760815091421506,0.2858197260622994,0.6604110452443376,0.21762619954305135,1.9107445685907587,0.27445915402001936,0.279089738085015,0.5415006875991821,0.3430036113788835,0.21791606509676342,0.11389601892395189,0.012456306711374234,1.5536264320899136,0.012828354460720904,0.012265444204708893,0.005356030593094889
4.0,0.6493035347719529,0.4790010804063736,14.64384,14.64384,1.0,0.6603944454996373,0.2675433331790448,0.113188542650299,2.0124083596471,0.3383137577653944,0.5129567784335503,0.22799837189955044,0.2143611829565772,0.289067579891706,0.6623063889409413,0.22072218863937054,1.937927161323753,0.28003256192580533,0.28196896736222576,0.5223708748817444,0.3375134578939233,0.21476229962200827,0.11389601892395189,0.009964795872878065,1.3277974693673968,0.010479286818171809,0.009647249615671328,0.004450906253136706
5.0,0.6417928330234653,0.35892227350620765,18.3048,18.3048,1.0,0.6604598659612461,0.266931715381969,0.113188542650299,2.0116304588073275,0.34111921779100807,0.5198741450657212,0.22794794957066025,0.2162808648525746,0.2899071755504631,0.6623572518688519,0.22077923836617486,1.938428054395726,0.27984946972288743,0.2823529411764706,0.523831307888031,0.3404000173198409,0.2166668225510381,0.11389601892395189,0.00859977032885534,1.2163517578983374,0.008881752732423089,0.008427161691537384,0.004116717546911181
6.0,0.6449480999421706,0.43079193841895147,21.29488,21.29488,0.8167475197762336,0.6638819103467222,0.26925221246103775,0.113188542650299,2.040566856365279,0.337339425750187,0.5140945719667002,0.23159627195215882,0.2126734972496245,0.2921444902458217,0.6646080336871458,0.22285025260668706,1.9566114313045802,0.2827763496143959,0.2853457172342621,0.5058773756027222,0.33847442174154013,0.2139468203606633,0.11389601892395189,0.00869382725708339,0.9965903770644218,0.007983228222839322,0.009460695499028816,
7.0,0.6382037720782645,0.34116283795230545,21.31536,21.31536,0.005594161094357764,0.6798391218992419,0.2887890573221479,0.113188542650299,2.20431762165036,0.33715407705303246,0.5244672730166394,0.24914646869509904,0.2109161374927724,0.30669715990472096,0.6646636152089115,0.2229703163842718,1.957665583844055,0.2815405046480744,0.28449170124481327,0.5085574388504028,0.3408798178082006,0.215527995036401,0.11389601892395189,0.00994067690790236,0.0065813621040433645,0.012394073716143535,0.007960176709681487,
8.0,0.6470098774261082,0.3895506115821033,24.97632,24.97632,1.0,0.6661365370600604,0.26969916973119534,0.113188542650299,2.0579827263875736,0.35519529152561896,0.5300303183507724,0.23347173268649343,0.22360480995651047,0.2940547554707469,0.6640312859839842,0.2232166493723141,1.95982837223973,0.2821461609620722,0.2850229240957718,0.5129694938659668,0.35413425480289273,0.2241032410643118,0.11389601892395189,0.00866818823091496,1.289986686159864,0.007748691357392523,0.009399597809272367,0.004019139308684022
9.0,0.6442768331418839,0.37030198363098754,24.9968,24.9968,0.005594161094357764,0.6790697104694872,0.28217418209447936,0.113188542650299,2.2019797908911407,0.3381710263704931,0.5249804061165311,0.24884222079518503,0.21245058243441226,0.3021191166316793,0.6639902492767877,0.22325087915112624,1.9601289075800827,0.28138279545193523,0.2850235398905713,0.5145256519317627,0.35464144377102097,0.2245277165311992,0.11389601892395189,0.009770495261850495,0.00686313072219491,0.010589299027867698,0.009070909611637432,
10.0,0.6396976317428815,0.356096593721262,27.98688,27.98688,0.8167475197762336,0.6670525320049987,0.27330307000516896,0.113188542650299,2.0712395661175935,0.3259953225788397,0.4961549531111448,0.23515566828066203,0.20645213331938414,0.29302655770683095,0.6638713055731764,0.2241885083832875,1.9683612342322312,0.2822843822843823,0.28392484342379964,0.5162671208381653,0.35041914856501666,0.22166966985992803,0.11389601892395189,0.008180312871758287,1.0656660310924053,0.007287649434615608,0.009184912516153698,
11.0,0.6403542695451574,0.37229129153717333,28.00736,28.00736,0.005594161094357764,0.6831059596093904,0.2873972798870549,0.113188542650299,2.233023830674669,0.33059067131425546,0.5320685405006266,0.25272812360958763,0.20771375856895058,0.3078247717014224,0.6639001191143761,0.22421462560123584,1.9685905417900815,0.28249885163068444,0.2836744407425036,0.5046006441116333,0.3520760155036408,0.22276439221670355,0.11389601892395189,0.009107798552110406,0.006878311512991786,0.009199458483404817,0.009027267287890814,
12.0,0.6406144626327144,0.4206470015889548,31.65792,31.65792,0.9971592150692714,0.6689731886257791,0.2736420769323814,0.113188542650299,2.0955494072760663,0.352120947221521,0.5261687692227813,0.23794701529287984,0.22207656281898971,0.29615543714904785,0.6630936411476244,0.22478032967459938,1.9735573885570548,0.2772174274721847,0.28211298269737595,0.5148389935493469,0.3565243971037921,0.22647729247924775,0.11389601892395189,0.007217054490040697,1.1577902681892738,0.006596691181089058,0.007684467186936541,
13.0,0.6427771827747114,0.4897682205118798,31.6784,31.6784,0.005594161094357764,0.6812561782243621,0.2822915675439757,0.113188542650299,2.2491406966755823,0.33544627545570893,0.557711012557801,0.25427971778818603,0.21258678423807953,0.30914381253547146,0.663060083913666,0.22484419462131244,1.9741181188382044,0.27684080625257096,0.2826803368729403,0.5269289612770081,0.3584454949493167,0.22796447681860407,0.11389601892395189,0.007244386368036036,0.006039848085492849,0.008119198998165862,0.006468033425111881,
14.0,0.623993444131993,0.4167656964682146,33.01472,33.01472,0.3650190114068441,0.6933581813497657,0.2913309483818748,0.113188542650299,2.378365766408801,0.3470499521804411,0.5859225563894926,0.26802174063415357,0.21848412802990047,0.3175758573942827,0.6627198682769387,0.22489117448589419,1.9745305991428332,0.2739423173550397,0.28205983761539316,0.5179781317710876,0.36240270367322786,0.23101866331489296,0.11389601892395189,0.011077534019730533,0.7533539509167895,0.009326256508142379,0.011087949786933985,
15.0,0.6084315551913557,0.5465822925837146,33.0352,33.0352,0.005594161094357764,0.7084807404556446,0.3078531259782182,0.113188542650299,2.5262150944531596,0.3391198665766661,0.5515100220557764,0.2842808128684096,0.21213404010110165,0.33425078341806336,0.662691632010519,0.224979279551279,1.9753041561663112,0.27331060757970727,0.28147402842409763,0.5379661321640015,0.36284486720552867,0.23127984874926139,0.11389601892395189,0.007722218808706549,0.0071554763708263636,0.007380329116589702,0.008031143444601013,
16.0,0.6368682300400378,0.4119874428604743,36.69616,36.69616,1.0,0.6722283297298324,0.2711884537757935,0.113188542650299,2.128574169574902,0.3494042676220085,0.554804404829897,0.24168172501353055,0.22087492200363718,0.2977897440767062,0.663402207067058,0.22621315734660172,1.9861375268756647,0.27677725118483415,0.2823031961198856,0.527286946773529,0.3479704749206812,0.2216998044729681,0.11389601892395189,0.006588892259429967,1.1509726714884891,0.0061970764585394375,0.006900489775477177,0.0030248451885272493
17.0,0.6401700365138576,0.5056685424953962,38.01712,38.01712,0.36082339058607577,0.6845521675146343,0.28168454062516324,0.113188542650299,2.282952826314176,0.35792899480500545,0.5728073458589772,0.2579515815856729,0.22616775363158084,0.31083286962085366,0.6630600462653108,0.2261702513282256,1.9857608146886938,0.27682091720273916,0.2821208384710234,0.5267155170440674,0.35110572648624977,0.22356723452901767,0.11389601892395189,0.008067561372992792,0.5993217383511364,0.0077568615737663256,0.008069518130309808,
18.0,0.6234738431252843,0.614576420256886,39.35344,39.35344,0.3650190114068441,0.6988407598642687,0.2908164588581335,0.113188542650299,2.431464859399395,0.34543245024639074,0.5712370290822265,0.2734532543781137,0.21611369508834397,0.32254793612949506,0.6625579050527557,0.2261847840545448,1.9858884111267125,0.27736291871132923,0.28202247191011237,0.508406937122345,0.3470615174677028,0.2207246378569248,0.11389601892395189,0.008828750065533538,0.6949719490949064,0.0071229054737977325,0.00883937322679289,
19.0,0.607434827722561,0.6238591968012955,40.6744,40.6744,0.36082339058607577,0.7148529863481441,0.3070674262943782,0.113188542650299,2.5858213032095785,0.33280983743705456,0.59082294299162,0.2902216990111634,0.2076501092774222,0.34034697432961625,0.6623171689199877,0.22621284406931239,1.9861347763204453,0.2772785622593068,0.28122851249140496,0.5117141604423523,0.3468153698946307,0.220817952048217,0.11389601892395189,0.009070777481520074,0.7490451950579882,0.0062305076968650645,0.009088375815237085,
20.0,0.640802769868219,0.5546619849103518,44.32496,44.32496,0.9971592150692714,0.6745299307452766,0.2771355386302599,0.113188542650299,2.152508755000863,0.3383299699117074,0.5554366986763564,0.2446387888028822,0.21338232802508414,0.3006257415506274,0.6635910763157762,0.22644498660874354,1.9881729734552034,0.281305114638448,0.2846308804360706,0.5120123028755188,0.3420243056226559,0.21717675293806546,0.11389601892395189,0.006717060860959869,1.314097749069333,0.006548314009720711,0.006832088685909089,
21.0,0.6391989305144697,0.6456274002326743,44.34544,44.34544,0.005594161094357764,0.6867246208305284,0.2856571980080739,0.113188542650299,2.317433807958135,0.34017660033929864,0.5872777901883016,0.2620242045455522,0.21455024658681343,0.31279282288233984,0.6635958702063416,0.22653916422212414,1.9889998470744077,0.2811515480717002,0.2847738632207729,0.5198642015457153,0.34393027148073246,0.21853008049674863,0.11389601892395189,0.006432128311387183,0.006951093208044767,0.00683863641768221,0.0060117266794047315,
22.0,0.6414439832646246,0.7523592308507394,46.68016,46.68016,0.6377343647567851,0.6804602782422169,0.2771188165961103,0.113188542650299,2.22061585490066,0.36118353059082087,0.5845867138859009,0.2517860842545736,0.22796460679574873,0.3079298118434783,0.6627240597938204,0.22551750684549698,1.9800297585122313,0.27739049006346894,0.2827559759682986,0.536500096321106,0.3548519501562981,0.2256041790990028,0.11389601892395189,0.006895987339042091,0.8007114299107343,0.006138569969224076,0.008983616369364183,
23.0,0.634533821019853,0.6216060323174989,46.70064,46.70064,0.005594161094357764,0.6952098078493391,0.29822412449481056,0.113188542650299,2.3808038084961805,0.3350081737293063,0.5580516499958211,0.2690052872069377,0.209135887113044,0.3211600225417366,0.6627759141284187,0.2255786137774541,1.9805662735944478,0.27750496290878696,0.28229849595063633,0.5369933247566223,0.3537919349138592,0.22484975243442812,0.11389601892395189,0.0067645314560821545,0.007756423903629184,0.006446156662221472,0.0071192404135971615,
