round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_brier,fed_f1,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.40786066893053,314.7301845620981,3.65056,3.65056,0.9971592150692714,0.16596550690123724,0.40695575838100695,0.26692256521046354,0.1785040652710512,0.11525871836837467,0.5541271603854531,1.4662263713519361,0.25574117171484056,0.516870024022506,0.6512285612068637,0.2075527726255143,1.8223005034451363,0.2639202407825433,0.2763997165131113,0.506710410118103,0.38586678233874566,0.24863927303723873,0.11389601892395189,0.023309580143564924,2.502593236975372,0.01871749531654724,0.026351587827783247
2.0,11.21127365025178,269.64465353470024,7.30112,7.30112,0.9971592150692714,0.1943171847435572,0.3908198500544782,0.2529592817711541,0.23467392218955013,0.11525871836837467,0.612524015490288,1.7246774467496278,0.2760813386353974,0.5286256420935759,0.6555834468514906,0.2123575205292395,1.8644858927951655,0.2780888835934707,0.28239153123602206,0.5087098479270935,0.3827935287181334,0.24582557229748667,0.11389601892395189,0.016989876414962465,1.8923188028857112,0.013029735541337064,0.019644672426104234
3.0,10.780135863768244,335.35223599262264,10.95168,10.95168,0.9971592150692714,0.223352731593317,0.38127993942094995,0.24452466738822357,0.2587953134125865,0.11525871836837467,0.6561183450110776,1.9749174243205927,0.29491593447355974,0.5210567765706104,0.659259557750293,0.2173795678742193,1.9085791577962277,0.2811831340465702,0.28264758497316633,0.506263792514801,0.38145372132193284,0.244296650610046,0.11389601892395189,0.012298454875152666,1.442140952218324,0.010047680493015252,0.013842518634496764
4.0,10.470170863082611,353.727012622465,14.60224,14.60224,0.9971592150692714,0.22746968594670078,0.38322869226116985,0.24565056851829767,0.2674084629599468,0.11525871836837467,0.6634324230892309,2.0065704748277304,0.2998480288040893,0.5467735198392656,0.6600188497784947,0.21817098275230873,1.9155277314651444,0.27576388128353957,0.2816632583503749,0.5186945796012878,0.3879674690944738,0.24919225556870256,0.11389601892395189,0.009574551820009578,1.1811302767600864,0.008375463137067695,0.010421402107307652
5.0,10.153947389892616,384.9961241478228,18.2528,18.2528,0.9971592150692714,0.22201412353210825,0.39436644167889884,0.25470142098005355,0.26262296406369745,0.11525871836837467,0.6621258175945576,1.9592251770407632,0.30321143269140105,0.5752270867602284,0.658780030649777,0.22006859633924108,1.932188661362961,0.26413427561837455,0.281475201356507,0.5296484231948853,0.39271026898494776,0.2529994892508302,0.11389601892395189,0.00880507382609783,1.1400590089615434,0.008113172674756267,0.0093086623900311
6.0,9.95607355813966,401.33895741416075,18.2528,18.2528,0.0,0.24325962951912636,0.37071964924002,0.2349342124476938,0.29580895072514723,0.11525871836837467,0.6800964179197949,2.1540496834176475,0.3181107499025446,0.5590559380879617,0.658780030649777,0.22006859633924108,1.932188661362961,0.26413427561837455,0.281475201356507,0.5296484231948853,0.39271026898494776,0.2529994892508302,0.11389601892395189,0.0,0.0,,
7.0,9.255874992288009,494.079249483843,18.2528,18.2528,0.0,0.24991161640127796,0.3686759195237861,0.23258324712269499,0.3059958883978246,0.11525871836837467,0.6898884555050654,2.2141325386601505,0.32785766482538053,0.5480676529131504,0.658780030649777,0.22006859633924108,1.932188661362961,0.26413427561837455,0.281475201356507,0.5296484231948853,0.39271026898494776,0.2529994892508302,0.11389601892395189,0.0,0.0,,
8.0,8.730778055568406,514.2285518136125,18.2528,18.2528,0.0,0.2597942559304413,0.3714451686637791,0.23393425369849663,0.3120557229574125,0.11525871836837467,0.7005593116489347,2.3051455928389673,0.343232753094401,0.5861497949318727,0.658780030649777,0.22006859633924108,1.932188661362961,0.26413427561837455,0.281475201356507,0.5296484231948853,0.39271026898494776,0.2529994892508302,0.11389601892395189,0.0,0.0,,
9.0,9.738654353323735,460.7335795050991,21.90336,21.90336,0.9971592150692714,0.22957629693743123,0.3855175797196849,0.24763343634922372,0.2725639445083807,0.11525871836837467,0.6657210203491654,2.0194841765900797,0.3040046367355186,0.5820790550543833,0.662246603352842,0.2227445065022709,1.955682987049766,0.2703535986125831,0.2836121988845378,0.519321084022522,0.3893441739362045,0.2501532583099429,0.11389601892395189,0.008814582550662366,1.1955473056295887,0.007640933095188466,0.009689801920488449
10.0,9.653101255825954,499.67986228921217,21.90336,21.90336,0.0,0.24219375959339845,0.3829597855235592,0.2442610932968073,0.2889226306968128,0.11525871836837467,0.6809659688781229,2.1401614927223145,0.3201420573140717,0.5916425536726578,0.662246603352842,0.2227445065022709,1.955682987049766,0.2703535986125831,0.2836121988845378,0.519321084022522,0.3893441739362045,0.2501532583099429,0.11389601892395189,0.0,0.0,,
