round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1,fed_ece,fed_brier,fed_prevalence,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.687189103984655,0.11240214959712196,0.08724,3.65056,0.9971592150692714,0.27318064428421707,0.6341533126410567,0.20004228847846647,0.38847422124658526,0.25179115218270054,0.11392245720040281,0.19629455586094507,1.7233334703100986,0.5027520980194498,0.502864889239292,0.11410994991567555,1.0018783008725398,0.20434723665777937,0.2045002711006687,0.49933478236198425,0.3888701558941065,0.25214917232423323,0.11389601892395189,1.0435002419478787,8.892766002565622,0.6850404434455821,1.3694828078551673
2.0,0.6868871742398774,0.08134285816848263,0.17448,7.30112,0.9971592150692714,0.286755786554379,0.6470020577215705,0.13396046489031044,0.3808339141977037,0.2456490423125881,0.11392245720040281,0.20796000349215876,1.8487189137939737,0.4971247036366424,0.5898961151365012,0.1414239881023915,1.241693866374908,0.2192239411615521,0.23224023849341963,0.5013979077339172,0.3874346466229806,0.25096352929975924,0.11389601892395189,0.10660480890032424,1.037913880427368,0.08599960461325046,0.12263000062202149
3.0,0.6827907796380523,0.08914737019796483,0.26172,10.95168,0.9971592150692714,0.2852377358611237,0.649569786486259,0.15333995301848538,0.372635443733343,0.23918642836059692,0.11392245720040281,0.20737693805099133,1.8263358371346061,0.49347896356049326,0.4507081128541073,0.11718743635031013,1.0288984413806062,0.2045002711006687,0.20451875282422052,0.5008311867713928,0.38810915032656573,0.2515603645432141,0.11389601892395189,0.12870195244794808,1.252148771020984,0.07115170615360786,0.18810794063747374
4.0,0.6798754858552923,0.09521486163731308,0.34896,14.60224,0.9971592150692714,0.28516587910839236,0.6553144987717419,0.22155098478735438,0.3742554032141559,0.24002141830333187,0.11392245720040281,0.20936835498822676,1.843826369598361,0.4944664034767363,0.3946075332150104,0.09002087532464426,0.7903777162286154,0.16511135996018414,0.20452799493876814,0.49858152866363525,0.3869057916417156,0.25069962244939786,0.11389601892395189,0.09339546529096732,1.0560536246048287,0.05125010388069202,0.14275777183684288
5.0,0.6777176426903619,0.09718899384214853,0.4362,18.2528,0.9971592150692714,0.2898227398562108,0.6609236216869075,0.2431485602653159,0.37405062059816513,0.23960465185875748,0.11392245720040281,0.214300023924222,1.896908423019009,0.49627203631617156,0.4229077767396314,0.09681169082672092,0.8500006562245329,0.17215657799194667,0.20476794778825236,0.4981845021247864,0.38710106033234665,0.25086370672328623,0.11389601892395189,0.06669009970987982,0.8763040686626482,0.03458834001262388,0.1080624529879517
6.0,0.6766504668775202,0.11063381265878876,0.4362,18.2528,0.0,0.3061689005303181,0.677791442197187,0.27687338315183735,0.36528819621224534,0.23164830439894518,0.11392245720040281,0.23390615409225046,2.081088612205573,0.5274469092214424,0.4229077767396314,0.09681169082672092,0.8500006562245329,0.17215657799194667,0.20476794778825236,0.4981845021247864,0.38710106033234665,0.25086370672328623,0.11389601892395189,0.0,0.0,,
7.0,0.6539150060399479,0.2307751894324436,0.4362,18.2528,0.0,0.31166686960665124,0.6858246067680877,0.28519714547208774,0.3347454911669057,0.21073564819355392,0.11392245720040281,0.24269657045073126,2.1646270735700197,0.5162328810553927,0.4229077767396314,0.09681169082672092,0.8500006562245329,0.17215657799194667,0.20476794778825236,0.4981845021247864,0.38710106033234665,0.25086370672328623,0.11389601892395189,0.0,0.0,,
8.0,0.6394246037121316,0.45909468236298434,0.4362,18.2528,0.0,0.31501521293073376,0.6932758361319523,0.2927345240631321,0.351000192777037,0.2226683105278122,0.11392245720040281,0.25276839158890124,2.2563794424606667,0.566430569758633,0.4229077767396314,0.09681169082672092,0.8500006562245329,0.17215657799194667,0.20476794778825236,0.4981845021247864,0.38710106033234665,0.25086370672328623,0.11389601892395189,0.0,0.0,,
9.0,0.6792038254998276,0.09803946356462319,0.52344,21.90336,0.9971592150692714,0.2872495011165884,0.66083433684788,0.2493200734348054,0.37043241195358184,0.23641615888534928,0.11392245720040281,0.2153647997029273,1.9043020890888944,0.494968691388706,0.3518063103562744,0.08169238290060644,0.7172540679859255,0.19545261968648495,0.20451875282422052,0.49936360120773315,0.3886639995431917,0.2522012199197551,0.11389601892395189,0.0543709610403535,0.8161149192078483,0.02761733408844892,0.09195866174106243
10.0,0.6743032191379104,0.11562259615543265,0.52344,21.90336,0.0,0.298306754093379,0.6735390650744331,0.2760863391656125,0.3372561912148936,0.21328113724297426,0.11392245720040281,0.22667333368011064,2.0068546240683163,0.509742803742203,0.3518063103562744,0.08169238290060644,0.7172540679859255,0.19545261968648495,0.20451875282422052,0.49936360120773315,0.3886639995431917,0.2522012199197551,0.11389601892395189,0.0,0.0,,
