round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_auprc,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_brier,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6879278916681009,0.11089041702727868,3.65056,3.65056,0.9971592150692714,0.20859932242737383,0.5682885458865959,0.17400154354609976,1.526276775406758,0.11378941406004156,0.49724411639177496,0.24883145999431294,0.38684473601579905,0.25069851068845794,0.3950731806218996,0.08907329587953969,0.7820580273223924,0.2045002711006687,0.20450951154489178,0.5217183232307434,0.4215153754822435,0.27906770680045434,0.11389601892395189,0.0272550438322075,2.935257362667471,0.02303673352736228,0.030054887423225558
2.0,0.6810979756079037,0.13489763818110498,7.30112,7.30112,0.9971592150692714,0.25238014922173757,0.6482151252258064,0.21171729981453036,1.8479521738474185,0.11378941406004156,0.5059104453861636,0.23482622766819866,0.36978038832234855,0.28485266947706706,0.36800661095078213,0.0840555838923412,0.7380028264944443,0.2045002711006687,0.20451875282422052,0.5127506852149963,0.4253774548496068,0.2833033910631966,0.11389601892395189,0.020537381315005303,2.339046086417511,0.0170659782787404,0.02285566733601733
3.0,0.6694846675994173,0.19227127570876773,10.95168,10.95168,0.9971592150692714,0.2642828903610058,0.6580888139361194,0.21697587230301765,1.8956702758513742,0.11378941406004156,0.5348265376191691,0.2355559181229327,0.3713397280885092,0.2922572193514942,0.41777229009774464,0.09247565721393683,0.8119305493520595,0.2045002711006687,0.20451875282422052,0.5158141851425171,0.42222281571237097,0.2799130532050574,0.11389601892395189,0.014191798405955088,1.7438184909988195,0.012500038628520803,0.01535275727481323
4.0,0.6596014705204136,0.24405321782600914,14.60224,14.60224,0.9971592150692714,0.2738200528842897,0.6656611524286488,0.2233882131585537,1.9685345523120157,0.11378941406004156,0.5379185400159058,0.23052765492267277,0.3641690986792612,0.29554348362376687,0.380119417068931,0.0853528560100476,0.7493927954324506,0.2045002711006687,0.20457421804375336,0.5118099451065063,0.4257723763716336,0.2838565696182048,0.11389601892395189,0.010872106972056959,1.431173293152824,0.010789304127131936,0.010931366236590858
5.0,0.6608942466425707,0.4237388326564372,18.2528,18.2528,0.9971592150692714,0.2803958766219508,0.6677190822475947,0.22572861158227464,1.988648321199364,0.11378941406004156,0.49757559767520576,0.2083255647375144,0.3292551777660903,0.2988600278614794,0.37111007781714234,0.08420166561422268,0.7392854149752498,0.2045002711006687,0.20454648167397296,0.513281524181366,0.4401948623259082,0.29766919755730453,0.11389601892395189,0.0095905107680241,1.340140791842714,0.00919349765301906,0.009888785349668302
6.0,0.6506268411776928,0.3290144537585441,18.2528,18.2528,0.0,0.2909644997037625,0.6822584854387326,0.23852361323170138,2.103344171602975,0.11378941406004156,0.519724921002563,0.20721270361025887,0.3296943804408248,0.31035538908624044,0.37111007781714234,0.08420166561422268,0.7392854149752498,0.2045002711006687,0.20454648167397296,0.513281524181366,0.4401948623259082,0.29766919755730453,0.11389601892395189,0.0,0.0,,
7.0,0.6341270142024097,0.4095970383024546,18.2528,18.2528,0.0,0.28728172351098163,0.6930168695833026,0.24727876187908981,2.1858081458166745,0.11378941406004156,0.5764563672698928,0.22547346070988097,0.35149400101749406,0.31950800142246166,0.37111007781714234,0.08420166561422268,0.7392854149752498,0.2045002711006687,0.20454648167397296,0.513281524181366,0.4401948623259082,0.29766919755730453,0.11389601892395189,0.0,0.0,,
8.0,0.6180609786041813,0.5284795326617427,18.2528,18.2528,0.0,0.30277670674080864,0.7046998929289404,0.25903038660594985,2.2925693755139154,0.11378941406004156,0.5614748729979148,0.20405427287320896,0.3254818554039895,0.33078348749291403,0.37111007781714234,0.08420166561422268,0.7392854149752498,0.2045002711006687,0.20454648167397296,0.513281524181366,0.4401948623259082,0.29766919755730453,0.11389601892395189,0.0,0.0,,
9.0,0.6458003281650861,0.41473106015493616,21.90336,21.90336,0.9971592150692714,0.2864098415198669,0.6718465414398017,0.2302618223236943,2.0314103690656475,0.11378941406004156,0.517945218258053,0.2196490200031357,0.34917216530844947,0.30068934107047834,0.3863164367347752,0.08628128629748377,0.7575443559190035,0.2045002711006687,0.20452799493876814,0.513608455657959,0.43649468379217726,0.29372821366355406,0.11389601892395189,0.008341470621663046,1.2369205506984144,0.007252676698985306,0.009190521234704981
10.0,0.6426247318048713,0.4601042041569078,21.90336,21.90336,0.0,0.2928223401626062,0.6872878738567315,0.24375241767264885,2.1571673755480023,0.11378941406004156,0.5415436446430386,0.22292654346331386,0.35487570023587706,0.3154210902073717,0.3863164367347752,0.08628128629748377,0.7575443559190035,0.2045002711006687,0.20452799493876814,0.513608455657959,0.43649468379217726,0.29372821366355406,0.11389601892395189,0.0,0.0,,
