round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_brier,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6900704536409684,0.09909338629077083,3.66096,3.66096,1.0,0.2590124407209502,0.6463218661744836,0.23379800788943797,0.1141742195367573,0.20847641328199154,0.36898167469620347,0.5078354928818835,1.8330572920256638,0.280593971943116,0.6587613570655847,0.21519048543422603,1.8893591494001931,0.2755355663392117,0.2791170490851002,0.5118333697319031,0.3677779538452406,0.23254369748465803,0.11389601892395189,0.025373339224221542,2.7477781940779096,0.022252131700445498,0.027639492159422133,0.010203874680365823
2.0,0.6638558004297053,0.17026882657666276,7.32192,7.32192,1.0,0.26358884652140924,0.6533298151808687,0.20368691271423137,0.1141742195367573,0.21381519892240103,0.3248943543607465,0.5004111730755276,1.8834933159723377,0.2878239407442142,0.662775173710766,0.2208318118887814,1.938889646671762,0.27675386444708683,0.2816377171215881,0.5067443251609802,0.323145044561517,0.20195734698369563,0.11389601892395189,0.016005553584158484,1.8605941107143735,0.015961083894948838,0.01614440807285078,0.0056881505326727075
3.0,0.65446711765261,0.30265204021174213,10.98288,10.98288,1.0,0.2660506531333543,0.6569664654997738,0.2210256401128341,0.1141742195367573,0.2182332390051354,0.34960551782204485,0.5347048491277063,1.9212667354157402,0.2919523307295871,0.6654034304880095,0.22329595728337687,1.9605246907924945,0.2789310427105703,0.28153182590511044,0.5162907242774963,0.34782685881979397,0.21917120595061662,0.11389601892395189,0.011262402197298462,1.4028830334864324,0.012070680747760652,0.010773841501446332,0.004129596897759939
4.0,0.6512975695264789,0.31699681900104293,14.64384,14.64384,1.0,0.26793967476515224,0.6593650679294365,0.21751717269907317,0.1141742195367573,0.22181499316694867,0.3446924559460635,0.5341836263961182,1.9534469080981418,0.2937796220959033,0.6658929720510156,0.2235108864515709,1.962411755592692,0.2794406280667321,0.2807017543859649,0.5252982974052429,0.34272048477138006,0.21593979944822966,0.11389601892395189,0.009871639517795329,1.3039390820167682,0.010358846984613033,0.009581485717542684,0.0035575698753706453
5.0,0.650104472314377,0.35499174667915506,18.3048,18.3048,1.0,0.27326647857885955,0.6624868139257564,0.21116102198760975,0.1141742195367573,0.2242003341189864,0.33413488193990026,0.5455460597546198,1.9685456517655924,0.29587857041791027,0.6674548140675739,0.22465847363543776,1.972487500071813,0.28126187761307486,0.2833333333333334,0.5094074010848999,0.3321827340992403,0.20954391106249265,0.11389601892395189,0.007992105139806699,1.1204943871198338,0.008364378285563332,0.007749444833627836,0.00392458790842728
6.0,0.6469880327512699,0.33705843498211774,21.96576,21.96576,1.0,0.2755609885026626,0.6648677410125857,0.2185464180641061,0.1141742195367573,0.2257501786980159,0.3453356424451609,0.551590423338858,1.979756595895052,0.2962105410310759,0.6675111736553476,0.22413595952791915,1.9678998585330205,0.2788272105690115,0.28310116786267064,0.5367786288261414,0.3435846784900326,0.21725195338247355,0.11389601892395189,0.008144711908105453,1.2029988513641001,0.0079671840278471,0.008326149450579062,0.003303703558891838
7.0,0.6449347860999755,0.3523857427601268,25.62672,25.62672,1.0,0.27561490303804936,0.666028518557938,0.2219448432287081,0.1141742195367573,0.2273145898157949,0.3515318358590881,0.5250936455045492,1.9935311887212073,0.2971267151546801,0.6668377073276098,0.22439868776386795,1.9702065961910262,0.27786368502438447,0.2834470718933503,0.5501501560211182,0.35012682958949143,0.2209572473901856,0.11389601892395189,0.008237767270500886,1.29038971357204,0.007748583780015921,0.008677119097915756,0.0033632201689278106
8.0,0.645866061200685,0.3377210486878076,29.28768,29.28768,1.0,0.276887610973515,0.6672418448999333,0.2128762657308465,0.1141742195367573,0.22873541225636093,0.33446752224192555,0.539797360456407,2.0045090104366197,0.29891179972391085,0.6671140086066147,0.22413501851945067,1.9678915965368826,0.2768166089965398,0.2814887046968958,0.5649065375328064,0.3324089603512359,0.21171845780914414,0.11389601892395189,0.007531301400444182,1.2565640392131172,0.006894216995286657,0.008103107048689953,0.0033211185413527596
9.0,0.6498646872131062,0.46167085852179196,32.94864,32.94864,1.0,0.28013497538097254,0.6705638323252552,0.21676192553003765,0.1141742195367573,0.23175019509561282,0.34291549177590874,0.5373271975595005,2.0308937035794767,0.30133412945645366,0.6668217820733492,0.22452024664542303,1.971273875650866,0.27755102040816326,0.28374695165686414,0.5330420136451721,0.3411696929407921,0.21605326447079057,0.11389601892395189,0.007899987853205908,1.395961018064554,0.006838318246702408,0.008860818130923223,0.0031143553923287347
10.0,0.6499486457203797,0.4091029464133201,36.6096,36.6096,1.0,0.27524960164307716,0.6726824270685631,0.22992695158443377,0.1141742195367573,0.23513490975088758,0.3625877355764669,0.5586919711278104,2.059050476219183,0.3053530303178971,0.6677767075047578,0.22256051004539584,1.9540675095413036,0.27579514824797846,0.28448623237071863,0.5405594706535339,0.36110865151304994,0.22957201904422195,0.11389601892395189,0.008796615667865933,1.6499291463205736,0.006463103723593134,0.010922268780116111,0.0037601039447631296
