round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best,fed_ece,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6876044830351851,0.11688470106866826,3.66096,3.66096,1.0,0.23436720556055954,0.2837866208562511,0.37117149925359516,0.6495638724478285,0.11312559017941454,0.5034708920705607,0.25896732577895115,0.21604350449346865,1.9664276389465734,0.6541815099490296,0.20788660181737498,1.8252315030974031,0.27043954814897664,0.275820170109356,0.5050613284111023,0.37042265354978027,0.23466531955440595,0.11389601892395189,0.024980601480415084,2.720747841614866,0.022321742496748252,0.02687069100637525,0.011208721657695512
2.0,0.6634635551635282,0.21340356869103463,7.32192,7.32192,1.0,0.21799005469763483,0.28524631781991183,0.345931848206346,0.6549897131391936,0.11312559017941454,0.5058271108162941,0.2623970020668537,0.22114998522776652,2.0079862682641147,0.6602023353124153,0.21415502562136535,1.880267876301771,0.2772706526700137,0.28045861156608287,0.5140025615692139,0.34585468544397363,0.21849697975590643,0.11389601892395189,0.015827613010270566,1.8478283159583953,0.015904755302535496,0.015872946328272554,0.0056138307141202
3.0,0.6465216502992285,0.33913198803242867,10.98288,10.98288,1.0,0.21850365757760834,0.28777818216131223,0.34543359660580736,0.6591966660744101,0.11312559017941454,0.5111273207396578,0.2627515394280502,0.22530965883835571,2.0314033316328617,0.6606065657024789,0.21774108009062074,1.9117532126913581,0.27304775130862086,0.27899774774774777,0.5386713147163391,0.3450857107618253,0.21911112267915678,0.11389601892395189,0.01219822202235606,1.5239070338502643,0.012861417061012662,0.011809193139341105,0.005083169411114953
4.0,0.6451994958258822,0.37517668063459986,14.64384,14.64384,1.0,0.21687460526799004,0.2913276082502246,0.3425136294883116,0.6613932665869762,0.11312559017941454,0.5195896733227412,0.26834344691426815,0.228216204514101,2.050342837214216,0.6626631824034198,0.22072781917656412,1.9379765970919807,0.27933088909257564,0.2827397260273973,0.5298123955726624,0.3421877248601648,0.21756477330728308,0.11389601892395189,0.010214947448599727,1.3575464269233635,0.010484871203923697,0.010063549958369854,0.005396450138516399
5.0,0.642720774348051,0.3839059867136506,18.3048,18.3048,1.0,0.22642042729430029,0.29365353701470864,0.3567443019391832,0.6638576214434567,0.11312559017941454,0.5354938162209893,0.2663450576352329,0.2321567090087279,2.0859905048715617,0.6622167858555029,0.22205199256946492,1.9496027575619526,0.27714406421630755,0.2813961856783016,0.5232059955596924,0.35615360905965243,0.22704766396214798,0.11389601892395189,0.008519448748251458,1.2012137003084717,0.008919172660092642,0.00826017388702827,0.003922203644470443
6.0,0.6450050419483209,0.4207543396517842,21.96576,21.96576,1.0,0.21720248981789775,0.2983719493036483,0.3441457704061377,0.6664349638050353,0.11312559017941454,0.5396682483954065,0.26894226834823876,0.233886241726758,2.08994827405339,0.6654326456116652,0.22444342957490193,1.9705994265239621,0.2845953002610966,0.28601835838765466,0.5201497673988342,0.3436443388591061,0.21793819904135028,0.11389601892395189,0.008663790502025197,1.2914047963204212,0.008212749487753756,0.009036125613309565,0.0048103164694453275
7.0,0.6391310770557556,0.42050727681186995,25.62672,25.62672,1.0,0.219588078265836,0.298987072203037,0.35014411148163443,0.6686272827902879,0.11312559017941454,0.5345615348427185,0.27147340825263816,0.23696896514098964,2.1178155097443323,0.6653743032105162,0.22576476547440905,1.9822006739774782,0.2840109693573387,0.2870556673373575,0.49240052700042725,0.3497330270562488,0.220467401753974,0.11389601892395189,0.008924457777510003,1.4122657654716022,0.0080223371620065,0.009663370979824287,0.004609945229543901
8.0,0.6438657312225795,0.38042545156523777,29.28768,29.28768,1.0,0.21960576429297798,0.2993043551539371,0.3493505670686995,0.6698335458327395,0.11312559017941454,0.535703675458744,0.27248483424529213,0.2392037330549139,2.1365115718439567,0.6647736362523341,0.22496487895587386,1.9751777198295437,0.28291751223588396,0.2850599781897492,0.4872497022151947,0.34894258460438027,0.22074566477397287,0.11389601892395189,0.008331720958153122,1.3997635676159916,0.007179099251976502,0.009294602712803966,0.004199183244724139
9.0,0.6458904417340628,0.43128293014928154,32.94864,32.94864,1.0,0.2119016342974371,0.29906150239460105,0.33732620416514564,0.6718952887022397,0.11312559017941454,0.5280661563359983,0.27758503395556555,0.241366213471639,2.1564952692966592,0.6634093100567442,0.2258728243267293,1.983149424015813,0.2775154377043226,0.2792503346720214,0.5166471004486084,0.3367831107954403,0.2132437305132338,0.11389601892395189,0.007789665243101943,1.388901191212426,0.006773056660514673,0.00865948367718315,0.004712555951106184
10.0,0.6400567817605034,0.4658517424833656,36.6096,36.6096,1.0,0.20055454857886856,0.2983334633052202,0.3182035507629006,0.6737493035219588,0.11312559017941454,0.5289154908549759,0.27625799603511275,0.24268214610860211,2.1624988328147507,0.664172730854569,0.22739586669410922,1.9965216417787255,0.2792639958240898,0.2838664158043274,0.48188841342926025,0.31752822810565656,0.20199653122366643,0.11389601892395189,0.007053057936382344,1.3351684119479614,0.006124429128594031,0.007870385261597505,0.004770636264299705
11.0,0.6381933378484587,0.5041419864503112,40.27056,40.27056,1.0,0.2075025635616336,0.30226142190370703,0.3308255239758321,0.6781066847380525,0.11312559017941454,0.5341838206290298,0.28065207428607997,0.24683338012327669,2.1968980172779347,0.6643844777538128,0.22828973433451505,2.0043697443625628,0.2827161982872995,0.2854621107048292,0.5068786144256592,0.3304093572769007,0.20930406380862104,0.11389601892395189,0.00753005097874061,1.508739340963075,0.005861791944300584,0.009030641845539438,0.004411485375693082
12.0,0.6390575595277113,0.4906685383603694,43.93152,43.93152,1.0,0.21497834492233,0.30141285373155746,0.34186355191504836,0.6788488750027474,0.11312559017941454,0.547469294900447,0.27769423610449273,0.2463491686539132,2.1934269104220663,0.6631182129741353,0.22644962161898619,1.98821366855839,0.2794769755542922,0.2840040753948039,0.5203064680099487,0.3412065830171135,0.21686309180950894,0.11389601892395189,0.007418607603754031,1.5808284628628826,0.005399865265341961,0.009254281506559391,0.005884825397540131
13.0,0.6406984455834104,0.6534734819540604,47.59248,47.59248,1.0,0.21364785965062907,0.3056271379775886,0.33790481753007107,0.6810587745904247,0.11312559017941454,0.5647116018365981,0.2822327756002422,0.24996237202677699,2.2205759092590367,0.6631502768233362,0.2274075484565757,1.9966242069304916,0.28010324318258334,0.2848953140578265,0.5226256251335144,0.33739608655899733,0.21601511531943,0.11389601892395189,0.006471445068090112,1.4618819946845178,0.005019832077919408,0.007815485633001508,0.0047951429633474535
14.0,0.6368893818412316,0.6408001320495625,51.25344,51.25344,1.0,0.2179034327991308,0.30728911611863974,0.344670287744829,0.6838611977693024,0.11312559017941454,0.5563040615910437,0.27734613998860896,0.253402417979313,2.245663397403553,0.6617235171053294,0.22664627648849822,1.989940286146695,0.2750637213254036,0.28019654896583246,0.5171616673469543,0.3444972914463171,0.22092435158857282,0.11389601892395189,0.006603566208910137,1.5742689692515341,0.0049881732929067,0.00812633630384929,0.004080201548439538
15.0,0.6378714380749333,0.7912281490302585,54.9144,54.9144,1.0,0.21937169201564496,0.31377231500033265,0.3497140745992625,0.6876588242341937,0.11312559017941454,0.5777575779475241,0.2794573075492563,0.25760234115933356,2.28014922856336,0.661167237557959,0.22638905401598045,1.987681888751001,0.27712447304193477,0.28106682297772567,0.5499340891838074,0.34942781216554414,0.2226088291542757,0.11389601892395189,0.006874399051308542,1.7321186159597346,0.004836345971685374,0.008819929075381512,0.004369720354896574
