round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_ece,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6918147005812305,0.08015678356391673,3.66096,3.66096,1.0,0.25067749774842274,0.28540530795978836,0.11085930122757318,1.9085590307076392,0.4856058557603132,0.22645757406165118,0.3625064235702416,0.20824566478364995,0.6575909706104066,0.6520314500304173,0.20461357709402708,1.7964945485113673,0.2566063977746871,0.2652907664194346,0.47926706075668335,0.3594196705553827,0.22687051906055059,0.11389601892395189,0.006657524888052663,0.7213171652547317,0.005597570171509564,0.00732432904786095,0.009536455495193417
2.0,0.6716882546359726,0.1775660185951599,7.32192,7.32192,1.0,0.27114828604096375,0.2883812497477904,0.11085930122757318,1.9675986040245377,0.511447789609376,0.22816105880518775,0.36467426411565984,0.21438232470863175,0.6681846145807311,0.6594741031772753,0.20861504830779276,1.8316272182180884,0.2676164383561644,0.274788391777509,0.5388661623001099,0.3621794318518657,0.2292529539930203,0.11389601892395189,0.005904009792242082,0.6497616407423266,0.00578705406694769,0.006008728495399321,0.0037072118662965776
3.0,0.6581740690050338,0.3343598449108611,10.98288,10.98288,1.0,0.2715925109777559,0.29380045792681453,0.11085930122757318,1.980026469349976,0.5446896901474383,0.21824559041571123,0.3476304933442836,0.21592213314522132,0.67033068911924,0.6620701078635416,0.21164737398075945,1.8582508500325714,0.26931330472103004,0.27535441657579063,0.539842963218689,0.34544613598844254,0.21978047391073655,0.11389601892395189,0.005132825597065714,0.5726282032974268,0.005224166220962886,0.005100800278289251,0.003058446378626123
4.0,0.6532565162423352,0.3627102464731577,14.64384,14.64384,1.0,0.27138310290383627,0.2957143662560428,0.11085930122757318,2.0050874839877317,0.5471715435202783,0.2198892899944386,0.35111403304861905,0.2183514140883701,0.672725607329206,0.6642958911739656,0.21485414231485547,1.886406077619913,0.2730390055722246,0.28100246721205036,0.5319041609764099,0.34884485167246043,0.22128051931305862,0.11389601892395189,0.004420661895890257,0.49726627443578764,0.004705173785807798,0.004255689458812768,0.0027396076043941886
5.0,0.6492834591527535,0.3327886570711246,18.3048,18.3048,1.0,0.2714195148658866,0.3008865622219552,0.11085930122757318,2.009999709450056,0.5631452220132376,0.22514383957757444,0.357486945315656,0.21938163474632646,0.6739172327499214,0.6646110079072087,0.21641067545814457,1.900072342323409,0.2711202265846274,0.2775800711743772,0.5626799464225769,0.35557832366729386,0.22680953256368913,0.11389601892395189,0.003960290719830179,0.4487772913525987,0.004291808387813666,0.0037545536613778235,0.002882268743192822
6.0,0.6496172549443421,0.39841839381383054,21.96576,21.96576,1.0,0.27648938524869743,0.29717022490044426,0.11085930122757318,2.0036017926008345,0.5518177649379714,0.21688301898315043,0.3460516780183343,0.21860513601706663,0.6743923808937161,0.6665513664872111,0.2189566546411938,1.9224258820441358,0.27685393258426966,0.2782459997557103,0.5158862471580505,0.343826213456243,0.21824124568246533,0.11389601892395189,0.0038339620374035427,0.4380564796792896,0.004143555066435985,0.003627849936108037,0.0038271256193774658
7.0,0.6510492865781463,0.33566324489850735,25.62672,25.62672,1.0,0.27806299534383244,0.29932673746129335,0.11085930122757318,2.0189826026501527,0.5325779229749626,0.21177750211776994,0.34061676992404233,0.22041920344081037,0.6761036609670691,0.6667612058697903,0.2200051108308153,1.9316312625265,0.2768853464132434,0.2782882011605416,0.4979551434516907,0.3382649016362911,0.2129717662063823,0.11389601892395189,0.003306961131363852,0.3808608325998648,0.003714540428614197,0.003036391595202004,0.0030410059524298523
8.0,0.6471777377691934,0.30087972175585753,29.28768,29.28768,1.0,0.27989643706585066,0.2996268844131472,0.11085930122757318,2.024539727136327,0.5423759751080491,0.21137788696668666,0.3378977232724944,0.22105485015539722,0.6768496256266008,0.6674211940863569,0.22031572345315753,1.9343584221346826,0.2780557541100786,0.280136791108578,0.5320468544960022,0.3353481146742879,0.21259373056548259,0.11389601892395189,0.003307522276759004,0.3841449564388313,0.003688540370294055,0.003050807421410128,0.003212350763672452
9.0,0.6471794170360693,0.3863071401341392,32.94864,32.94864,1.0,0.27870236923583896,0.3009504654385218,0.11085930122757318,2.0472408574441254,0.5522735392837207,0.20995105452239485,0.33403431150779656,0.2229474156948043,0.677693426978304,0.6676447751185935,0.22134793796769844,1.9434212017146266,0.27499725002749975,0.27893098079916967,0.5283784866333008,0.33194825746862616,0.21146040637580862,0.11389601892395189,0.003268535156794006,0.38337925278574403,0.003740443449754344,0.00295539285089839,0.002597788163917066
10.0,0.6467300550999033,0.415723772048063,36.6096,36.6096,1.0,0.278300276538646,0.3023300276545679,0.11085930122757318,2.044287649480248,0.5482885253815897,0.21693779804272142,0.34610749409282815,0.22270501982484642,0.6782355991941427,0.6669345137983481,0.22189608837055674,1.948233928340518,0.27432966563401345,0.2782172002510986,0.528256356716156,0.3438595715831262,0.21838632934448796,0.11389601892395189,0.0034294797238470062,0.40566812085126003,0.0038461832636979693,0.003143823633475354,0.003394684199024547
