round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_brier,fed_f1,fed_prevalence,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6884688358462616,0.10141516419152916,0.08724,3.65056,0.9971592150692714,0.566596872989639,0.527852004918046,0.17258588048179174,1.5159093873392473,0.2733176770280601,0.17896539141680345,0.11469218179529146,0.41377545350837297,0.2571836199923547,0.6525548374647718,0.20941252257269322,1.8386289929283435,0.2045002711006687,0.2743029389600603,0.502596914768219,0.3884536131074248,0.2517575216352205,0.11389601892395189,1.0126956250762815,8.660111007280648,0.6431619221767094,1.354286590128562
2.0,0.6895097712534679,0.05913963710771575,0.17448,7.30112,0.9971592150692714,0.5807347753851292,0.5174929732739377,0.1781758128687974,1.5932409457584757,0.2628512526984866,0.17898776716785184,0.11469218179529146,0.4016421820420125,0.26270458187491824,0.65668079601072,0.21497676867229834,1.8874827294520087,0.2537952510704554,0.27726675427069647,0.5015255808830261,0.38627093132365736,0.24993760359301187,0.11389601892395189,0.11680629080124598,1.0374214308103547,0.0875756575440301,0.13918862362281556
3.0,0.6865401602321743,0.08114153994049787,0.26172,10.95168,0.9971592150692714,0.6015695178297282,0.5111508773820129,0.18434147519173552,1.650018152588612,0.25642861841441206,0.1929188186881209,0.11469218179529146,0.39421792045079923,0.2690595272459393,0.65801126378551,0.21613791939819024,1.897677560991004,0.25105996365838884,0.27882037533512066,0.5020496249198914,0.3865780599767413,0.2501077074966511,0.11389601892395189,0.13912453964945787,1.225192604726999,0.07929902257439027,0.19791547377467042
4.0,0.6826345068548347,0.09135478686938489,0.34896,14.60224,0.9971592150692714,0.6277600587716126,0.5120833511299562,0.19838452452221703,1.785637752790167,0.2551950804504362,0.2096456051008155,0.11469218179529146,0.3930796403815401,0.2756591199264364,0.6580773366489319,0.21762588841185848,1.9107418368781335,0.2581723936125742,0.2785149843447145,0.5021270513534546,0.3862472689276559,0.24974918268744684,0.11389601892395189,0.10447247984489492,1.0890182504426775,0.059167186086441954,0.1561684421111454
5.0,0.6798976782821676,0.08872256872649736,0.4362,18.2528,0.9971592150692714,0.6525078761164905,0.50910320709563,0.2128234080494896,1.9144555939599972,0.25059565127618316,0.21838261056244596,0.11469218179529146,0.3875199534101209,0.2865823343479825,0.6583844217330601,0.21921362909875822,1.924682101883883,0.25298478345688646,0.27968923418423974,0.502471387386322,0.38671455676119215,0.2500263479879322,0.11389601892395189,0.07666850465297871,0.9458089576078237,0.03393676433289718,0.13296891354405063
6.0,0.6767604298717734,0.09537165547627358,0.4362,18.2528,0.0,0.6766439354433899,0.5182433940013409,0.2389003130024258,2.153318459747171,0.21472386273546382,0.27337956578715383,0.11469218179529146,0.33759993348792655,0.310976459777694,0.6583844217330601,0.21921362909875822,1.924682101883883,0.25298478345688646,0.27968923418423974,0.502471387386322,0.38671455676119215,0.2500263479879322,0.11389601892395189,0.0,0.0,,
7.0,0.6549086337463852,0.2524201098590841,0.4362,18.2528,0.0,0.6881838076940215,0.551514902897015,0.2508301113000382,2.2660059714363756,0.21191344505627138,0.29166789395056114,0.11469218179529146,0.3359374694416449,0.32349788389522577,0.6583844217330601,0.21921362909875822,1.924682101883883,0.25298478345688646,0.27968923418423974,0.502471387386322,0.38671455676119215,0.2500263479879322,0.11389601892395189,0.0,0.0,,
8.0,0.6325215719912094,0.4021865244221924,0.4362,18.2528,0.0,0.6964436839332764,0.5509424644866969,0.25878700700175605,2.3372174956597083,0.2086950737045431,0.30599600851303455,0.11469218179529146,0.3310128877406777,0.33333643247619976,0.6583844217330601,0.21921362909875822,1.924682101883883,0.25298478345688646,0.27968923418423974,0.502471387386322,0.38671455676119215,0.2500263479879322,0.11389601892395189,0.0,0.0,,
9.0,0.6789930857982748,0.09548674317788858,0.52344,21.90336,0.9971592150692714,0.6586025447239136,0.507186083075953,0.2172237487853724,1.9564701702331513,0.24801229648500447,0.24286859965339075,0.11469218179529146,0.384632714313163,0.28955367919233865,0.659084743887526,0.21970754748314825,1.9290186747426745,0.27283889980353637,0.2815995097288188,0.500796914100647,0.38475222789387475,0.24843416238029747,0.11389601892395189,0.06887581345591254,0.9634948681568858,0.033566872294587616,0.12088405887908563
10.0,0.6767721338679018,0.11165063258147993,0.52344,21.90336,0.0,0.6777616972063767,0.5568780812019668,0.23840451056329706,2.1454620746209905,0.23611738740440802,0.282896997935896,0.11469218179529146,0.37106110563427386,0.31305875245168696,0.659084743887526,0.21970754748314825,1.9290186747426745,0.27283889980353637,0.2815995097288188,0.500796914100647,0.38475222789387475,0.24843416238029747,0.11389601892395189,0.0,0.0,,
