round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_f1_best,fed_prevalence,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6879449989570204,0.106051548940068,0.08724,3.65056,0.9971592150692714,0.15561887918475298,0.6029362213962935,0.39094996868566145,0.27032588699632215,0.11392245720040282,0.2538134624941682,1.7493922510827384,0.20080651828493412,0.505609366416271,0.48560313091753715,0.1119631560657357,0.9830295836809998,0.0,0.2045002711006687,0.47474315762519836,0.36187692026384244,0.23188292318596537,0.11389601892395189,1.019889906701861,8.766239739023149,0.6569714461022147,1.3542414033463632
2.0,0.6886568125287406,0.06956223018448701,0.17448,7.30112,0.9971592150692714,0.19263915118870528,0.615506803796593,0.38714896723410464,0.2808740785884753,0.11392245720040282,0.2503003220044485,1.8601689144394447,0.2131708267466753,0.5045712883307525,0.39553628049008516,0.09611782325117128,0.8439085418371729,0.0,0.20452799493876814,0.468025803565979,0.3601498995950306,0.2306875669021696,0.11389601892395189,0.12092219837873873,1.1504102203107323,0.08876814025146103,0.14643685491026806
3.0,0.6848115722319172,0.07856394578166881,0.26172,10.95168,0.9971592150692714,0.20095468459103394,0.6292292423595587,0.38748536244492454,0.28479782253526725,0.11392245720040282,0.2497605388680454,1.8907245640842656,0.21607085810104862,0.508788227768613,0.3472861860805597,0.08291399696594114,0.7279797639046771,0.0,0.20451875282422052,0.4717208445072174,0.3601310349649497,0.23067271686734653,0.11389601892395189,0.1419179932968443,1.3323278837478938,0.08850010276138252,0.1958987568480185
4.0,0.6813891113989383,0.10996955629653457,0.34896,14.60224,0.9971592150692714,0.21190014243955974,0.6563377959551393,0.384252315184546,0.29293876731387997,0.11392245720040282,0.247031990262335,2.016044774640782,0.2302727012456229,0.5068881385973752,0.4595526150572639,0.10770065514479953,0.9456050892938673,0.0,0.20451875282422052,0.46784740686416626,0.35958243326995853,0.23024603336002725,0.11389601892395189,0.10432707962577004,1.1465373222454218,0.061382732465725565,0.15274895414619624
5.0,0.6799446934278844,0.10185386789072708,0.4362,18.2528,0.9971592150692714,0.23203130300818767,0.6569488624393903,0.3771038257909896,0.2955968853833142,0.11392245720040282,0.24114814289370992,2.0208409138516026,0.23098474761039794,0.5012379007494643,0.3337449762662259,0.07986117507185642,0.701176176536772,0.0,0.20451875282422052,0.45621222257614136,0.36058954741323745,0.23127251431758294,0.11389601892395189,0.0802686278576769,1.0347491131346942,0.04243188469960396,0.12713206528935098
6.0,0.6763309768268457,0.12022397265204823,0.4362,18.2528,0.0,0.2853923206302241,0.6764467244073992,0.3509629505676145,0.3079543672600192,0.11392245720040282,0.22026873026322327,2.21324504200508,0.24992214800485185,0.5337189615526858,0.3337449762662259,0.07986117507185642,0.701176176536772,0.0,0.20451875282422052,0.45621222257614136,0.36058954741323745,0.23127251431758294,0.11389601892395189,0.0,0.0,,
7.0,0.6522022829864483,0.23100264989668545,0.4362,18.2528,0.0,0.2865483265404693,0.685628644807014,0.34416640596182907,0.3152477750281478,0.11392245720040282,0.21627758875088904,2.324784611548652,0.25998179354817086,0.5382084671355415,0.3337449762662259,0.07986117507185642,0.701176176536772,0.0,0.20451875282422052,0.45621222257614136,0.36058954741323745,0.23127251431758294,0.11389601892395189,0.0,0.0,,
8.0,0.6283545212303996,0.4526083097265202,0.4362,18.2528,0.0,0.29263436857956054,0.693112660344159,0.341264814767149,0.32187863092593655,0.11392245720040282,0.21544731283675525,2.3872996219332823,0.26678114561576544,0.5707406317674503,0.3337449762662259,0.07986117507185642,0.701176176536772,0.0,0.20451875282422052,0.45621222257614136,0.36058954741323745,0.23127251431758294,0.11389601892395189,0.0,0.0,,
9.0,0.6750638979852465,0.127590466545479,0.52344,21.90336,0.9971592150692714,0.256246242651154,0.6597007080549788,0.36844181749980975,0.2977690235404292,0.11392245720040282,0.2347669979642497,2.0397909332346353,0.23270506430038176,0.49260454782456425,0.3347499489111819,0.08010491160906695,0.7033161682547729,0.0,0.20451875282422052,0.45567893981933594,0.3620289714006768,0.23201315123535463,0.11389601892395189,0.05767837454764613,0.8604035980342815,0.02849232602394795,0.09731505301122588
10.0,0.6747044946161141,0.13154998554436165,0.52344,21.90336,0.0,0.2801613510164374,0.6746387102417637,0.35239864969841783,0.30738491130794504,0.11392245720040282,0.22138848691143254,2.216133416929869,0.24906141933540332,0.5294966423473239,0.3347499489111819,0.08010491160906695,0.7033161682547729,0.0,0.20451875282422052,0.45567893981933594,0.3620289714006768,0.23201315123535463,0.11389601892395189,0.0,0.0,,
