round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc_lift,fed_f1,fed_ece,fed_auroc,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.553314219720574,349.74552616162987,3.65056,3.65056,0.9971592150692714,0.25237537694159756,1.6664923060370218,0.2342351776343148,0.389490254429682,0.6193538167648902,0.5096141824429369,0.2725834447384542,0.19029138307757867,0.11492950654582075,0.4182201298326119,0.10208164342408499,0.8962705140049247,0.14474335698960225,0.20456703594845127,0.49069657921791077,0.38575809760082647,0.24988518466620266,0.11389601892395189,0.024596844522372024,2.6352387508377433,0.020285685901923436,0.027448463178841535
2.0,11.299476792783494,324.92436234467635,7.30112,7.30112,0.9971592150692714,0.24829820178647297,1.8620300703508226,0.25059489473945273,0.38592711711735717,0.6497575508782286,0.5409740107049574,0.29273209477813855,0.2134908867968705,0.11492950654582075,0.34047239850994837,0.08088536515097527,0.7101685020701404,0.13031985196933651,0.2045002711006687,0.48210620880126953,0.3869951912156708,0.25125867069121144,0.11389601892395189,0.015565040904295032,1.7389917967375368,0.013132379218018771,0.017190407606908823
3.0,10.81620630161571,380.03200870493674,10.95168,10.95168,0.9971592150692714,0.25323099124682696,1.9474771504785113,0.2569661761631784,0.3929903261806189,0.6586924048742736,0.5720759515068142,0.2996830493864815,0.22219382162798348,0.11492950654582075,0.34074010341451005,0.08173406532566971,0.7176200370993069,0.09820359281437126,0.2045002711006687,0.4670059084892273,0.38298333920844035,0.24822640295791526,0.11389601892395189,0.01080025269987878,1.273017777595669,0.010219756798185407,0.01119630396303636
4.0,10.591168701925092,399.05733717783744,14.60224,14.60224,0.9971592150692714,0.24865021444935398,1.9787175321072659,0.26520692361455295,0.3873085237022823,0.6633374860559533,0.578395268184856,0.30070046088601676,0.22669010495850303,0.11492950654582075,0.3410269587824301,0.08253312331414504,0.7246357168045726,0.00964630225080386,0.20451875282422052,0.4634857177734375,0.3809579464775356,0.24663042742549296,0.11389601892395189,0.00955272813206394,1.1853437873069197,0.009126919068772056,0.0098530618692815
5.0,10.231850304491099,433.26369396525826,18.2528,18.2528,0.9971592150692714,0.24137340721009584,2.039228475140102,0.2782879168977506,0.3782584535395061,0.669276012993257,0.5789670131796707,0.30492299494838115,0.23245196230646345,0.11492950654582075,0.39496885702956785,0.08983735215816561,0.7887663941805535,0.0026292725679228747,0.20459271313624447,0.4891875088214874,0.38155490055892516,0.24663782209330332,0.11389601892395189,0.008248352085757905,1.0751372210215777,0.008037512344601053,0.008401551660027179
6.0,10.080585625509999,436.9887883291168,18.2528,18.2528,0.0,0.2387162952575904,2.129209942703913,0.2903973846858931,0.37569224805742774,0.6773688885117968,0.5886200140328837,0.31520905900452717,0.242527206539613,0.11492950654582075,0.39496885702956785,0.08983735215816561,0.7887663941805535,0.0026292725679228747,0.20459271313624447,0.4891875088214874,0.38155490055892516,0.24663782209330332,0.11389601892395189,0.0,0.0,,
7.0,9.53981308778326,497.0962056586691,18.2528,18.2528,0.0,0.23720658346716522,2.189455104929617,0.2966426269382055,0.3743163505315871,0.6858573584039921,0.53511360465865,0.32203753250928663,0.24848158061853076,0.11492950654582075,0.39496885702956785,0.08983735215816561,0.7887663941805535,0.0026292725679228747,0.20459271313624447,0.4891875088214874,0.38155490055892516,0.24663782209330332,0.11389601892395189,0.0,0.0,,
8.0,8.905882906752094,497.4264000250843,18.2528,18.2528,0.0,0.23511652979110553,2.2437465343922023,0.31054698508933054,0.37298438901575015,0.695385406200515,0.5636277200029515,0.3320339799698554,0.254644923269352,0.11492950654582075,0.39496885702956785,0.08983735215816561,0.7887663941805535,0.0026292725679228747,0.20459271313624447,0.4891875088214874,0.38155490055892516,0.24663782209330332,0.11389601892395189,0.0,0.0,,
9.0,9.888667386634824,476.0586588301686,21.90336,21.90336,0.9971592150692714,0.2403189246941794,2.0451784631546848,0.27810614828962027,0.376963763472447,0.6700689113116437,0.5845756759718885,0.30750953686155547,0.23377962291486917,0.11492950654582075,0.3492233821987232,0.08170905413582137,0.7174004403997503,0.05967922417008579,0.20450951154489178,0.4809688627719879,0.38219686643371364,0.24740053462729886,0.11389601892395189,0.00885691266054124,1.2088367535034195,0.007755375703776805,0.009680536703167026
10.0,9.721013855206255,551.5913833117863,21.90336,21.90336,0.0,0.23728665364153761,2.141092674799511,0.2911979988672618,0.37398686075596227,0.6763854627547248,0.571478933439199,0.3144495492986207,0.24403318508350041,0.11492950654582075,0.3492233821987232,0.08170905413582137,0.7174004403997503,0.05967922417008579,0.20450951154489178,0.4809688627719879,0.38219686643371364,0.24740053462729886,0.11389601892395189,0.0,0.0,,
