round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6292309218515498,0.12553016303857759,3.65056,3.65056,0.9971592150692714,0.3800698659586282,0.2074909808762976,0.25482111770569654,0.6512513304566524,0.16926832881542359,1.833531252297804,0.006255117929106788,0.11411127895266868,0.2854693486661555,0.6395207384458829,0.19551888219453448,1.7166436899351327,0.009615384615384616,0.25607544432354007,0.47942230105400085,0.35979450839299837,0.22942723278530222,0.11389601892395189,0.026046834960009146,2.8060252210125327,0.020916582719116162,0.029547547111238373
2.0,0.6129340496457443,0.285809420750615,7.30112,7.30112,0.9971592150692714,0.28670618322200525,0.2160668024965542,0.154581294483191,0.6590245718335359,0.12718133090645511,1.9311873314620436,0.004740742130732936,0.11411127895266868,0.2922294659986828,0.6531320118492927,0.20755189078382497,1.8222927609296589,0.03977994075327973,0.2671863926293409,0.4669272303581238,0.34475143474519526,0.21822563071163356,0.11389601892395189,0.017442454519077596,1.9793876882176846,0.013630510328310313,0.020096343260222308
3.0,0.6093354226786137,0.36838107907354145,10.95168,10.95168,0.9971592150692714,0.24623978158322138,0.22240145062637742,0.11351279140621695,0.6653098687957668,0.11573214934845079,1.980902801216374,0.002105424244219339,0.11411127895266868,0.2968221959623952,0.6566447037875098,0.21071762673904096,1.8500877267688929,0.0736884261113336,0.2752344953100938,0.46959465742111206,0.34470460319520246,0.21809931729394802,0.11389601892395189,0.012457608183607811,1.494492846308276,0.011259349767708,0.013313057610889942
4.0,0.6047287319548322,0.3335246332720963,14.60224,14.60224,0.9971592150692714,0.2267117877889421,0.22618567923333432,0.09047666869854532,0.668579391201015,0.11104272611720536,2.012253890130586,0.003440942659220605,0.11411127895266868,0.29588598027652835,0.655963557195306,0.21153923213235656,1.857301371293766,0.1361853832442068,0.2729039007622179,0.4792790412902832,0.35605009138281146,0.22625955861148989,0.11389601892395189,0.01050880460007716,1.3335242071188986,0.009783985531488418,0.011045214452894239
5.0,0.5995278084423262,0.4020719940174569,18.2528,18.2528,0.9971592150692714,0.2474407775511389,0.22964098201029537,0.09564722304547547,0.6722326686961608,0.11184364313061251,2.0331458779644005,0.004429818251570517,0.11411127895266868,0.299381417694997,0.663102551258361,0.2156005012374364,1.8929590627868422,0.1255045871559633,0.2804754678806272,0.46248355507850647,0.3373251246517441,0.21256806335459894,0.11389601892395189,0.008920345766643197,1.199702697340399,0.008594889287990452,0.009170702150992896
6.0,0.6000605462014906,0.35376926271309983,18.2528,18.2528,0.0,0.2235832413215817,0.24552116914748925,0.0750997451839552,0.6868668353751042,0.10815163118774793,2.1858167563564597,0.04457598390566212,0.11411127895266868,0.31114464773933526,0.663102551258361,0.2156005012374364,1.8929590627868422,0.1255045871559633,0.2804754678806272,0.46248355507850647,0.3373251246517441,0.21256806335459894,0.11389601892395189,0.0,0.0,,
7.0,0.5827777276019867,0.40996530809806647,18.2528,18.2528,0.0,0.2240727906014999,0.26455701364577044,0.07618100639064079,0.6991336462458831,0.10747184738822563,2.358269208242449,0.08155243974645585,0.11411127895266868,0.3199063546486352,0.663102551258361,0.2156005012374364,1.8929590627868422,0.1255045871559633,0.2804754678806272,0.46248355507850647,0.3373251246517441,0.21256806335459894,0.11389601892395189,0.0,0.0,,
8.0,0.5690600315667974,0.3744392581802639,18.2528,18.2528,0.0,0.2320200997861505,0.2753286333749032,0.0709546647910602,0.705580177896282,0.10427369256909227,2.4545389918878815,0.09845086196127482,0.11411127895266868,0.32509350107466606,0.663102551258361,0.2156005012374364,1.8929590627868422,0.1255045871559633,0.2804754678806272,0.46248355507850647,0.3373251246517441,0.21256806335459894,0.11389601892395189,0.0,0.0,,
9.0,0.5980975566792325,0.3980075998995023,21.90336,21.90336,0.9971592150692714,0.2275272637328052,0.23501770613682219,0.08132489559016483,0.6735935302090021,0.1100090021881863,2.0800471820118474,0.03226087650733177,0.11411127895266868,0.29931109799256894,0.6607807520926586,0.21437001687271867,1.8821554861882666,0.11799410029498525,0.2782410917361638,0.4674469530582428,0.3419212146373296,0.21584994785245457,0.11389601892395189,0.008907649596020983,1.2589353052899241,0.007256542274691524,0.010237735933489646
10.0,0.5913798670033191,0.3902353378779343,21.90336,21.90336,0.0,0.20350847409265294,0.24936874789362196,0.06774991428499952,0.6891455347021175,0.10753575095444332,2.2156457434670886,0.050158558169579294,0.11411127895266868,0.3103685487303351,0.6607807520926586,0.21437001687271867,1.8821554861882666,0.11799410029498525,0.2782410917361638,0.4674469530582428,0.3419212146373296,0.21584994785245457,0.11389601892395189,0.0,0.0,,
11.0,0.5811034122828251,0.3646150083678605,21.90336,21.90336,0.0,0.20961349947736313,0.2604832465275708,0.07455581405465252,0.6983838397655106,0.1062985814903151,2.3188639223073406,0.0790951704154498,0.11411127895266868,0.32347856897992544,0.6607807520926586,0.21437001687271867,1.8821554861882666,0.11799410029498525,0.2782410917361638,0.4674469530582428,0.3419212146373296,0.21584994785245457,0.11389601892395189,0.0,0.0,,
12.0,0.56485243894216,0.3936842128259844,21.90336,21.90336,0.0,0.2259359987694601,0.27844388596808745,0.07446303510741441,0.7102624918113033,0.10565946413931464,2.487954845914647,0.12987190456944428,0.11411127895266868,0.33279892318970455,0.6607807520926586,0.21437001687271867,1.8821554861882666,0.11799410029498525,0.2782410917361638,0.4674469530582428,0.3419212146373296,0.21584994785245457,0.11389601892395189,0.0,0.0,,
13.0,0.5920386904984846,0.39148163196180247,25.55392,25.55392,0.9971592150692714,0.2131034518420426,0.23806889373333354,0.07387308651252678,0.6765876638566914,0.1082855912114291,2.1047354962850733,0.04734333733394063,0.11411127895266868,0.2986835629846507,0.6621055851636164,0.21447177087932623,1.8830488800712915,0.13512557481429077,0.2787426438926367,0.4734809398651123,0.3452727504333688,0.21816088852612533,0.11389601892395189,0.008689707140981112,1.2998865017434582,0.006796720912975704,0.010251612477808801
14.0,0.5886712917013587,0.36243972719560263,25.55392,25.55392,0.0,0.21267469473321962,0.25291380018070575,0.07348401821394285,0.6907886434635798,0.10749222097104089,2.2426771778106414,0.07006753315558345,0.11411127895266868,0.311570932945065,0.6621055851636164,0.21447177087932623,1.8830488800712915,0.13512557481429077,0.2787426438926367,0.4734809398651123,0.3452727504333688,0.21816088852612533,0.11389601892395189,0.0,0.0,,
15.0,0.5721349593917135,0.37573615894325674,25.55392,25.55392,0.0,0.23870385658982596,0.27078945887818506,0.07358629440843391,0.7010142920140069,0.10725030733279271,2.4059727077497093,0.10164348646050855,0.11411127895266868,0.3221631366147656,0.6621055851636164,0.21447177087932623,1.8830488800712915,0.13512557481429077,0.2787426438926367,0.4734809398651123,0.3452727504333688,0.21816088852612533,0.11389601892395189,0.0,0.0,,
