round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_f1_best,fed_auprc_lift,fed_auprc,fed_brier,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877832154812792,0.10903233772744125,3.65056,3.65056,0.9971592150692714,0.5671298418261695,0.49712542982921926,0.11460759015671221,0.2524177748407322,1.4890726869675552,0.1720069725919052,0.24886797968852514,0.20812663734305606,0.386064219886687,0.39514132414485903,0.08908365856919531,0.7821490110964833,0.2045002711006687,0.20450951154489178,0.5218034386634827,0.4215410398131402,0.2790874803592156,0.11389601892395189,0.02720200611600522,2.9296568504069,0.02302670049457551,0.029973087735652514
2.0,0.6811522119820937,0.13083068563450062,5.632,5.632,0.5412350858791136,0.6594338081851597,0.5074536674752982,0.11460759015671221,0.29017893253091104,1.89560147792599,0.21866168569034408,0.23318660785448436,0.259093274278712,0.36724445932619276,0.36671899955369136,0.0838708746582493,0.7363810908461137,0.2045002711006687,0.20450951154489178,0.512540340423584,0.42492953411579687,0.282914335040226,0.11389601892395189,0.022849555278987053,1.5602181379217654,,0.022849555278987053
3.0,0.6701090778687451,0.20160370273522635,7.61344,7.61344,0.5412350858791136,0.6791420075988887,0.5472094056379564,0.11460759015671221,0.30161692692678116,2.017906753163191,0.2310663374159594,0.23411406052442357,0.2742432995966391,0.36953773627355324,0.38273942885638,0.08618218423573859,0.7566742459478082,0.2045002711006687,0.20455572629485672,0.5157023668289185,0.4306359123203294,0.28792787992646085,0.11389601892395189,0.015619534173022078,1.1378393641207367,,0.015619534173022078
4.0,0.6565831234997551,0.31110744313459715,9.59488,9.59488,0.5412350858791136,0.6893791515690052,0.5544710250496228,0.11460759015671221,0.3109625882318992,2.0897966859468955,0.2392089872100897,0.2268794553566183,0.28996506708076314,0.3597004434161943,0.3694143331504962,0.08401561325532103,0.7376518867741818,0.2045002711006687,0.20453723788864786,0.5074832439422607,0.4315199957495578,0.2894492100412745,0.11389601892395189,0.013181041614318179,1.0136118144728243,,0.013181041614318179
5.0,0.6650656971601734,0.42842859080234225,11.264,11.264,0.4559241291901578,0.6649348502580211,0.5278849098150319,0.11460759015671221,0.2935314936311641,1.9410896851142108,0.22273981902548923,0.20286273086715506,0.2777605601034823,0.3183740740089219,0.3653852438225449,0.0834620589998945,0.7327917146570498,0.20450951154489178,0.20454648167397296,0.506714403629303,0.4369291794399677,0.2947910043388945,0.11389601892395189,0.016584860727633714,0.7570239878259599,0.016584860727633714,
6.0,0.6517897475807614,0.27946637356459053,13.24544,13.24544,0.5412350858791136,0.6781972691341202,0.5053288568592228,0.11460759015671221,0.30419569750909853,2.0393216950993156,0.23336221683158306,0.21253595657081242,0.2886251534273651,0.3387503613074211,0.35952134935319374,0.08282087760868584,0.7271621817087843,0.2045002711006687,0.2045649717514124,0.5059959292411804,0.43426624591892093,0.29256471082837177,0.11389601892395189,0.008599251408055137,0.6932079767575487,,0.008599251408055137
7.0,0.6401056005525381,0.3625098001215249,15.22688,15.22688,0.5412350858791136,0.688491545801334,0.5591969928448702,0.11460759015671221,0.3144149393752419,2.124852933836743,0.2426928247051334,0.22779480979627467,0.28821161782649035,0.3592153757841542,0.38555631644275845,0.08585024094989452,0.7537598044336961,0.2045002711006687,0.2045002711006687,0.5065068006515503,0.43547444201312513,0.29302342058340997,0.11389601892395189,0.008355974891228836,0.6995908980024979,,0.008355974891228836
8.0,0.6266465116045874,0.4358675038757469,17.20832,17.20832,0.5412350858791136,0.6997061437854868,0.5631976246878817,0.11460759015671221,0.3277133541875205,2.237306505409422,0.25528036452848213,0.20944800788544807,0.3000297546784086,0.3339919338733253,0.3739448358228016,0.08443588088510091,0.7413418105638843,0.2045002711006687,0.2045002711006687,0.5060099363327026,0.4402560232851873,0.2978670478708527,0.11389601892395189,0.009314695831665606,0.8128034967230633,,0.009314695831665606
9.0,0.6129797852682702,0.6601563050465755,19.18976,19.18976,0.5412350858791136,0.7076199289486872,0.5525169889095919,0.11460759015671221,0.330154112672085,2.31586460892976,0.2636133478584947,0.21307069465942619,0.3061501834521887,0.3398541341232654,0.37346385298588347,0.08432289249667492,0.7403497795035059,0.2045002711006687,0.2045002711006687,0.5059283375740051,0.4426635988849753,0.3001543968622104,0.11389601892395189,0.011218253843840032,1.0283222725847736,,0.011218253843840032
10.0,0.6451652625527509,0.6137762152260842,22.84032,22.84032,0.9971592150692714,0.6694417071804872,0.5136646834964742,0.11460759015671221,0.29805013422494675,1.9893012219945327,0.22809497691233158,0.22294388159425096,0.281628680498647,0.3532503408633243,0.367627755552141,0.08382566701196964,0.7359841705085394,0.2045002711006687,0.20451875282422052,0.5118240118026733,0.43043606781600746,0.2885581375853015,0.11389601892395189,0.009773978091214174,1.4261388077866286,0.013897370468599256,0.007647137025315178
