round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_f1,fed_ece,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_brier,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17486673666519376,0.031745029805397215,3.65056,3.65056,0.9971592150692714,0.183622911469884,1.6085908383738536,0.20304156860721395,0.3819744646736777,0.11334172435494018,0.5917153298792031,0.4939127334620383,0.24579416951959918,0.2613726654205884,0.5486107280042372,0.15547653025574779,1.3650743171239297,0.0017660044150110375,0.20734514159911938,0.4722251892089844,0.3579398284405297,0.22889045023390514,0.11389601892395189,0.023633550527287748,2.513870927039534,0.019445169822117338,0.026431182749491352
2.0,0.17247788143937362,0.02653118855824141,5.632,5.632,0.5412350858791136,0.21767761413518089,1.9252002296050177,0.24296334514148735,0.38750039234785544,0.11334172435494018,0.6482264715225754,0.5103236703057945,0.24876821284434075,0.28972931585268424,0.5521902583224325,0.16478631266469396,1.4468136307268247,0.014814814814814815,0.21884402216943785,0.4737023413181305,0.3579131985917845,0.2287676304323878,0.11389601892395189,0.017956001103455636,1.1923917974345386,,0.017956001103455636
3.0,0.16853977308222937,0.02475620815888721,7.61344,7.61344,0.5412350858791136,0.22996931436133158,2.0279761516477413,0.2678231019680047,0.3761733857489291,0.11334172435494018,0.6678475015932223,0.5033879588222713,0.23919276663677438,0.29926523040182124,0.5288770665244931,0.1430838531721202,1.2562673789999363,0.00176522506619594,0.20453723788864786,0.46072688698768616,0.3583737015289199,0.22925241387367756,0.11389601892395189,0.013912212438254391,0.965161583153531,,0.013912212438254391
4.0,0.16626282215950133,0.029325880026638274,9.59488,9.59488,0.5412350858791136,0.23886972688797425,2.1118963004834876,0.2801652066864919,0.3745240073465866,0.11334172435494018,0.6807827647504878,0.512194977017076,0.2369616234063145,0.30871171815220527,0.535836590878185,0.1433731085020144,1.2588070229016899,0.0,0.20564754583086928,0.47133874893188477,0.35830942740815475,0.22919875174827664,0.11389601892395189,0.012536801661691006,0.9102099384181201,,0.012536801661691006
5.0,0.16701130879460827,0.035863260233175744,11.264,11.264,0.4559241291901578,0.22718649906486085,2.019217065403969,0.26911249308108015,0.3824853760011544,0.11334172435494018,0.6616802001075034,0.5161628863434884,0.24302146430241275,0.2976571373312705,0.5097314849028338,0.13034349076798094,1.144407785271327,0.004403346543372964,0.20473153299859773,0.46456480026245117,0.3585520681119228,0.2294225951548545,0.11389601892395189,0.01585978578317765,0.7076862934045494,0.01585978578317765,
6.0,0.1657494458882654,0.03985482749462392,13.24544,13.24544,0.5412350858791136,0.2363299321509934,2.1004345551712977,0.27392178228702857,0.37954664093807394,0.11334172435494018,0.6716696521172577,0.5187236249446868,0.24056979859395317,0.3045762671879621,0.5151571901657075,0.1478329310541116,1.2979639890031567,0.021616947686986597,0.20486346963727756,0.4635940194129944,0.35800208820989027,0.22891239575439315,0.11389601892395189,0.011660816947897444,0.8840774752898142,,0.011660816947897444
7.0,0.16397904056067505,0.058592802893685944,15.22688,15.22688,0.5412350858791136,0.24567361496573636,2.1903589815369227,0.2805238445374493,0.3780750015890019,0.11334172435494018,0.6793778722599705,0.5217619787566387,0.239115324827626,0.3112983902893865,0.45773772589577855,0.11732113904184407,1.0300723427407865,0.01222707423580786,0.20455572629485672,0.4626602530479431,0.360033996917322,0.23063028452329726,0.11389601892395189,0.01020450301277397,0.8123082539532334,,0.01020450301277397
8.0,0.15945073344821878,0.06742548094347921,17.20832,17.20832,0.5412350858791136,0.2555043687777726,2.288855773631754,0.2892821938616707,0.3740960277987396,0.11334172435494018,0.6910661127022604,0.5236609239185133,0.2354583392706172,0.3204003877472884,0.3958662934225462,0.0896737372990516,0.7873298658395299,0.005226480836236934,0.2045002711006687,0.46060702204704285,0.36238050811051586,0.232777318353988,0.11389601892395189,0.00993570023670916,0.8226839355193079,,0.00993570023670916
9.0,0.15675710374056326,0.0643199735930837,19.18976,19.18976,0.5412350858791136,0.2676343297228703,2.4116616859585713,0.29727580121416586,0.3714440247176426,0.11334172435494018,0.6984880272764418,0.5288974605842983,0.2330357185118955,0.32743684197662176,0.41259956923253926,0.09730731071207126,0.8543521681564931,0.012221737232649499,0.20453723788864786,0.4639788866043091,0.3632304740798655,0.23326054766662188,0.11389601892395189,0.010795006521977854,0.9367823444772512,,0.010795006521977854
10.0,0.16371633742337066,0.051672324330620654,22.84032,22.84032,0.9971592150692714,0.2290159082406073,2.0278132839329532,0.27503386148590275,0.3782628112577505,0.11334172435494018,0.6610242765985007,0.5155413312908986,0.23990748801872996,0.29704208803971477,0.42289943135422287,0.09693468755665785,0.8510805599042133,0.011270047680970958,0.20453723788864786,0.4644707441329956,0.3627869137847565,0.23296475380561804,0.11389601892395189,0.010128774866587751,1.4122626297175884,0.013565500844918177,0.00830237533023033
11.0,0.16474097704136528,0.06988838766664722,24.82176,24.82176,0.5412350858791136,0.23924399193073478,2.135669000209853,0.28522933528664035,0.3690182176192951,0.11334172435494018,0.6714163548915505,0.5060102725344081,0.23220740443489848,0.3031173252508955,0.384684430733527,0.08592573595310227,0.7544226458913782,0.004780876494023904,0.20453723788864786,0.46022969484329224,0.36346559627372066,0.23380523108407159,0.11389601892395189,0.008247377475167494,0.7786417987663299,,0.008247377475167494
12.0,0.15847760314466003,0.051576809405446,26.8032,26.8032,0.5412350858791136,0.25453069434288744,2.287550093621491,0.2863103518222368,0.3764729936142399,0.11334172435494018,0.6876025341581695,0.5185053347565977,0.23692503546655247,0.31777540417092853,0.3606287004254615,0.08273503783994879,0.7264085138497315,0.0008722197993894462,0.20451875282422052,0.4585215747356415,0.3630026153804995,0.2335009760047852,0.11389601892395189,0.008094006520657754,0.7927440045168623,,0.008094006520657754
13.0,0.1537820250346424,0.052812499323375374,28.78464,28.78464,0.5412350858791136,0.2690406421152947,2.432551809390937,0.2929517633065592,0.37215347610756305,0.11334172435494018,0.6957988258694845,0.534263266697104,0.23292903767679138,0.32878240497940103,0.3768686949358294,0.08480832551233913,0.7446118513498304,0.0034497628288055198,0.20450951154489178,0.4583171606063843,0.3634325591716524,0.2337083412974193,0.11389601892395189,0.007682174700971768,0.787428877549246,,0.007682174700971768
14.0,0.15015969545057045,0.05469430676336736,30.76608,30.76608,0.5412350858791136,0.28147691666800073,2.551693177966968,0.3040240276968576,0.3724440893731528,0.11334172435494018,0.7066676038684214,0.5315345192608252,0.23249388474630184,0.34207356337487504,0.3604913717750482,0.08268720633532058,0.7259885561981814,0.000877963125548727,0.2046019619366213,0.46179330348968506,0.3609327149172783,0.23197202121328692,0.11389601892395189,0.00811297408416245,0.8663472388871014,,0.00811297408416245
15.0,0.15989985656987918,0.05915492563892327,32.4352,32.4352,0.4559241291901578,0.2344175064026902,2.07151603734319,0.2830436574891231,0.3714181326043687,0.11334172435494018,0.6667765055711248,0.5183193048510332,0.23440539219827175,0.29765126309717127,0.3504298488408498,0.08151734961366934,0.7157172865550138,0.0025906735751295338,0.20452799493876814,0.46035921573638916,0.36209246373133375,0.23290096866923868,0.11389601892395189,0.011287592524560332,0.5908916601911187,0.011287592524560332,
16.0,0.1623285325801361,0.06056506354187195,34.41664,34.41664,0.5412350858791136,0.24430253313617456,2.1772122212279865,0.28057195979058575,0.3799843080224594,0.11334172435494018,0.676659505862027,0.5270122149592303,0.24026439491520316,0.303639555026824,0.35094376143913897,0.08158574686449095,0.7163178101858465,0.02867965367965368,0.2045002711006687,0.4590602517127991,0.3657038515815497,0.23592524395088865,0.11389601892395189,0.005492635977976512,0.6070251243654639,,0.005492635977976512
17.0,0.15711056403623225,0.05161935618788481,36.39808,36.39808,0.5412350858791136,0.2643227195597439,2.371300093594322,0.2976388640412914,0.37387375920879684,0.11334172435494018,0.6949438856962548,0.5195637802945657,0.23469947376395553,0.32192819076717105,0.3568458815384965,0.0821454446807795,0.721231922387277,0.0316554229372081,0.20451875282422052,0.46067968010902405,0.3662688982892309,0.2363002716060509,0.11389601892395189,0.00601027854131432,0.6805662553524598,,0.00601027854131432
18.0,0.15381368868526826,0.08157547337517715,38.37952,38.37952,0.5412350858791136,0.2750222460903085,2.4824276498900524,0.2992452036788202,0.3706859237165702,0.11334172435494018,0.7021557077424087,0.5279272508666226,0.23151172360757455,0.3341052938277612,0.34412865617609467,0.08079479773010047,0.7093733257177932,0.04020100502512563,0.2045002711006687,0.452978253364563,0.3665837403635259,0.23679876372200093,0.11389601892395189,0.0070128789256556625,0.8206393599975854,,0.0070128789256556625
19.0,0.14843146037212332,0.07535671008672336,40.36096,40.36096,0.5412350858791136,0.2870013391765287,2.6152839524303007,0.31011250208596236,0.36531113256976383,0.11334172435494018,0.7101351741018203,0.5195544300212883,0.22724264146278245,0.33866539921391364,0.3463085837898531,0.08105359135969545,0.711645517775426,0.050111133562335826,0.20450951154489178,0.45536094903945923,0.3667613690296868,0.23715110583603777,0.11389601892395189,0.008325033532127636,1.010834296233952,,0.008325033532127636
20.0,0.16198664919853867,0.07880421158334287,44.01152,44.01152,0.9971592150692714,0.2340183921227851,2.0626376898705465,0.28143848345234934,0.38028669940967674,0.11334172435494018,0.6699777907053436,0.5148227754012077,0.24122670470847177,0.3002377475563804,0.35685914630898785,0.08233366339593619,0.7228844710622431,0.012802275960170697,0.20450951154489178,0.45808276534080505,0.3620090145542539,0.2329392612895131,0.11389601892395189,0.007190727648584704,1.3156614209292457,0.0102081569964492,0.005835015111531756
21.0,0.16146500773700692,0.056186589835081235,45.99296,45.99296,0.5412350858791136,0.24945518208285017,2.2190346022611256,0.28640080922797656,0.3762358117002297,0.11334172435494018,0.6832948518137271,0.516751933587355,0.23710790861277556,0.3123398692453243,0.363621907808816,0.08310403770449662,0.7296483098323656,0.010699273977837218,0.20458346517199294,0.4619028866291046,0.3618055902463848,0.23262934038305016,0.11389601892395189,0.005698435070239183,0.7364806231344119,,0.005698435070239183
22.0,0.15648518867869582,0.06992363375139879,47.9744,47.9744,0.5412350858791136,0.2665043729579997,2.387381983013324,0.2962672716181694,0.37118325922626444,0.11334172435494018,0.6955689575858688,0.5318830730481443,0.23239919673939102,0.32491628838871306,0.34558884763354236,0.08117377684874044,0.712700738933992,0.026924202516827627,0.2045002711006687,0.42820319533348083,0.36257904385655215,0.23380176670192937,0.11389601892395189,0.005818125641994092,0.7767154818866402,,0.005818125641994092
