round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_ece,fed_brier,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888294941439504,0.10171949953540134,0.9136,3.65056,0.9971592150692714,0.6184705296299755,0.19776288768312705,0.38639457769549385,0.2493699503958971,0.19697996685907898,0.510918784899729,0.11474068479355488,1.7306162388223827,0.2663148929015243,0.5863353838970154,0.19004325039210956,1.6685679814586056,0.18957904032970269,0.24677656275501875,0.4933233857154846,0.3769975353831631,0.24252873850227222,0.11389601892395189,0.026727199867011383,2.8694655464496464,0.023412994547875005,0.02895947939672339
2.0,0.6815071152356618,0.12402391296471209,1.4096,5.632,0.5412350858791136,0.6580965113403449,0.25258626916712174,0.350153218559013,0.22079670892062744,0.21934326628784717,0.4957246362979168,0.11474068479355488,1.926107424197425,0.2928140699626018,0.5988387791511842,0.20072173498079732,1.762324415525171,0.2412468940591823,0.27440314294348744,0.489937961101532,0.37562117791420635,0.24109163127779987,0.11389601892395189,0.01983117183435285,1.3388940838631243,,0.01983117183435285
3.0,0.6711923408513559,0.1886752060607414,1.9056,7.61344,0.5412350858791136,0.6730200066602093,0.27190260081776696,0.3656419641099128,0.2310790231300362,0.23319144131481206,0.5230756575468654,0.11474068479355488,2.048408498306519,0.29951003170520246,0.6191082018247003,0.20619457963571275,1.810375653018991,0.2497865072587532,0.2758120649651972,0.48933926224708557,0.375218690503639,0.24065242870924164,0.11389601892395189,0.01518930474471968,1.0892952331341803,,0.01518930474471968
4.0,0.6578209922721943,0.24169118582801707,2.4016,9.59488,0.5412350858791136,0.6809938829823622,0.28490543340742774,0.33873225035462884,0.21296774257807424,0.24052666441065682,0.5313744711795633,0.11474068479355488,2.1182824002497203,0.30750710114643665,0.6494855804038605,0.21265510766535214,1.8670986894400714,0.253100693714526,0.27800770657913515,0.4881083071231842,0.37302739127238227,0.238795321525581,0.11389601892395189,0.012542900670557562,0.9469060630071908,,0.012542900670557562
5.0,0.6651849601144565,0.30642648625972135,2.8192,11.264,0.4559241291901578,0.6580971128096548,0.26720189987407394,0.3294263108139192,0.20880269590964518,0.2177387502089845,0.5114797533106168,0.11474068479355488,1.920240243220361,0.2902881985641619,0.6610472271509498,0.22039460373739436,1.9350509861503704,0.27606569477763426,0.28163200508017144,0.4951222538948059,0.37471412673702814,0.23984603407228455,0.11389601892395189,0.016559505918009445,0.7639774093404412,0.016559505918009445,
6.0,0.6585344730715634,0.272451262226589,3.3152,13.24544,0.5412350858791136,0.6708804064172923,0.2771070562236479,0.3496597025896097,0.2211653606253147,0.2296187814114806,0.5414005121514426,0.11474068479355488,2.0200178661254466,0.30180937871825864,0.6096333783088951,0.20948959538464956,1.8393056874492275,0.2761262082801386,0.28280127026575297,0.49654021859169006,0.37816324781607147,0.24262593526907833,0.11389601892395189,0.008690508450352687,0.6869751920457929,,0.008690508450352687
7.0,0.6421694701447678,0.3370075389849443,3.8112,15.22688,0.5412350858791136,0.6793792357053453,0.2858106210831009,0.3529261519489031,0.22216708343972544,0.24174044412309478,0.5351992220883253,0.11474068479355488,2.133893911866552,0.3090878125677475,0.6154061261102437,0.21106019142313948,1.8530954235025887,0.2808149405772496,0.2839974699557243,0.4974265396595001,0.3804054025108198,0.2440536878549581,0.11389601892395189,0.009265596932318642,0.7610143173951656,,0.009265596932318642
8.0,0.6310868260184244,0.42705046048843653,4.3072,17.20832,0.5412350858791136,0.6886598143211595,0.2967136859056822,0.3220405009873436,0.20360558538702453,0.25374465239838095,0.5345116701307223,0.11474068479355488,2.2433281029137366,0.31814077451099243,0.5851368108600346,0.20269802989318075,1.779676162592845,0.2792714657415438,0.28323141293852594,0.49723103642463684,0.38172521473111193,0.24526294901198276,0.11389601892395189,0.009058752638280872,0.7796126721659675,,0.009058752638280872
9.0,0.6137269580431777,0.5894120560365351,4.8032,19.18976,0.5412350858791136,0.7009546749735647,0.3011450049016146,0.33220693332772455,0.20858459398311463,0.26611516562451837,0.5543610686333128,0.11474068479355488,2.3583258804083544,0.32965861431069327,0.5610291509206604,0.1906288833506498,1.6737098026045343,0.20901068276823037,0.2554476806903992,0.5112053155899048,0.3877298059020239,0.2501838626056323,0.11389601892395189,0.01009230433599262,0.9118935163132846,,0.01009230433599262
10.0,0.6561751795597478,0.5327412538673457,5.7168,22.84032,0.9971592150692714,0.6598100454456529,0.26564485258556503,0.35866882578607684,0.22793256663907793,0.22273031195247026,0.5379483748362412,0.11474068479355488,1.955381225903571,0.29203347709961075,0.6049362189174552,0.20721973635248847,1.8193764655711857,0.26286619160728425,0.28040151390488727,0.5042650103569031,0.3854109632245332,0.24787926036595379,0.11389601892395189,0.011049184176930644,1.5927184270694852,0.014237029851006092,0.009353896131422044
11.0,0.6524761469716425,0.3317863368160233,6.2128,24.82176,0.5412350858791136,0.675221685105113,0.2809978886620581,0.35851409036032145,0.22671368940001047,0.23779103128349244,0.537859906897339,0.11474068479355488,2.090196613922583,0.30529507828182273,0.6151339912492171,0.21046493541010197,1.8478691125335025,0.27454491196657715,0.27978250123578846,0.5024673938751221,0.38386957658405746,0.2467648451218713,0.11389601892395189,0.007469625239376639,0.724939797539264,,0.007469625239376639
12.0,0.6375024917200864,0.38693450796830503,6.7088,26.8032,0.5412350858791136,0.6869783561552617,0.28710365267778803,0.35672198016241513,0.2248406553490486,0.25243898038448137,0.5475068929729925,0.11474068479355488,2.228651290054676,0.3186118468323186,0.6157935653338764,0.21019044879370047,1.8454591370225517,0.274435542607429,0.28081072245831973,0.5023313164710999,0.384012215052825,0.24676268223540684,0.11389601892395189,0.008167549856761195,0.8220949434908107,,0.008167549856761195
13.0,0.62104776633956,0.49466696623072953,7.2048,28.78464,0.5412350858791136,0.693799706097054,0.2948249954046745,0.3428954322145236,0.21542617178180912,0.2653940278416559,0.5573394425393412,0.11474068479355488,2.350679013181791,0.3255754404964618,0.613015543399543,0.2062790549054928,1.8111173406616157,0.24280481423338565,0.26661715558856297,0.5094103813171387,0.38702716967457046,0.24923513943547934,0.11389601892395189,0.00961626172397135,1.0116352441255003,,0.00961626172397135
