round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_f1_best,fed_auprc,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6894682373815845,0.089033173737097,3.65056,3.65056,0.9971592150692714,0.21820052295816922,0.6227965894279401,0.27081826819519905,0.19499501296791397,1.746564234083438,0.3826907086492447,0.11060749134403525,0.49669370056511963,0.24337376902175137,0.4168382846023899,0.11260008405443458,0.9886217720183653,0.19621795496637098,0.2047450873856742,0.4959661364555359,0.39457717901765565,0.2568060864085028,0.11389601892395189,0.02705938059109969,2.9119807961396873,0.02291158491456908,0.029798205587828763
2.0,0.6835783029184781,0.12181143840045239,7.30112,7.30112,0.9971592150692714,0.25583801428021075,0.6560431463352966,0.2896305473636063,0.20904563486452835,1.9023478354535197,0.38788171910549213,0.11060749134403525,0.5406651725868853,0.24572691660980603,0.4937094367208704,0.15290753190777004,1.3425186705592058,0.20399474613886498,0.20452799493876814,0.4982111155986786,0.4034316382855604,0.2632239514204035,0.11389601892395189,0.021083710100209332,2.408877117326483,0.016776386244139557,0.02394546423716213
3.0,0.6755211758376004,0.167957152329092,10.95168,10.95168,0.9971592150692714,0.2631132234657328,0.6638896068452247,0.29253589267498314,0.2130038344582781,1.9390491762259787,0.366575178241332,0.11060749134403525,0.5515538131455262,0.23049351151417904,0.5051615644026066,0.16348850755165287,1.4354189821227532,0.20349076916029135,0.20847880299251872,0.5357778072357178,0.4057520956597479,0.264952600243837,0.11389601892395189,0.014211689341173513,1.744540240848437,0.011968600975798424,0.015719206592917475
4.0,0.6670158497795011,0.23078698625294244,14.60224,14.60224,0.9971592150692714,0.2690633368783488,0.6682345892271052,0.29241863526001205,0.21643908756889604,1.9756266353640102,0.36376604637354465,0.11060749134403525,0.5592334145452001,0.22823001163779744,0.49438256421341115,0.16080134245264233,1.4118258387943219,0.20154816513761467,0.20469372961217833,0.4966605007648468,0.40026105705226245,0.26074115436645107,0.11389601892395189,0.011381661162538855,1.4803447918966413,0.010525225037892468,0.011973772321454442
5.0,0.6589909095966997,0.25844948162058545,18.2528,18.2528,0.9971592150692714,0.2682982285466641,0.6694121941540588,0.2935747212121782,0.21832351309088305,1.991197849108976,0.3597142688463348,0.11060749134403525,0.5481177928971539,0.22592800975414065,0.4721486252652891,0.13033513852564982,1.1443344531003694,0.2036016170525542,0.2046019619366213,0.49573326110839844,0.4110690937787887,0.2702535571691509,0.11389601892395189,0.009691770644886676,1.3313026513205841,0.008985140032054018,0.010199558317041712
6.0,0.6554154761105752,0.2937908267545293,18.2528,18.2528,0.0,0.2826554149609236,0.6851958730478678,0.306490612384878,0.22810365339703342,2.089449451483978,0.34449908892487185,0.11060749134403525,0.5289741130718691,0.21694379783442458,0.4721486252652891,0.13033513852564982,1.1443344531003694,0.2036016170525542,0.2046019619366213,0.49573326110839844,0.4110690937787887,0.2702535571691509,0.11389601892395189,0.0,0.0,,
7.0,0.6335193399878732,0.3515763201301204,18.2528,18.2528,0.0,0.2923579863320991,0.6968796777105911,0.31828882459825647,0.23899943493366543,2.1936676066912684,0.3396014488461935,0.11060749134403525,0.5342150530970466,0.2116178795023724,0.4721486252652891,0.13033513852564982,1.1443344531003694,0.2036016170525542,0.2046019619366213,0.49573326110839844,0.4110690937787887,0.2702535571691509,0.11389601892395189,0.0,0.0,,
8.0,0.6190621665709561,0.48607304557556413,18.2528,18.2528,0.0,0.30078441205961004,0.7052787944437058,0.324828247960746,0.24739137154854746,2.2721407849554507,0.34286149736032995,0.11060749134403525,0.5464333636564844,0.21526569035791268,0.4721486252652891,0.13033513852564982,1.1443344531003694,0.2036016170525542,0.2046019619366213,0.49573326110839844,0.4110690937787887,0.2702535571691509,0.11389601892395189,0.0,0.0,,
9.0,0.6535188285260833,0.27834359028640765,21.90336,21.90336,0.9971592150692714,0.273167774997619,0.6766837937573287,0.2991385651418291,0.22240493229571037,2.029080286535111,0.3485633370924716,0.11060749134403525,0.5512166001209868,0.21857357055313334,0.476362618215208,0.13590569620514986,1.1932436049050474,0.20396445659603554,0.2046225519019404,0.4975932240486145,0.4109518238901042,0.26998125402851314,0.11389601892395189,0.009708927591772014,1.4025726716499776,0.008034919486696834,0.010952818051598317
10.0,0.6485024280681173,0.30830790200732755,21.90336,21.90336,0.0,0.2886322799308915,0.6886591740872439,0.31124242933564644,0.2321253790117504,2.125059198767606,0.3463994570280494,0.11060749134403525,0.5536506178358795,0.2177193999204317,0.476362618215208,0.13590569620514986,1.1932436049050474,0.20396445659603554,0.2046225519019404,0.4975932240486145,0.4109518238901042,0.26998125402851314,0.11389601892395189,0.0,0.0,,
