round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688256582508514,0.10416024166071176,3.65056,3.65056,0.9971592150692714,0.3808498071002036,0.2771030068452022,0.24433000923430573,1.7579402807199611,0.2169460214640226,0.6092420230075285,0.20246564262818753,0.11455186304128905,0.5140375315876675,0.5329798713319772,0.12523728263743328,1.0995755937795677,0.0,0.20873563218390803,0.47200947999954224,0.35798138104511545,0.22906490326591575,0.11389601892395189,0.027892103692450307,3.012713792268187,0.02307637983424544,0.031111571134379092
2.0,0.6808156017907593,0.13421124906963844,5.632,5.632,0.5412350858791136,0.3713744633661325,0.30069322048669495,0.23559550559883916,2.019917870911673,0.25340843961561454,0.6597828846620262,0.2319857087204969,0.11455186304128905,0.5422236484035564,0.4295470767332211,0.09958166705183336,0.8743208761170468,0.0,0.2045002711006687,0.41552045941352844,0.3593163989055702,0.23042066122147792,0.11389601892395189,0.023691810463565464,1.6264810666907579,,0.023691810463565464
3.0,0.6688867524090059,0.19746679622086058,7.61344,7.61344,0.5412350858791136,0.3663611880438881,0.3123795499801369,0.23071439055013712,2.135128131857451,0.2815715669314398,0.6790287528950386,0.24597315764737446,0.11455186304128905,0.5360953257215649,0.4882731020723713,0.11266032022159414,0.9891506418395289,0.0,0.2045002711006687,0.41872382164001465,0.35964385750633443,0.2304399604378165,0.11389601892395189,0.016078282088282894,1.182178954826668,,0.016078282088282894
4.0,0.6610754792300495,0.3321620333178059,9.59488,9.59488,0.5412350858791136,0.34991135179465654,0.31905229302067417,0.21934157138534316,2.2289559268268633,0.2896225539199993,0.6882506503171645,0.25604157662286153,0.11455186304128905,0.526302736196273,0.4318443040724125,0.10260053129622672,0.9008263174214444,0.0,0.20450951154489178,0.3921971023082733,0.36080070297361305,0.23176749891927295,0.11389601892395189,0.013650978698476687,1.053500774432905,,0.013650978698476687
5.0,0.662717312864465,0.2649478219190877,11.264,11.264,0.4559241291901578,0.3244522363632122,0.3016133796691024,0.2044908965817745,2.051373038890431,0.28122447103196063,0.6663642781355735,0.2362490672967568,0.11455186304128905,0.5381527253917125,0.4388909592695497,0.1052689806847648,0.924255137969771,0.0,0.20451875282422052,0.38869068026542664,0.36066779544083616,0.23169851723834006,0.11389601892395189,0.016405493984445504,0.7600317448377609,0.016405493984445504,
6.0,0.6551860536451992,0.28554519677273243,13.24544,13.24544,0.5412350858791136,0.3613114825610263,0.31275265226312776,0.2270961451792689,2.164406239387403,0.28852854157546587,0.6794272913703725,0.24904641628226812,0.11455186304128905,0.553851143345387,0.4064556211981122,0.09638645980579036,0.8462671541675867,0.0,0.20451875282422052,0.42988845705986023,0.36187416030539976,0.2323153241732949,0.11389601892395189,0.00986501636692324,0.8006578248459846,,0.00986501636692324
7.0,0.64084655063452,0.3658764334523147,15.22688,15.22688,0.5412350858791136,0.34448799512500067,0.3195016993956118,0.21541436861552643,2.2651132667163063,0.29607089346749854,0.6887313590856643,0.25885518027441684,0.11455186304128905,0.5417310069882558,0.37528284581808846,0.08818195526194715,0.7742321118425223,0.0,0.2045002711006687,0.4507223665714264,0.3636484369309345,0.23331664957879025,0.11389601892395189,0.009064474024973367,0.7683064537122846,,0.009064474024973367
8.0,0.6281236922817636,0.4365971601749818,17.20832,17.20832,0.5412350858791136,0.3524254634122909,0.3249738968509517,0.2209051921535599,2.364084214634773,0.29837940368693683,0.6980240122125737,0.26744718088726055,0.11455186304128905,0.5527847513447686,0.36673487461014503,0.08448636462831594,0.7417850547061464,0.0,0.20451875282422052,0.4496516287326813,0.3652916612133862,0.23469987270403164,0.11389601892395189,0.009351632834143836,0.8318771342746913,,0.009351632834143836
9.0,0.6136324563473406,0.5063845414661541,19.18976,19.18976,0.5412350858791136,0.35794031870465115,0.32740082807875726,0.22595079283344263,2.444278262042243,0.2942685548916833,0.7044355060404536,0.2764057178550793,0.11455186304128905,0.5680661352045556,0.6309612844895955,0.2006935173276494,1.762076666276211,0.00176444640494045,0.254393871113114,0.47765034437179565,0.36259198635014106,0.23207013789434458,0.11389601892395189,0.010312221776691848,0.9660709116142243,,0.010312221776691848
10.0,0.6486692517452906,0.5405901168840815,22.84032,22.84032,0.9971592150692714,0.3485122966333429,0.3066997614440947,0.2195562130915449,2.1503833107483996,0.28200252410314985,0.6675371275120122,0.24293151892764828,0.11455186304128905,0.5276640406776921,0.6488351799684247,0.21129508118408896,1.8551577410723215,0.010498687664041995,0.26770554715664613,0.47829172015190125,0.3634894161724985,0.23258218343713527,0.11389601892395189,0.009594845293054585,1.4243293427862227,0.013823362228155587,0.007444308232908904
