round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_ece,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882143067301734,0.09893217889407767,3.65056,3.65056,0.9971592150692714,0.5064541641750576,0.18240549033031542,0.3846371367225759,0.2483195990804501,0.26502769109165336,1.5990122577057488,0.19127142212763137,0.11487379618556048,0.5996912497208484,0.5307056471378291,0.14518131595322953,1.274682972459,0.2045002711006687,0.20526991019441426,0.530784547328949,0.41986124543672343,0.2771159760735543,0.11389601892395189,0.027215989443140614,2.9059000010602176,0.022770342606050847,0.030192418753443303
2.0,0.6815668473125573,0.1033373305771619,7.30112,7.30112,0.9971592150692714,0.5155214978380935,0.21548147304486812,0.3645825772125034,0.23252280443616544,0.2952824024719813,1.9079253229589348,0.23314244250317226,0.11487379618556048,0.6493381393974467,0.6553848517776725,0.21053468265364483,1.8484814890169108,0.21420872121509063,0.2731391585760518,0.5328474044799805,0.4093879685394597,0.26708235816833026,0.11389601892395189,0.020113649566764563,2.274005429353565,0.016036235291546585,0.022859369552527726
3.0,0.6675810860709397,0.1795578771950268,10.95168,10.95168,0.9971592150692714,0.5352341904453057,0.2238447863281859,0.36438816099985644,0.23193246903330303,0.2996211840488649,1.981165170467774,0.26424286292366056,0.11487379618556048,0.6565904348369899,0.6569136636372458,0.21189395597857258,1.8604158247186295,0.218233158531666,0.2693928515685968,0.5367863178253174,0.41015527025971354,0.2674709018636008,0.11389601892395189,0.01432378242560258,1.7442795184906572,0.012886502752126473,0.015310864105825687
4.0,0.6599830428720947,0.20052427285008606,14.60224,14.60224,0.9971592150692714,0.54495109185598,0.22706174630149986,0.34459076348140905,0.21965949141781488,0.3012161822002381,2.0048519387120094,0.27409256805172694,0.11487379618556048,0.6573336582753839,0.657505031451687,0.20959132363234234,1.8401988551705744,0.23048116205174762,0.2713472485768501,0.533389687538147,0.403354018709129,0.2618318048925812,0.11389601892395189,0.010877877571577538,1.411595446523279,0.010329626538345332,0.011269903943744351
5.0,0.6511689781462471,0.2654727734584947,18.2528,18.2528,0.9971592150692714,0.5283126118534002,0.2291288358171772,0.34210254645331833,0.21669299014316865,0.3062486566384331,2.025194844397813,0.27806372183056444,0.11487379618556048,0.6599594676164506,0.6553892315363304,0.20479197994043227,1.7980609144659516,0.22703477158759022,0.26820582095050965,0.5320241451263428,0.40353484920577254,0.2621767845727173,0.11389601892395189,0.009652424443988911,1.3291397421853617,0.009402426981419366,0.00983793900859869
6.0,0.6510375842638844,0.27438088603206684,21.90336,21.90336,0.9971592150692714,0.5341608478138007,0.23255331672201474,0.33255123639636497,0.21204145283881462,0.30607347529566103,2.0524515687017573,0.27989815652692795,0.11487379618556048,0.6617836765537396,0.6528264452488254,0.19917805765171745,1.74877102407511,0.22770147277842132,0.2665798328448931,0.5293826460838318,0.40239125151351984,0.2614122315069673,0.11389601892395189,0.008717643852325175,1.2679106392897666,0.008687927496774689,0.008740554896408653
7.0,0.64319817145298,0.3168507338492525,25.55392,25.55392,0.9971592150692714,0.5504262140460975,0.23434154021830078,0.3635316871567625,0.2320909777937385,0.307808178924141,2.0685272887786867,0.27304085106655107,0.11487379618556048,0.664308012627316,0.6530207233112441,0.19492795151409908,1.7114553551187073,0.22300394414241553,0.26637604680509347,0.5319678783416748,0.4049112103885827,0.26347184925039624,0.11389601892395189,0.008602848589793774,1.3178878714097664,0.007964198735456606,0.009114784584609435
8.0,0.6414233807208752,0.3109295142734038,29.20448,29.20448,0.9971592150692714,0.5390614679414674,0.23920882790139264,0.3284745580428998,0.20955262541198164,0.3080824544775884,2.1109347831796352,0.27956871360640795,0.11487379618556048,0.6660748008970304,0.6568684228637156,0.2023226382983207,1.7763802476134927,0.2321532211259431,0.27117903930131004,0.530859649181366,0.4007802305085843,0.25990264276568315,0.11389601892395189,0.008294008058987017,1.3457398080499843,0.00756300849177268,0.008899268862358775
9.0,0.6436948541230094,0.38133975526735325,32.85504,32.85504,0.9971592150692714,0.5487046032297968,0.24369184268843397,0.35644057422619346,0.22542663691700918,0.31183011881148964,2.149535035098598,0.28489160404995223,0.11487379618556048,0.669143137836481,0.6551644081083715,0.19979936373204382,1.7542260530234108,0.2218013468013468,0.2699530516431925,0.5295727849006653,0.4043384504381835,0.2631754481905287,0.11389601892395189,0.008571900390053662,1.4783322662115097,0.007472099139783997,0.009512972101437218
10.0,0.6419516444753717,0.2892835195879866,36.5056,36.5056,0.9971592150692714,0.5530977769931101,0.2482392179944645,0.35781935500331014,0.22658359253142663,0.3158227087082664,2.1961823419817965,0.28343914583256213,0.11487379618556048,0.6715778177744859,0.6534010344462873,0.19489946197940852,1.711205218766623,0.21685658350484413,0.27160827810090626,0.5303881168365479,0.40590933794895845,0.26456413665181816,0.11389601892395189,0.008323436479782108,1.52729124808684,0.006880331363531167,0.00959150084054827
