round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_brier,fed_f1_best,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882268844219877,0.09989955547544727,0.087525,3.66096,1.0,0.11022977651872835,0.2094044115234223,0.24031940557336312,0.2870056945112788,0.0,0.6623034005211816,0.48766577497645297,0.37721617124648743,1.9133179742701394,0.6619809189100108,0.2119315261102506,1.8607456881504945,0.0,0.27863855727711456,0.4875357151031494,0.3735563819352859,0.24041454393653464,0.11389601892395189,0.8827864832142482,8.136375582844266,0.6113696511179881,1.1077585221116304,1.3301135457364766
2.0,0.6886154784633443,0.0538726571046529,0.17505,7.32192,1.0,0.11022977651872835,0.21269639603125423,0.2429128723407249,0.2911500992262725,0.09956525984178038,0.6687259830742098,0.4928419250566929,0.3810421633596573,1.943148804059457,0.6638715942105664,0.21523444078031484,1.889745074619565,0.11481481481481481,0.2806389776357827,0.4914747476577759,0.3774580515737748,0.24298932556666694,0.11389601892395189,0.13269627632474845,1.289772191497832,0.08544623213755019,0.16807523795394594,0.14890156624107576
3.0,0.6845336720225215,0.070094830120737,0.262575,10.98288,1.0,0.11022977651872835,0.21309153021979996,0.24172792610232874,0.2917521367907628,0.1905987700120674,0.6689833393375477,0.4936295986025447,0.3801117459914201,1.9464332325168192,0.6652417057034097,0.21649380021383263,1.9008021725358553,0.22053231939163498,0.2785248302489682,0.49148029088974,0.3765877311807123,0.2418208284997173,0.11389601892395189,0.13831032860310297,1.4084529962110537,0.08220795791766329,0.18623410867403625,0.3537750689845641
4.0,0.681906720769286,0.06920216575550539,0.3501,14.64384,1.0,0.11022977651872835,0.21310451502823885,0.24000288660943928,0.2918257392975039,0.2047824113923512,0.6681667110930842,0.4915390671293879,0.37820929912114465,1.9469994017481862,0.6639897347492663,0.2171493133003537,1.9065575368823364,0.23308464111139696,0.279510461902882,0.48878130316734314,0.3744896283593822,0.24010772779135192,0.11389601892395189,0.08567005995737861,1.0602939313148454,0.052400221885936286,0.11548936591275268,0.07703676878626865
5.0,0.6789882205381119,0.07920574503349091,0.437625,18.3048,1.0,0.11022977651872835,0.21411159971972843,0.23536616067005375,0.2913475599587443,0.13808337951439706,0.668857097179376,0.48574227105719436,0.3718655009201423,1.956615805793043,0.6645447468020107,0.21748425703552324,1.909498322155904,0.15824468085106383,0.2783844231022234,0.4829595386981964,0.36823160041229935,0.23552535413446152,0.11389601892395189,0.06816405715807025,0.9907526819806662,0.03988979010269619,0.0953491682644999,0.07073089436638115
6.0,0.6786414082108645,0.08412930359333119,0.52515,21.96576,1.0,0.11022977651872835,0.21426849284358507,0.22954618836185514,0.2905972187189975,0.1393955172765077,0.6693671218953724,0.47935839441162553,0.3645279967188272,1.958617397106607,0.664325206693235,0.21797640418354897,1.9138193436689943,0.15879396984924624,0.2797657774886142,0.48249518871307373,0.36093963138248036,0.22979431605331851,0.11389601892395189,0.05110614053030104,0.8638182131580834,0.029909684561711593,0.07161381381514045,0.08616415641845697
7.0,0.675273817844903,0.08792008161106443,0.612675,25.62672,1.0,0.11022977651872835,0.21417574206352086,0.22989497291411828,0.2914243817834681,0.15857432501116656,0.669146117208133,0.480168595991684,0.3651873007730977,1.95788598960904,0.664310850120442,0.21807473634088187,1.9146826939270798,0.18352059925093633,0.28136378682555446,0.48382318019866943,0.3615618427948488,0.2301381352435798,0.11389601892395189,0.03740308000270554,0.7389860383514133,0.023426139803637076,0.05154682328408971,0.039837780432771995
8.0,0.6733277318410181,0.10119072020557081,0.7002,29.28768,1.0,0.11022977651872835,0.2141336675059293,0.22868570349022774,0.29072215086560715,0.19182190868405596,0.6690007954211328,0.48427855911628614,0.36426310948617135,1.9573337936111739,0.6645388862080471,0.21868848398977214,1.9200713603149724,0.2213069741900055,0.2801270265752967,0.4848845303058624,0.36034156632348996,0.2289451870229022,0.11389601892395189,0.03270528608269573,0.74443071614769,0.01787783344693938,0.04913745422427401,0.0016357308338671801
9.0,0.6719053084190284,0.11263935150210584,0.787725,32.94864,1.0,0.11022977651872835,0.21404753987013908,0.2289028593203641,0.2916273280365686,0.22438810662423572,0.6686882472694297,0.4811696267780884,0.3647891950112002,1.9561863800741204,0.6644483042653729,0.21898356485161397,1.9226621520268306,0.24815783218445447,0.2801184990125082,0.4865017235279083,0.3610991884027263,0.22915990551961565,0.11389601892395189,0.023051347022018966,0.6037478044836462,0.011219070332023448,0.03678921317461858,0.0006775391043781521
10.0,0.6718831106379899,0.1185309646215325,0.87525,36.6096,1.0,0.11022977651872835,0.21421097356148291,0.22885660953352524,0.29140358334862104,0.24459929004607198,0.668687966861265,0.4816994064102617,0.3649177646164178,1.9577144534294866,0.6646552698235029,0.21913753538125313,1.9240140037517095,0.2564214192424902,0.2804258804258804,0.48810288310050964,0.3613828022209781,0.22911248833559383,0.11389601892395189,0.020222235259220397,0.5975058290396191,0.006635436934197915,0.03685463827107951,0.000986504637839834
