round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_auprc_lift,fed_ece,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6900746225301357,0.09732846994826003,0.526995,3.65056,0.9971592150692714,0.06202219079980724,0.1834640437666332,1.6443362127578174,0.3757652558944298,0.11132787916928881,0.59683883682567,0.48715699296128145,0.2593091874211194,0.24072180764082346,0.41176579620824844,0.0924550913960629,0.8117499827434262,0.0,0.20467518347377006,0.46792587637901306,0.35654834685318904,0.22815568343748643,0.11389601892395189,0.4888114737598068,10.36996047385037,0.31422951974786345,0.6300446802714147
2.0,0.687314167469266,0.09426849368976378,0.8092425,5.632,0.5412350858791136,0.20922246496921415,0.205351738955216,1.872658857199651,0.37850729528465227,0.11132787916928881,0.6355054797939418,0.49575884799075015,0.2804128602977283,0.24089987812830801,0.37399049072823914,0.08437246147746401,0.74078499208826,0.0,0.20451875282422052,0.4668632447719574,0.3581514690952372,0.2295113898625445,0.11389601892395189,0.07051076385056462,0.836103904992342,,0.07051076385056462
3.0,0.6818320819289581,0.08710503666340176,1.09149,7.61344,0.5412350858791136,0.23037648170869324,0.2231192057603739,2.0819124109177882,0.3662427592907707,0.11132787916928881,0.659305032556329,0.48937341730462586,0.2946963879689037,0.23091060450115752,0.36776229822426765,0.0835184176227388,0.7332865398790089,0.0,0.20455778621812265,0.46820083260536194,0.36071444479752823,0.23152016639281267,0.11389601892395189,0.04921663174751438,0.6405983837321401,,0.04921663174751438
4.0,0.674910151908463,0.11557289380831819,1.3737375,9.59488,0.5412350858791136,0.26497623364907863,0.22898886441136995,2.080819192026359,0.36175143329169923,0.11132787916928881,0.6718430878911174,0.4982498615567528,0.2985875800116652,0.22651662457253255,0.36582792573274614,0.08326360927018202,0.7310493383072234,0.0,0.2045649717514124,0.46725815534591675,0.3609147845297816,0.23174369941431813,0.11389601892395189,0.03634903706150532,0.5300653078593314,,0.03634903706150532
5.0,0.6774706846767627,0.11694574922198261,1.618485,11.264,0.4559241291901578,0.27075485384199394,0.21858924820230163,2.0020513241211346,0.3604169849538443,0.11132787916928881,0.6556653382979127,0.500527449392012,0.2889398490685139,0.22600665474089138,0.36188385894034736,0.08265225229490275,0.7256816618857369,0.0,0.2045115501107545,0.46718859672546387,0.36204619078026834,0.23269163764660494,0.11389601892395189,0.06760675802068998,0.6051193791790865,0.06760675802068998,
6.0,0.6692647320819239,0.14453778849260163,1.9007325,13.24544,0.5412350858791136,0.2676399456247629,0.22880348229995148,2.1047592951160876,0.3644815153675006,0.11132787916928881,0.6662323062376552,0.5138623850986295,0.29600975349711817,0.2280793979189104,0.36654645714168965,0.0831978648971541,0.7304721067792995,0.0008771929824561404,0.20450951154489178,0.4675132930278778,0.3632486122601513,0.23363020371903012,0.11389601892395189,0.02507653201080403,0.40913768991595134,,0.02507653201080403
7.0,0.6571366112471223,0.2335997253158691,2.18298,15.22688,0.5412350858791136,0.28016718129724955,0.2320222104119935,2.123245953365051,0.3604167930261379,0.11132787916928881,0.6715267289376049,0.5098851862551657,0.30240863272597185,0.22454042478020703,0.36433647359100907,0.0829646763869766,0.7284247260860972,0.0,0.2045947901591896,0.46664994955062866,0.36248098138690354,0.23308015620623349,0.11389601892395189,0.02164872910811362,0.39518228912493214,,0.02164872910811362
8.0,0.6421005185354306,0.30668055380301784,2.4652275,17.20832,0.5412350858791136,0.28123632593033127,0.23685948136157892,2.168622696041949,0.35217120991029244,0.11132787916928881,0.6789547125395411,0.5062499755579694,0.3060619641409921,0.21865631818531822,0.3567466279246685,0.08211649302720722,0.7209777286600001,0.018475750577367205,0.20452799493876814,0.4666964113712311,0.3660932490183558,0.23607437866846587,0.11389601892395189,0.01846991608270798,0.36823594727320597,,0.01846991608270798
9.0,0.6300214010607578,0.2856150944058161,2.747475,19.18976,0.5412350858791136,0.2860543473790979,0.24217957626527528,2.2329019628708275,0.34817481656506644,0.11132787916928881,0.6844420340106959,0.511061663174494,0.3067263715445124,0.2158028077141661,0.36770936463681964,0.08332807406977119,0.7316153352595156,0.02684964200477327,0.20450951154489178,0.4676235616207123,0.3673001249982232,0.2368974441721274,0.11389601892395189,0.018989747223583354,0.41433124779723585,,0.018989747223583354
10.0,0.6573039856988391,0.27143436345548494,3.27447,22.84032,0.9971592150692714,0.2697812281918138,0.22211772442469893,2.039732324682617,0.3523185773718049,0.11132787916928881,0.655104639479002,0.4935146730639335,0.288293552522348,0.21931671073267414,0.3665307577775604,0.08318038955258374,0.73031867433508,0.04489234997709574,0.2045002711006687,0.4647673964500427,0.3683957966517308,0.2379909566854116,0.11389601892395189,0.022472198617512984,0.7762384894595016,0.04050471169659159,0.013962940008979059
11.0,0.653207341112811,0.27639287343924057,3.5567175,24.82176,0.5412350858791136,0.2781588996582201,0.22865514012618285,2.1123203559592474,0.3435693616252638,0.11132787916928881,0.6639830154359763,0.520823842817841,0.2934782579989573,0.21362316987454824,0.3599885654415507,0.08246155027052864,0.7240073099094713,0.0626018910987936,0.20450951154489178,0.46439439058303833,0.3710581424285016,0.2403396314266331,0.11389601892395189,0.01025289280471475,0.25440375300240703,,0.01025289280471475
12.0,0.636812048842825,0.3617932869909938,3.838965,26.8032,0.5412350858791136,0.28349786180487196,0.23981255671802745,2.2133821173676247,0.3499170660644375,0.11132787916928881,0.6761771154909355,0.5414899996161234,0.3020857386867304,0.21767719848109732,0.3643791793752873,0.08294001662391015,0.7282082148919446,0.056878533493232825,0.2045002711006687,0.46317845582962036,0.3704775655024833,0.2398427374118302,0.11389601892395189,0.01253804479468839,0.3300360147259198,,0.01253804479468839
13.0,0.6227215156115286,0.43859723534280093,4.1212125,28.78464,0.5412350858791136,0.2840981614906353,0.24443631405792285,2.2602636129810625,0.3509920171408663,0.11132787916928881,0.6812175284122505,0.5397325631392835,0.3091884230084455,0.2182832006914421,0.36289904683902147,0.08276684619297527,0.7266877892214871,0.0644853875476493,0.2045002711006687,0.4615650177001953,0.37129692541820375,0.2405241234130934,0.11389601892395189,0.013154808222071369,0.36719759687548503,,0.013154808222071369
14.0,0.6116085911781621,0.449037043274566,4.40346,30.76608,0.5412350858791136,0.29104705908264233,0.24912685388100825,2.3091880720835203,0.34969742124451264,0.11132787916928881,0.6894171220030381,0.5284362600050757,0.3139682714344578,0.21712336198301932,0.36944256941691583,0.08352596845527327,0.733352835721531,0.05853157624507958,0.20450951154489178,0.46662116050720215,0.37146312453599317,0.2404031724187604,0.11389601892395189,0.015388048648186702,0.4536439481889829,,0.015388048648186702
15.0,0.6481088415240726,0.39453680955802933,4.6482075,32.4352,0.4559241291901578,0.2725903266149999,0.22407293220140054,2.0593219343335076,0.3339689403556667,0.11132787916928881,0.6566725527992515,0.5045964353635222,0.2904741828775465,0.2086940474985701,0.3683370129162471,0.0833537938825335,0.731841153624418,0.06601697579377554,0.20450951154489178,0.4663129150867462,0.37215323728580074,0.2410289935365136,0.11389601892395189,0.027643243974794347,0.3687262396560982,0.027643243974794347,
16.0,0.6436789087047493,0.3511654497209529,4.930455,34.41664,0.5412350858791136,0.2769306610374266,0.2327425965850711,2.148745417848397,0.3574069743939658,0.11132787916928881,0.6668484755504908,0.5157713886437136,0.29278818219305286,0.2231806523329012,0.36349074093920797,0.08281507019597513,0.7271111929844586,0.07565553804269953,0.20450951154489178,0.46458131074905396,0.37249710996297725,0.24152900966829366,0.11389601892395189,0.007554735956197165,0.23268367332639173,,0.007554735956197165
