round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_prevalence,fed_ece,fed_brier,fed_f1,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.688259302461431,0.10746838119845029,3.66096,3.66096,1.0,0.2886493520466415,0.4992698482633111,0.216805008085475,0.6529169257477327,0.11467052677953303,0.363758089322712,0.22979927453555007,0.2701958261194829,1.8794999190090742,0.6553028662094416,0.2081721768854905,1.8277388345284182,0.2745328475731578,0.278584729981378,0.504188597202301,0.3641636202149245,0.22992776713294213,0.11389601892395189,0.025037693957603836,2.723852232678837,0.02242669231059202,0.026909963706000635,0.010478746696596411
2.0,0.6558398448511833,0.25623030582950934,7.32192,7.32192,1.0,0.2927470867434353,0.5352908430743065,0.22289545361631993,0.6600325008707613,0.11467052677953303,0.34837099773609675,0.21998721906447752,0.2757008730764891,1.9340909258443657,0.6606697396425485,0.21598623092092364,1.8963457455447776,0.2805151837409902,0.2843324051003957,0.5344163775444031,0.34870757649826706,0.22022043026105975,0.11389601892395189,0.01678246125538338,1.9554596216985374,0.01750652393119906,0.016406867854849277,0.006113829981984247
3.0,0.6437759372312868,0.36468693692549914,10.98288,10.98288,1.0,0.29611288646227035,0.5400689783390568,0.22707476353038716,0.6631927048083964,0.11467052677953303,0.35401022174831187,0.22488229094904263,0.2741364055356394,1.9773244786832653,0.6620791434687959,0.2203935237715985,1.9350415041174946,0.2733721545791424,0.2852546916890081,0.5395083427429199,0.3540622853547015,0.22494194572371212,0.11389601892395189,0.01126850189101925,1.4043940700976236,0.012443869762129014,0.010523143812194918,0.00445688385170836
4.0,0.6448794004088265,0.40455121748356726,14.64384,14.64384,1.0,0.2988026059269519,0.5375281843130597,0.2292758671852748,0.666218442627402,0.11467052677953303,0.3560674662220973,0.22635298726326009,0.2761993023933667,1.9969873528993363,0.6621539005528234,0.2219131565362492,1.9483837857793793,0.2709429380817483,0.28589641434262947,0.5635058879852295,0.356045467121035,0.22668808726193498,0.11389601892395189,0.01004838735417704,1.3295694847984123,0.010622550161385058,0.009680959033613273,0.004679384244839112
5.0,0.6500732697509091,0.4942728224670755,18.3048,18.3048,1.0,0.3009967104259022,0.5026539147961799,0.2318019535216446,0.667739686222699,0.11467052677953303,0.3167543133146453,0.2018550016457279,0.28339640331480104,2.017473642452987,0.6636656577074792,0.2226340730595352,1.9547133882544874,0.28273697426239797,0.2875852660300136,0.5148829817771912,0.31669489617452773,0.20235397347221615,0.11389601892395189,0.008832748259289517,1.2438055668371817,0.009106831643228586,0.008660470900542195,0.004502387112539204
6.0,0.6453990326056629,0.423309344491818,21.96576,21.96576,1.0,0.3051492240320231,0.5212352093647018,0.23345275277037117,0.6702504358315434,0.11467052677953303,0.33653142630296157,0.21218898107948542,0.28199552893202223,2.032603800293453,0.6636050815039203,0.22255023138234292,1.953977263515586,0.2817209528439475,0.2861779821476873,0.515579104423523,0.33654780697901165,0.21276151481481065,0.11389601892395189,0.008963755983887805,1.3359346804063534,0.008251429159128652,0.009553312263397555,0.005728002333032788
7.0,0.643009520502695,0.36913142293393825,25.62672,25.62672,1.0,0.30744938445733333,0.5465712707989827,0.2370902665449749,0.673128622516512,0.11467052677953303,0.35102662100588017,0.22287386401732948,0.28016355688185185,2.0629957786348934,0.6644708305312498,0.22431263178408156,1.969451030012336,0.27332346096890203,0.28822882288228824,0.5473989248275757,0.35098412677940427,0.2235978152440681,0.11389601892395189,0.008669765139832378,1.3814872062403083,0.007209012567251473,0.009897985697656386,0.005827496735074362
8.0,0.6397696055835378,0.399244945212672,29.28768,29.28768,1.0,0.3084419240147929,0.5283767563805002,0.2393794298469035,0.6747816305195778,0.11467052677953303,0.33421435188840865,0.21073259053250015,0.2852860097306931,2.081506085888103,0.6647331266221108,0.22433235039704702,1.969624158214285,0.2781785925487877,0.2874946891375159,0.5287769436836243,0.3341154436099402,0.2116069578413627,0.11389601892395189,0.008134097710282973,1.3819841579133936,0.006996605050292271,0.009130690107052837,0.0052414096803324785
9.0,0.6463635415889685,0.5193111620365441,32.94864,32.94864,1.0,0.30837551534317337,0.5182911117093831,0.24271640193628136,0.6769370892181749,0.11467052677953303,0.34231519271821903,0.21563760715490093,0.287419024783634,2.1125741520184627,0.6644589587499019,0.22494135169908064,1.9749711519704078,0.27925689267542303,0.2865464632454924,0.5285457372665405,0.34250006547880263,0.2168068961138373,0.11389601892395189,0.007784699725646608,1.4068524540598446,0.006536065239739994,0.008912934246216132,0.004776425668848377
10.0,0.6400096427219073,0.5118796938319938,36.6096,36.6096,1.0,0.31024670835188506,0.543158432306176,0.2456958629989225,0.6795540467007964,0.11467052677953303,0.3534574378533874,0.22243963749289575,0.28742651792806184,2.13975949085998,0.6638134400511937,0.22513370927163823,1.9766600395573044,0.27606951871657753,0.2860221674876847,0.554456889629364,0.3537943911830518,0.22385445016356717,0.11389601892395189,0.007768539163857724,1.4973982595502093,0.00640108948138032,0.00903866498661996,0.004979720514809493
