round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_brier,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auroc,fed_auprc_lift,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6890437219070397,0.10543184764065561,3.65056,3.65056,0.9971592150692714,0.2659852208226757,0.19731378634133845,0.24934093595729293,0.5107931424727643,0.3867540601021934,0.11436304128902318,0.6194271792441857,1.7166644135246865,0.19581041628139575,0.5866113337913716,0.1901897846163545,1.6698545428821685,0.19008264462809918,0.2467148488830486,0.49326053261756897,0.37688608567549936,0.2424418509955676,0.11389601892395189,0.02674288154410291,2.8712411653250456,0.023368093880806313,0.02901572594925455
2.0,0.6824221937631193,0.12138768613953503,7.30112,7.30112,0.9971592150692714,0.283479802938073,0.23363587802793334,0.22418071491535005,0.503499291523961,0.35486413063884736,0.11436304128902318,0.6469830537587583,1.847529860163782,0.209651583057403,0.6068799282010727,0.20703315674499498,1.8177383081600995,0.25969230769230767,0.2798130559324589,0.4911588132381439,0.37721361749587035,0.24207959057490366,0.11389601892395189,0.018073455304865624,2.0538228708319366,0.015430130724865565,0.01987860867828409
3.0,0.6720375046364319,0.20154945992906742,10.95168,10.95168,0.9971592150692714,0.29497614199464905,0.24993725382206514,0.22868301054225232,0.5314663862237426,0.3614766588612776,0.11436304128902318,0.6560299434854958,1.9268710446067485,0.21835211239698998,0.6432393166893803,0.21842658547928492,1.9177719075951887,0.2777869529314616,0.28178063331803577,0.4972289800643921,0.37798184176367056,0.24214803803229792,0.11389601892395189,0.0135951843459289,1.6621214563492686,0.012590710194909947,0.014301181366552583
4.0,0.6625361736836741,0.2106435754581867,14.60224,14.60224,0.9971592150692714,0.29700834351101885,0.2636927309364754,0.2184718027984345,0.5256118001688312,0.3456319288340325,0.11436304128902318,0.6612194175510007,1.957614112757619,0.22208903206499614,0.6620842385462032,0.22303011182159846,1.9581905840845513,0.2787781350482315,0.28152223750573135,0.49816474318504333,0.3770949740829594,0.2411752637791411,0.11389601892395189,0.011020462456470365,1.440130699542351,0.010673747455645737,0.011274659274509493
5.0,0.6620565465074604,0.2904772598030814,18.2528,18.2528,0.9971592150692714,0.2980873398261773,0.27144082769534855,0.2121155826341974,0.517405177184267,0.33586607395304596,0.11436304128902318,0.6631265961741309,1.9633516815665495,0.22360530574659146,0.6337812717905543,0.2174439361815378,1.9091443075523526,0.27893462469733654,0.28350515463917525,0.49779975414276123,0.37977339162566864,0.24358989695453287,0.11389601892395189,0.008793430279959394,1.2223371723666787,0.00889899072385832,0.008711968300390725
6.0,0.6561873097080937,0.27245495632445743,21.90336,21.90336,0.9971592150692714,0.29579426362958966,0.2709891236469547,0.22069262299583284,0.5598575685413372,0.3488297943290311,0.11436304128902318,0.6658576771366232,1.9919261708326115,0.22693312014503939,0.6035744528100205,0.2088456411713598,1.8336518092946301,0.2793041781824094,0.2835933949401606,0.4977719783782959,0.3809904038255123,0.24469828230958604,0.11389601892395189,0.008733041653809049,1.28490993170999,0.009020669304406797,0.008500741742106542
7.0,0.6531226163333714,0.29002220588552385,25.55392,25.55392,0.9971592150692714,0.29943286797649304,0.2708521320348772,0.22554902318632686,0.5308933736960904,0.35662454225062906,0.11436304128902318,0.666603747285858,1.9891987520238434,0.22674395491026436,0.6158324184364699,0.21193126059197848,1.8607433569164915,0.28084314941103533,0.2836363636363637,0.49760234355926514,0.3800577143489088,0.24389250950786834,0.11389601892395189,0.008732644841310573,1.3625889010727406,0.008500878430880574,0.008927901253613677
8.0,0.6508946284454161,0.2802309080630067,29.20448,29.20448,0.9971592150692714,0.2998331405176148,0.2728290400151927,0.2112112194772637,0.5341206383399012,0.3329431681845934,0.11436304128902318,0.669769929884786,2.027894669091129,0.23109735025320274,0.5953153197833723,0.20590671317024173,1.8078482032609513,0.28205128205128205,0.2840050377833753,0.5007240772247314,0.38097169812615145,0.24487607969487726,0.11389601892395189,0.008811435833978747,1.4640634823590517,0.007788902005783546,0.009709582252914255
9.0,0.6503768117695373,0.3457115542213428,32.85504,32.85504,0.9971592150692714,0.3039332218414006,0.27945739380672746,0.21806497769417132,0.5302373369328475,0.3449673690436425,0.11436304128902318,0.6730042744692785,2.043276769820514,0.2331143737090155,0.5767067543006594,0.1988948056167886,1.7462840887317599,0.23247014307674116,0.2643372578807444,0.5072159171104431,0.3849635042174785,0.24812157328084522,0.11389601892395189,0.008192125076453066,1.4562219001818448,0.007313887092550126,0.00898401079905145
10.0,0.6504949761081783,0.36344588150770807,36.5056,36.5056,0.9971592150692714,0.308799444894849,0.28032328300176784,0.22124083187885182,0.5370426312602928,0.35054072630586997,0.11436304128902318,0.6745461473309228,2.0639415062007584,0.23559218352130015,0.6070524329647191,0.21076807909363848,1.8505306953210352,0.27912374873059626,0.28042813455657495,0.5017414689064026,0.3837212526094476,0.24659022951726878,0.11389601892395189,0.007792863119921283,1.4706870921654627,0.006847229647617897,0.008677588343947686
