round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_ece,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.380987813830366,339.68926177119863,3.66096,3.66096,1.0,0.2140825810011312,0.11404833836858007,0.6580425489371178,0.3757306579294102,0.2933025974434114,0.5166175319904166,1.9052499639445306,0.2387334676996067,0.26842017472442875,0.6628359507055528,0.21150594346020446,1.857009098811667,0.27679268428682946,0.2796417591231119,0.514467179775238,0.3756025078054391,0.23856595698096542,0.11389601892395189,0.022224543862057727,2.398258437955519,0.019373353057181027,0.024178916579494017,0.014232383275728885
2.0,10.093316110867487,438.9152655758674,7.32192,7.32192,1.0,0.21927175024385254,0.11404833836858007,0.663876191404623,0.37573135209017516,0.2952992388842407,0.5616241594286934,1.953987335705251,0.23854339260829094,0.2706843880730715,0.6690915010143219,0.21638837363847588,1.899876533726415,0.2763309277272252,0.28816014750428026,0.5461881160736084,0.3757859435716376,0.23829311169329975,0.11389601892395189,0.013948057008379356,1.5850529514027585,0.013346072970286244,0.014407422886567885,0.006779916510458264
3.0,9.62643970031431,516.4377714136419,10.98288,10.98288,1.0,0.22430641652585603,0.11404833836858007,0.6660246283335224,0.39204739067001954,0.2996564005091749,0.592430169273014,1.992150303855848,0.2512415952731365,0.2661654610902816,0.66837211624266,0.21693341111367598,1.9046619290400477,0.26788205748302485,0.28698583951449763,0.5832388401031494,0.3920722482662699,0.25125543367492,0.11389601892395189,0.010051270867299868,1.2031170106256468,0.01021159135794987,0.009988655949275073,0.004394989660386141
4.0,9.481016017122545,694.4953431659239,14.64384,14.64384,1.0,0.225614944811801,0.11404833836858007,0.6662577114531774,0.38310326987545473,0.29710230432743445,0.5871568828734897,2.005271392685985,0.24440520578947006,0.270424072821793,0.6689885076638749,0.21839450201624047,1.9174902167744947,0.27388599979606404,0.28979778014292235,0.5937169790267944,0.3829722363651593,0.24428889314306498,0.11389601892395189,0.009051853818314437,1.134607650585167,0.009345695555119372,0.008893329237112231,0.003235673562822967
5.0,9.362468491574807,548.3099297334242,18.3048,18.3048,1.0,0.22924609362658674,0.11404833836858007,0.6683767962894568,0.37551952865301125,0.29829920400990523,0.5681882137535863,2.036118828807768,0.23873293368312526,0.27518456053646145,0.6699937940451245,0.22034885561967993,1.934649320507035,0.27760654692315867,0.28964059196617337,0.5700872540473938,0.37519443806545255,0.23843523220592822,0.11389601892395189,0.007171227753292667,0.9436853015458837,0.0074172256647842645,0.007031294545296448,0.0025432880640809566
6.0,9.452756274668227,560.703510826467,21.96576,21.96576,1.0,0.23230216073226093,0.11404833836858007,0.6702695770170596,0.3801726283878838,0.302084977631263,0.5849432865681065,2.0603257576247764,0.24233207246665522,0.2749282481587325,0.6707591725574211,0.22220954353878886,1.9509860453257604,0.275329489291598,0.2883362149221971,0.5869640111923218,0.37985301758881945,0.24217426850128712,0.11389601892395189,0.006884410409132155,0.9457763084319595,0.007039641031595403,0.00680510281401291,0.00251503980214454
7.0,9.436067373682727,613.9563132799314,25.62672,25.62672,1.0,0.23529918535286937,0.11404833836858007,0.6721947319078517,0.383530364541594,0.30521422813283045,0.5975265008981706,2.0934877936528378,0.24478989323589168,0.27532587164296635,0.6718718445972276,0.22147648920608828,1.9445498736348952,0.2773118165410341,0.29117353486382436,0.6011467576026917,0.3831496819005566,0.2446051411904447,0.11389601892395189,0.006502287064563806,0.9335161000662993,0.006384008381400186,0.006626411553786725,0.0024831874931845735
8.0,9.341549147889008,651.8836898287555,29.28768,29.28768,1.0,0.23353272829957805,0.11404833836858007,0.6722639970114985,0.3758653700876932,0.3068456020350513,0.5860873244361425,2.074766168899131,0.2390234620586855,0.27716030788661417,0.6717057777023249,0.22608309637438093,1.9849955995857598,0.2805439789427506,0.2900964066608238,0.6013298034667969,0.3754242973872655,0.23872893743426918,0.11389601892395189,0.006728631733737143,1.011344075544912,0.006522113262917757,0.006928715532839239,0.002112203187105338
9.0,9.338214706758414,699.8951252075062,32.94864,32.94864,1.0,0.23395131309038816,0.11404833836858007,0.6736353608615432,0.3744280495439831,0.30636767330320863,0.5997069307770824,2.0771361481060344,0.23772337250676223,0.2800522513566636,0.6722954764396845,0.2267569646335575,1.9909121212126175,0.28302967801077117,0.29211793020457283,0.6048128008842468,0.37390739353687413,0.23754854359617233,0.11389601892395189,0.005918762704340817,0.9324147241877654,0.005855701589000285,0.005998569140785756,0.002251840746924284
10.0,9.197059080814874,688.9045874352835,36.6096,36.6096,1.0,0.23602689457085285,0.11404833836858007,0.6760067906128971,0.3796676123891802,0.3094527182560129,0.5931458613382276,2.0948113015736385,0.24181924710196012,0.27920603906228925,0.6701720339082171,0.2232465525972534,1.9600909207047406,0.28109854604200324,0.2922050262672157,0.6031520366668701,0.37910126855751486,0.24160372996455184,0.11389601892395189,0.005906212037707357,0.9716310554676966,0.005583831949812965,0.006201586671630017,0.002112895566287419
