round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885829593087418,0.1062194043505369,3.65056,3.65056,0.9971592150692714,1.7382469889509262,0.24937501296620976,0.19706126232040402,0.2652158063575964,0.19707941771318577,0.6196491835168852,0.5111718424347352,0.3873996118651956,0.11379657603222557,0.5867258977363249,0.19022417398230562,1.6701564793877288,0.1899144795045709,0.24699489543882763,0.493307501077652,0.37692067714364824,0.24246767905301106,0.11389601892395189,0.02674389505952485,2.8716481421142817,0.023397854765900398,0.02899732599436518
2.0,0.6822943254838885,0.12502964647542186,5.632,5.632,0.5412350858791136,1.9435307822997494,0.22081945264289385,0.21920340194774576,0.2931544363518771,0.24735301852283526,0.6585524124381237,0.5003215850697603,0.351379903967512,0.11379657603222557,0.6099577063397169,0.20310479088621572,1.7832474989475122,0.23374175306314798,0.27766473626545624,0.4899306297302246,0.3750395333783737,0.24066346569971925,0.11389601892395189,0.019629059763372154,1.3252938317600638,,0.019629059763372154
3.0,0.6716607481268791,0.1959003980237804,7.61344,7.61344,0.5412350858791136,2.0829143203724922,0.22948078020442972,0.23395836037408474,0.30497545494470824,0.27023366655741116,0.6749249534866858,0.5212650925431246,0.36444264033964996,0.11379657603222557,0.6351017753006609,0.21013068651152664,1.844934427882246,0.2527151211361738,0.2787273205364186,0.4882233738899231,0.37519243094526206,0.24056075707762034,0.11389601892395189,0.014588656465439356,1.047182365320623,,0.014588656465439356
4.0,0.6588213774490017,0.23173498388325325,9.59488,9.59488,0.5412350858791136,2.150229588969038,0.21354654624103825,0.24127607123592867,0.31189699021625755,0.2861330547921959,0.6827628623890194,0.51447393532471,0.3407435739030245,0.11379657603222557,0.6564913369377701,0.2144272642291093,1.882658114435781,0.25916385971864475,0.28084763948497854,0.4873374104499817,0.37183331400778497,0.2376679974673785,0.11389601892395189,0.011965603238837707,0.9053830485790968,,0.011965603238837707
5.0,0.6681381745616972,0.2921888589829714,11.264,11.264,0.4559241291901578,1.9456624796419724,0.20867055210326688,0.21833178883181187,0.29049532576383413,0.26996713801549604,0.6598916661118833,0.5068196141220112,0.3302768105181442,0.11379657603222557,0.6633179249491583,0.22131196506779927,1.9431053618789675,0.27980752094100875,0.28381642512077293,0.49402204155921936,0.3729351230797779,0.2382584088912546,0.11389601892395189,0.01692982942785909,0.7810626951977611,0.01692982942785909,
6.0,0.6598518140506106,0.26613583244751615,13.24544,13.24544,0.5412350858791136,2.0885066130604,0.22009357397226847,0.23334107675688973,0.3024859922520093,0.28012037097038656,0.6733778397625653,0.5221869939767493,0.34953460169061346,0.11379657603222557,0.6369582658946712,0.21614309529042014,1.897723005004577,0.2779379956741168,0.2834645669291339,0.49360015988349915,0.37699455940025645,0.2415245992368554,0.11389601892395189,0.009032166859924102,0.7155124731361866,,0.009032166859924102
7.0,0.6455956107690561,0.31445961047037985,15.22688,15.22688,0.5412350858791136,2.1839805048774616,0.22317148993322217,0.2440069336752139,0.3122671545555357,0.28516741112004784,0.6823264284505892,0.5520743224375918,0.35551915142576374,0.11379657603222557,0.6304323752964746,0.21453470666485508,1.8836014523747262,0.2809667673716012,0.2842948717948718,0.49796774983406067,0.3791420298518685,0.24286287304028603,0.11389601892395189,0.009227406547705059,0.7626793696545064,,0.009227406547705059
8.0,0.6297316454277071,0.39104487895807866,17.20832,17.20832,0.5412350858791136,2.3001262263033557,0.19959988142969176,0.2563097918544755,0.32172039696018284,0.29771526948755433,0.6915251289907023,0.5386391718555824,0.3181168330253701,0.11379657603222557,0.5934157469215317,0.2048573894790526,1.7986352061684914,0.2792931892262824,0.2835481425322214,0.4946052134037018,0.3801854099221316,0.24395135905889284,0.11389601892395189,0.009717720341695671,0.8424115215893835,,0.009717720341695671
9.0,0.6111866664718367,0.6173153183774407,19.18976,19.18976,0.5412350858791136,2.3961323346170023,0.2184963937548454,0.26702673732796406,0.3329231260530942,0.3057545307361124,0.7032884221360759,0.5471527641048245,0.34886361876069333,0.11379657603222557,0.573430632077232,0.19727641960886044,1.732074759703247,0.26187183033656064,0.27553616866593966,0.5035693645477295,0.38409178971800273,0.24704134408367312,0.11389601892395189,0.012053820392975478,1.1008249607402831,,0.012053820392975478
10.0,0.6531164137562386,0.5078665306450567,22.84032,22.84032,0.9971592150692714,1.9916025689356094,0.22307760208130323,0.22430740135617466,0.2941391881067889,0.27183676247242067,0.6623747845965244,0.5350134105563225,0.3532646869863537,0.11379657603222557,0.620622443770801,0.21263320421078505,1.8669063784640247,0.28126520681265205,0.28189233278955955,0.5001844763755798,0.38069499568530263,0.24419264813436495,0.11389601892395189,0.010631473230168255,1.5510364286601543,0.013707721046280265,0.009019828270596861
