round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_auprc,fed_auprc_lift,fed_auroc,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882077954812236,0.09093348022516035,3.66096,3.66096,1.0,0.11335599194360525,0.2988185514424091,0.5029741233029035,0.345886648055785,0.2286642577953183,2.0674001469085175,0.6601332197224675,0.2773571777521877,0.21595642124851322,0.6598424546848082,0.21442711597218703,1.8826568127491754,0.27226386806596703,0.27559642147117297,0.4887296259403229,0.3450103978399986,0.21631971589024954,0.11389601892395189,0.026174903730946435,2.8491936055033875,0.022559851589203102,0.028703988646100312,0.013973813333683895
2.0,0.6630108668761439,0.23651258747864504,7.32192,7.32192,1.0,0.11335599194360525,0.3069636220732849,0.5585980287247524,0.35478944097029386,0.2339271557773965,2.117027666315626,0.6659786814043621,0.2700287067055132,0.2235338730636263,0.6657942204152574,0.21997083677845675,1.9313303384671485,0.2735991923271075,0.28349202091994097,0.5349475741386414,0.3543170673827159,0.22420735661330415,0.11389601892395189,0.01762803804241428,2.0626570834592712,0.016892179459686185,0.01822618433870855,0.006058844815585821
3.0,0.6518328081540384,0.3380217711001746,10.98288,10.98288,1.0,0.11335599194360525,0.3043467797335171,0.5436696589484526,0.3518380052855563,0.23670621538889072,2.1352512471664102,0.6675796982430258,0.27697975871446845,0.22157309477182435,0.6679555873898892,0.22298124808231398,1.9577615634765781,0.2807903402854007,0.28804711551331813,0.5266700983047485,0.35165433843558574,0.2224921700144563,0.11389601892395189,0.01185834993878434,1.487224798979696,0.011798205621470357,0.011961796748884071,0.0044865438898677714
4.0,0.6505875569585595,0.32890108495315146,14.64384,14.64384,1.0,0.11335599194360525,0.3064624627880126,0.5312559677199776,0.34414782812715716,0.23997251992205634,2.1649521784092496,0.6697319196327288,0.28025308235351504,0.21612009360656445,0.6683126318414025,0.22318931506780937,1.959588378737209,0.2827739445678868,0.2878848460615754,0.5202879309654236,0.3440955562046534,0.21721762279096918,0.11389601892395189,0.010403623803139106,1.3795156526593928,0.009919668336212554,0.010787658256819876,0.005244100747832175
5.0,0.6459374160444086,0.3448654058462515,18.3048,18.3048,1.0,0.11335599194360525,0.3069492565109591,0.5170812818980499,0.34068320492565757,0.24242367573235332,2.1875679231073186,0.6715764309728303,0.28684242454656,0.2137344879905372,0.6700441675444171,0.22391708315619815,1.9659781375300491,0.28609788844135237,0.2895408163265306,0.5058451294898987,0.34094831950516685,0.21503969914201684,0.11389601892395189,0.008723831759445872,1.2262135532100729,0.00856965602770621,0.008866285026953436,0.004765369620863429
6.0,0.6427382004576886,0.33619590265636207,21.96576,21.96576,1.0,0.11335599194360525,0.3091363279208878,0.5553811630543625,0.3622472729695228,0.2457376172329515,2.266083875910094,0.6724514392191903,0.27923618580342346,0.22811528952804713,0.6690416545920025,0.22408811790984212,1.9674798120860155,0.27929543297120557,0.28661288117051825,0.5343393683433533,0.3624150766633202,0.22953812961969516,0.11389601892395189,0.009056314055000967,1.3424191959657037,0.008668369786529592,0.009386145896729606,0.00431514828030145
7.0,0.6419299070020544,0.32924953137683804,25.62672,25.62672,1.0,0.11335599194360525,0.30929850205312637,0.530034434864408,0.34756744077592366,0.24815548389801748,2.286034603415697,0.6742492055589834,0.2859044361460279,0.21832659835318544,0.6693712659420078,0.2236334191513636,1.963487585116413,0.28503401360544217,0.28782287822878233,0.5070303082466125,0.34783919400613,0.22008103906523044,0.11389601892395189,0.007615281632703241,1.202772984313924,0.0073319248272039434,0.007860098680038218,0.004470894241586212
8.0,0.6418343176020981,0.3857812669428361,29.28768,29.28768,1.0,0.11335599194360525,0.3105494968750554,0.5583251581076168,0.35225373262882775,0.24975250383931447,2.300619598102845,0.6753391568239189,0.28153785966380496,0.22179811642998276,0.6693441465767932,0.22491273868248418,1.974719931454829,0.2816123688569851,0.28879738747692746,0.5384730100631714,0.35277335257473574,0.22379467906303868,0.11389601892395189,0.00803465675302602,1.3408397371167666,0.007308277938843311,0.00864686633119587,0.004744441452503475
9.0,0.6369001593062124,0.35774743796858005,32.94864,32.94864,1.0,0.11335599194360525,0.3142071666088086,0.5718742054282178,0.3595636445777594,0.25257194640441916,2.325946638993722,0.6782086656950925,0.2783711918528246,0.22719109090861453,0.6687636842359158,0.2241053632039373,1.9676312247012948,0.27679394001433105,0.28817331948360286,0.5584046244621277,0.35998158606854014,0.22939513960058844,0.11389601892395189,0.00778551557575403,1.3790258338467538,0.006830581715084521,0.00860402813839663,0.004560905792329876
10.0,0.6427279705210901,0.5288213139283438,36.6096,36.6096,1.0,0.11335599194360525,0.3148357145485636,0.565484948585716,0.35012519646300927,0.2546898413243276,2.3405669764469064,0.6794338638717251,0.28742009942481533,0.21966958030620298,0.6686456691917335,0.22275310683684912,1.9557584974553048,0.28307895025804325,0.28641975308641976,0.5256116986274719,0.3503738488527446,0.22194030042832932,0.11389601892395189,0.008039072137745115,1.5059780762958326,0.006474647278016225,0.00941144014611792,0.00396857318494461
11.0,0.6437740715955727,0.43204615644345334,40.27056,40.27056,1.0,0.11335599194360525,0.317143481337362,0.5554542175258725,0.32841966577223153,0.2577345014818434,2.3692022004501094,0.6821111611717239,0.28814745831907007,0.2073853337116219,0.6673895820174187,0.2229431562935543,1.9574271199278084,0.2817155756207675,0.28557409224730124,0.5586817264556885,0.32872752891035517,0.21011376814378704,0.11389601892395189,0.007411535596630349,1.4767905879598402,0.005833625153879195,0.008821602885058403,0.004514383093410271
