round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_ece,fed_brier,fed_f1,fed_f1_best,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6884239698892395,0.0901900975622052,0.5282475,3.66096,1.0,0.48817070714700217,1.9229220265484024,0.2100912058528834,0.37712136974565846,0.23997421780864767,0.010539409412560184,0.2891223201675942,0.11010387157695939,0.6616076206859356,0.663029864833871,0.21364765122910181,1.875813160526303,0.013117621337997376,0.2784934363881732,0.4877007305622101,0.3733564112529498,0.2400825208542435,0.11389601892395189,0.43536963197827144,9.633476560000418,0.29816779850305253,0.5398714448929717,0.4929964147989403
2.0,0.685962359157374,0.0615689835518314,1.056495,7.32192,1.0,0.49466346397991257,1.9482296872405604,0.21262656280033107,0.37902318656463313,0.240395779573403,0.2451958940240202,0.28987270544397836,0.11010387157695939,0.6663262039524827,0.6647305539845036,0.21782907396395523,1.912525793455513,0.25384786973009144,0.28143550998381,0.4910706877708435,0.3751615504954756,0.2404992322593763,0.11389601892395189,0.06647803810085545,1.4887615726979675,0.0555133763200842,0.0739052313318897,0.13692916126381655
3.0,0.6780809236770459,0.09072418642002711,1.5847425,10.98288,1.0,0.5025211975789874,1.9564260494265164,0.2134855391829518,0.38149779379686766,0.24127684153247278,0.2717097557005097,0.2900320550852247,0.11010387157695939,0.667159969165223,0.6662109751581595,0.22015907094126697,1.9329830227715568,0.2787360708288811,0.28044280442804426,0.5037687420845032,0.3777916564801732,0.24135300225756354,0.11389601892395189,0.0389995364262074,1.004714782555311,0.0323950762031734,0.04411957267834954,0.046824406455609625
4.0,0.6702284463908924,0.11312156832590696,2.11299,14.64384,1.0,0.5018936421535732,1.9642961433593185,0.21380295890713397,0.3814297879590228,0.24094325279106002,0.2735295189272996,0.2889913883757681,0.11010387157695939,0.6679568645132185,0.6667937842465127,0.2213533101844972,1.9434683694457686,0.27830544248454697,0.28215980505322563,0.4920598268508911,0.3778033574293206,0.24099505884032768,0.11389601892395189,0.02300279313843508,0.7009203087654896,0.02104734620727287,0.024485941202979936,0.03029472278066501
5.0,0.6672826753513789,0.14224972129355773,2.6412375,18.3048,1.0,0.5042013200998381,1.9681537808157252,0.2140755344142792,0.3798733132587952,0.2391583142582452,0.2723387010878509,0.28960202779295763,0.11010387157695939,0.6684329999579411,0.6671791904589631,0.22116391933130883,1.9418055294713985,0.27780232729415233,0.2822308063737325,0.4890359044075012,0.37604231318792003,0.23924163606233756,0.11389601892395189,0.016956164168346152,0.587848667822982,0.015937283516352093,0.017778538295129036,0.019891210221869432
6.0,0.66382702724839,0.16419164201320022,3.169485,21.96576,1.0,0.5051913411579005,1.9625040750427942,0.21349011226230852,0.378498925658416,0.23784939440789418,0.2726325811038085,0.29139047005245006,0.11010387157695939,0.6680963200401032,0.6676991393435402,0.22125491126844227,1.942604433050234,0.2759716803930068,0.28207327533390514,0.4887710213661194,0.37495654184821026,0.23792473125857083,0.11389601892395189,0.012769976553171237,0.4955810965075216,0.01207240422622222,0.013407605608447688,0.0102758335369243
7.0,0.6622400794731363,0.1654963295372126,3.6977325,25.62672,1.0,0.5072032241803278,1.9667933158781299,0.21403522686125515,0.37622048158596105,0.23604777381442643,0.27153144288880265,0.2912530360313485,0.11010387157695939,0.668377995767333,0.6679687517647667,0.22127519158456943,1.942782492971193,0.2776128266033254,0.2823622462430793,0.49108973145484924,0.3726766393555327,0.23612299223261968,0.11389601892395189,0.010664369052980268,0.45956408851907327,0.010087538468153528,0.011257210962780885,0.004791140455382496
8.0,0.6607897706884851,0.1834127230766411,4.22598,29.28768,1.0,0.5066747537021709,1.9685748799734677,0.21425388859347577,0.3727110378296449,0.23312650000445617,0.2720560816964146,0.2907499657973936,0.11010387157695939,0.6688460195326861,0.6681316561978303,0.2212805102589933,1.9428291906035962,0.2777614138438881,0.2806543193186427,0.49289751052856445,0.3692159924079238,0.23325181652056892,0.11389601892395189,0.011623979942550664,0.5468095582864407,0.009375967634551528,0.013745710484965798,0.016814878496597824
9.0,0.6596839597953245,0.20396337999839625,4.7542275,32.94864,1.0,0.508426895290191,1.972037445997578,0.21459638203187978,0.372327169474844,0.2328328390462755,0.27259038677472125,0.29185914455757167,0.11010387157695939,0.668855555228639,0.6686375747953598,0.22182252099810018,1.9475880113615787,0.27775280898876403,0.28110117319084676,0.4810154139995575,0.3688816654135581,0.23296222349566756,0.11389601892395189,0.009161443035864969,0.47158874479146107,0.00791020402661302,0.010388828944874265,0.012904458367887714
10.0,0.6574487750158062,0.2186753792017932,5.282475,36.6096,1.0,0.5072148576242802,1.9726074034560928,0.2149879396629408,0.37099145938661965,0.23175578267720612,0.2734896498049256,0.2923671583940936,0.11010387157695939,0.6692162231452018,0.6683942911238883,0.2215307940815186,1.945026667081614,0.2774241302738712,0.2811779769526248,0.4880064129829407,0.3675605808115429,0.23191872417715412,0.11389601892395189,0.00803595145378078,0.4493031208967295,0.007023072326513276,0.00914474823324777,0.004229522445053374
