round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6879006251330748,0.11488025857836562,3.66096,3.66096,1.0,0.5009529250689487,0.11312559017941454,1.8955002395721279,0.3693784453938658,0.6473073847475953,0.2591978412236904,0.2800598138881182,0.21296063935908185,0.23303452064352456,0.6566893045390012,0.2093203225380873,1.8378194823284386,0.27777134252287733,0.2807930607187113,0.504515528678894,0.36865991391187175,0.23323226752253898,0.11389601892395189,0.024962580305200984,2.719992176964297,0.022617042618699193,0.026638144170049106,0.012054657454046451
2.0,0.6612840952946043,0.20342091517019983,7.32192,7.32192,1.0,0.5053274605178142,0.11312559017941454,1.9514538755224067,0.3485334082701539,0.653548214517742,0.2625068708370843,0.2835922315467006,0.21954319272298178,0.21957793105099765,0.6616165330292283,0.21391175665897977,1.8781319898618067,0.2800408487461704,0.2837132655863774,0.5283392071723938,0.34821040463607167,0.22003020125520456,0.11389601892395189,0.016596751700526335,1.939197565041468,0.016428805955706043,0.016805311765712466,0.006513323040480511
3.0,0.6469343562527998,0.31424834114075684,10.98288,10.98288,1.0,0.5195471843684061,0.11312559017941454,1.9787543444522484,0.34693208849107393,0.6565781058337644,0.2650538675636444,0.2873599394435799,0.22357084437854932,0.21917225538454138,0.6614842994562222,0.21758151984965596,1.9103522836468467,0.277665544332211,0.283106196965801,0.5224807858467102,0.346200448436456,0.2193992166769573,0.11389601892395189,0.012266404981558808,1.5431933990066682,0.012592715937825459,0.01209812533936259,0.006059509894219499
4.0,0.6430551722712823,0.3215797263477397,14.64384,14.64384,1.0,0.5073912819282866,0.11312559017941454,2.011321629894907,0.3423386011665484,0.6593891530388741,0.2703462522725483,0.290882685237942,0.227312628322647,0.21686072462130895,0.6643009109546624,0.2209449107775301,1.9398826479181375,0.2842402653236703,0.28553506460920836,0.5036410689353943,0.3415342990849541,0.2170711347119934,0.11389601892395189,0.01036428352556666,1.3860225893886309,0.010596856836820392,0.010242756529660325,0.004919961473350412
5.0,0.6411894951890308,0.3460843766978488,18.3048,18.3048,1.0,0.5277249528714837,0.11312559017941454,2.0452877457677645,0.3599253113657415,0.660567905405145,0.26296733607002054,0.29019736744923846,0.23108828136452686,0.22795543090730402,0.6631096165996919,0.22221762478130908,1.9510569981351435,0.27685373967163857,0.28215667311411996,0.518623411655426,0.358970045636912,0.2280966020563982,0.11389601892395189,0.008607451220374087,1.2216909462790682,0.008823959835272888,0.008472715165364143,0.005229243077529878
6.0,0.6446407065551092,0.3879934249160312,21.96576,21.96576,1.0,0.5098151612401873,0.11312559017941454,2.0655197680217174,0.3412271297659032,0.6632761125486335,0.27040661751065087,0.29301505045664655,0.233881459379258,0.21471937691024046,0.6654566150644924,0.2246711479593476,1.9725987798516469,0.2826192794547225,0.2845977631047028,0.5168120265007019,0.34042793368725033,0.2151348759021999,0.11389601892395189,0.007586446675117178,1.1344260604037117,0.00765214597423222,0.007556562994333299,0.004690525342427788
7.0,0.6504893351016964,0.4979338620360978,25.62672,25.62672,1.0,0.531376236101198,0.11312559017941454,2.094532742074165,0.3460324261270682,0.6652249981275934,0.27099849137849097,0.29333932791230444,0.2370086134500565,0.2169208033398638,0.664986161217586,0.22566101750853476,1.9812897732554473,0.28191167574107684,0.2858334491867093,0.5209528803825378,0.3451732988431101,0.21744674503186798,0.11389601892395189,0.007482987359596724,1.181596743328555,0.007424801674885213,0.00754966677947979,0.004592983116096363
8.0,0.6407038929277573,0.3772628380369243,29.28768,29.28768,1.0,0.5057338250914122,0.11312559017941454,2.099551654411487,0.35356420762121665,0.6676665433967347,0.2729969764940878,0.2987847623747899,0.23775553700989213,0.2223871556293571,0.6647907411550585,0.22484336248309778,1.9741108127161597,0.2836219923282576,0.283982280251807,0.5004408359527588,0.3528465664967526,0.2231631902675262,0.11389601892395189,0.006615376809225322,1.1074524971627397,0.0064646495129721945,0.0067593021005588295,0.003916316738104134
9.0,0.6506579814799772,0.4169325158601824,32.94864,32.94864,1.0,0.514985578473649,0.11312559017941454,2.115245276176371,0.33855215119356846,0.6688405000647283,0.2737602349288566,0.29961683444630655,0.23934787959893628,0.21309355842824232,0.6629793909389646,0.22509562170671227,1.9763256330935333,0.27914731451708946,0.28153564899451555,0.5162070989608765,0.3378238998853337,0.21408883135826293,0.11389601892395189,0.007202903055634782,1.2726025679448867,0.0065924167253717915,0.007752295048585387,0.004117343922057183
10.0,0.6422974200292437,0.4158149171295925,36.6096,36.6096,1.0,0.5118782018110517,0.11312559017941454,2.136905254816278,0.32617318830213954,0.6710765467599127,0.27842353031791767,0.29955994660891644,0.2420541563583022,0.2052240586544134,0.6634358646966303,0.2260526825103124,1.9847285677407853,0.2766262547255899,0.2799291878734233,0.47064316272735596,0.32535777250328723,0.20634635587134417,0.11389601892395189,0.007613188990485832,1.426777228289211,0.006062772395965302,0.00901408698965752,0.005375712891687059
11.0,0.6361946440357716,0.4378104211632746,40.27056,40.27056,1.0,0.5394145752466584,0.11312559017941454,2.1618589569909585,0.33413878593630186,0.6744348530568106,0.27863893488097,0.3043104064385357,0.24585196943018098,0.20976123145371292,0.6646410889430345,0.22608593811762384,1.9850205499156288,0.2793378295524218,0.28343203415507506,0.5233659744262695,0.3335203342209093,0.2112933247610243,0.11389601892395189,0.007658166197181676,1.5193652479847515,0.006090565773408958,0.009113605683701061,0.004416027843229692
12.0,0.6409139862905866,0.5295813435830263,43.93152,43.93152,1.0,0.5305146187628296,0.11312559017941454,2.1736974420242756,0.34262989216774636,0.67696549697973,0.28195843660119335,0.3067176460830145,0.2472382549811193,0.2157233990590624,0.6641289081690857,0.22571462669297118,1.9817604585782784,0.2811033535538514,0.2836862927623924,0.5031853318214417,0.34176835846655546,0.21724533215938946,0.11389601892395189,0.006925837039153911,1.461801865398229,0.005547502168494945,0.008238537776107915,0.004121501560459911
13.0,0.6406849873245709,0.5280823831864528,47.59248,47.59248,1.0,0.5565258560501108,0.11312559017941454,2.1978169787455313,0.34175817753145216,0.6780874428780506,0.27793018413409526,0.3052828707200353,0.25054360878515314,0.21609804988031028,0.6635584477412467,0.22691274850289128,1.9922798939478332,0.2784580498866213,0.28087167070217917,0.5275643467903137,0.34091612210854344,0.21801759179746902,0.11389601892395189,0.0073788146103195154,1.6501212769690028,0.005374673928704673,0.009326501306041683,0.004403504240916264
14.0,0.638555391082605,0.6216228966078008,51.25344,51.25344,1.0,0.5493042690801965,0.11312559017941454,2.2094635001705027,0.3436910451748367,0.6791768183267864,0.28004821884543346,0.30497023749952223,0.25172449958261717,0.21671767840580947,0.6633269605544128,0.22716233181578488,1.994471219994622,0.27956989247311825,0.2831072749691738,0.5215595960617065,0.34302340047830987,0.2188542727709971,0.11389601892395189,0.006717448427372008,1.5925312640483753,0.004992539976626234,0.008407529696405238,0.004289281480575911
15.0,0.6404466164386502,0.7101726844770699,54.9144,54.9144,1.0,0.5612711051837207,0.11312559017941454,2.24129152059199,0.3470520424981668,0.6826834438285847,0.28365472560693733,0.3106691570341891,0.25543183015212173,0.2180833912995134,0.6634162499035575,0.2270248864650401,1.9932644583181094,0.27938671209540034,0.2843798650752465,0.5288881659507751,0.3463301316805128,0.22051417907127,0.11389601892395189,0.006426370224304272,1.6090541745470546,0.004484314369652578,0.008360187660766004,0.004453870672128332
16.0,0.6361405533830203,0.6153469431313539,58.57536,58.57536,1.0,0.5587463401551139,0.11312559017941454,2.2671634523173108,0.3305581764549927,0.6855668432953286,0.28547241205070323,0.3133027453343937,0.258392737762768,0.20776907517551707,0.6610864818359989,0.22503255133002653,1.9757718790880676,0.2794031253671719,0.28202715418739077,0.5271133184432983,0.3294930947687001,0.21057173004026142,0.11389601892395189,0.0066351891853339805,1.757633275256012,0.0043585061464941404,0.008929056992097048,0.004984834807081724
17.0,0.6357837871424844,0.7609731378802713,62.23632,62.23632,1.0,0.5570910752025986,0.11312559017941454,2.302970129896754,0.3538486614938255,0.688515516873737,0.2807388643576839,0.3134131327026438,0.2622904498796339,0.22346295833924126,0.6607721055204084,0.22438539513170344,1.9700898877029676,0.27555927242316536,0.2818886539816773,0.5226733684539795,0.3532404210723138,0.22678214325745735,0.11389601892395189,0.006627725007359902,1.8564911931257484,0.0043418333527390695,0.008962860545264515,0.004745328379936246
18.0,0.6385065736503444,0.8176897550081412,65.89728,65.89728,1.0,0.5360932754877419,0.11312559017941454,2.347645918199186,0.344427086532979,0.689452456503322,0.28347767802107826,0.318019160937885,0.2674141501121495,0.21568407210977295,0.6588183692248489,0.22474759983136072,1.973270022558244,0.2762882047887013,0.2809620677276535,0.5142481923103333,0.34350482028074636,0.2191347695109914,0.11389601892395189,0.006078741286734387,1.7913004400306818,0.003951476209388214,0.008298679945865401,0.00480996951258423
19.0,0.6340154836777041,0.7546496991079036,69.55824,69.55824,1.0,0.5354042457753773,0.11312559017941454,2.37587334306953,0.33798981867695427,0.6914032454970372,0.2891250726484925,0.318973489359993,0.2707892501507755,0.21178583961129463,0.6589068554090822,0.22333815195084247,1.9608951573624784,0.276848540777483,0.2824146981627296,0.523675262928009,0.3372134264642738,0.21586572157875383,0.11389601892395189,0.005253587018094228,1.6240551863047585,0.0034679213886150053,0.007143673271039131,0.004915823497498921
20.0,0.6379975935267703,0.9048646629819421,73.2192,73.2192,1.0,0.5427751083080598,0.11312559017941454,2.4066264110808793,0.33137546360040093,0.6937163437579552,0.28873597713208027,0.32294025717011154,0.2741052410331055,0.20873292717669184,0.6568543549283128,0.22285571005568483,1.9566593473691567,0.27631427585413554,0.2796375534860307,0.5175896286964417,0.33111360262286504,0.21355685537415306,0.11389601892395189,0.0049123665639820525,1.5908417236378227,0.003218411883582491,0.0067369751854562026,0.004002894763918973
21.0,0.6429737026000758,1.7588707763094003,76.88016,76.88016,1.0,0.5500182552066734,0.11312559017941454,2.4101759024032883,0.3374200177386868,0.694665438676751,0.28447644328504473,0.3237448257597949,0.2741582251366432,0.21342968635238407,0.6566153380704335,0.222070510717639,1.9497653457572997,0.27586206896551724,0.2807966560118023,0.5245627760887146,0.33713345341094736,0.21844140196003012,0.11389601892395189,0.004875569744203431,1.6531819641527363,0.003113971056462257,0.006796600289979468,0.0037216220929312096
