round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auprc,fed_brier,fed_auroc,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883418026049157,0.11274515323270999,3.66096,3.66096,1.0,1.8487102023624664,0.26735958820118316,0.21220954122070915,0.2296768328780721,0.6523838385917327,0.284785371256256,0.3635344677532933,0.49935913164152423,0.11448171691107058,0.6553032175940905,0.20817061513164004,1.8277251224262288,0.2748055621022861,0.2785723168760105,0.5040540099143982,0.36394163045815264,0.22976622132468633,0.11389601892395189,0.02506297862221886,2.7268159690538596,0.02242621705749177,0.026952147121488513,0.010502333832898371
2.0,0.6557087499384665,0.2599268629890613,7.32192,7.32192,1.0,1.9127833393607836,0.2738880354855949,0.21927367997324132,0.21972185564380317,0.6592756213898411,0.288860885140838,0.34799346825674976,0.5010472485781903,0.11448171691107058,0.660617207637556,0.21569270915093175,1.8937686425629088,0.2808235575772085,0.2838255977496484,0.523979902267456,0.3484784550460478,0.21991340711327043,0.11389601892395189,0.017095517113285164,1.9917827162062167,0.01766115253960227,0.016827025646275223,0.0061476090216219
3.0,0.6459262016464855,0.348158706325155,10.98288,10.98288,1.0,1.950957645142441,0.2714456877558066,0.22310402898623694,0.2253937719532179,0.6617328072715478,0.29173563688636384,0.354806633591952,0.5310608112806042,0.11448171691107058,0.6618187548946,0.2200330600292612,1.9318766547597839,0.2729496862035954,0.2843691148775894,0.5362752079963684,0.354866868169326,0.22544826273258536,0.11389601892395189,0.011005014335360002,1.373294844341217,0.012145377999463053,0.010285272469948278,0.004169776160696697
4.0,0.6452299503439318,0.40249240730242597,14.64384,14.64384,1.0,1.9777335445042759,0.2743156667082979,0.22589497326193622,0.2269242679327414,0.6650235550890783,0.2962013062953366,0.3569106363086902,0.5350641093557797,0.11448171691107058,0.66211728125264,0.2215627432043895,1.9453071784038953,0.2709677419354839,0.28591411386207866,0.5404910445213318,0.3571102416566648,0.22726352746330675,0.11389601892395189,0.010207028564568062,1.3503215362043193,0.010782341867248654,0.009849002216018825,0.0038093074887304373
5.0,0.64335025876018,0.3704590998213303,18.3048,18.3048,1.0,2.002098547516114,0.28167539791035484,0.2286640528449515,0.2023812602593007,0.6674376259210812,0.29866268045879374,0.3170016102665839,0.543225243150254,0.11448171691107058,0.663864855154981,0.22258712787369395,1.9543012124270547,0.2803761445186835,0.28695045359385907,0.5205636620521545,0.31713248921080245,0.20297687366205577,0.11389601892395189,0.009042473473554847,1.2725914069960709,0.009130011945357747,0.009010004463566187,0.0048670148146044544
6.0,0.6468001002848611,0.46337378894263204,21.96576,21.96576,1.0,2.0151389869264698,0.28302150021488376,0.23026544597732435,0.21123621441703633,0.6692586178240515,0.30084065319127035,0.3347464551815897,0.5212059229175323,0.11448171691107058,0.6644329060880855,0.22386613468600222,1.9655308131136446,0.28109815354713313,0.2858880778588808,0.5298030972480774,0.33507408344713835,0.21184258721747654,0.11389601892395189,0.008938421270221516,1.334657252255056,0.008391136946438078,0.00939843200387925,0.005305394082080822
7.0,0.6422416989892932,0.347780950432395,25.62672,25.62672,1.0,2.0427306703756347,0.2754619757474882,0.23333651930591584,0.22364618164454467,0.6712923418661629,0.30189842422005286,0.3517438875802837,0.5375023163380066,0.11448171691107058,0.6645350711747176,0.22469983900774806,1.9728506854816377,0.2752255087056849,0.28549323017408124,0.5330312848091125,0.35211704647383857,0.22436785522913086,0.11389601892395189,0.008711344281149166,1.3861909976676543,0.007298418933764937,0.009901670902816713,0.005635582870768445
8.0,0.6378132935752296,0.3784599022476055,29.28768,29.28768,1.0,2.0856371993625733,0.2861623117315082,0.23822625508499232,0.20933693868166064,0.6736436393624642,0.3020202456898393,0.3326705226944185,0.5181747989939942,0.11448171691107058,0.6643902379521625,0.22424938845768433,1.9688957575191028,0.2782882011605416,0.2868525896414343,0.5165546536445618,0.3329346691749435,0.2104172492811153,0.11389601892395189,0.008038972832035857,1.3681597108625283,0.0070982130908941125,0.008874346234061789,0.00407421453767542
9.0,0.6425591693869128,0.4434719620954824,32.94864,32.94864,1.0,2.1192754090194437,0.2845955499478275,0.24180311979671823,0.21667559092744698,0.6753650140341848,0.30367789794102296,0.34330200377997794,0.5425184959581721,0.11448171691107058,0.6639055028291735,0.22399549865089516,1.9666666207223313,0.27579781038900536,0.2853170189098999,0.5313993692398071,0.34401227351124514,0.21813444815890348,0.11389601892395189,0.007839840411867024,1.420677854990572,0.006558979754768026,0.009007284924757443,0.004423585483119551
10.0,0.6429960345666806,0.621530807943314,36.6096,36.6096,1.0,2.140482330495906,0.2843422318883979,0.2441636675598411,0.22206379890596006,0.6767166651154762,0.3030273253684952,0.3525402581125669,0.5231158292513377,0.11448171691107058,0.6633347788628481,0.22451498125173092,1.9712276458199918,0.2734537493158183,0.2859589041095891,0.5381724834442139,0.35349103072082105,0.22365602212169902,0.11389601892395189,0.008030292223030278,1.5522634618328084,0.006630157085474052,0.009350570502496996,0.004246800419394571
