round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6875409864680652,0.10193848070169809,3.66096,3.66096,1.0,0.340922177143634,0.4752824664697322,0.2788831915387849,0.2095356866546805,0.2122012473212319,1.9002456015916727,0.6488187321306056,0.11208307111390807,0.25891847691767395,0.6493734134041899,0.19864535182985138,1.744093899914855,0.2583760941744642,0.27060998151571164,0.48150530457496643,0.3390406239443129,0.2126500204826952,0.11389601892395189,0.024498196120501126,2.6348726700498446,0.02167016738277069,0.026558354971463003,0.008895703772417274
2.0,0.6601458908645228,0.2234875555077799,7.32192,7.32192,1.0,0.35980555417591703,0.5236982364486492,0.29109348714659267,0.21602307146558483,0.22650728312689258,1.9624467243232155,0.6561187703521054,0.11208307111390807,0.2647361203877718,0.6583575408074287,0.20551577749833463,1.8044158122467568,0.27513672696676483,0.2761126248864668,0.509120762348175,0.35798878805093415,0.22674515874833437,0.11389601892395189,0.017188828726810743,1.9771144804672076,0.016361448459263527,0.017861067381368306,0.005946784715637642
3.0,0.645768838243485,0.25706009023820864,10.98288,10.98288,1.0,0.32127364319007745,0.4899982008433626,0.29450874756432166,0.22290630071705156,0.20086538081508346,2.0355085992699897,0.658943857420283,0.11208307111390807,0.27204548073952467,0.6604105181673644,0.2084171839024489,1.8298899809800075,0.2680652680652681,0.27801418439716313,0.4620353579521179,0.3193420480410474,0.2013348739322879,0.11389601892395189,0.012362193392510733,1.5240303807368036,0.01285818283331929,0.012109957954972682,0.00415567867465162
4.0,0.6489314080740023,0.3512914056541709,14.64384,14.64384,1.0,0.33285262247089165,0.5097984537229062,0.2985254497394792,0.2252169202864579,0.2088897737286444,2.053035455699627,0.6618030801586519,0.11208307111390807,0.28060304951241466,0.6610850888468556,0.21046268827251996,1.847849382804551,0.27238712895984035,0.27597633136094674,0.4923754036426544,0.33076825279646294,0.209214592601385,0.11389601892395189,0.010272244719368127,1.348676010604322,0.010808852201502345,0.009945200343885316,0.004768701549180412
5.0,0.6472294940029133,0.3331243203033668,18.3048,18.3048,1.0,0.3572876096568893,0.5255535718309121,0.29644570697533223,0.2274378013750091,0.22526771245362384,2.0696953561669225,0.6637815556519211,0.11208307111390807,0.27254625325182263,0.6620242270679727,0.21169926274919226,1.8587064302093244,0.273972602739726,0.2767110910323018,0.5041970014572144,0.3551545207737388,0.2255964275368793,0.11389601892395189,0.009697350936849305,1.3488402984567074,0.009811638403184757,0.009661483334998998,0.00408589812117761
6.0,0.6453970299110479,0.2864544206635623,21.96576,21.96576,1.0,0.34363076814208254,0.5227919922394899,0.29492427611634636,0.22793939341506123,0.21683738714222817,2.066579380926842,0.6662722930511047,0.11208307111390807,0.27631415133865794,0.6608791774426717,0.21169213305592735,1.8586438319435352,0.2713522119868077,0.2743253834956892,0.49665555357933044,0.3413658148457092,0.21734591949996632,0.11389601892395189,0.008410705487238483,1.2448743766944972,0.008403017748489656,0.008451385338814957,0.004133761315686264
7.0,0.6438611534198412,0.3626107432564887,25.62672,25.62672,1.0,0.3437195839964045,0.5380221104062975,0.29675190850147876,0.22972020895718676,0.21575999241499516,2.078602394133317,0.6693571143144138,0.11208307111390807,0.2807348516583934,0.6614788027963593,0.2128149582196303,1.8685021674175142,0.2762973352033661,0.27673687885488185,0.4992190897464752,0.34142985792760366,0.21647489355563698,0.11389601892395189,0.007734436503575235,1.2154301993450645,0.007380382223213558,0.008046128528240394,0.004467822559564844
8.0,0.6399284213748296,0.3736882665988689,29.28768,29.28768,1.0,0.328160481312464,0.5257824449587196,0.29971977956011236,0.23158936429030638,0.20574186852712578,2.09030144781215,0.6714342381133577,0.11208307111390807,0.28737755442193225,0.6609632462198917,0.21219020058412585,1.8630168340282796,0.2730864197530864,0.27739569005043563,0.4840300679206848,0.32581389084217605,0.20687326912748916,0.11389601892395189,0.007880384897904505,1.3151917914201476,0.006905210496976646,0.008718712971207564,0.005793262271570531
9.0,0.640629178278709,0.3882118207793826,32.94864,32.94864,1.0,0.33800027986192493,0.5287550306342697,0.3009119597711198,0.23490383460930386,0.21219166574270062,2.127121397529451,0.6722578678000338,0.11208307111390807,0.28627659111823794,0.6609879184420168,0.21226481899304783,1.8636719790423628,0.2730726804755485,0.2763780393882715,0.47837212681770325,0.33537906131420875,0.21326140013383293,0.11389601892395189,0.008503706936366434,1.512640520970308,0.006835900662858317,0.009984036731893835,0.005490344572791844
10.0,0.6414795030419917,0.43107376874328196,36.6096,36.6096,1.0,0.33475764405903674,0.5350837126814995,0.3040581391720436,0.23702247217983158,0.2104000436380183,2.135953671702505,0.6742660312387654,0.11208307111390807,0.28418295823724676,0.6608384544717687,0.21177223985855748,1.859347164714838,0.27747353048557866,0.27833433916716954,0.49790650606155396,0.33219645344138277,0.21180329321134547,0.11389601892395189,0.007769264179017887,1.4802910850066837,0.006057928074099015,0.009340279319083353,0.004276244746269484
