round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1,fed_prevalence,fed_f1_best,fed_auprc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.34858373774601,98.43907773742806,12.667776,12.667776,0.9991046702896288,,,,,,,,,,0.24134980542922782,0.9365707626157513,0.9684499118332035,0.0,0.9832657200811359,0.4825839102268219,0.4843994723591126,0.26647855567718914,0.9670822942643391,0.00526775656049316,3.15212262622299,0.001096634796564436,0.0059654690062642774
2.0,0.3277125171672195,27.661797556743526,25.335552,25.335552,0.9991046702896288,,,,,,,,,,0.28416318939784646,0.9487355897920614,0.9810288073919975,0.0,0.9832657200811359,0.4824259877204895,0.4845461464136318,0.26662068977574804,0.9670822942643391,0.0009254917722546992,0.5569857540504017,0.00012158595010321283,0.0010592479156971903
3.0,0.2562690612125319,19.430405988438206,38.003328,38.003328,0.9991046702896288,,,,,,,,,,0.32620297873005455,0.9525260819598115,0.984948320953802,0.0,0.9832657200811359,0.4825093150138855,0.4844504377937079,0.26652783622771303,0.9670822942643391,0.0006739255686581027,0.40606363005338153,0.00010861243385814586,0.0007678285623408992
4.0,0.23677062953563865,17.68957914926459,50.671104,50.671104,0.9991046702896288,,,,,,,,,,0.44460202853704656,0.9677429528729757,1.0006831462147068,0.0,0.9832657200811359,0.4824163615703583,0.4846097277732858,0.2666809920083756,0.9670822942643391,0.0009697197443937584,0.5848071652904991,0.00016960458299724617,0.0011024585781850935
5.0,0.1614633762250982,8.401394365512106,63.33888,63.33888,0.9991046702896288,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0013050995756971892,0.7880487682932653,0.00031598738142303643,0.0014689618173160898
6.0,0.1765085936188873,9.032481505970525,76.006656,76.006656,0.9991046702896288,,,,,,,,,,0.44513338646912654,0.9680077271218881,1.000956932892927,0.0,0.9832657200811359,0.4825592339038849,0.4844789551529206,0.2665541779732514,0.9670822942643391,0.00029452732184739405,0.1781298874490176,4.139754333407892e-05,0.0003363908256357234
7.0,0.14889832651909216,6.364687793065534,88.674432,88.674432,0.9991046702896288,,,,,,,,,,0.3657305390157376,0.9614646215845108,0.9941911120561858,0.0,0.9832657200811359,0.48255568742752075,0.4844541152665145,0.26653061738141587,0.9670822942643391,0.0006212057188527161,0.37602509458190525,0.0002509642778387134,0.0006823758778108843
8.0,0.16638177897303805,8.246822714483695,101.342208,101.342208,0.9991046702896288,,,,,,,,,,0.33562676793723734,0.9596155018698798,0.9922790517014487,0.0,0.9832657200811359,0.482616126537323,0.48434982203188676,0.26643030161285225,0.9670822942643391,0.0008346369629374392,0.505758531561014,0.0002152683366184094,0.0009368732923898138
9.0,0.16323153103243568,7.592079689420403,114.009984,114.009984,0.9991046702896288,,,,,,,,,,0.3231906481003954,0.9528125241845287,0.9852445131459412,0.0,0.9832657200811359,0.4826272130012512,0.48435974764705,0.2664395001184222,0.9670822942643391,0.0006753362090981632,0.40987264561579195,0.0001835726683916002,0.0007563969689625956
10.0,0.18823908059252734,12.841625806924332,126.67776,126.67776,0.9991046702896288,,,,,,,,,,0.33998312157156924,0.9524863508312387,0.9849072374505589,0.0,0.9832657200811359,0.4826839566230774,0.4843385891426828,0.26641860454280253,0.9670822942643391,0.000682374225531433,0.4147288826311524,0.000361763932808342,0.000735161527511782
11.0,0.15012016927402985,7.3352104960324915,139.345536,139.345536,0.9991046702896288,,,,,,,,,,0.5788480472595996,0.9779509187007265,1.01123857245743,0.0,0.9832657200811359,0.4826631247997284,0.4843767341086989,0.26645479626862534,0.9670822942643391,0.000300200071396249,0.1826792534169499,0.00010440188159537252,0.0003323995209271541
12.0,0.16658663425300643,8.621095021828104,152.013312,152.013312,0.9991046702896288,,,,,,,,,,0.46287917858314964,0.9675016670388095,1.0004336474537459,0.0,0.9832657200811359,0.4826968312263489,0.4843380839152823,0.2664175792755194,0.9670822942643391,0.00035407268608350417,0.21570466178241077,7.496073365092465e-05,0.00039991097941958527
13.0,0.20455184410182412,11.362944661184436,164.681088,164.681088,0.9991046702896288,,,,,,,,,,0.5300139090752809,0.9738016805277256,1.0069481018350128,0.0,0.9832657200811359,0.48278769850730896,0.484246676550839,0.26632887859538545,0.9670822942643391,0.0005525910419670246,0.33704363576782725,0.00017350568612241085,0.0006147696762329544
14.0,0.10608561594898241,4.03704655549407,177.348864,177.348864,0.9991046702896288,,,,,,,,,,0.5129401284635942,0.9705380670638,1.0035734009607629,0.0,0.9832657200811359,0.4827921688556671,0.48424821533169826,0.2663304381081336,0.9670822942643391,0.00023339194001174233,0.1425521456329193,7.112976483634162e-05,0.0002599760123196911
15.0,0.1972609154981681,12.107372925475017,190.01664,190.01664,0.9991046702896288,,,,,,,,,,0.5064505290137059,0.970772616863939,1.0038159344054656,0.0,0.9832657200811359,0.482822060585022,0.4842154153713264,0.2662986825206177,0.9670822942643391,0.00012801732967972746,0.07827240175450356,3.062528428834013e-05,0.00014395847719581256
16.0,0.14827102358104763,7.449592078123826,202.684416,202.684416,0.9991046702896288,,,,,,,,,,0.3849024020504165,0.9590807161925436,0.9917260629015214,0.0,0.9832657200811359,0.48276984691619873,0.4842542767227439,0.2663366373671031,0.9670822942643391,0.00011908416593613204,0.07286371900566735,2.2106300985526682e-05,0.00013494618008865432
17.0,0.13255361265102295,6.826797466616631,215.352192,215.352192,0.9991046702896288,,,,,,,,,,0.3769046837638895,0.9578464554938921,0.990449790234788,0.0,0.9832657200811359,0.4828519821166992,0.4841679867960865,0.26625311458372997,0.9670822942643391,7.642295033338829e-05,0.04678634908145085,1.1366004991790885e-05,8.705745853174151e-05
18.0,0.15275178361983108,12.96925537380222,228.019968,228.019968,0.9991046702896288,,,,,,,,,,0.368016159532405,0.9573886955371783,0.9899764489695939,0.0,0.9832657200811359,0.48285770416259766,0.4841621979959587,0.266247564413079,0.9670822942643391,5.283658890687187e-05,0.03236251773553889,7.204224041944e-06,6.029191031528932e-05
19.0,0.09483724594613316,3.7317317248774695,240.687744,240.687744,0.9991046702896288,,,,,,,,,,0.3456639629924828,0.9553815566980668,0.9879009908095018,0.0,0.9832657200811359,0.48283928632736206,0.484178601922537,0.26626354213897385,0.9670822942643391,4.060131480055453e-05,0.024878180399269922,5.863961350042429e-06,4.6274232111473e-05
20.0,0.12102249087025051,8.1323321637665,253.35552,253.35552,0.9991046702896288,,,,,,,,,,0.3433861565630519,0.954967667134174,0.9874730132047546,0.0,0.9832657200811359,0.48281988501548767,0.4841973405080543,0.2662817058109081,0.9670822942643391,3.327610851880612e-05,0.02039634513851496,4.900778272593742e-06,3.790838883728081e-05
21.0,0.17206524788574773,14.313441170481157,266.023296,266.023296,0.9991046702896288,,,,,,,,,,0.3346343788582056,0.9541088345211763,0.9865849475064253,0.0,0.9832657200811359,0.48281747102737427,0.4841982527563994,0.2662826304805637,0.9670822942643391,3.094747104255085e-05,0.018974563913360498,4.969421227401958e-06,3.5186999815001344e-05
22.0,0.13894393125994384,6.634982381347863,278.691072,278.691072,0.9991046702896288,,,,,,,,,,0.3138567208964321,0.951577706252938,0.9839676642790824,0.0,0.9832657200811359,0.48281893134117126,0.48419466324875177,0.26627927066961843,0.9670822942643391,3.4624597619142296e-05,0.02123487581797434,7.067227655244134e-06,3.9120468811741785e-05
23.0,0.12206130363854717,7.5301171582648445,291.358848,291.358848,0.9991046702896288,,,,,,,,,,0.3254059418319346,0.9530395046446625,0.9854792196042024,0.0,0.9832657200811359,0.48280107975006104,0.48421312809882316,0.2662971068063527,0.9670822942643391,2.9771294183485108e-05,0.018263283407637942,5.445696942223113e-06,3.373873203669553e-05
