round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_auprc_lift,fed_f1,fed_prevalence,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.687475565803957,0.09708825771236537,3.65056,3.65056,0.9971592150692714,0.3880277752955064,0.24946964194269017,0.6420193081928746,0.2773582236779844,1.7954283678268705,0.240871376559392,0.11442598187311177,0.20323661771884372,0.5143524681265801,0.44288700589106406,0.10168355781523453,0.8927753469866967,0.015187849720223821,0.2045002711006687,0.4167245030403137,0.3751006753619025,0.2422805589563977,0.11389601892395189,0.029137634821021,3.136130424682051,0.02376088632956262,0.03279648262506659
2.0,0.6780530761013347,0.13636035357040932,7.30112,7.30112,0.9971592150692714,0.36977044373097917,0.23471130858184153,0.6575321477765983,0.2906884573332448,1.863882842918595,0.2713815740063877,0.11442598187311177,0.21225667761458814,0.5093020716305048,0.47938962127210377,0.11086806691251049,0.9734147686631334,0.11678526580159063,0.2045002711006687,0.38965800404548645,0.3735182860026129,0.24092942030513717,0.11389601892395189,0.018987293017116078,2.192428636364639,0.01571683543893376,0.021217669714158338
3.0,0.66800646174555,0.1656977544956942,10.95168,10.95168,0.9971592150692714,0.35260761542806596,0.2224981840217443,0.6609389547683181,0.2941194333965908,1.9302946771475598,0.2793853274305892,0.11442598187311177,0.2194632011192291,0.5139200419491422,0.4482147877819943,0.10419645249041251,0.91483840677508,0.09352695052916564,0.2045002711006687,0.375466912984848,0.37425333815267986,0.2418269667820409,0.11389601892395189,0.013036321276214258,1.6175362733192742,0.011187398142460106,0.014325032501811236
4.0,0.6592212721776485,0.2033356716595458,14.60224,14.60224,0.9971592150692714,0.36175021192777357,0.228648969031458,0.6698694664370249,0.2992470217370044,1.994770025525087,0.2775638711311756,0.11442598187311177,0.22720717996711254,0.5254806542069409,0.4297987559879081,0.1010400713432015,0.8871255755713966,0.14524876208441406,0.2045002711006687,0.397147536277771,0.3790284215315004,0.24549290564202006,0.11389601892395189,0.010675325258198828,1.4105293727479875,0.009953565851944443,0.011195072456534368
5.0,0.6536528963346727,0.21489383517253374,18.2528,18.2528,0.9971592150692714,0.3616541638915977,0.22843015597528202,0.6752283350503546,0.301673162131336,2.0560630770863386,0.283160693045563,0.11442598187311177,0.23375950751429758,0.5328805272702846,0.4339645966914927,0.10247580721435966,0.8997312476986796,0.1212013506308868,0.2045002711006687,0.3479953110218048,0.3755734326483181,0.24291513323330416,0.11389601892395189,0.008727093269893398,1.2244199400302023,0.00842454410657285,0.008952441280311954
6.0,0.6476849410642449,0.22858669475467946,18.2528,18.2528,0.0,0.3593391033160535,0.22777290875604572,0.6889199125980068,0.3158357762163431,2.226039415225724,0.2887342510405508,0.11442598187311177,0.2512261374963634,0.5417224639522105,0.4339645966914927,0.10247580721435966,0.8997312476986796,0.1212013506308868,0.2045002711006687,0.3479953110218048,0.3755734326483181,0.24291513323330416,0.11389601892395189,0.0,0.0,,
7.0,0.6479317737008754,0.24205119241620468,21.90336,21.90336,0.9971592150692714,0.338089039687101,0.21269447592863844,0.6767580353124377,0.3055721499336518,2.0918926245532066,0.28624532946287357,0.11442598187311177,0.23791703109795143,0.5227221482605011,0.46204172351359146,0.10936563753971004,0.9602235317174099,0.06948356807511737,0.2045002711006687,0.35280999541282654,0.37032629171293274,0.23880294300808785,0.11389601892395189,0.00809699890118354,1.2010336588136852,0.007673844843116959,0.008424186534759015
8.0,0.6474007647972775,0.2854275959535027,21.90336,21.90336,0.0,0.3538832039129616,0.22449283362827427,0.6889286967271294,0.3184295327611041,2.2245278405549214,0.28838919472898544,0.11442598187311177,0.25220124307860575,0.5613238400548007,0.46204172351359146,0.10936563753971004,0.9602235317174099,0.06948356807511737,0.2045002711006687,0.35280999541282654,0.37032629171293274,0.23880294300808785,0.11389601892395189,0.0,0.0,,
9.0,0.6459705631219805,0.2888738320734688,25.55392,25.55392,0.9971592150692714,0.3376104988613563,0.2123014282585117,0.6787769433387031,0.3054303906533507,2.122361717935561,0.2893581005540807,0.11442598187311177,0.241218676329534,0.5326719202348833,0.4609017815151495,0.10804591398774348,0.9486364405755524,0.04723299259781459,0.2045002711006687,0.38294175267219543,0.3705392137760065,0.23906244558113532,0.11389601892395189,0.00874916595645246,1.3736851171124727,0.007915272465812582,0.009419033886883112
10.0,0.6400161433627682,0.30306316103739256,25.55392,25.55392,0.0,0.3332695164422299,0.20971072787243902,0.6929988281012628,0.3187758152702931,2.240849154920663,0.2999345902624744,0.11442598187311177,0.2537029027519216,0.536098154147286,0.4609017815151495,0.10804591398774348,0.9486364405755524,0.04723299259781459,0.2045002711006687,0.38294175267219543,0.3705392137760065,0.23906244558113532,0.11389601892395189,0.0,0.0,,
