round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_auprc,fed_ece,fed_brier,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882116366538666,0.11652889472458901,3.65056,3.65056,0.9971592150692714,0.23270693693751712,1.4371223839795897,0.5071806839400206,0.16280275202064115,0.3925696759956379,0.2545936266729984,0.11369216241737487,0.5713663966159729,0.19703452238540084,0.5355370856629089,0.14412403142101748,1.2654000796748548,0.1988805970149254,0.2059280900994298,0.48869264125823975,0.38523534765582634,0.24914201634801367,0.11389601892395189,0.027675962836625653,2.9904585545882583,0.023316173923172253,0.030559655613781576
2.0,0.6850601144602831,0.1765693945285008,5.632,5.632,0.5412350858791136,0.2743895059293135,1.833020535379459,0.4999317154311743,0.20786740287075928,0.37527336501497355,0.23919659146658973,0.11369216241737487,0.6379846853640211,0.23890796215903223,0.5652293645725665,0.15782552973806868,1.385698387258368,0.20753498385360603,0.21500739280433712,0.49091270565986633,0.383354445037523,0.2472769259345549,0.11389601892395189,0.016816908718197073,2.1222139027668163,,0.016816908718197073
3.0,0.6805432389309837,0.30541576287149763,7.61344,7.61344,0.5412350858791136,0.2856672238186634,1.9305269854615306,0.4995733157771167,0.22030429486865433,0.36547354990894937,0.23093019367015136,0.11369216241737487,0.6558356431970457,0.2535312514729587,0.6032288534584959,0.17492724358387415,1.5358503768307536,0.199252801992528,0.23564375419422876,0.48670852184295654,0.37028630690639686,0.23686908178739327,0.11389601892395189,0.009203621657977513,1.7633808070095256,,0.009203621657977513
4.0,0.6758828365595054,0.45390968792955644,9.59488,9.59488,0.5412350858791136,0.2933682887163612,2.029616502207056,0.4987549196296719,0.23196147035960815,0.3539813952913891,0.22182190235857285,0.11369216241737487,0.6648808278808,0.2633568270164295,0.5985661423120878,0.1762077262254585,1.5470929352070857,0.21194674343288952,0.23277488072783759,0.48595646023750305,0.36384638382123896,0.23176897888166162,0.11389601892395189,0.005869593226035283,1.491327736293897,,0.005869593226035283
5.0,0.6810866970594014,0.5300563160064573,11.264,11.264,0.4559241291901578,0.2791718163691256,1.8855535853172276,0.49727541315018997,0.21383087334248577,0.35805501354389835,0.22626693662592962,0.11369216241737487,0.6467168159804141,0.2572705004126809,0.627174110942876,0.19241498122236442,1.6893916314216344,0.24676589233551258,0.2534039334341906,0.4955572485923767,0.3632167186633985,0.23041249882865267,0.11389601892395189,0.009641845159492088,0.9121492668054998,0.009641845159492088,
6.0,0.6792939250116772,0.5990691148793579,13.24544,13.24544,0.5412350858791136,0.28093498082839957,1.947400064729977,0.5113215958017727,0.22182912384088813,0.3653488386735475,0.2306371168326482,0.11369216241737487,0.6522982463467157,0.250619385717861,0.6181311015120633,0.1876828035956798,1.6478434046144772,0.23599558336400442,0.24415727247731644,0.5314986109733582,0.39363133994764665,0.253623603765858,0.11389601892395189,0.005274467021283498,1.685287345200777,,0.005274467021283498
7.0,0.668400807795878,0.6791467133502447,15.22688,15.22688,0.5412350858791136,0.28870747759004645,2.0339751014823624,0.510380557917708,0.23000185175317767,0.3563171809326376,0.22394051682305446,0.11369216241737487,0.6629182435067221,0.26834778794464287,0.6217450549763872,0.18484354862002023,1.622914921578074,0.24330281451339436,0.24770198355104014,0.5078348517417908,0.38248857596607055,0.2451659259941576,0.11389601892395189,0.003746151513712879,1.4351157781202346,,0.003746151513712879
8.0,0.6572725058391671,0.9173295980238002,17.20832,17.20832,0.5412350858791136,0.30285250878294057,2.1702198503617396,0.5131800902689032,0.2432717653534916,0.3496731284075951,0.2191075268335894,0.11369216241737487,0.6746790254240825,0.28418951921736907,0.618446833168442,0.19038989355619768,1.6716114869942957,0.24038038214317162,0.24639190596637403,0.5277964472770691,0.38487242318146464,0.24671572928386618,0.11389601892395189,0.0030840482541359265,1.3639053087681532,,0.0030840482541359265
9.0,0.6549338085038341,1.05765603281145,19.18976,19.18976,0.5412350858791136,0.30227597886906804,2.1583436200120696,0.5146131596514216,0.24441255748521237,0.3410663761674588,0.21327123502512066,0.11369216241737487,0.6812425800800108,0.28205899191482164,0.6136643500546077,0.1855091520513217,1.6287588785274905,0.23172119487908963,0.24080859128237528,0.5303186774253845,0.39932942432140245,0.25807574469769773,0.11389601892395189,0.0023469143484957902,1.1821109671145678,,0.0023469143484957902
10.0,0.6672063246870292,1.0610845152986186,22.84032,22.84032,0.9971592150692714,0.2692503529595596,1.822008898901035,0.4939200345397483,0.20832346379214953,0.3369101802423611,0.21219935156567749,0.11369216241737487,0.6391084480301128,0.24642764485637217,0.6102593951595962,0.17952512820819222,1.5762195193851396,0.22517801961574635,0.23767491926803017,0.5321372151374817,0.40076095378928667,0.2596911435394017,0.11389601892395189,0.002875792558355335,2.059105249820277,0.005290546064455011,0.002255114692495553
11.0,0.669017737926119,1.3633277209731132,24.82176,24.82176,0.5412350858791136,0.28820448215937716,1.9752277155134152,0.4855114048856363,0.22470062506713853,0.33851909750112763,0.21222381806492552,0.11369216241737487,0.6605940781767868,0.262257907424323,0.6186504354735051,0.1762594186698458,1.5475467916708643,0.23861509669369932,0.24205202312138727,0.5273975729942322,0.3861667707092215,0.24835602957056602,0.11389601892395189,0.002316817142411346,1.4670398336602375,,0.002316817142411346
12.0,0.6642899489916753,1.6821178166079052,26.8032,26.8032,0.5412350858791136,0.29638357207896726,2.0754120604292514,0.5026710390556823,0.2356508318408893,0.346176990201104,0.21707692019257077,0.11369216241737487,0.670484204910751,0.2740638588103783,0.577879023686789,0.16129304094753627,1.4161429211606709,0.21594112120263076,0.21919640143456326,0.4812546372413635,0.38822940964812547,0.25067404352791806,0.11389601892395189,0.001750630911122066,1.2179355495609343,,0.001750630911122066
13.0,0.6458513186710367,1.3667048281089262,28.78464,28.78464,0.5412350858791136,0.2978137022755611,2.1708635642277594,0.5213118251029674,0.24417067466493775,0.335917026705062,0.21050356307942042,0.11369216241737487,0.6776203779588645,0.2789003303713505,0.6027919568455478,0.18156523867011373,1.5941315630298232,0.22964984083674397,0.2300816167897396,0.5273712277412415,0.3911547787077647,0.25201290516127167,0.11389601892395189,0.0015294285591400249,1.157314964570105,,0.0015294285591400249
14.0,0.637903774618103,1.623501676550982,30.76608,30.76608,0.5412350858791136,0.30519300636607527,2.219079773770219,0.5154753051147095,0.250848150046097,0.3316416034624473,0.2069400588647096,0.11369216241737487,0.6837210911491958,0.286204294085454,0.588767367249013,0.1672781073006328,1.4686914334760377,0.22167416219352967,0.2262734584450402,0.5122653245925903,0.3931972665241724,0.25426144266015754,0.11389601892395189,0.0012738504134352574,1.0361602794146165,,0.0012738504134352574
15.0,0.6623323235207671,1.9671265286634214,32.4352,32.4352,0.4559241291901578,0.2789870074671598,1.8836170204335294,0.5026335799960472,0.21495155487139173,0.3532983495340543,0.22342387106716075,0.11369216241737487,0.6497298391548497,0.2612217324304892,0.6005582297321712,0.17735400338756926,1.5571571777762323,0.22783768211375421,0.23243125272806633,0.5140431523323059,0.38535377873562743,0.24776231574048185,0.11389601892395189,0.00344181927583413,0.6911698440089822,0.00344181927583413,
16.0,0.6621411709837238,2.1847038895875293,34.41664,34.41664,0.5412350858791136,0.2875405105173251,1.9913890900805826,0.4924800753199458,0.22687086283228175,0.34196720201384917,0.21466519854213026,0.11369216241737487,0.6630882277915976,0.2696730172974472,0.6181417685460441,0.187336872501908,1.6448061510121121,0.24177777777777779,0.2440404919995646,0.511756181716919,0.37899849466903385,0.24247412412580213,0.11389601892395189,0.0014292854671763752,1.25057851546444,,0.0014292854671763752
17.0,0.6591683144041598,1.925990920303343,36.39808,36.39808,0.5412350858791136,0.2919049400970724,2.0446426647935203,0.5150053639474964,0.2329334957745872,0.34603962355232065,0.21777798090500508,0.11369216241737487,0.6682295795137196,0.2712397563195311,0.6385988306220076,0.20147591302160583,1.7689460520664102,0.25381120646138317,0.2616070145177519,0.5292195081710815,0.37001074668316436,0.23562924108282884,0.11389601892395189,0.0011686340937825139,1.0966602624394,,0.0011686340937825139
18.0,0.6458974744163163,2.1360116874410826,38.37952,38.37952,0.5412350858791136,0.2988903702158497,2.138330188768326,0.5183235923561766,0.24349767924604948,0.3439691669228207,0.21553678544824384,0.11369216241737487,0.6769839222492927,0.2810499881177693,0.6456716639754786,0.20595728767663496,1.8082922442983032,0.26627218934911245,0.26798833819241985,0.5052780508995056,0.36075080270987764,0.22860070211102465,0.11389601892395189,0.0010327302251704406,1.035704592242837,,0.0010327302251704406
19.0,0.637031103400582,1.925071630446178,40.36096,40.36096,0.5412350858791136,0.3039771957121545,2.222640918043098,0.5182628832037509,0.2515304726040466,0.3421702841521342,0.21377573247474563,0.11369216241737487,0.6838830183206616,0.2853045623320717,0.6479262106292952,0.2069859179006554,1.8173235540292187,0.2599752404532902,0.2686488619918432,0.5343403816223145,0.3703137819672442,0.23604875743225248,0.11389601892395189,0.0009248444379803204,0.9825926473131403,,0.0009248444379803204
20.0,0.6728690183880149,3.0705478283532273,44.01152,44.01152,0.9971592150692714,0.2756662475092984,1.89208105449355,0.502979256409236,0.21544239788852598,0.3453561092505562,0.21766504226172934,0.11369216241737487,0.645140830663114,0.2578422375711026,0.6363745281468893,0.19638269041811982,1.724227872698905,0.25495415557527357,0.2587372522057981,0.5145675539970398,0.3663845017175141,0.23329146341911727,0.11389601892395189,0.001295776123655581,1.7889172786381096,0.0023148877046161786,0.001063560634053665
21.0,0.674047083102118,2.9228025241237456,45.99296,45.99296,0.5412350858791136,0.288415705410468,2.0350239848101186,0.5084015186605192,0.231479186233544,0.33734511900546604,0.21144842866166896,0.11369216241737487,0.6613373334780961,0.2684763911434882,0.6339138567482092,0.19448880355255282,1.7075996631841237,0.2529437418229394,0.256910981486178,0.5312198400497437,0.38118448656250536,0.2441562769832082,0.11389601892395189,0.000961472175105891,1.139322572038509,,0.000961472175105891
22.0,0.6566197836591645,2.5727377559346594,47.9744,47.9744,0.5412350858791136,0.2983585118871787,2.137661783255486,0.5274579298432458,0.24192522726971238,0.35593450239639374,0.22363897923678777,0.11369216241737487,0.6740734690304121,0.2785352052201286,0.6290456734284284,0.18876468802896645,1.65734228300819,0.25106037361248984,0.25773319001552614,0.521404504776001,0.3716924354539759,0.23761465501642232,0.11389601892395189,0.0008944783022323629,1.1107054544845596,,0.0008944783022323629
23.0,0.6415388148794287,2.449033428314819,49.95584,49.95584,0.5412350858791136,0.30424284786001454,2.1812262055696783,0.5163269464178659,0.24636508040801458,0.32928936426880456,0.20577141220648942,0.11369216241737487,0.6811445655578271,0.2888718410328564,0.6299939100020585,0.19059582060381494,1.6734195137327437,0.24741921947125473,0.2564447433310917,0.5246358513832092,0.3844469039687285,0.24703452852597427,0.11389601892395189,0.0008905298805673533,1.1606155408080667,,0.0008905298805673533
24.0,0.6372461524736168,2.8430940044620736,51.93728,51.93728,0.5412350858791136,0.30627794682759313,2.2562943341208768,0.5271952337595063,0.25450263951555824,0.345726325301712,0.21637783242857378,0.11369216241737487,0.6851782134602664,0.285433066632382,0.62245068554894,0.18275092624893047,1.6045418266195313,0.24302430243024303,0.24823900898712653,0.5239439010620117,0.37649364673012575,0.24108159730859915,0.11389601892395189,0.0008032349724563628,1.1004115061368793,,0.0008032349724563628
25.0,0.6698549607549941,3.679844304378828,53.6064,53.6064,0.4559241291901578,0.28260729017411573,1.9499604541294968,0.5197856490233802,0.22122403839537078,0.3611360987201028,0.2288503720850564,0.11369216241737487,0.6526411180253786,0.26681191339214017,0.6090911290485723,0.17838064636456114,1.5661710396011777,0.2321911632100992,0.23931965982991496,0.49030473828315735,0.3613056133150293,0.23034521177951572,0.11389601892395189,0.001886984498771397,0.5786094209179282,0.001886984498771397,
26.0,0.6682169816874836,3.329044438788177,55.58784,55.58784,0.5412350858791136,0.2838896454046888,1.988547802390985,0.5060274884859871,0.22617780089756143,0.3485001580957951,0.219652903425228,0.11369216241737487,0.6570858318051657,0.2660117288283234,0.5858962409322054,0.16692515296494162,1.4655925162441117,0.22138742799899824,0.22499230532471529,0.46252137422561646,0.35718677908660634,0.2279749542038207,0.11389601892395189,0.0008768105101877324,1.258584932773374,,0.0008768105101877324
27.0,0.6585465480286141,3.406041933838093,57.56928,57.56928,0.5412350858791136,0.29783914703107867,2.1009630709024787,0.5077497710756135,0.23925375805009905,0.3431192161678929,0.21487478864454204,0.11369216241737487,0.6690019965849658,0.2826790288188424,0.6128268121947942,0.1842421314346026,1.61763451589665,0.23591598275142578,0.2412324422292705,0.4591016173362732,0.3441925760197516,0.21835952984515392,0.11389601892395189,0.0007366805336383176,1.1027289999183267,,0.0007366805336383176
28.0,0.6457102469325628,2.9855477034890585,59.55072,59.55072,0.5412350858791136,0.2971172771587989,2.1298080014647023,0.5042382955626193,0.24228705340116125,0.3380917787190725,0.21208412651854258,0.11369216241737487,0.6729456775219352,0.28320257052462094,0.5981211387533143,0.17462460165684346,1.5331931994343007,0.22882396268107047,0.23389342294767163,0.4775952696800232,0.35809421444435396,0.22883556375138348,0.11389601892395189,0.0006540314907254624,1.0200819267192855,,0.0006540314907254624
